# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
0.2	5.9064700696289e-05	1.3104332630416	1.1461327564698e-05	0	0.028798688909984	0.0056239902103908	0.015423160843163	0.036095930339322	0.010344410491803	3.8698619653462e-05	0.020930148474999	2.7156705785543e-05	0.69952591442635	0.58237272274971	0.012763172550596	0.022047113870772	3.4276093711826e-06	6.3436733149785e-05	0.079005527774273	0.065781686330542	0.94553660471515	4.6503584662485e-07	2.6118648431225e-05	0.0085311111642435	0.011517221930144	0.0015277461200653	0.90925685620919
0.48	5.2997626944434e-05	1.3059961986914	1.7408930563478e-05	0	0.025556718732163	0.013414008478808	0.015379732601049	0.036280786549723	0.0091717434803293	4.4222813246644e-05	0.020937627899567	5.2895582743511e-05	0.58708207955621	1.025174711697	0.012744399870113	0.022016034720278	5.7637495088992e-06	0.00013571336758881	0.078988160020756	0.073907544004775	0.60627525174444	5.1639700112536e-07	2.9410803321253e-05	0.007562351763369	0.01155943753915	0.001578988742687	0.90898547950344
0.872	4.4248315565982e-05	1.2986315850243	1.6772449878741e-05	0	0.021658940476792	0.024135278165818	0.01531226186084	0.036510750083641	0.0077510074403578	3.8085025879471e-05	0.020929234720047	6.5969831561287e-05	0.45684475130718	0.93776158878476	0.012716327716742	0.021960367270472	5.7332485095291e-06	0.00021976962432278	0.078842197864674	0.078224206662837	0.50067956902839	4.8049051647692e-07	2.7310288957789e-05	0.0063864760181674	0.011602540569992	0.0016488184077917	0.90851641960784
1	4.1734155042849e-05	1.2960069119715	1.6021160051744e-05	0	0.020526605300539	0.027587084227229	0.015288922798357	0.036572647716261	0.007335579357889	3.5727808317525e-05	0.02092280472586	6.6913572032536e-05	0.42259590927709	0.8523175765239	0.012705431576307	0.021936908414505	5.4970201128057e-06	0.00024359025081347	0.078769657945867	0.078788009588675	0.48702524457856	4.6134055533152e-07	2.6189742953735e-05	0.0060421085384248	0.011611134264989	0.0016655326240371	0.90834533985681
1.2	3.8139858289144e-05	1.2989292982375	1.4335903486728e-05	0	0.018986429401305	0.027538378996979	0.015336408765342	0.036859194075025	0.0067684696688721	3.2233140479046e-05	0.021026273073904	6.4646748859135e-05	0.40806333592446	0.97455454697399	0.012757168726248	0.022016642620502	5.0302995194558e-06	0.00027639867338329	0.079073218414956	0.080206208202951	0.66113433497232	4.232012801831e-07	2.3405351196794e-05	0.0055715979661283	0.011683952575977	0.0016642482729069	0.90856188598942
1.48	3.3765646346734e-05	1.3026359185594	1.2514145180178e-05	0	0.017027371971892	0.027462000922712	0.015400553006529	0.037232515763469	0.0060472423792329	2.8070684463118e-05	0.021165519536392	5.8773211287094e-05	0.35709167796624	0.71569909985511	0.012824859474856	0.022117122154732	4.4493925679885e-06	0.00031764506455905	0.079457419300091	0.079754523000373	0.52870688585389	3.7444981274227e-07	2.091899309438e-05	0.0049732450890803	0.011776151306628	0.0016519492541326	0.90883515038058
1.872	2.854937467047e-05	1.3071570457293	1.0442060375304e-05	0	0.014631335766678	0.027341098301545	0.015486389007125	0.037701807060016	0.0051653683731444	2.3234492128313e-05	0.021350605327695	4.8060992247926e-05	0.31154576197868	0.6158724443273	0.012909498404469	0.02223868594198	3.743126969529e-06	0.00036439699900072	0.079924035400674	0.078593278721071	0.53109305545306	3.1350555337768e-07	1.7644487549668e-05	0.0042416594994948	0.011888175462279	0.00160630399512	0.90916628425051
2	2.7016794145891e-05	1.308488508387	9.8491651740204e-06	0	0.013924710655247	0.027298636433735	0.015513572741462	0.037842711469679	0.0049053474282022	2.1836323383202e-05	0.021408882296869	4.4440609970858e-05	0.30127756800584	0.59411774006569	0.012934653399642	0.022274254296954	3.5388589535867e-06	0.00037730200061507	0.080060918451661	0.078189213270939	0.53564118112997	2.9445886670309e-07	1.6599278430587e-05	0.0040259622723276	0.011921065337518	0.0015850034882836	0.90926330582259
2.2	2.4823708380365e-05	1.3104347094715	8.9868214546206e-06	0	0.012891697299249	0.027229580226096	0.015555292277621	0.03805052019881	0.0045252811805376	1.9848600577539e-05	0.02149789147406	3.8987600194834e-05	0.30963961656579	0.72540840648501	0.012971361406654	0.022325954472559	3.2362430940881e-06	0.00039450069034092	0.080260296729522	0.07829582400434	0.66922300236907	2.6807425299589e-07	1.4939628303436e-05	0.003710694317218	0.011968951648589	0.0015428768329491	0.90940471251401
2.48	2.2125844096871e-05	1.3129061809342	7.951384423222e-06	0	0.011579949247347	0.02712786945873	0.015612289265026	0.038317556601116	0.0040427787049681	1.7461353276488e-05	0.021618566349441	3.2384779387715e-05	0.29337680276327	0.58036377108058	0.013017603813676	0.022391066612988	2.8690507482963e-06	0.00041554478450831	0.08051218507445	0.07696440670286	0.55521522665923	2.3619023538046e-07	1.3247844314556e-05	0.0033104776005372	0.012029458823123	0.0014757281191653	0.90958356051505
