# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	6.9775961424737	0	0.011731108994237	0.15603352166137	0.36517647077524	0.11383271697232	0.0043636533291166	0.21174679618358	0.1291228688986	0.2230469411278	0.7992856439295	0.11651780036769	2.12581353658	11.234267201293
0.48	6.9776682000966	0	0.028075698548757	0.15612440786838	0.36829762778268	0.10127231456225	0.0049850553623314	0.21254436645362	0.12937234256785	0.22349157509459	0.80183331089378	0.1173434600238	1.7085445954742	10.829552954729
0.872	6.977866387939	0	0.050803377916337	0.15632546261754	0.37274503970273	0.086072670271699	0.0042909344508529	0.21367024439123	0.12982317372102	0.22419715776808	0.80491371501121	0.1184524512935	1.3023019609875	10.441462576071
1	6.9779497077371	0	0.058187528521728	0.15640517845817	0.37413782063112	0.081625409278772	0.0040245896838898	0.21403981045616	0.12997620192136	0.22441393801514	0.80581154573139	0.11878172762982	1.1934934786392	10.338846936704
1.2	6.9780860515239	0	0.05795524868252	0.15654106260745	0.37622859557509	0.075147014269729	0.0036317835579517	0.21461866085667	0.13021444379002	0.22472734182153	0.80711309203636	0.11926016957004	1.0422730138371	10.185796478128
1.48	6.9782750767957	0	0.057631617168775	0.15675278842694	0.3789686733724	0.066950349186653	0.0031637263767437	0.21543126232312	0.13053649569995	0.22511677739464	0.80874927608691	0.11986262640557	0.86290849446069	10.004347163698
1.872	6.9785364364446	0	0.057181577408934	0.15708724054423	0.38243336949551	0.056991267497257	0.0026195949771305	0.21657193166679	0.1309485349225	0.2255798037393	0.81071604635733	0.12058908197471	0.66309605665072	9.802350941679
2	6.9786231473004	0	0.057035385512171	0.15720484184857	0.38347715836495	0.054067967069982	0.0024622135364684	0.21694490461251	0.13107185924641	0.22571354374876	0.8112884806104	0.12080123634137	0.60805009469606	9.746740832888
2.2	6.9787578948004	0	0.056807710146571	0.15739659707108	0.38501830532453	0.049805665602914	0.0022384209264783	0.21752772406009	0.13125122080749	0.22590588806152	0.81211701285892	0.12110881835195	0.53111045548089	9.6690457134928
2.48	6.9789452022512	0	0.056490494355861	0.15768027070395	0.38700163945163	0.044412630762069	0.0019695748449362	0.21834314273771	0.13147479353587	0.22614441765464	0.81315452799772	0.12149536146861	0.43957344203765	9.5766854978018
2.872	6.9792049539043	0	0.056049375328283	0.15810381307187	0.38946975120612	0.037859571441449	0.0016524995731554	0.21948171022818	0.13173734935695	0.22642571749284	0.81439435219564	0.12196058469913	0.33748687003658	9.4738265485345
3	6.9792901015747	0	0.055906078520077	0.15824766543741	0.39020961552439	0.035936022637461	0.0015602504473754	0.21985240200201	0.13181247976912	0.22650626531185	0.81475323236608	0.12209615532565	0.30935317317568	9.4455234420918
3.2	6.9794225686607	0	0.055682911850388	0.15847754861537	0.39130250349556	0.03313129444854	0.001428002354492	0.2204297777353	0.13191948144033	0.2266214462471	0.81527085444166	0.12229256313779	0.27002292838486	9.4060018808121
3.48	6.9796069207579	0	0.055371977481053	0.15880864731996	0.3927159666803	0.029582298016378	0.0012659060343437	0.22123317174434	0.13205055723212	0.22676282289778	0.81591500124826	0.1225388781375	0.22321523287878	9.3590673804287
