Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	0.00010610331167805	0.0002985305442101	0.011976239929422	2.7468391016969e-05	0.020896668364825	-0.12274509245683	2.3311840998868e-07	0.014393535249927
0.48	9.4716095494337e-05	0.00034023318387309	0.0036771493022834	2.7424038032948e-05	0.013043243312685	-0.10022745797446	1.1879784097324e-08	0.0080544990662675
0.872	2.6043956419604e-05	0.00011886164176918	0.00011514786237431	8.0888619892558e-06	0.0042772736800207	-0.076469803040963	1.9144991068919e-10	0.038446697523451
1	1.5807231900468e-06	7.5308916700166e-06	3.8068244489321e-06	5.1087249210732e-07	0.00030144159580756	-0.070081783833271	6.8146208903925e-12	0.04525383609247
1.2	4.4578060384037e-08	2.2843098801237e-07	1.0148099728985e-07	1.4796345246284e-08	9.5814002883073e-06	-0.061202172589623	2.1097408241599e-13	0.057329997644167
1.48	3.2440539061275e-08	1.7301337027189e-07	7.2049674036827e-08	1.0910807608697e-08	7.9239053582068e-06	-0.050669905137267	1.7661346168962e-13	0.06491410258091
1.872	2.0990072310809e-08	1.0974059456706e-07	4.7209524229817e-08	7.1177578209107e-09	5.9739859439672e-06	-0.038936937812541	1.3804153084235e-13	0.076645536864213
2	1.8717602837518e-08	9.5941721701253e-08	4.2876561536572e-08	6.3620216128769e-09	5.5731395797386e-06	-0.03570464414546	1.3077668436031e-13	0.079876965589099
2.2	1.5894394283478e-08	7.8327435010634e-08	4.0963131004897e-08	5.4144061822067e-09	5.0481070515434e-06	-0.031186755815868	1.2208441681346e-13	0.084394309407759
2.48	1.3029465614878e-08	6.0276123683601e-08	3.542837274008e-08	4.4473005225257e-09	4.4728116154986e-06	-0.02581171104274	1.1344041692203e-13	0.089768749204903
2.872	1.0206264180236e-08	4.3389042425402e-08	3.0844674011093e-08	3.4879871596351e-09	3.823495735123e-06	-0.019817197178189	1.0542067461348e-13	0.095762586138721
3	9.4774136040402e-09	3.9219761367262e-08	2.9829536904543e-08	3.2401192408502e-09	3.6349600993115e-06	-0.018165189154536	1.0345045959462e-13	0.097414370632418
3.2	8.4768043145364e-09	3.3801064683157e-08	3.0726665166645e-08	2.8972425823721e-09	3.3520433595897e-06	-0.015855720892509	1.0084427634031e-13	0.099723550821523
3.48	7.3308957421126e-09	2.8014198392313e-08	2.8905729397149e-08	2.5026485494025e-09	2.9850488699804e-06	-0.013107177428898	9.7946496137273e-14	0.10247171857049
3.872	6.0641366954297e-09	2.2173578510323e-08	2.7090822755059e-08	2.0640898667326e-09	2.5038248505357e-06	-0.010040167946768	9.4946007169743e-14	0.10553823830957
4	5.7137385065943e-09	2.0630409544407e-08	2.6646693898636e-08	1.9426786409556e-09	2.3526285620087e-06	-0.0091945884956179	9.4158200657438e-14	0.10638365625899
4.2	5.2167122699049e-09	1.8522853837741e-08	2.7930682264052e-08	1.7694857196258e-09	2.1198965522078e-06	-0.0080122135003885	9.3083290369667e-14	0.10756579732206
4.48	4.6222314843878e-09	1.610399022921e-08	2.6789593651405e-08	1.561504107109e-09	1.8066251166594e-06	-0.0066047253087431	9.1842544093997e-14	0.10897296818813
4.872	3.9351775915319e-09	1.3438146191248e-08	2.5369368644211e-08	1.3201291763076e-09	1.3909400333952e-06	-0.0050342708887051	9.050537935446e-14	0.11054300241225
5	3.739819886445e-09	1.2696219730338e-08	2.495805183229e-08	1.2514349943831e-09	1.2610537158138e-06	-0.0046014358812701	9.0145238202411e-14	0.11097570311697
5.2	3.4608472127848e-09	1.1657280702443e-08	2.5928125829915e-08	1.1529095894185e-09	1.0663672315575e-06	-0.0039966154313324	8.9647873940227e-14	0.11158032857469
5.48	3.118031537012e-09	1.0408472917808e-08	2.4548087615368e-08	1.0314003259375e-09	8.1510090504898e-07	-0.003277882380148	8.9065565601599e-14	0.11229880741269
5.872	2.7164877806662e-09	8.9816346924474e-09	2.238237697382e-08	8.8841289921743e-10	5.2102918026624e-07	-0.002479665009588	8.8429680426909e-14	0.11309672670698
6	2.6013237528925e-09	8.5771188164338e-09	2.1648905060775e-08	8.4733591403376e-10	4.3987886740828e-07	-0.0022606773127907	8.8257177237275e-14	0.1133156309185
6.2	2.4361332817994e-09	8.0033208519286e-09	2.1410494993306e-08	7.8813798526121e-10	3.338614584133e-07	-0.001956213294233	8.8018705649097e-14	0.11361998791627
6.48	2.2340105941918e-09	7.3102748719243e-09	1.9106554413878e-08	7.1527897499557e-10	2.284540342733e-07	-0.0015973417387374	8.7739633815446e-14	0.11397875079443
6.872	1.9982896996426e-09	6.5146276278465e-09	1.6026233922331e-08	6.2955423572639e-10	1.4915565611968e-07	-0.0012024225105569	8.7435009219951e-14	0.11437358648385
7	1.930992917345e-09	6.2891957004855e-09	1.5130242513431e-08	6.0494686263032e-10	1.3372253727758e-07	-0.0010944479260669	8.7352170616556e-14	0.11448154428194
7.2	1.8357679376739e-09	5.9721369343048e-09	1.4116910011098e-08	5.6977355976059e-10	1.1756674156681e-07	-0.0009442952642935	8.7237289325868e-14	0.11463167932722
7.48	1.7221450318343e-09	5.5967569083675e-09	1.2330676741498e-08	5.2707972542777e-10	1.0476193773177e-07	-0.00076675023122738	8.7101925411131e-14	0.11480920923481
7.872	1.5972558964503e-09	5.1886827690106e-09	1.0508759218805e-08	4.7855882185064e-10	9.6001362587827e-08	-0.0005704240258216	8.6952839310801e-14	0.11500552427199
8	1.563318171723e-09	5.0786080403559e-09	1.0026957476776e-08	4.6501140641953e-10	9.4212514558241e-08	-0.00051668584349182	8.6912140713251e-14	0.11505926001693
8.2	1.5185274980207e-09	4.9336072634434e-09	9.4169318737847e-09	4.4633591693989e-10	9.2149033041885e-08	-0.00044208297321469	8.6855717523132e-14	0.1151338600048
8.48	1.4729052764846e-09	4.7867550226383e-09	8.489931898847e-09	4.2534504607468e-10	9.0338976351221e-08	-0.0003544560308355	8.6789558808572e-14	0.115221483996
8.872	1.4397557693372e-09	4.6827229827414e-09	7.5566215362278e-09	4.0499879100082e-10	8.9293795388937e-08	-0.00025926239539674	8.6717826975692e-14	0.11531667549443
9	1.4345352837715e-09	4.6674717442778e-09	7.3075058518286e-09	4.0005122882417e-10	8.9196746890192e-08	-0.00023364878805878	8.6698551032358e-14	0.11534228872865
9.2	1.4342477346342e-09	4.6684275430324e-09	6.9878807733451e-09	3.9436865359056e-10	8.9340759087218e-08	-0.00019869219304174	8.667226065628e-14	0.11537724514267
9.48	1.4504062903466e-09	4.72301443721e-09	6.4926005926196e-09	3.9069900157605e-10	9.0158857570947e-08	-0.00015886360668781	8.6642329667463e-14	0.11541707411841
9.872	1.4992701457604e-09	4.8873207497388e-09	5.997669793845e-09	3.921983687969e-10	9.2369160901542e-08	-0.00011788189463121	8.6611557660236e-14	0.1154580577598
10	1.5185968716733e-09	4.9532395773313e-09	5.866816716711e-09	3.9359158451283e-10	9.325003070444e-08	-0.00010733991981503	8.6603646123208e-14	0.11546860057107
10.2	1.5534733141011e-09	5.0719755155936e-09	5.7067843384234e-09	3.9679914856294e-10	9.4847743832067e-08	-9.3485183659874e-05	8.6593250778688e-14	0.11548245690143
10.48	1.6097270883462e-09	5.2651121362571e-09	5.4380202914538e-09	4.0286608853513e-10	9.7459444912131e-08	-7.8588811402026e-05	8.6582076682666e-14	0.1154973558717
10.872	1.6909789736362e-09	5.5549814918519e-09	5.1827359630357e-09	4.1178633109381e-10	1.0154019216836e-07	-6.4456831738356e-05	8.6571477990887e-14	0.11551149205638
11	1.7152436021614e-09	5.6452823669519e-09	5.1177806698231e-09	4.1420010848339e-10	1.028676705814e-07	-6.1021582355619e-05	8.6568901847094e-14	0.11551492868522
11.2	1.7499580606026e-09	5.7790579862927e-09	5.049566398276e-09	4.1721545234253e-10	1.0492036400147e-07	-5.6664132940823e-05	8.6565634102884e-14	0.11551928829041
11.48	1.7915669931972e-09	5.9499579527002e-09	4.9073061510101e-09	4.1978866762371e-10	1.0772728977229e-07	-5.2167371720027e-05	8.6562261719325e-14	0.1155237879311
11.872	1.8298889972294e-09	6.1352687601719e-09	4.7879440497535e-09	4.1891802554892e-10	1.1124042384348e-07	-4.8039331637276e-05	8.6559165423871e-14	0.11552791958738
12	1.8373618895239e-09	6.1807447901693e-09	4.7599144554014e-09	4.1754923976141e-10	1.1224561143443e-07	-4.704685942343e-05	8.6558420928619e-14	0.11552891308824
12.2	1.8436591134849e-09	6.2351100458084e-09	4.7458827858684e-09	4.1424941174804e-10	1.1364863346998e-07	-4.5784257765044e-05	8.655747371857e-14	0.1155301771361
12.48	1.8440334178022e-09	6.2840468426481e-09	4.6713757465413e-09	4.0784932910602e-10	1.1534454647592e-07	-4.4462772448901e-05	8.6556482250154e-14	0.11553150028553
12.872	1.8293578022728e-09	6.2996173287254e-09	4.6207836628815e-09	3.9581928322733e-10	1.1711176390897e-07	-4.3209737090544e-05	8.6555542070665e-14	0.11553275502614
13	1.8217832492043e-09	6.293978910107e-09	4.6106160464602e-09	3.9138440487184e-10	1.175491698051e-07	-4.2901584949686e-05	8.6555310869294e-14	0.11553306358779
13.2	1.8070893758864e-09	6.2738017229802e-09	4.6233311601505e-09	3.8393919183526e-10	1.180723995403e-07	-4.2503991828799e-05	8.6555012590801e-14	0.11553346167444
13.48	1.783667103385e-09	6.2320427930124e-09	4.5789078252003e-09	3.7314460521657e-10	1.186018062942e-07	-4.2083976982413e-05	8.6554697579421e-14	0.11553388209817
13.872	1.7460665426044e-09	6.1489624561637e-09	4.5564528815192e-09	3.575719324312e-10	1.1891451115443e-07	-4.1693279047058e-05	8.6554404729687e-14	0.11553427294995
14	1.7331410598558e-09	6.117567325572e-09	4.5532135805858e-09	3.525063534275e-10	1.1892769963883e-07	-4.1602429613502e-05	8.655433669019e-14	0.1155343637599
14.2	1.7119988358878e-09	6.0631599555217e-09	4.5758190536452e-09	3.445512519544e-10	1.1883604389575e-07	-4.1493386316874e-05	8.6554255104434e-14	0.11553447265058
14.48	1.6828293590269e-09	5.9846159509634e-09	4.542095474698e-09	3.3383277788696e-10	1.1860811663043e-07	-4.1398082250425e-05	8.6554183984638e-14	0.11553456757449
14.872	1.6420586895256e-09	5.8680059854155e-09	4.5289478732213e-09	3.1951655694701e-10	1.1804507219826e-07	-4.1353884711449e-05	8.6554151433918e-14	0.11553461102406
15	1.6289325667316e-09	5.8290779740143e-09	4.5278784562614e-09	3.1504500482925e-10	1.1781241984284e-07	-4.1357290417583e-05	8.6554154204582e-14	0.1155346073281
15.2	1.6086755936686e-09	5.7677481628424e-09	4.5529495982948e-09	3.0827053949582e-10	1.1740467504123e-07	-4.1379067121619e-05	8.6554170876177e-14	0.11553458508033
15.48	1.5809598742626e-09	5.6815567043414e-09	4.5223365700907e-09	2.9923893213981e-10	1.1675463617435e-07	-4.144078517529e-05	8.6554217724454e-14	0.11553452255865
15.872	1.5436390202984e-09	5.5617229269218e-09	4.5117628450445e-09	2.8749672740782e-10	1.1571599851564e-07	-4.1579252305668e-05	8.6554322389939e-14	0.11553438287339
16	1.5318443519209e-09	5.5230646752415e-09	4.511268337653e-09	2.8388072194005e-10	1.1535153254186e-07	-4.1635125088043e-05	8.6554364568858e-14	0.11553432658158
16.2	1.5133392479433e-09	5.4614603201275e-09	4.5363035897069e-09	2.7835342434568e-10	1.1472637090731e-07	-4.1733879741339e-05	8.6554439078518e-14	0.11553422714116
16.48	1.4890381398064e-09	5.3794734091872e-09	4.5064142441119e-09	2.7118465432496e-10	1.1385969199411e-07	-4.1893244037429e-05	8.6554559245236e-14	0.11553406676684
16.872	1.4565457398031e-09	5.267774815552e-09	4.4965951967907e-09	2.619319584e-10	1.1257774486851e-07	-4.2150920483702e-05	8.6554753402367e-14	0.11553380764519
17	1.4462894029175e-09	5.2320810166936e-09	4.4963081637193e-09	2.5908738546252e-10	1.1214565261915e-07	-4.2242221902792e-05	8.6554822174223e-14	0.11553371586262
17.2	1.4301917922086e-09	5.1755265933936e-09	4.5209254296185e-09	2.5473455870094e-10	1.1142774641796e-07	-4.2393484686238e-05	8.6554936091461e-14	0.11553356382956
17.48	1.4090456345285e-09	5.1005888227464e-09	4.4914982454262e-09	2.490941074111e-10	1.1044624544623e-07	-4.2621415792127e-05	8.6555107712787e-14	0.11553333478582
17.872	1.3806747580026e-09	4.9989294896283e-09	4.4824139873834e-09	2.4178906375115e-10	1.0903342584269e-07	-4.2967590817067e-05	8.6555368269558e-14	0.11553298705159
18	1.3716834418867e-09	4.9664789668896e-09	4.4823768045542e-09	2.3953347424069e-10	1.0856444705537e-07	-4.3086203972729e-05	8.6555457530774e-14	0.11553286792575
18.2	1.3575117294604e-09	4.9150446114581e-09	4.5067756286137e-09	2.3606265510845e-10	1.0779536568685e-07	-4.3279011980361e-05	8.6555602612392e-14	0.11553267430401
18.48	1.3388419284742e-09	4.8469079802228e-09	4.4779985061099e-09	2.3155296528797e-10	1.0674928068465e-07	-4.3563155853654e-05	8.6555816397505e-14	0.115532388994
18.872	1.3136058399311e-09	4.7542705620153e-09	4.4699455654602e-09	2.2565895123846e-10	1.0526020933703e-07	-4.3985270483891e-05	8.6556133908163e-14	0.11553196525853
