# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
0.2	9.4612589073696	0	13.301903781685	24.692429086298	1.1591340142557	39.623368320842	0.34437634872553	5.1583558383216	3.6438536056519	10.970177560872	37.032307372453	10.037726008208	0.92658202599038
0.48	10.198880460239	0	11.834159983928	24.848203553044	1.9105788826229	36.037256244542	0.82418521206218	7.9788778769112	5.2987148563968	9.7575865280571	32.975442323392	11.312269496187	1.417537191314
0.872	9.858888396565	0	10.058008001911	25.059574138749	1.9052847926608	30.660804715375	1.4913749244292	9.0317306807749	5.1408895588461	8.2873390832046	28.105481552617	10.054863960139	1.8371951230351
1	9.6379501564816	0	9.5383240358823	25.118848586145	1.8318591611635	29.07543061541	1.7081427359953	9.106873609938	4.9413655993523	7.8564468173108	26.69038165381	9.5409857020549	1.9484746893654
1.2	9.1533487388066	0	8.781292232003	25.17616044073	1.685738734419	26.790333046386	1.701323970357	8.9596517915739	4.4840035199196	7.2284921604583	24.632656002405	8.7589967197238	2.1181246216217
1.48	8.4772067069807	0	7.8234722557629	25.238168779709	1.5013483252819	23.955992520498	1.6918235012121	8.5293500408567	3.9750230224218	6.4340144706338	22.028746965676	7.7906809139123	2.3312248294126
1.872	7.5300645056131	0	6.659705371252	25.278926391458	1.273282253073	20.494727076598	1.6786122140821	7.6172153374133	3.3757602364881	5.4687682486362	18.864169669667	6.6104864884155	2.5936193709748
2	7.2072636179527	0	6.3181035713228	25.280257218366	1.2065167641396	19.460212312166	1.6743206307676	7.2681386519448	3.2000642232766	5.1854526071524	17.935072981398	6.2574087574279	2.6753003912671
2.2	6.7391959584748	0	5.8200330208567	25.266223496518	1.1069118894138	17.965809404431	1.6676370332374	6.6974463290258	2.9410210576401	4.772380454311	16.580208165343	5.7460696910141	2.7911142832418
2.48	6.137441624049	0	5.1898308043741	25.220673832004	0.98495976603279	16.104150964951	1.6583249029166	5.9228084163303	2.6243761544211	4.2497549042359	14.865512486984	5.117086664244	2.9378014012375
2.872	5.394789026039	0	4.424074114408	25.090746967211	0.83719095978255	13.831828500001	1.645375491216	4.9501336199386	2.2406858740591	3.6147702410008	12.781221812461	4.3529949725444	3.1123168913576
3	5.1706710573761	0	4.1992981291678	25.029105829718	0.79395190558036	13.156640871969	1.6411688956061	4.6587087691256	2.1277169910301	3.4283942395266	12.169219731752	4.1259293319432	3.1631292873629
3.2	4.850945638331	0	3.8715520690269	24.90859830102	0.73008288699087	12.178763694792	1.634617654551	4.2431637116934	1.9618391921256	3.1566535297057	11.276662346172	3.7965528393336	3.2337205109549
3.48	4.457221406445	0	3.4568346633655	24.689234543128	0.65081603572057	10.952083991099	1.6254899205186	3.7451773509885	1.75612215853	2.8128318636831	10.146859586034	3.3864309524098	3.3183720390777
3.872	3.9868091704498	0	2.9528668622237	24.253247790007	0.55461034869405	9.4570879571425	1.6127968809479	3.1710263440044	1.5063394385673	2.3950719376048	8.7731607573439	2.8879593204473	3.4118884849732
4	3.8464671133136	0	2.8049277765688	24.069973482711	0.5264005485848	9.0141686262956	1.6086735670355	3.0045226304646	1.4327982334042	2.2724526653108	8.3697262169929	2.7403608912361	3.4374208752136
4.2	3.6451012414515	0	2.589206029861	23.732373300107	0.48487656590119	8.3711555548271	1.6022520192833	2.7658736673506	1.324926656384	2.0936657587278	7.7812536516473	2.5257532635743	3.4709636185208
4.48	3.3933546400336	0	2.3162169709757	23.138314006379	0.43306974326644	7.5624528061533	1.5933049657654	2.4742019946079	1.1904051890933	1.867444681201	7.0361737519727	2.25724379089	3.5075839240667
4.872	3.0863941913852	0	1.9844350854588	21.986726892511	0.37009893897396	6.5767629340015	1.580863130555	2.1271439031378	1.0267797960752	1.592556746774	6.1298900489162	1.9306197059614	3.5393071605413
5	2.9940088658308	0	1.8870320299119	21.501404677235	0.35159742455052	6.2847843685379	1.5768214413818	2.0251258383567	0.97855867878442	1.5118696887455	5.863644110715	1.8340414264652	3.5451621748462
5.2	2.8603943510305	0	1.7449898302798	20.60969724853	0.32458559978512	5.8619097743065	1.5705270043534	1.8778798009439	0.90830129582963	1.3942180261045	5.4751909552566	1.6940265659913	3.5491768518588
5.48	2.6891658684709	0	1.5652179009304	19.035950037359	0.29046042516989	5.3265600899767	1.5617570321004	1.6934062252285	0.8195419726228	1.245342849067	4.9831772076878	1.5171999937087	3.5450674249109
5.872	2.4762385073432	0	1.3466871962331	16.111135065426	0.24903237800847	4.6750791559516	1.5495614012817	1.4710190136443	0.71169834505026	1.0644227877159	4.3843627875774	1.3024782328226	3.5200328153786
6	2.4112371528932	0	1.2825223658612	14.943457936061	0.23684139608847	4.4814246302429	1.5455997133074	1.4053485028718	0.67986475238705	1.0113142085627	4.2083600241005	1.2389602129815	3.5069175863027
6.2	2.3155417044602	0	1.1889405697992	13.019406203095	0.21901583326891	4.2013181483732	1.5394298592278	1.3098365907157	0.63337083277978	0.93387092551171	3.9514826358265	1.1467401875572	3.4811309661229
6.48	2.1908860206628	0	1.0704799502766	10.425965838378	0.19658675250123	3.8474189959756	1.5308334518264	1.1900711402516	0.57486033605344	0.83586618654505	3.6259439035689	1.0305789948471	3.4347949682146
6.872	2.0309013875232	0	0.92643865286753	7.7335392188868	0.16931663151219	3.416231169543	1.5188791575479	1.0447641388131	0.50360276661368	0.716749482932	3.2294005607025	0.88936293707015	3.3491126008856
7	1.980673349036	0	0.88413563009236	7.0948797518472	0.16125431128533	3.2867316475513	1.5149958870938	1.0015738213879	0.48243909596645	0.68177923792838	3.1127656678551	0.84740864510617	3.3154078653584
7.2	1.9052848967552	0	0.8224280397171	6.3570929574698	0.14948181249554	3.1010877487006	1.5089481570797	0.93861382744342	0.45156182261634	0.63078112219336	2.94244946259	0.78668423596067	3.2568526425854
7.48	1.8039137987435	0	0.74429467149746	5.6795701728082	0.13463018756666	2.8663582310116	1.500521901281	0.85917255932877	0.41258719379387	0.5662342785249	2.7264353199445	0.71010409844923	3.1627724133727
