# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	0.0537107339086	116.29326904123	0.010422406575553	0	2.5557147945102	0.49909615757323	1.3687151022928	3.2033023752214	0.91800578203485	0.035190752654166	1.8574280366981	0.024695064980466	0.69952591442635	1.1326567447246	1.9565521151561	0.0031169110675316	0.057686462362415	7.011277578329	0.065781686330542	4.6503584662485e-07	0.75708609805881	1.0220859681376	1.389262365229	2.12581353658	2.0903489245397
0.48	0.04817906393699	116.29447000161	0.015826104401835	0	2.2757379105171	1.1944713218292	1.3695123497226	3.2306809454621	0.81671221421173	0.040202059373641	1.864424267137	0.04808629748358	0.58708207955621	1.1348451102443	1.9604524131104	0.0052397073513921	0.12337425954389	7.033625534156	0.073907544004775	5.1639700112536e-07	0.67340141670511	1.0293285967	1.4354265211678	1.7085445954742	1.7068736093051
0.872	0.04020431680492	116.29777313232	0.015239560318884	0	1.939646760015	2.1614129339554	1.3712759878731	3.2696933307257	0.69413443767499	0.034604310087523	1.8743003893968	0.059940629268805	0.45684475130718	1.1387997694827	1.9666417348077	0.0052092679936323	0.19968414308061	7.0606466229054	0.078224206662837	4.8049051647692e-07	0.57193506440336	1.0390565902939	1.4981273473272	1.3023019609875	1.3022807457876
1	0.037912740516181	116.29916179562	0.014554171920229	0	1.8419863115121	2.4755691826019	1.3719752496331	3.2819107072905	0.65826942966751	0.032456368418466	1.8775421969839	0.060786584067272	0.42259590927709	1.1401421221172	1.9685433159223	0.0049936818136749	0.22128573243571	7.0685223309771	0.078788009588675	4.6134055533152e-07	0.54219784798556	1.041944979209	1.5130268679045	1.1934934786392	1.1934927786806
1.2	0.034655704289202	116.30143419207	0.013026289157864	0	1.6999762596553	2.4656869135609	1.3731672158548	3.300250838378	0.60602430862685	0.029288577080256	1.8826198320761	0.05874113189131	0.40806333592446	1.1422319630704	1.9712924721187	0.004570771280353	0.25114905907347	7.0799394038277	0.080206208202951	4.232012801831e-07	0.49886074261272	1.0461418383337	1.5122154997705	1.0422730138371	1.0422729992013
1.48	0.030690170543653	116.30458461326	0.011374319039583	0	1.5202723923862	2.4519181176986	1.3750244598854	3.3242866085298	0.53992217086011	0.025513922393094	1.8897479151151	0.053419965419928	0.35709167796624	1.1450569798241	1.9747085736372	0.0040441284364521	0.28871294268031	7.0942918954992	0.079754523000373	3.7444981274227e-07	0.44403136443297	1.0514265474173	1.5014843000632	0.86290849446069	0.86290848448766
1.872	0.025958278703642	116.30894060741	0.0094943548786806	0	1.301875063469	2.4327713247567	1.377958250388	3.3546786797852	0.45960699594562	0.021125765944601	1.8997537865508	0.043699043996451	0.31154576197868	1.1486713589693	1.9787702082395	0.0034034064377034	0.33132477505304	7.1115442662924	0.078593278721071	3.1350555337768e-07	0.37741671833238	1.0577989646905	1.4605175342698	0.66309605665072	0.66309605094757
2	0.024567351364261	116.31038578834	0.0089562026506001	0	1.2377552092062	2.4265516387937	1.378989840777	3.3638347224995	0.43603199249985	0.019856560777971	1.9030254790571	0.040411450419802	0.30127756800584	1.1497531512843	1.9799433662172	0.0032180126001558	0.34309424332198	7.1165656193895	0.078189213270939	2.9445886670309e-07	0.35786422409609	1.0596599679067	1.4413001999614	0.60805009469606	0.60805008979718
2.2	0.022576512068855	116.31263158001	0.0081732781282767	0	1.1442517712452	2.4168652655615	1.3806719041323	3.3773535554784	0.40165859357189	0.018051781665148	1.9081379303517	0.03545819349793	0.30963961656579	1.1513264983113	1.9816305970309	0.0029432780898132	0.35878785247159	7.1238334461309	0.07829582400434	2.6807425299589e-07	0.329356829145	1.0623580557189	1.4032049173746	0.53111045548089	0.53111045154424
2.48	0.020126708891177	116.31575337085	0.0072329528060927	0	1.0259152855061	2.4033694245167	1.3831602693329	3.3947512232599	0.35816637711346	0.015883668104324	1.9152907257694	0.029458712654757	0.29337680276327	1.1532876625953	1.9837229618828	0.0026098233073363	0.37799882286292	7.1329344561203	0.07696440670286	2.3619023538046e-07	0.29328881326679	1.0657487848124	1.3423902989823	0.43957344203765	0.43957343905786
2.872	0.017182473103652	116.32008256507	0.0061178231990872	0	0.88207189872059	2.3846021611826	1.3868755532621	3.4164013263695	0.30531912452781	0.013326609460931	1.9252781598963	0.022896742811966	0.27861507587102	1.1555907838329	1.9861905043231	0.0022101857284372	0.3983412158939	7.1438101069793	0.075191953097077	1.9969835755275e-07	0.24946654527266	1.0698296903432	1.2391356606404	0.33748687003658	0.33748686794455
3	0.016317423094496	116.32150169291	0.0057945359270693	0	0.83983573027961	2.378505645806	1.3881374161176	3.422891364249	0.28980663417307	0.012582664898189	1.9285298421229	0.021110378095269	0.2754728193665	1.1562498225362	1.986897064139	0.0020941793203541	0.40357439695734	7.1469581786499	0.074667918666498	1.8926363380944e-07	0.23660415731723	1.0710189063653	1.201606873367	0.30935317317568	0.30935317130175
3.2	0.015072667652297	116.32370947768	0.0053239556432417	0	0.77823756702359	2.3690110935522	1.3901539352225	3.4324781008382	0.26718785845597	0.011516148020097	1.9335945415377	0.018689835162072	0.2914969241974	1.1571884336871	1.9879074232202	0.0019235987656894	0.41000733049194	7.1514987231725	0.074587474168805	1.7479829503777e-07	0.21785048514187	1.0727417819105	1.1383688844784	0.27002292838486	0.27002292679943
3.48	0.013525138321713	116.32678201263	0.0047473175914892	0	0.70026636204515	2.3557824935052	1.3930583098243	3.4448769007044	0.23856691948692	0.010208919631804	1.9406418574065	0.015971634324729	0.28439448409202	1.1583382213344	1.9891475692788	0.0017132405120679	0.41718636352613	7.1571491337567	0.073153674354974	1.5764968300568e-07	0.19412228182768	1.0749024398026	1.0453371711054	0.22321523287878	0.22321523161414
3.872	0.011660950327942	116.33104881698	0.0040576688070819	0	0.60546313025147	2.3373867839824	1.3972572689871	3.460496285067	0.2037865329347	0.0086513530494609	1.9503869865029	0.013062309089475	0.27658318318135	1.1596774930665	1.9905832749809	0.001460035367705	0.42302488747608	7.1638321891833	0.071245302931031	1.3810653108473e-07	0.16529136905485	1.0774925152525	0.90607008036867	0.17098406106595	0.17098406013346
4	0.011113535411299	116.33244027355	0.003856904931844	0	0.57762085693533	2.3314109667181	1.3986553338102	3.4652264549112	0.19357679617452	0.0081968039331627	1.9535338707216	0.012260348014603	0.27472488316651	1.1600592913989	1.9909872825556	0.0013862672388637	0.42402635524209	7.1657486918093	0.070661895362419	1.3247598750231e-07	0.15682903142242	1.0782443786299	0.85888349463041	0.15658384292565	0.15658384208037
4.2	0.010323250641109	116.33460612798	0.0035643559468648	0	0.53700853358504	2.3221043757729	1.4008629483129	3.4722687147718	0.17868916700214	0.0075414603636008	1.9584003872258	0.011142208782699	0.29147189953858	1.1606034918859	1.9915576322888	0.0012780862805512	0.42443239278559	7.1684946259874	0.070450078468369	1.2455796367464e-07	0.14449039052642	1.0793310231512	0.78341420253437	0.13644799663789	0.13644799591162
4.48	0.0093375158424705	116.33762191551	0.0032030958896281	0	0.48558825065374	2.309137631544	1.4039933410821	3.4814770696836	0.15984934237238	0.0067311691139938	1.9650845050665	0.0098249815432575	0.28429272079712	1.1612696925515	1.9922423912797	0.0011439063685264	0.42390720534224	7.1718737854893	0.068688755934323	1.1493500954377e-07	0.12887816985514	1.0806879268391	0.67720108125578	0.11247847259681	0.1124784720079
4.872	0.0081501275061081	116.34181241264	0.0027694766777097	0	0.4230427915056	2.2911059863116	1.4084336657012	3.4932423600167	0.13695204178459	0.0057607962973566	1.974092136787	0.008326274314256	0.27395832141357	1.1620404694476	1.9930044350389	0.00098215284202618	0.42052853553589	7.1757958778801	0.065942368340437	1.0364628405849e-07	0.10990729791401	1.0823026671191	0.52956556375837	0.085733633675525	0.085733633234648
5	0.0078018964013234	116.34317581661	0.0026430801062624	0	0.40466833062216	2.2852484657707	1.4098940301801	3.4968401905157	0.13022995375514	0.0054773391930134	1.9769348009974	0.0078997220928658	0.27078268906076	1.1622578552625	1.9932107637648	0.00093496941065283	0.41886030470884	7.1769012614527	0.065007478338646	1.0035194351887e-07	0.10433883290169	1.0827682962757	0.48215588800211	0.078362453459033	0.07836245305803
5.2	0.0073013052670549	116.34529841458	0.0024602362838571	0	0.37785996930687	2.2761260932657	1.4121820755264	3.5022308762349	0.1204271794534	0.0050696370349313	1.9812323543663	0.0072957347107277	0.28296937949918	1.1625652568632	1.9934934040084	0.00086640191793898	0.41574315491826	7.1784648719477	0.064079837263067	9.5686500493445e-08	0.096219325473051	1.0834382501136	0.41013118849364	0.068062361141527	0.068062360795591
