# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	-1.3088195395052	0.062767642088587	0.012097748675919	0.041041724049441	0.028663613526722	0.0036056453074693	0.066252242349226	1.6197083543623
0.48	-1.286730294471	0.056564154450985	0.01846842169513	0.047073564495108	0.055915645859923	0.0061102897055597	0.14268180574785	1.6628889539695
0.872	-1.2626417102734	0.04727357477471	0.017822893224051	0.040600301050476	0.069623699566351	0.0060895711009713	0.23064581970265	1.7215583772745
1	-1.2540173980273	0.044600347537792	0.0170315060024	0.03810319705936	0.070578237025587	0.0058410110415554	0.25535417786582	1.7342808537943
1.2	-0.71133726175618	0.040820179141342	0.015295120528408	0.034467091458129	0.068412140453498	0.0053649400700106	0.29047488935335	1.7310175537093
1.48	-1.2693629805827	0.036115475971376	0.013324103489262	0.029973505227115	0.062017826292014	0.004735102367523	0.33176732743299	1.7041403113593
1.872	-1.1968044831738	0.030578632910221	0.011120700379061	0.024835063653084	0.050619488253166	0.0039836214303339	0.3776812843638	1.6374638269759
2	-1.1702946801416	0.028951416415097	0.010494218969022	0.023353264152775	0.046812163082414	0.003767816958602	0.39008522693144	1.6093036677214
2.2	-0.80761984187826	0.026611354360625	0.0095994147824786	0.021255013021927	0.041224567245388	0.0034548942612953	0.4078343810353	1.5627759219294
2.48	-1.0623947577555	0.023763463062616	0.0084959969569283	0.018720759662687	0.034308480617576	0.0030631332576016	0.42707192500117	1.4812292838499
2.872	-0.96144188841309	0.020334948478199	0.0072009160757733	0.01574392466804	0.026769007303459	0.0025989893522627	0.44634214141016	1.3482391784444
3	-0.92680632710937	0.019327756844919	0.0068264627979081	0.014878530701856	0.02472136269622	0.0024646778497283	0.45098671521012	1.3010517549828
3.2	-0.68426039334961	0.017878415810477	0.0062891893932637	0.013644107867816	0.021983955242509	0.0022703694287891	0.45751946745941	1.2266960312822
3.48	-0.79342139210938	0.016086649203813	0.0056174286568778	0.012122918190388	0.018846319249974	0.0020251663993815	0.46272347807407	1.1136033489841
3.872	-0.67961635729655	0.013935662992739	0.0048224294294305	0.010321746219916	0.015495588055391	0.0017331443688465	0.46526682603028	0.94810295359732
4	-0.64220792606283	0.013304454434001	0.0045917642523313	0.0097967720190351	0.014574201998304	0.0016483670950503	0.46509150259652	0.89299540597311
4.2	-0.44224845392904	0.01239668671446	0.0042604333014586	0.0090448632923786	0.013308490243377	0.0015259393161499	0.46466567836048	0.80833462306217
4.48	-0.50474698893717	0.011272438118233	0.0038450253490811	0.0081125074152611	0.011791780062215	0.001371380826864	0.46133891594757	0.68827665726048
4.872	-0.39714333256836	0.0099316355927514	0.0033535830834795	0.0070071842120105	0.010083201947657	0.0011875311038288	0.45394845878322	0.52625693813903
