# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.4274967478525	1.5377304599493	1.8418325242726
0.48	1.5045786304046	1.8416782616588	2.0939614644963
0.872	1.5785168049086	2.1215845222239	1.4151409590859
1	1.5933613057057	2.1902800047435	1.3443446004769
1.2	1.5885536921001	2.2669062709746	1.2416180760716
1.48	1.5703227129592	2.3446496056069	1.1876609425258
1.872	1.5171143395827	2.4048613892887	1.115513129416
2	1.493885865632	2.4147214374531	1.09757844171
2.2	1.4497796670906	2.420738612425	1.0736868362669
2.48	1.3816917877505	2.4129338650053	1.0468748260273
2.872	1.2703604123799	2.3757680558788	1.018804134003
3	1.2306059667097	2.3580955148698	1.0113769709859
3.2	1.1643062740494	2.3262045026309	1.0012022661215
3.48	1.0677693635337	2.2696761944552	0.98939598010635
3.872	0.92465009363294	2.1750704124286	0.97659015953183
4	0.87638701481572	2.1410022592318	0.97312508765883
4.2	0.79939885354449	2.0864554661902	0.96832579926085
4.48	0.69137306505719	2.0014803927869	0.96268121969876
4.872	0.54164346759237	1.8756076793444	0.95646874390328
5	0.49363365961189	1.8334784469102	0.95477209470222
5.2	0.42075356140616	1.7699122473178	0.95241236404087
5.48	0.32525874876273	1.6753147490501	0.94962485582079
5.872	0.21169863728942	1.5471433568154	0.94654996442615
6	0.18003544120709	1.5073522555394	0.94571017880892
6.2	0.13844656741252	1.4503958732657	0.9445452612469
6.48	0.096785113476677	1.3733312991623	0.94317610719775
6.872	0.065064249729484	1.2833476587277	0.94167426023528
7	0.058812221651097	1.2581473417949	0.94126452085727
7.2	0.052193570540554	1.2248910773364	0.94069534523303
7.48	0.046839789048487	1.1808256240311	0.94002327431218
7.872	0.043048734498752	1.1280964927606	0.93928129787927
8	0.042251841683984	1.1124090757636	0.93907842338887
8.2	0.041318171768245	1.0908657109427	0.93879693483515
8.48	0.040485237254241	1.0599410144157	0.93846653557431
8.872	0.039995824984733	1.0203584237702	0.93810788653388
9	0.039948755494445	1.0082815939163	0.93801143516578
9.2	0.040014667691371	0.99157167271777	0.93787983488404
9.48	0.040399651831052	0.96787696956047	0.93772993947403
