# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.7723952757147	4.5012412859945	0.00012433835044653
0.48	3.9449270079083	2.3329793595646	0.00011317433920713
0.872	2.7111746763948	1.4475214928707	7.8957127666004e-05
1	2.1405683122994	1.2231487136917	6.5774710594684e-05
1.2	3.9562697407134	2.6839196834359	9.5015578738149e-05
1.48	1.7448639386919	1.2889798690701	5.1000200555808e-05
1.872	1.3026242664179	1.1233086779947	3.7319637189395e-05
2	1.2366014373351	1.1148880922831	3.4549867710024e-05
2.2	2.578898488116	2.3791538791459	5.311183688812e-05
2.48	1.2906490810967	1.2347222371867	2.9461377846833e-05
2.872	1.0850388463062	1.0933009190417	2.2526330794536e-05
3	1.05958593301	1.0828245843876	2.1142102390298e-05
3.2	2.3148970430704	2.2782907724388	3.3520716461547e-05
3.48	1.1935795576	1.180044051436	1.8914495998068e-05
3.872	1.0349821555693	1.0390343467093	1.4964633027661e-05
4	1.0167807342667	1.0265298397483	1.419935632163e-05
4.2	2.2807482913271	2.2209046294661	2.3536600961016e-05
4.48	1.1539012961503	1.1141765986546	1.3220007431432e-05
4.872	0.97727968222505	0.95520936768089	1.0511575798e-05
5	0.950697181244	0.93577728603605	9.9890031768014e-06
5.2	2.1453384821811	2.1029985326127	1.7426733840245e-05
5.48	1.018966379173	0.9874009766639	9.3515360677379e-06
5.872	0.77204196057635	0.77220615015136	6.9855040842828e-06
6	0.71883165166328	0.73152501145473	6.4801758355494e-06
6.2	1.5877791045801	1.7479150547061	1.2166407250608e-05
6.48	0.62422868260208	0.68883352815658	5.5384162444766e-06
6.872	0.36174277472099	0.43682455366193	3.4135221401593e-06
7	0.31230093510085	0.39238912357464	3.0119936132719e-06
7.2	0.76687922232071	1.1649500666151	7.2441118907342e-06
7.48	0.24629793599629	0.38493665410921	2.6611374803014e-06
7.872	0.13769134822973	0.24250593694657	1.6187768924689e-06
8	0.12269886619841	0.2258049420094	1.4821054164893e-06
8.2	0.36793870000891	0.81241401335914	4.5597744060333e-06
8.48	0.11624854387016	0.26493449190498	1.6035895888167e-06
8.872	0.071185837498279	0.17879585725205	1.0609546564566e-06
9	0.065387197120128	0.16982260661538	9.9869171398752e-07
9.2	0.21020207457209	0.62514447100232	3.2973635217151e-06
9.48	0.066621212379567	0.20198009517906	1.1426747698319e-06
9.872	0.041720973329524	0.134769933087	7.6692964795557e-07
10	0.038538892618461	0.12718205464613	7.2383606978155e-07
10.2	0.13862341535764	0.50494944222894	2.6637921928774e-06
10.48	0.041481279223834	0.15146485727235	8.5945106014671e-07
10.872	0.025722872749754	0.097122690736789	5.6211243227984e-07
11	0.023988296482962	0.091640648759708	5.320922291164e-07
11.2	0.10467804362123	0.4308217642671	2.3420637621418e-06
11.48	0.02921676618119	0.11887473923324	6.8851678639835e-07
11.872	0.018579029668749	0.076518197776112	4.4686400716619e-07
12	0.017740553857989	0.073442973555169	4.2856602337797e-07
12.2	0.090210412868755	0.39571942710481	2.156132009302e-06
12.48	0.024457370542651	0.10511344112882	6.0197783972035e-07
12.872	0.016038578007652	0.068867436337559	3.9277674507553e-07
13	0.015542456196336	0.066825254358207	3.7962491120383e-07
13.2	0.084603282309109	0.38173982905017	2.0201110865149e-06
13.48	0.022658759836061	0.099699928054132	5.5111136289051e-07
13.872	0.014970454446378	0.065393718044599	3.5836042773808e-07
14	0.014566976943763	0.063603526519641	3.4682562479189e-07
14.2	0.082235805492585	0.37533000591367	1.9056089947349e-06
14.48	0.021727106650326	0.096508054724454	5.1092247526752e-07
14.872	0.014273598791811	0.062789214319457	3.2922579066427e-07
15	0.013896685188554	0.061065967896255	3.1855045431792e-07
15.2	0.080910562057642	0.37125803444231	1.8060099253389e-06
15.48	0.021056066209903	0.093955829107376	4.7619966553903e-07
15.872	0.013703535314532	0.060510023969921	3.0364362887665e-07
16	0.013339139597353	0.058826709775926	2.9366849262169e-07
16.2	0.079902374667086	0.36795520221353	1.7105108286654e-06
16.48	0.020484280342526	0.091706144433937	4.4421596081442e-07
16.872	0.013201986555383	0.058471803631425	2.8040086398718e-07
17	0.01284745332535	0.056825631573345	2.7107946742024e-07
17.2	0.079023082148794	0.36505074259068	1.6217205529018e-06
17.48	0.01998385181302	0.089727780428868	4.1516024942367e-07
17.872	0.012760006334845	0.056667364757366	2.5941807114616e-07
18	0.012413049583926	0.055049091198914	2.5063762248271e-07
18.2	0.078246083814209	0.36246700784472	1.536475119183e-06
18.48	0.019537660905271	0.087948132160159	3.8800109298313e-07
18.872	0.012361122876403	0.055020896296253	2.3992611322333e-07
19	0.012019471645961	0.053420154878644	2.3159907936169e-07
19.2	0.07757373096655	0.36016581338567	1.4530702186167e-06
19.48	0.01913220254725	0.086294262526276	3.6198137624465e-07
19.872	0.011989623722635	0.0534554014765	2.2132797256348e-07
20	0.011650967344624	0.051862091911573	2.1339075647353e-07
20.2	0.077013633657957	0.35812876592552	1.3722303806219e-06
20.48	0.0187589609464	0.084716501399625	3.3697714935546e-07
20.872	0.011634081560475	0.051914889851679	2.0344113351416e-07
21	0.011295854831252	0.050318469638409	1.9583631461165e-07
21.2	0.076551269125989	0.35627356195895	1.2880918091752e-06
21.48	0.018394330038774	0.083109109223056	3.115851212505e-07
21.872	0.011273014029967	0.050306718084749	1.8544894384054e-07
22	0.010933662571634	0.048701617409334	1.7818532084786e-07
22.2	0.076180375239067	0.35456595146755	1.2038018722105e-06
22.48	0.018034820286573	0.081455854411314	2.8631238339564e-07
22.872	0.010901113009217	0.048608119085835	1.6759279822966e-07
23	0.010558498226687	0.046986409756522	1.6065949161904e-07
23.2	0.075893804104543	0.35296845611262	1.1184186232548e-06
23.48	0.017668884120981	0.079707540363468	2.6100562112962e-07
23.872	0.010506948624213	0.046772650692853	1.4983512603046e-07
24	0.0096660866713272	0.043082026669128	1.3759954346235e-07
24.2	0.07915754778673	0.3623908891845	1.1783700147948e-06
24.48	0.024754626327349	0.10637397431716	3.8992159135242e-07
24.872	0.024752232458499	0.097751067182081	3.8926968675643e-07
25	0.026601915315825	0.10226411359775	4.1798828517866e-07
25.2	0.12591954140675	0.47571034192921	1.7434258510464e-06
