# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
0.2	5.8198091045171e-08	1.8191509620349e-07	8.5546674441317e-07	0.015450077970961	0.02207379024533	2.0476152577793e-06	0.71367935688996	0.57375629858573	0.036020503841251	2.3340343010656e-07	0.020968176189316	2.7426147317292e-06	0.078992121697863	0.060684615800246	0.93845016604768	0.01150052198164	0.012779451473282	9.1518613877662e-09	1.4215960578266e-06	0.0014129315146774	0.90939613913033
0.48	-1.163616149988e-09	1.6494232957726e-08	1.2804551054435e-07	0.015446844789515	0.022068812920231	5.6603247310714e-07	0.63531982384639	1.0164355606648	0.036015392549975	3.6287978035889e-08	0.021044834939429	2.3374736247158e-06	0.078970273685989	0.061487076260915	0.58126880637259	0.011497473917626	0.012777016435067	2.7686496762306e-09	3.5519840536471e-07	0.0012121113368405	0.90939253941186
0.872	3.8456463838385e-11	4.9627164631989e-10	8.6592438743878e-09	0.015442227539764	0.022060655868732	8.7501406208609e-08	0.54290195315422	1.1019501154845	0.036003899570089	2.4431303575317e-09	0.021150064477813	1.8686960402896e-06	0.078940423328199	0.060110474075991	0.44836427332478	0.011493141380461	0.012772526224127	9.4402084689144e-10	7.8037636778345e-08	0.00093571354794599	0.90938831094731
1	3.310115333515e-12	1.5749566564624e-10	3.3685648802497e-09	0.015440685426794	0.022057966534129	4.4426114776648e-08	0.51473453866694	1.0295802931884	0.035999883074375	9.3245025790799e-10	0.021183768392095	1.7359369932149e-06	0.07893077104931	0.059465968364188	0.418436595722	0.011491736362891	0.012770994286124	7.6358712813934e-10	5.4427690068151e-08	0.00084704848654447	0.90938702428523
1.2	3.8188295533536e-14	2.7723787537596e-11	4.8151901915592e-08	0.015438235669524	0.022053851326962	2.8829022107445e-07	0.51320489337427	1.2188522692209	0.035993906373202	1.6629807975106e-08	0.021235399823686	1.5362027128569e-06	0.07891574260795	0.059618555842986	0.61711177405338	0.011489548441394	0.012768707118958	1.4706811518106e-09	7.1933764028446e-07	0.00071933046749655	0.90938506556345
1.48	-7.3959369509681e-16	2.525064356931e-12	6.7986433689361e-09	0.015434770094773	0.022048116225794	7.5142103889889e-08	0.45939578757514	0.91362672483021	0.035985410988694	2.1610782501937e-09	0.021304680273549	1.3067999060707e-06	0.078894985273284	0.057258817415035	0.44293922736901	0.011486526346651	0.012765499009604	7.0089554903833e-10	1.8295383328942e-07	0.00053604351357244	0.90938260554512
1.872	2.4472994496155e-17	7.6636141311095e-14	4.3792101461947e-10	0.015429949969872	0.022040259873377	1.1106490999117e-08	0.40222671283117	0.81782903091925	0.035973292492703	1.2232809909864e-10	0.02139147865066	1.0433412786569e-06	0.078866837544948	0.052231814364224	0.4239549716884	0.011482428245494	0.012760988756329	4.1146227544847e-10	4.0143377171762e-08	0.00030665454633614	0.90938008014534
2	2.1176958468555e-18	2.4388273832319e-14	1.6913340001807e-10	0.015428397770268	0.022037766131606	5.589238867745e-09	0.38602541402185	0.79360326663001	0.035969399638331	4.5506632299315e-11	0.021416639491842	9.6895000415253e-07	0.078857912746674	0.050159550503409	0.42393504886621	0.011481128860287	0.012759548440724	3.6884713361146e-10	2.7823726034453e-08	0.00023989244098926	0.90937952416388
2.2	2.53620465957e-20	4.3156700357742e-15	2.2478404047925e-08	0.015426030337978	0.02203403097392	1.1225818395166e-07	0.38085558786006	0.91499683312103	0.035963654645958	7.8957211379694e-09	0.021450302995835	8.5810948577276e-07	0.078844408967373	0.04673937492927	0.60325296238534	0.011479162809075	0.01275741819958	6.8768728183365e-10	3.1293199548658e-07	0.00015751513968424	0.9093791022755
2.48	-4.8294314306803e-22	3.9645159209662e-16	3.1721719925547e-09	0.015422907594453	0.022029125584488	2.8991367741757e-08	0.33033755744661	0.7164571094265	0.03595607011294	1.0276808464212e-09	0.021482254106648	7.2980849946372e-07	0.07882674565107	0.037262796640277	0.44520542018737	0.01147659116007	0.012754619488875	3.5634947699793e-10	7.9320470809126e-08	7.0306288182208e-05	0.90937977158223
2.872	1.6034839969378e-23	1.2205965527831e-17	2.0525858101352e-10	0.015418897427774	0.022022854436799	4.2913665596092e-09	0.26407603417462	0.62625162420637	0.035946208041516	5.8481436000585e-11	0.021499308477685	5.8262774383828e-07	0.078804289116314	0.022942644754917	0.40811056744309	0.011473321654231	0.012751002986699	2.2520585062993e-10	1.8574277693976e-08	1.916346801077e-05	0.9093830147017
3	1.3985169251324e-24	3.9022162574438e-18	7.9447637429017e-11	0.015417629428918	0.022020888988375	2.1649024517892e-09	0.24611531384303	0.60014970615061	0.035943097247509	2.1803549237141e-11	0.021501226152719	5.4111635177569e-07	0.078797255491101	0.019305201209311	0.40373419865967	0.011472297610347	0.01274986635173	2.0384570382518e-10	1.3273399373768e-08	1.1777540778841e-05	0.90938437674299
3.2	1.7336984437479e-26	6.9645862640233e-19	8.275712612012e-09	0.015415662602626	0.022017875079761	3.5012476063388e-08	0.22340787014	0.57168678966014	0.035938345060333	2.9044986889255e-09	0.021502264390982	4.8004753425682e-07	0.078786419988854	0.01577892189292	0.55666078194611	0.011470720041296	0.0127481305122	2.9732276258127e-10	1.0616685944574e-07	8.5733875017418e-06	0.90938666093396
3.48	-3.2614937322666e-28	6.4878133813812e-20	1.1714679161892e-09	0.015412914119353	0.022013695178694	9.0674730468369e-09	0.1896330698031	0.47380148171534	0.035931724063559	3.7979376776313e-10	0.021501692620472	4.084915744645e-07	0.078771422487231	0.011727892598461	0.44352255151988	0.011468536515928	0.012745722471286	1.7822414155581e-10	2.8551895609466e-08	4.5855129444919e-06	0.90939003149349
3.872	1.0910265168338e-29	2.0467036281033e-21	7.6457291961855e-11	0.01540905017946	0.02200787259749	1.3539864393374e-09	0.15960221861495	0.41920213852026	0.035922418142957	2.1821843256538e-11	0.021499195386762	3.264159508308e-07	0.078750581483902	0.0089691795231936	0.43389161503522	0.011465502219917	0.012742355630759	1.2335446787978e-10	8.0200940598856e-09	3.2829127426873e-06	0.90939490353781
4	9.643153715119e-31	6.5980919101611e-22	2.9703209647545e-11	0.0154077813923	0.02200597439252	6.8565163388039e-10	0.1521508193575	0.40338297053578	0.035919373087595	8.1670704144302e-12	0.021498257895868	3.0328210005922e-07	0.078743788900814	0.0085005171542061	0.43681139111128	0.011464513270036	0.012741257003974	1.1290254820409e-10	6.1383661985905e-09	3.1625137734016e-06	0.90939650600539
4.2	1.2558143272708e-32	1.1953018652034e-22	2.1400143251981e-09	0.015405789116113	0.022003010524176	8.378218229789e-09	0.13954351581311	0.36062423402649	0.035914617398243	7.4233222569387e-10	0.02149686667321	2.6972749541657e-07	0.078733170246304	0.0087245919704002	0.55326688040577	0.011462967272445	0.012739543049918	1.2839513650386e-10	2.8494371706582e-08	3.5299911946751e-06	0.90939900325575
4.48	-2.3378612982482e-34	1.14100896968e-23	3.0537394474069e-10	0.015402986069667	0.021998861828345	2.184941525337e-09	0.12348762922099	0.3164047441891	0.035907944972058	9.7947440855183e-11	0.021494851276453	2.2985112042376e-07	0.07871831455852	0.008318039016629	0.48067255131247	0.011460804394135	0.012737143773141	9.1143221914091e-11	9.0219170828814e-09	3.16649891827e-06	0.90940250744726
