# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	2.0515165281558e-05	0.15602110085543	0.22291001130609	0.3637495343045	0.21174507736105	0.79769421287633	0.11613689609823	0.12905204048852	2.1245928281369	4.1219222165923
0.48	1.860082055598e-06	0.15599545261663	0.22286975167708	0.36371424398238	0.21252875356129	0.79750937811307	0.11611132705153	0.12903324213821	1.7046573616443	3.7024213708665
0.872	5.5964306392067e-08	0.15595704583218	0.22279912084686	0.36361734863456	0.21360272820338	0.79724995438779	0.11607369276038	0.12899469685351	1.2959786822429	3.2942733257259
1	1.7760599896923e-08	0.15594397304919	0.22277553387971	0.36358261709231	0.21394655588127	0.79716525987499	0.1160613647263	0.12898129429258	1.1867042394959	3.1851608560529
1.2	3.1263508516956e-09	0.15592303924625	0.22273941140428	0.36353113290455	0.2144732596326	0.79703294237851	0.11604210137848	0.12896134421623	1.0350341278533	3.0337373621405
1.48	2.8474246649051e-10	0.15589281865243	0.22268831749707	0.36345647843132	0.21517959696213	0.7968477348351	0.11601513673679	0.12893289720653	0.85548557295258	2.8544985535587
1.872	8.6418550538035e-12	0.15584904130706	0.22261597569743	0.36334551952276	0.2160631024361	0.79658851669149	0.11597739650181	0.12889140089696	0.65604547601295	2.6553764290752
2	2.7501261934524e-12	0.15583444346371	0.22259233048884	0.36330871809729	0.21631874714853	0.79650389231637	0.11596507581584	0.12887774628889	0.60122586124943	2.6006268148716
2.2	4.8665106237947e-13	0.15581135056056	0.22255577380925	0.3632526013482	0.21665992006929	0.79637168460245	0.11594582734647	0.12885690744049	0.52474005162783	2.524194116805
2.48	4.4705193461823e-14	0.15577850910618	0.22250436975691	0.36317296312042	0.21698085134972	0.79618663025329	0.11591888479826	0.12882756391026	0.4340212065162	2.4333909788113
2.872	1.3763864406466e-15	0.15573170771789	0.22243203438919	0.36305867214346	0.21714434258882	0.79592762571049	0.11588117565047	0.12878582831355	0.33330867925241	2.3322700657663
3	4.4002776429246e-16	0.15571625657026	0.22240840641011	0.36302108839544	0.2171600261775	0.79584307097136	0.11586886510553	0.12877216150726	0.30563492747749	2.304424802615
3.2	7.8535332598963e-17	0.15569195785452	0.22237163329094	0.36296275513603	0.21716433096916	0.79571097215682	0.11584963249493	0.12875096303874	0.2670135770111	2.2655158219522
3.48	7.315932683348e-18	0.15565765764207	0.22232007477792	0.36288063557841	0.21714943356086	0.79552607057169	0.11582271219149	0.12872123322425	0.22115659465561	2.2192344122023
3.872	2.3079620906355e-19	0.15560918169362	0.22224776977833	0.36276461532559	0.21711102587597	0.7952672804348	0.11578503426124	0.12867941355231	0.17015177677976	2.1676160977016
4	7.4403413160505e-20	0.1555932597165	0.22222416015378	0.36272661666209	0.21709722098658	0.79518279575963	0.11577273391727	0.12866574800415	0.15612324772229	2.1533857829223
4.2	1.3478865004026e-20	0.15556829653239	0.22218731091954	0.36266729841224	0.21707641298569	0.795050806437	0.11575351724794	0.12864443383629	0.13653659410435	2.1334846704754
4.48	1.2866680935291e-21	0.15553319462475	0.22213571010543	0.3625840754735	0.21704657788716	0.79486605817876	0.11572661926772	0.12861458552013	0.11327284726633	2.1097796683238
4.872	4.2497488576143e-23	0.15548380321393	0.22206345229426	0.36246720423977	0.21700306332422	0.79460748272024	0.11568897259305	0.12857275936919	0.087391584627098	2.0832783223817
5	1.3925839253788e-23	0.15546762493239	0.2220398617217	0.36242899429721	0.21698873229963	0.79452306813386	0.11567668245349	0.12855910165148	0.080272603426652	2.0759566689164
5.2	2.5942840595762e-24	0.15544230067261	0.22200301328357	0.36236927931022	0.21696643158162	0.79439118829738	0.11565748172452	0.12853777071053	0.070333400999925	2.0657008665804
5.48	2.5936745837728e-25	0.15540676459628	0.22195143150422	0.36228560718426	0.2169351058982	0.79420659329983	0.11563060605791	0.1285079105309	0.058527995509388	2.053452014581
5.872	9.4164024955504e-27	0.15535688127393	0.22187923003765	0.36216834095433	0.21689100194043	0.79394823236385	0.11559299061614	0.1284661085037	0.045393545812976	2.039696331503
6	3.193594208175e-27	0.15534056621974	0.22185565888498	0.36213003034543	0.21687657853039	0.79386388781128	0.115580710673	0.12845246121013	0.041780670293149	2.0358805639681
6.2	6.3060198802243e-28	0.15531505008639	0.22181883479808	0.36207015708959	0.21685402554054	0.79373211738595	0.11556152587348	0.12843114091981	0.036736586361626	2.0305194380555
6.48	6.9509131762028e-29	0.15527928499322	0.22176729082216	0.36198630690749	0.21682241524814	0.79354767553524	0.11553467250392	0.12840129807234	0.030745359235329	2.0240843033178
6.872	3.1053176306628e-30	0.15522914596657	0.22169514848873	0.36186887474334	0.21677809478	0.79328952894789	0.11549708826975	0.12835952855381	0.024079498455623	2.0167969082057
7	1.1359353194311e-30	0.15521276076873	0.22167159685882	0.36183052306802	0.21676361393914	0.79320525437161	0.11548481851463	0.12834589239407	0.022245907804641	2.0147603677197
7.2	2.5440943468492e-31	0.15518714716723	0.22163480283471	0.36177059492202	0.21674096656163	0.79307359326937	0.11546564963175	0.12832458917804	0.019685949012786	2.0118832925775
7.48	3.4496815941188e-32	0.15515126767222	0.22158330123746	0.36168668788242	0.21670922326741	0.7928893044407	0.11543881854108	0.12829477049357	0.016645277407481	2.0083986509424
7.872	2.3225945099978e-33	0.1551010049244	0.22151121869829	0.36156920976532	0.21666471434814	0.79263137202483	0.1154012654887	0.12825303545638	0.013262174021584	2.0043939947276
8	9.7817562019802e-34	0.15508458681893	0.22148768660546	0.36153084967989	0.21665017329852	0.79254716736689	0.11538900591318	0.12823941059495	0.012331563825466	2.0032604441033
8.2	2.734403008198e-34	0.15505892860412	0.22145092309907	0.36147091428692	0.2166274267945	0.79241561549715	0.11536985293375	0.12821812503817	0.011032290853635	2.0016440771073
8.48	5.1511652803908e-35	0.15502299902719	0.22139946423552	0.36138700786781	0.21659553923239	0.79223147956368	0.1153430441035	0.12818833109513	0.0094890207207777	1.999656885846
8.872	5.8672162306261e-36	0.1549726866445	0.22132744150516	0.36126954831382	0.21655082441296	0.79197376114163	0.11530552220704	0.12814663069227	0.0077719127546403	1.997318327672
9	2.9112520563128e-36	0.15495625653387	0.22130392893626	0.36123119791257	0.21653621889835	0.79188962634409	0.11529327280268	0.12813301713635	0.0072995623289469	1.9966430808931
9.2	1.0337397108664e-36	0.15493058337758	0.2212671961217	0.36117128163421	0.21651337197277	0.79175818361642	0.11527413571354	0.12811174944273	0.006640079958018	1.995666581837
9.48	2.6745503761612e-37	0.15489463981191	0.22121578014271	0.36108740785299	0.2164813486968	0.79157420045149	0.11524734912526	0.1280819804843	0.0058567263626074	1.9944394329281
9.872	4.6690989115479e-38	0.15484431927209	0.22114381721174	0.36097000294959	0.21643646439533	0.79131669584596	0.11520985835891	0.12804031478382	0.0049850805464911	1.9929465533639
10	2.6394644248313e-38	0.15482788883219	0.22112032415323	0.3609316723372	0.21642181047847	0.79123263085096	0.11519761911729	0.12802671253477	0.0047452848056175	1.9925039431097
10.2	1.1269618523404e-38	0.15480221727	0.22108362227291	0.36087179043766	0.21639889899872	0.79110129717512	0.11517849790529	0.12800546298317	0.0044104687515874	1.9918522557944
10.48	3.6822337628509e-39	0.1547662797426	0.22103224942634	0.36078796786367	0.21636680714295	0.79091746665249	0.1151517335406	0.12797571938458	0.0040127268982311	1.9910109506514
