Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	8.0039773787241e-06	2.2989869434608e-05	0.012430060954323	1.8927228627428e-06	0.019364989517383	-0.12216994421505	2.9152437223692e-07	0.014393486417247
0.48	7.7322931305766e-07	4.3431176372829e-06	0.0051753967617364	1.9137368717913e-07	0.010430789464746	-0.099872072951491	2.7332023204639e-08	0.0082329477024602
0.872	2.4230751054796e-08	3.4553232043562e-07	0.000381059130657	5.9518655439012e-09	0.0035543416912438	-0.076096014144185	5.7236956546614e-10	0.039056230103184
1	7.1110250204198e-10	1.4203327267274e-08	7.6936458446905e-06	1.7796403832068e-10	0.00025155388350899	-0.069683092993357	1.1375140562374e-11	0.045375708484374
1.2	1.9590982201848e-10	1.3216377192943e-09	1.221396219883e-07	6.4057806328152e-11	4.026708194811e-06	-0.060777105926885	2.0365530186233e-13	0.058292695862359
1.48	2.5715480146171e-11	3.2051483689841e-10	9.1420010935e-08	7.7373114761648e-12	2.573984711174e-06	-0.050234031895982	1.7473464104143e-13	0.065344426474747
1.872	1.1162224778582e-12	3.2008050503474e-11	6.0566425789842e-08	2.9506121981655e-13	1.144443750577e-06	-0.038522928386223	1.3707619493925e-13	0.077054403416336
2	3.9567489503616e-13	1.4791389478942e-11	5.4679941812917e-08	1.0073848589301e-13	8.4727589279828e-07	-0.035303925803976	1.2995899486463e-13	0.080272823993275
2.2	4.7408693388131e-11	2.6885618483995e-10	5.0184947047019e-08	1.5752691528231e-11	5.2279873321342e-07	-0.030812686304348	1.2144014478021e-13	0.084763736401397
2.48	5.9510900771462e-12	6.1791651798175e-11	3.9871179322907e-08	1.8236239100705e-12	2.1668110344134e-07	-0.025485684297638	1.1297166078824e-13	0.090090421658908
2.872	3.4339374584973e-13	8.1561181982414e-12	2.9331965865609e-08	9.2544965611383e-14	5.4637920502417e-08	-0.019571854209827	1.051262772051e-13	0.096004073159366
3	1.290778631782e-13	3.9957351088791e-12	2.6758269659961e-08	3.3507673474418e-14	3.2839995271944e-08	-0.017946854118121	1.0320046402898e-13	0.097629040367789
3.2	1.2935409154192e-11	6.2158502899009e-11	2.3595757548519e-08	4.2945080948581e-12	2.3560828410904e-08	-0.015679012063829	1.0065448379782e-13	0.099896869919023
3.48	1.7498387793033e-12	1.5385654992005e-11	1.9341951675723e-08	5.3662795012209e-13	1.2036677616594e-08	-0.012986294386645	9.7826114794305e-14	0.10258957185823
3.872	1.0887625656758e-13	2.1901974895727e-12	1.5697725931081e-08	2.939441434103e-14	8.2557229638509e-09	-0.0099912962919782	9.4901819837081e-14	0.10558456234132
4	4.1762011127374e-14	1.0950476295434e-12	1.4818873843417e-08	1.086185984562e-14	7.8761137487465e-09	-0.0091675423887145	9.4134904234992e-14	0.10640831484779
4.2	2.957449841526e-12	1.3151362268143e-11	1.340346980711e-08	9.7043378100323e-13	8.7239510659587e-09	-0.0080174159352667	9.3089378665903e-14	0.1075584407432
4.48	4.1343196207133e-13	3.3600596466402e-12	1.1671684926058e-08	1.2543808077938e-13	7.6886274105973e-09	-0.0066513709144432	9.1884183215984e-14	0.10892448299779
4.872	2.6798827907856e-14	4.9675441462559e-13	1.0105656471182e-08	7.1663429117071e-15	7.3240332640462e-09	-0.0051316256122858	9.0587751373469e-14	0.11044422635508
5	1.0415392031045e-14	2.5136563605627e-13	9.7035529804878e-09	2.6838058773222e-15	7.2785260903636e-09	-0.0047135997073037	9.0239011180572e-14	0.11086225179661
