# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
0.2	0.043551810172178	0.081286399372283	0.51996049986313	0.28301692760676	0.097214915160991	0.29610014766266	0.055020528045656	24.502627659054
0.48	-0.00087027561872008	0.012656630668004	0.14728179168871	0.086307080812678	0.083895694602639	0.044586250324435	0.0049891689290014	24.169899735319
0.872	2.8734852633242e-05	0.00085168749155558	0.022933436609511	0.029472998453051	0.067429852182313	0.0030158758243768	0.00014999204620236	23.461614851132
1	2.4725316528498e-06	0.00032496570119692	0.011648899904036	0.023837906927771	0.062696536392006	0.0011729290208764	4.758680637619e-05	23.138141325083
1.2	2.8523210717903e-08	0.0057941083928664	0.073699631620964	0.04572483879199	0.055471567611907	0.016732368755965	8.3726028791252e-06	22.538505565668
1.48	-5.5209371593417e-10	0.0007533583719169	0.019594166391521	0.021859736714534	0.047283235280402	0.0023673717399018	7.6196872591772e-07	21.269555549524
1.872	1.8247754414969e-11	4.2616826382518e-05	0.0029105402190727	0.012821704175093	0.037790332674414	0.0001524261524378	2.3096673300328e-08	18.205734825779
2	1.5783282696245e-12	1.5849369773969e-05	0.0014650113011488	0.011488454074465	0.035100298768384	5.8854490037229e-05	7.3466769038547e-09	16.6406075284
2.2	1.8894144990457e-14	0.0027473895729035	0.029093003783873	0.021396692296559	0.031069551443028	0.0078080277240768	1.2990287791403e-09	13.701159512262
2.48	-3.5950409195685e-16	0.00035751513545268	0.0075739882697569	0.011084636300912	0.026428455790308	0.0011024558008446	1.1917619644414e-10	8.4511881989093
2.872	1.1915915859095e-17	2.0323004825291e-05	0.0011225495921138	0.0069884113521693	0.021081307046635	7.1266617932847e-05	3.6612327149761e-12	3.0083153306012
3	1.0385721185418e-18	7.5738237192102e-06	0.00056617942530407	0.0063202089965476	0.019570440893982	2.7573125579506e-05	1.1695097272791e-12	1.9434292090932
3.2	1.2862445467457e-20	0.0010080307669502	0.0091190291809779	0.0092214533529335	0.01734326296495	0.0028687163492551	2.084387671972e-13	1.4066458151057
3.48	-2.4166227828692e-22	0.00013168475824105	0.0023654721564662	0.0055116544627642	0.014736513953442	0.00040580488526281	1.93707152756e-14	0.79270560483843
3.872	8.0608589609305e-24	7.552127807443e-06	0.0003528267491385	0.0037982769935139	0.011740714621268	2.6437105101914e-05	6.0858054137087e-16	0.57324295782599
4	7.1162094724225e-25	2.8244516426418e-06	0.0001785536152291	0.0034712892866291	0.010895479092557	1.0263349729834e-05	1.9587718638391e-16	0.55188413365525
4.2	9.2481318319532e-27	0.00025640521203479	0.002177439022586	0.0039466064650375	0.0096687134382234	0.00073845920965459	3.538753973748e-17	0.61239678565343
4.48	-1.7174116883386e-28	3.376649072229e-05	0.00056711138743064	0.0027870443680577	0.0082104730891062	0.00010518113100666	3.3623137671948e-18	0.54925780890434
4.872	5.8009599389652e-30	1.9660163364766e-06	8.5462809194393e-05	0.002074989379469	0.0065354022011046	6.948447156782e-06	1.1012539972704e-19	0.52842235149983
5	5.2429818679456e-31	7.3979610493366e-07	4.3453079718544e-05	0.0019120523620043	0.0060631727532164	2.7134352577107e-06	3.5966516408627e-20	0.52599949315618
5.2	7.4018872917741e-33	4.856859768112e-05	0.00040867476033903	0.0018587480932916	0.0053853663403679	0.00014293413626706	6.6616648234673e-21	0.53247344538374
5.48	-1.3498304810258e-34	6.4922729777817e-06	0.00010738634234893	0.0014714521003398	0.0045709288468317	2.0646199205799e-05	6.594830837201e-22	0.52411271569754
5.872	4.7010893499803e-36	3.8823328218417e-07	1.6450881704524e-05	0.0011431735169214	0.0036355769971486	1.3984041049136e-06	2.3499141518655e-23	0.52015570312762
6	6.1622049212635e-37	1.4768110156521e-07	8.4282715085775e-06	0.0010578375617169	0.0033720789218737	5.5181068256473e-07	7.9102317617091e-24	0.51918845356765
6.2	-1.5593708135732e-38	5.8693557055268e-06	5.1121175939778e-05	0.00095914408285542	0.0029965712807543	1.792389772204e-05	1.5415184909713e-24	0.51824854707876
6.48	3.7428029990191e-37	8.0576086704741e-07	1.3628274675784e-05	0.00080064498168726	0.0025425874336491	2.6557372121349e-06	1.6613210251167e-25	0.51658405763377
6.872	1.9122660846225e-37	5.0509111820766e-08	2.1456771194069e-06	0.00063319157267778	0.002021696946829	1.8800297192658e-07	7.1026876348603e-27	0.51456999276221
7	1.0919990784492e-37	1.9579422845488e-08	1.1135674879672e-06	0.00058697738160711	0.0018751483521119	7.5544887620643e-08	2.5537366917708e-27	0.51366036768094
