# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	5.2928919593074e-05	0.00016544488130289	0.00077801484237368	1.3686061478547	1.9553509763692	0.0018622296547184	0.71367935688996	3.1907853886359	0.00021227165735525	1.8574129593075	0.0024943042452768	6.9973176568099	0.060684615800246	1.018744702616	1.1320354428818	9.1518613877662e-09	1.285007761723	2.1245928281369	2.0805541499823
0.48	-1.0582488461957e-06	1.5000661738693e-05	0.00011645087139293	1.3683811633038	1.9549978217288	0.00051477781279066	0.63531982384639	3.1904758244069	3.3002068393935e-05	1.8642873119411	0.002125812928965	6.9956962992375	0.061487076260915	1.0185204127327	1.131870545072	2.7686496762306e-09	1.1023534096637	1.7046573616443	1.7008214023639
0.872	3.4973508447493e-08	4.5132505154892e-07	7.8749896676586e-06	1.3680442616858	1.9543782530426	7.9576548513811e-05	0.54290195315422	3.1896258652155	2.2218598314101e-06	1.8737081421349	0.0016994510482374	6.9934206525245	0.060110474075991	1.0181902873718	1.1315324285396	9.4402084689144e-10	0.85096739322437	1.2959786822429	1.2959151208755
1	3.0103041713696e-09	1.4323064433002e-07	3.0634605127627e-06	1.3679295881507	1.954171349822	4.040226711859e-05	0.51473453866694	3.1893212025641	8.4799450928553e-07	1.8767241743971	0.0015787061835248	6.9926777182017	0.059465968364188	1.0180821467219	1.1314148622157	7.6358712813934e-10	0.77032790204635	1.1867042394959	1.1867030736769
1.2	3.4729121999479e-11	2.5212506868513e-08	4.3790297783192e-05	1.3677459583005	1.9538544860024	0.00026217684310175	0.51320489337427	3.188869586882	1.5123478423634e-05	1.8813443827421	0.0013970501745988	6.9915170384079	0.059618555842986	1.0179131699867	1.1312398615459	1.4706811518106e-09	0.65417201795821	1.0350341278533	1.0350341139349
1.48	-6.7259136714351e-13	2.2963102136332e-09	6.1827359543658e-06	1.3674808653722	1.953406293834	6.8334778474705e-05	0.45939578757514	3.1882147230818	1.9653003459588e-06	1.8875403242292	0.0011884124763989	6.9898924108342	0.057258817415035	1.017676638042	1.1309903263731	7.0089554903833e-10	0.48748152598578	0.85548557295258	0.85548556318857
1.872	2.2255563120785e-14	6.9692379466157e-11	3.982420451212e-07	1.3670968535707	1.9527717166441	1.0100158823148e-05	0.40222671283117	3.1872413993224	1.1124424398935e-07	1.8952903722465	0.00094880732797789	6.9876185674692	0.052231814364224	1.0173455833492	1.1306263236576	4.1146227544847e-10	0.2788694956254	0.65604547601295	0.65604547041737
2	1.9258090269977e-15	2.2178437043971e-11	1.5380790862303e-07	1.3669688023133	1.9525643025336	5.0827877138679e-06	0.38602541402185	3.1869185798008	4.1383191729058e-08	1.8975328697239	0.0008811527670485	6.9868762483892	0.050159550503409	1.0172375071565	1.1305065463938	3.6884713361146e-10	0.21815558782217	0.60122586124943	0.6012258564417
2.2	2.3063846999033e-17	3.9246053417699e-12	2.0441509922394e-05	1.3667662329873	1.9522436299057	0.00010208584038506	0.38085558786006	3.1864263276158	7.1802456141014e-06	1.9005256146429	0.00078035179894552	6.9857165316004	0.04673937492927	1.017068660934	1.130323749478	6.8768728183365e-10	0.14324186039115	0.52474005162783	0.52474004776304
2.48	-4.3917885530771e-19	3.6052575372438e-13	2.8847042726028e-06	1.3664781500542	1.9517927171658	2.6364119189224e-05	0.33033755744661	3.1857277466703	9.3455063313184e-07	1.9033408013133	0.00066367425315186	6.9840932478358	0.037262796640277	1.0168323227918	1.13006635009	3.5634947699793e-10	0.063935184725432	0.4340212065162	0.43402120358877
