# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	0.34389787144531	8.2072708883675e-05	0.0002004013838931	0.00084000030272258	0.0018068800478907	0.00022469203231712	0.0029442900933496	1.4983131484604
0.48	-0.79709713980469	1.6841901585624e-06	1.8292333542359e-05	0.00012705536490232	0.00050046418761179	3.5843525620191e-05	0.0024917086731109	1.2744689891345
0.872	-0.61050113220052	5.6028502548924e-08	5.463977438997e-07	8.5879821022582e-06	7.7254711786302e-05	2.4482818461489e-06	0.0019713751836382	0.96884304161781
1	-0.5511392601888	4.8324336110206e-09	1.7336976206722e-07	3.3419614365247e-06	3.9240592779e-05	9.3624385790073e-07	0.001825150085406	0.87173044133006
1.2	0.65520772210937	3.0716417101482e-11	2.9873212533571e-08	7.8632171182716e-07	1.3764241579842e-05	2.1335768255419e-07	0.0016199915593261	0.72519252896049
1.48	-0.34097313409505	4.7755817719641e-13	2.7593551031794e-09	1.1158051647842e-07	3.3161130623761e-06	2.8737111851877e-08	0.0013694181686875	0.52929632834432
1.872	-0.19187216867188	1.5973617501552e-14	8.3910934952847e-11	7.2701636920345e-09	4.7065995719877e-07	1.6978155687114e-09	0.0010832162866265	0.28900354627671
2	-0.14923468796224	1.4008949774576e-15	2.6781457728899e-11	2.8213089506407e-09	2.3612577840077e-07	6.3790859093963e-10	0.0010030274305402	0.22087703557501
2.2	0.86136721466146	1.3752347724597e-17	4.6829716122832e-12	6.6573319900921e-10	8.2116857728705e-08	1.4311303143994e-10	0.00089161883266675	0.13314546171807
2.48	-0.040440187838542	1.9235026101806e-19	4.3968758632839e-13	9.4928719553632e-11	1.9708019649287e-08	1.9005288220804e-11	0.00075463886560603	0.054922381853189
2.872	-0.010650533108724	6.5202558281234e-21	1.3790087186895e-14	6.2680142921088e-12	2.8120396486537e-09	1.114492155093e-12	0.00059829889965671	0.01421286635619
3	-0.0071741547591146	5.8575202542477e-22	4.4470983101113e-15	2.4506982250786e-12	1.4177159836368e-09	4.2049198101542e-13	0.00055451195755647	0.0090411520963183
3.2	0.70314546814128	7.1614277459441e-24	7.9516644732228e-16	5.878220554397e-13	4.9837950310001e-10	9.5534970744762e-14	0.00049364723643811	0.0054012891062873
3.48	-0.0029562767366536	1.0027128979628e-25	7.6486258784339e-17	8.5574325037622e-14	1.2129789063536e-10	1.292134426532e-14	0.00041870694130804	0.0038206985717993
3.872	-0.0024991776416016	3.4841102097355e-27	2.5297077975426e-18	5.862017585867e-15	1.7742981891322e-11	7.8428801447258e-16	0.00033309759654903	0.0033717613840732
4	-0.0024617431575521	3.2599086114557e-28	8.307290337408e-19	2.3277823752855e-15	9.0462059410154e-12	3.0055026137974e-16	0.00030910926507408	0.0033357383920664
4.2	0.42948908900391	4.8467430843295e-30	1.5385218227912e-19	5.7740886950294e-16	3.2452701148623e-12	7.1013271281319e-17	0.00027566773084625	0.0033125546857595
4.48	-0.0024518284879557	7.3991234151195e-32	1.5465805769472e-20	9.0469564046299e-17	8.1189175119581e-13	1.0864277795064e-17	0.00023462959294749	0.0033218792269996
