# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	9.5518932839518	-9.902608795534	0.00048542571471795	-0.35023008586757
0.48	9.3352381810997	4.1396928353251	-9.5862443975478e-05	13.474835153981
0.872	6.0936129540238	4.7405429232632	-1.8254445322397e-05	10.834137622842
1	3.4817097313086	3.86306332718	-1.9065125872213e-06	7.344771151976
1.2	10.873546261446	17.584294785742	0.0002456960964097	28.458086743284
1.48	1.7932673670308	1.9344432858084	-5.7149968757621e-05	3.7276535028704
1.872	2.1098669242457	3.3782024705479	-1.1230045587815e-05	5.488058164748
2	1.9968100393919	3.413345444528	-1.9049860369117e-06	5.4101535789339
2.2	6.8135589180597	14.718478336985	9.7392032690559e-05	21.532134647077
2.48	0.7610563661841	0.70058442548537	-2.7096580538375e-05	1.4616136950889
2.872	0.39460505224518	0.97229864209925	-5.4156701772669e-06	1.3668982786743
3	0.20264170534316	0.87052749800781	-1.3149715478018e-06	1.0731678883794
3.2	1.9660308527553	9.6066262932683	2.6745740701171e-05	11.572683891764
3.48	-0.24645569815794	-1.003307257738	-1.0127999041484e-05	-1.249773083895
3.872	-0.25049143141921	-0.13483782382397	-2.0073560154812e-06	-0.3853312625992
4	-0.25499369769306	-0.0025108520546047	-5.7529241522369e-07	-0.25750512504008
4.2	0.4758196195237	6.3911141434527	5.7446002023679e-06	6.8669395075766
4.48	-0.20048369931908	-0.92893565379372	-2.6142765356694e-06	-1.1294219673893
4.872	-0.16944008348241	-0.17664438202216	-5.4754128513275e-07	-0.34608501304586
5	-0.16360907293592	-0.082225669614633	-1.8096716775711e-07	-0.24583492351772
5.2	0.19028680550242	4.5368598259767	1.0259995441072e-06	4.7271476574787
5.48	-0.11554839241615	-0.73929745684276	-5.3030894252e-07	-0.85484637956786
5.872	-0.096674224597699	-0.1599896781327	-1.3258945152022e-07	-0.25666403531985
6	-0.092985273615329	-0.09344643515491	-5.7818886801979e-08	-0.18643176658913
6.2	0.11767560202089	3.4685899350583	1.2393382502773e-07	3.586265661013
6.48	-0.066365333716175	-0.60950003256648	-8.5130153674657e-08	-0.6758654514128
6.872	-0.055119228209675	-0.14821812312007	-3.4036881235202e-08	-0.20333738536663
7	-0.053432089300823	-0.097290087501173	-2.2304743875997e-08	-0.15072219910674
7.2	0.097611750223825	2.8556757666048	5.7920814251389e-08	2.9532875747494
7.48	-0.039422293689619	-0.53139723576486	-4.1225153382356e-08	-0.57081957067963
7.872	-0.031918561064831	-0.141838627778	-1.8009746663389e-08	-0.17375720685258
8	-0.031538918403185	-0.099586491716625	-1.232105054554e-08	-0.13112542244086
8.2	0.092183861908826	2.5040559017695	5.8728012382493e-08	2.5962398224064
8.48	-0.024592962493473	-0.48606384043208	-3.5916527423239e-08	-0.51065683884208
8.872	-0.018928981552075	-0.13862142741017	-1.3086393982601e-08	-0.15755042204864
9	-0.019339476864235	-0.10123328033459	-7.8690650594992e-09	-0.12057276506789
9.2	0.09084264685927	2.3018392620519	9.413104245418e-08	2.3926820030422
9.48	-0.016343670375374	-0.46004367853781	-4.8671476878344e-08	-0.47638739758466
9.872	-0.011614528467366	-0.13704964366178	-1.431437852446e-08	-0.14866418644352
10	-0.012477701295185	-0.10239840044013	-6.7049896431923e-09	-0.1148761084403
10.2	0.09060350709694	2.1850977094	1.8400824106936e-07	2.2757014005051
10.48	-0.011676471726142	-0.4450117491152	-8.6489910252728e-08	-0.45668830733125
10.872	-0.0074227563611603	-0.13611850373876	-2.3657510626651e-08	-0.14354128375743
11	-0.0085361223320228	-0.10300810426045	-9.2049399352387e-09	-0.11154423579741
11.2	0.09072896160693	2.117859738726	2.5641003520175e-07	2.208588956743
11.48	-0.0089628999361681	-0.43609957868126	-1.1593178412016e-07	-0.44506259454922
11.872	-0.0049491740912767	-0.13529348846688	-3.2950527818705e-08	-0.14024269550869
12	-0.0062061975983351	-0.10305921657252	-1.2607045672855e-08	-0.10926542677791
12.2	0.091034480230494	2.0798163833483	3.0508229856466e-07	2.170851168661
