# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.2878602778775	1.1158861242001	1.8418339976979
0.48	1.1030176404163	0.99176659008786	2.0844446433162
0.872	0.85105706662238	0.8156581735199	1.4083096792356
1	0.77037221576849	0.75863034166878	1.3431765809431
1.2	0.65449310857752	0.68132740578985	1.2343858593988
1.48	0.48755800880056	0.55921274442694	1.1847914494681
1.872	0.27888010527051	0.39853756714634	1.1132025376753
2	0.21816086580098	0.34936583122276	1.0954314582999
2.2	0.14337156798707	0.28539857277126	1.0717899077571
2.48	0.063965368099527	0.19385938497764	1.0453213804062
2.872	0.017431033950654	0.10498944984726	1.0177103407822
3	0.010712342719686	0.085826878141104	1.0104209795103
3.2	0.0078384973782745	0.069672491334891	1.0004481193635
3.48	0.0041796616384002	0.050797854708557	0.98889678264134
3.872	0.0029867781698461	0.038739839267299	0.97639957593185
4	0.0028766311207374	0.036729806619817	0.97302443452759
4.2	0.00322040095492	0.037776939934246	0.96835550229787
4.48	0.002881969592064	0.035811364630221	0.96287449273477
4.872	0.0027877793278207	0.034487827186721	0.95685698262341
5	0.0027817973846736	0.034323920499062	0.95521630441116
5.2	0.0028300954220986	0.036125107589999	0.95293598136415
5.48	0.0028036549087094	0.035732670916922	0.95024296658885
5.872	0.0028152931627237	0.035356748411979	0.94726626808938
6	0.0028226468646909	0.035328949337637	0.94645103682862
6.2	0.0028393554835164	0.0367331374414	0.94531541286382
6.48	0.0028646792918429	0.036454003823583	0.94397039622741
6.872	0.0029113680566935	0.036158547224969	0.94247880466558
7	0.002927914086149	0.036130331385087	0.94206940656381
7.2	0.0029579269648333	0.037253306938957	0.94149847225139
7.48	0.0030071771952737	0.036978487787099	0.94082130076845
7.872	0.0030898265257538	0.036700079667655	0.9400691065346
8	0.0031182181640056	0.036668681735543	0.93986242423192
8.2	0.0031679476423546	0.03763343573105	0.93957402883094
8.48	0.003247110705622	0.037368066797906	0.93923172271238
8.872	0.0033735446837295	0.037111625196858	0.93885117467226
9	0.0034158226334324	0.037082791703509	0.93874655003358
9.2	0.0034874419667457	0.037964846839246	0.93860051815052
9.48	0.0035964234590602	0.037715381899265	0.93842712059706
9.872	0.0037604996762341	0.037483625212042	0.93823426010401
10	0.0038136201567819	0.037459552157704	0.93818121779079
10.2	0.0039004510302849	0.038298956664151	0.93810716794054
10.48	0.004025119417537	0.038062541589446	0.93801921735052
10.872	0.004200861060106	0.037845386314951	0.93792135794426
11	0.0042557901875807	0.037823020900201	0.93789443497772
11.2	0.0043422298415307	0.038635243290279	0.9378568400795
11.48	0.004459456498038	0.038399929738453	0.93781217299122
11.872	0.004614428833116	0.038177624199498	0.93776244899626
12	0.0046612525912547	0.03815102821621	0.93774876293131
12.2	0.0047325799837857	0.038939013677466	0.93772964427122
12.48	0.0048244821254422	0.038691100285986	0.93770691699666
12.872	0.0049397056844594	0.038446636737642	0.93768159696805
13	0.0049735464815344	0.038411465668033	0.93767462303686
13.2	0.0050238033315995	0.039176274132493	0.93766487443666
13.48	0.0050860542591175	0.03890890950853	0.93765327568211
13.872	0.0051611919395764	0.038636755739766	0.93764033726731
14	0.0051828018961718	0.038592371273179	0.93763676953839
14.2	0.0052142837956067	0.039337862765182	0.93763177687742
14.48	0.0052522198205238	0.039052108798141	0.93762582793826
14.872	0.0052969638232468	0.038756262694331	0.93761917739567
15	0.0053096592249971	0.038704550230494	0.93761733984684
15.2	0.0053280746477169	0.039436436542737	0.93761476322709
15.48	0.0053494729906669	0.039137050611787	0.93761168505593
15.872	0.0053745775617749	0.03882476171839	0.93760823060593
16	0.0053816620816056	0.038768182952679	0.93760727268855
16.2	0.0053914545276818	0.039490989962685	0.93760592517122
16.48	0.0054032664890358	0.039183386928382	0.93760430780081
16.872	0.0054170545826988	0.038861283055039	0.93760247933982
17	0.005420929023868	0.03880184199657	0.93760196890058
17.2	0.00542587652148	0.039519304212148	0.93760124661593
17.48	0.0054322836060032	0.0392070059361	0.93760037237098
17.872	0.0054398139069218	0.03887944979748	0.93759937118407
18	0.0054419313996587	0.038818439225744	0.93759908843399
18.2	0.0054441240423422	0.039532691478837	0.93759868443126
18.48	0.0054476972628774	0.039218005776865	0.9375981885321
18.872	0.0054519270281775	0.038887667778817	0.93759760841836
19	0.0054531175423311	0.038825850389262	0.93759744154702
19.2	0.0054537516211664	0.039538105971772	0.93759719963291
19.48	0.0054559057707207	0.039222337596249	0.93759689642606
19.872	0.0054584427560213	0.038890700628491	0.93759653063929
20	0.0054591543472787	0.038828493804478	0.93759642273597
20.2	0.0054590048210281	0.03953949765028	0.93759626323042
20.48	0.0054603970014959	0.039223246154862	0.93759605797224
20.872	0.0054620520486721	0.038891067710433	0.93759580121598
21	0.0054625169131545	0.038828690601011	0.93759572332255
21.2	0.0054617004871555	0.039538606723642	0.93759560610777
21.48	0.0054628969146808	0.039222434479165	0.93759545118654
21.872	0.0054641820645234	0.038890185677708	0.93759525005627
22	0.0054645290331266	0.038827753628372	0.93759518742302
22.2	0.0054633721664426	0.039536853695999	0.93759509166985
22.48	0.0054644646504856	0.039220823442284	0.93759496226148
22.872	0.0054655568293323	0.038888662802586	0.93759478932575
23	0.005465842737319	0.03882622819518	0.9375947344293
23.2	0.0054644284230182	0.039534588412401	0.93759464984543
23.48	0.0054655733360596	0.039218900734859	0.93759453377899
23.872	0.0054665936582539	0.038886938784626	0.93759437524688
24	0.0054668467109725	0.038824522281131	0.93759432425968
24.2	0.0054662002668429	0.039532914442123	0.93759424530534
24.48	0.0054669929993244	0.039217394980798	0.93759413599793
24.872	0.0054677058126744	0.038885432330337	0.93759398471056
25	0.0054678860637562	0.038822986235878	0.93759393567875
25.2	0.0054734860127921	0.039535515540354	0.9375938536196
25.48	0.0054700321161277	0.039216307302343	0.93759373967225
25.872	0.0054687840927164	0.038882986780177	0.93759359028589
26	0.0054687158555203	0.038820427372838	0.9375935426682
26.2	0.0054744055927115	0.039532760252623	0.93759346254017
26.48	0.0054706959124254	0.039213551635849	0.93759335133552
26.872	0.0054693600748249	0.038880491997199	0.93759320616604
27	0.0054692883537693	0.038818011044983	0.93759315985053
27.2	0.0054749079448693	0.039530022892156	0.93759308122913
27.48	0.0054712886873196	0.03921103762759	0.93759297181714
27.872	0.0054699739204488	0.038878260577564	0.93759282922154
28	0.0054699038344065	0.03881584254683	0.93759278369022
28.2	0.0054747216128119	0.039526870500109	0.93759270653975
28.48	0.0054716202239112	0.039208487933149	0.93759259896091
28.872	0.0054705309429278	0.038876145450768	0.93759245807738
29	0.005470488921165	0.03881380303923	0.93759241298
29.2	0.0054753768671351	0.039524450504356	0.93759233615855
29.48	0.0054722817519995	0.039206243482927	0.93759222889873
29.872	0.0054711692173718	0.038874123386842	0.93759208869145
30	0.0054711207375182	0.038811825853756	0.93759204382512
30.2	0.0054766927729248	0.039522553548565	0.93759196660741
30.48	0.0054731964418359	0.039204176987822	0.93759185878091
30.872	0.00547186578826	0.038872119525035	0.9375917188985
31	0.005471784728462	0.038809846757762	0.93759167424517
31.2	0.0054761620016538	0.03951911488852	0.93759159837977
31.48	0.0054733456936862	0.039201563167672	0.93759149239734
31.872	0.0054723546369813	0.038870052284203	0.93759135346942
32	0.0054723212410283	0.038807869379008	0.9375913089438
32.2	0.0054762403266706	0.039516235682018	0.93759123358286
32.48	0.0054737412369992	0.039199178362295	0.9375911281795
32.872	0.0054729055458621	0.038868050013508	0.93759098936122
33	0.0054728935806319	0.038805933420501	0.93759094480404
33.2	0.0054761438480674	0.039513214728448	0.93759086995436
33.48	0.0054740560609224	0.039196741214971	0.93759076521823
33.872	0.0054734290551533	0.038866042981509	0.93759062642161
34	0.0054734469729715	0.038803999755221	0.93759058178433
34.2	0.0054765400159141	0.039510610962784	0.93759050687633
34.48	0.0054745642399602	0.039194440552451	0.93759040203271
34.872	0.0054739972298366	0.038864044191991	0.93759026297305
35	0.0054740247278894	0.03880205863823	0.93759021825032
35.2	0.0054757267181955	0.039506992454392	0.93759014450651
35.48	0.0054745871304857	0.039191809606367	0.93759004125877
35.872	0.0054744465892002	0.038862034300652	0.93758990242981
36	0.0054745349546829	0.038800146649981	0.93758985757955
36.2	0.0054759656618073	0.039504306891491	0.93758978376394
36.48	0.0054750345456359	0.039189506223296	0.93758968034496
36.872	0.0054750007085855	0.038860066255551	0.93758954098741
37	0.0054751049585082	0.038798239385153	0.93758949595505
37.2	0.0054754392690329	0.039500951195818	0.93758942293657
37.48	0.0054751858427444	0.039187004491653	0.93758932063198
37.872	0.0054754931675819	0.038858109758787	0.9375891812202
38	0.0054756451671272	0.038796368230734	0.93758913601301
38.2	0.0054754442974678	0.039498082327295	0.93758906318787
38.48	0.0054755558624645	0.039184682577064	0.93758896110665
38.872	0.0054760430482027	0.03885618510111	0.93758882123972
39	0.0054762197265658	0.038794509009608	0.93758877582339
39.2	0.0054755524478348	0.039495284090217	0.93758870312709
39.48	0.0054759686691837	0.039182383946975	0.9375886012336
39.872	0.0054766061064812	0.03885426129117	0.93758846098649
40	0.0054768033525505	0.038792647884978	0.93758841539508
