# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.705016734595	4.4243912390852	6.7022148599156e-06
0.48	3.7322870514868	2.1343819418126	1.3042641676627e-06
0.872	3.250117649609	1.3224162168512	2.3016585813692e-07
1	2.5470541602508	1.0351604289011	1.3464720473601e-07
1.2	5.24247459598	2.6542947014339	3.0939853161149e-06
1.48	2.1107550170306	1.0233240177453	4.2267759096611e-07
1.872	1.4452428284255	0.74920056307016	7.0940037151427e-08
2	1.3257767956365	0.70821701395402	4.6481649988265e-08
2.2	3.2710667409422	2.1565985903052	1.1187163199329e-06
2.48	1.1422365647658	0.70978412284171	1.2645908543736e-07
2.872	0.45471114677035	0.29632249870046	1.3486466517273e-08
3	0.31925766160072	0.21477183711009	7.0609544135411e-09
3.2	1.2613091799972	1.228157164475	2.3423519063297e-07
3.48	0.20931659765366	0.19593993648861	1.2613679022743e-08
3.872	-0.003286744445275	-0.0034019236643133	-6.288067510043e-11
4	-0.021546062615465	-0.023331599528699	-3.2787046724698e-10
4.2	0.48461322889675	0.74348963160532	3.8291212437557e-08
4.48	0.043818582642979	0.066567868763956	1.2494371871584e-09
4.872	-0.01899326644329	-0.031790045460786	-2.3279881689567e-10
5	-0.021587841907578	-0.037531891853849	-2.2845097944276e-10
5.2	0.23949238437464	0.53715438349686	6.6507207921908e-09
5.48	0.016616095163441	0.037150765500618	2.2048104791654e-10
5.872	-0.011750353206663	-0.028280348634789	-9.479757746861e-11
6	-0.012641556069406	-0.031282484196272	-9.3386950474803e-11
6.2	0.14139667075561	0.42145150832497	1.3989474259193e-09
6.48	0.008623960789786	0.025519101448889	6.0503660699393e-11
6.872	-0.0077762639745123	-0.024155669252124	-4.2217400353938e-11
7	-0.0083086625504713	-0.02628989875752	-4.2407253524845e-11
7.2	0.097359552940182	0.35398747240804	6.3247384753111e-10
7.48	0.00545893646489	0.019557750449518	2.602847144974e-11
7.872	-0.0058570823368602	-0.021559943971131	-2.1729753478869e-11
8	-0.0062656794204716	-0.023320122391091	-2.1806070702048e-11
8.2	0.075939535597776	0.31470899273339	3.9800956600536e-10
8.48	0.0039961040994981	0.016204201253955	1.3743844815763e-11
8.872	-0.0049020705615426	-0.020100213850121	-1.2321396856929e-11
9	-0.0052551086629671	-0.021673079341963	-1.228523418744e-11
9.2	0.064859350450893	0.29187434557869	3.6736553381915e-10
9.48	0.0032514806997842	0.014241903234971	9.5405632648136e-12
9.872	-0.0044071563450582	-0.019311384919508	-7.8906819783488e-12
10	-0.0047309752845186	-0.020779199643379	-7.6663144688754e-12
10.2	0.058867212840939	0.27859154863441	5.1273814628425e-10
10.48	0.0028531135996756	0.013096007949339	1.0147318773255e-11
10.872	-0.0041339765497243	-0.018852933691401	-6.362259402043e-12
11	-0.0044404862808298	-0.020254561819793	-5.7132219988214e-12
11.2	0.0555510489375	0.27093040995733	6.4241312079831e-10
11.48	0.0026444157385279	0.012480422934186	1.1709960600848e-11
11.872	-0.0039674874197714	-0.018524379372214	-6.0631885886065e-12
12	-0.0042636858576231	-0.019884312131429	-4.9887971777892e-12
12.2	0.053722072968341	0.2666377302926	7.3367117451971e-10
12.48	0.0025458789791446	0.012210021122024	1.3241404828784e-11
12.872	-0.0038583050023378	-0.018258427383382	-6.1909293078068e-12
13	-0.0041493594216097	-0.019597093120217	-4.7748637868312e-12
13.2	0.052733406565428	0.26432384760591	7.4355994502931e-10
13.48	0.0025054238766134	0.012124575525319	1.3567932477671e-11
13.872	-0.0037876646482612	-0.018058393954185	-6.0414985030978e-12
14	-0.0040768688357073	-0.019389868245998	-4.4957845625091e-12
14.2	0.052205641108122	0.26310167948233	7.0662959528135e-10
14.48	0.0024898891614472	0.012109111352076	1.3025445473213e-11
14.872	-0.0037452196398733	-0.017929512843503	-5.6314588536862e-12
15	-0.0040340699990777	-0.01926042488008	-4.1022801847467e-12
15.2	0.051917874988948	0.26243916790298	7.1062866713835e-10
15.48	0.0024825278744716	0.012106701099342	1.3140401617934e-11
15.872	-0.0037218875657728	-0.017859530032706	-5.5292782992982e-12
16	-0.0040108183284182	-0.019191828846764	-3.9519423506888e-12
16.2	0.051744611389775	0.2620313649172	5.8420814671434e-10
16.48	0.0024750836996311	0.012090708427022	1.0835688097997e-11
16.872	-0.0037105356648067	-0.017831467441824	-4.5326632281701e-12
17	-0.0039993732830693	-0.01916431307318	-3.2194674713534e-12
17.2	0.051625054610486	0.26174076142382	5.2138934269494e-10
17.48	0.0024670343830222	0.012065441730164	9.6557245481159e-12
17.872	-0.0037055963931238	-0.017826976961714	-4.0039577063159e-12
18	-0.0039942385951152	-0.019159901148282	-2.8197774349779e-12
18.2	0.051528531821487	0.26149728282613	4.6238387639269e-10
18.48	0.0024578213727548	0.012031659066015	8.5396426963531e-12
18.872	-0.0037040743163471	-0.017835823748279	-3.5228325012825e-12
19	-0.0039923925133797	-0.019168233315934	-2.464157895036e-12
19.2	0.051441086977145	0.2612707973989	4.0877413243382e-10
19.48	0.0024477504818984	0.011992486629139	7.5254191875192e-12
19.872	-0.0037042388997905	-0.017851585425348	-3.096363217711e-12
20	-0.003992150131275	-0.019183100258508	-2.154119050242e-12
20.2	0.051357472368404	0.26105171230766	3.9688178368663e-10
20.48	0.0024374278193525	0.011951551950104	7.2776369290467e-12
20.872	-0.0037051416396344	-0.017870439927353	-2.9851429487134e-12
21	-0.0039926311761215	-0.019201001446791	-2.0644591012158e-12
21.2	0.051273523592559	0.26082867874126	3.1686512656552e-10
21.48	0.0024262294730752	0.011906222531916	5.7962933527756e-12
21.872	-0.0037065330724008	-0.017891698900197	-2.3858485480454e-12
22	-0.0039935098523178	-0.019220875265702	-1.6471320339832e-12
22.2	0.051189824174161	0.2606062293827	2.7777415347719e-10
22.48	0.0024151366536333	0.011861318375828	5.0659740138854e-12
22.872	-0.0037079903774159	-0.017913300765066	-2.0895510785218e-12
23	-0.0039944751445036	-0.019241195601241	-1.4387712412883e-12
23.2	0.051105153247405	0.26037993744434	1.8673963641252e-10
23.48	0.0024036142194287	0.011814310960789	3.4007612589743e-12
23.872	-0.0037095697104608	-0.017935644312238	-1.4129295289513e-12
24	-0.0039955157300721	-0.019262032264404	-9.7361134490816e-13
24.2	0.051020990235506	0.26015561450629	6.8821324714628e-11
24.48	0.002392441034057	0.011768911011808	1.2435391010659e-12
24.872	-0.0037110155626784	-0.017957318040438	-5.2255466070444e-13
25	-0.0039964605779109	-0.019282376603992	-3.6309632776921e-13
25.2	0.050965096137091	0.26003334738929	1.1277985201369e-09
25.48	0.0023925556598188	0.011776748988861	2.0245282445708e-11
25.872	-0.0037102251804194	-0.017965122044059	-8.2779814287656e-12
26	-0.0039964418387655	-0.019294995561843	-5.6350463081153e-12
26.2	0.050896358000592	0.25985158645563	1.3503649394517e-09
26.48	0.00238331552075	0.011739290640838	2.4297025923915e-11
26.872	-0.003712081674168	-0.017986951801857	-1.0031313818903e-11
27	-0.0039979648388063	-0.01931629066957	-6.8367593220973e-12
27.2	0.050819958594392	0.25964627962864	1.5506716163055e-09
27.48	0.002372789054402	0.011696112243509	2.7883224729232e-11
27.872	-0.0037138673140492	-0.018009323897674	-1.1596940086124e-11
28	-0.0039993013091417	-0.019337572124226	-7.9077296631154e-12
28.2	0.050737660878179	0.25942311428762	1.5859648642292e-09
28.48	0.0023609671275721	0.011647044185593	2.8477898228453e-11
28.872	-0.0037157297464345	-0.018032855377877	-1.1933581341992e-11
29	-0.0040005796018594	-0.019359365030512	-8.1406510320168e-12
29.2	0.050655350555707	0.25920297802949	1.7002625593503e-09
29.48	0.0023501473123724	0.011602926377382	3.0485808285606e-11
29.872	-0.0037171907963966	-0.018054552705185	-1.2861478421903e-11
30	-0.0040015794447436	-0.019379920453164	-8.7772035948289e-12
30.2	0.050575219774104	0.25899102674492	1.9022476874788e-09
30.48	0.0023402975116737	0.011563379483809	3.4060367064442e-11
30.872	-0.0037184149118624	-0.0180749151886	-1.4459431376606e-11
31	-0.0040024502690451	-0.019399661963424	-9.8721114212831e-12
31.2	0.050490157033149	0.25875975845753	1.7177568641849e-09
31.48	0.0023279530552555	0.01151181093128	3.0700130894164e-11
31.872	-0.0037202914992939	-0.018099042924724	-1.3132520558242e-11
32	-0.0040036802968058	-0.019421746511763	-8.9697516527499e-12
32.2	0.050404903588637	0.25852981596687	1.6337752786832e-09
32.48	0.0023163437776738	0.011463856207239	2.9142682321417e-11
32.872	-0.0037218568398491	-0.018121748106743	-1.2553422242544e-11
33	-0.0040046924070178	-0.019442860073646	-8.5772881398508e-12
33.2	0.050319089772382	0.25829788160597	1.5069023601156e-09
33.48	0.0023045317371359	0.011414879568652	2.6823954092626e-11
33.872	-0.0037234559315722	-0.018144743144314	-1.1636424732075e-11
34	-0.0040057132808124	-0.019464139901427	-7.9534813688828e-12
34.2	0.050234728743725	0.25807141172713	1.4867754165285e-09
34.48	0.002293462948585	0.011369404590824	2.6409983946326e-11
34.872	-0.0037248528390764	-0.018166634927803	-1.1532243115728e-11
35	-0.0040066174656311	-0.019484728637665	-7.8849179574626e-12
35.2	0.050146967534636	0.25783147813308	1.2000719286896e-09
35.48	0.0022806726357434	0.01131557183892	2.1267095171131e-11
35.872	-0.0037266911233378	-0.018191107335777	-9.3570484302815e-12
36	-0.0040077599905182	-0.019506907686963	-6.3995999778342e-12
36.2	0.050061259907509	0.25760046824479	1.1491784994647e-09
36.48	0.002269354955115	0.011268833914183	2.0317032871792e-11
36.872	-0.0037280752559831	-0.01821318804269	-8.9973390456757e-12
37	-0.0040086245388009	-0.019527549393321	-6.1552467956963e-12
37.2	0.049973730199348	0.25736160804895	9.0552746236686e-10
37.48	0.0022568953028394	0.011216476626479	1.5971446711118e-11
37.872	-0.003729774948266	-0.018237061098058	-7.1249702723512e-12
38	-0.0040096661074221	-0.01954930463871	-4.8757151554725e-12
38.2	0.049887171527501	0.25712690144157	7.7945627181589e-10
38.48	0.0022451704184332	0.01116762782719	1.3714517721194e-11
38.872	-0.0037312397756358	-0.018259723397385	-6.1594578718688e-12
39	-0.0040105604184859	-0.019570272609548	-4.2160453116597e-12
39.2	0.049801443355808	0.25689459218404	6.6967713397715e-10
39.48	0.0022336277803755	0.011119539029522	1.1754955369981e-11
39.872	-0.0037326806351662	-0.018282213594605	-5.315001048079e-12
40	-0.0040114475784943	-0.019591146414021	-3.6390102159678e-12
