Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	1.0610331167805E-4	2.985305442101E-4	0.011976239929422	2.7468391016969E-5	0.020896668364825	-0.12274509245683	2.3311840998868E-7	0.014393535249927	
0.48	9.4716095494337E-5	3.4023318387309E-4	0.0036771493022834	2.7424038032948E-5	0.013043243312685	-0.10022745797446	1.1879784097324E-8	0.0080544990662675	
0.872	2.6043956419604E-5	1.1886164176918E-4	1.1514786237431E-4	8.0888619892558E-6	0.0042772736800207	-0.076469803040963	1.9144991068919E-10	0.038446697523451	
1.0	1.5807231900468E-6	7.5308916700166E-6	3.8068244489321E-6	5.1087249210732E-7	3.0144159580756E-4	-0.070081783833271	6.8146208903925E-12	0.04525383609247	
1.2	4.4578060384037E-8	2.2843098801237E-7	1.0148099728985E-7	1.4796345246284E-8	9.5814002883073E-6	-0.061202172589623	2.1097408241599E-13	0.057329997644167	
1.48	3.2440539061275E-8	1.7301337027189E-7	7.2049674036827E-8	1.0910807608697E-8	7.9239053582068E-6	-0.050669905137267	1.7661346168962E-13	0.06491410258091	
1.872	2.0990072310809E-8	1.0974059456706E-7	4.7209524229817E-8	7.1177578209107E-9	5.9739859439672E-6	-0.038936937812541	1.3804153084235E-13	0.076645536864213	
2.0	1.8717602837518E-8	9.5941721701253E-8	4.2876561536572E-8	6.3620216128769E-9	5.5731395797386E-6	-0.03570464414546	1.3077668436031E-13	0.079876965589099	
2.2	1.5894394283478E-8	7.8327435010634E-8	4.0963131004897E-8	5.4144061822067E-9	5.0481070515434E-6	-0.031186755815868	1.2208441681346E-13	0.084394309407759	
2.48	1.3029465614878E-8	6.0276123683601E-8	3.542837274008E-8	4.4473005225257E-9	4.4728116154986E-6	-0.02581171104274	1.1344041692203E-13	0.089768749204903	
2.872	1.0206264180236E-8	4.3389042425402E-8	3.0844674011093E-8	3.4879871596351E-9	3.823495735123E-6	-0.019817197178189	1.0542067461348E-13	0.095762586138721	
3.0	9.4774136040402E-9	3.9219761367262E-8	2.9829536904543E-8	3.2401192408502E-9	3.6349600993115E-6	-0.018165189154536	1.0345045959462E-13	0.097414370632418	
3.2	8.4768043145364E-9	3.3801064683157E-8	3.0726665166645E-8	2.8972425823721E-9	3.3520433595897E-6	-0.015855720892509	1.0084427634031E-13	0.099723550821523	
3.48	7.3308957421126E-9	2.8014198392313E-8	2.8905729397149E-8	2.5026485494025E-9	2.9850488699804E-6	-0.013107177428898	9.7946496137273E-14	0.10247171857049	
3.872	6.0641366954297E-9	2.2173578510323E-8	2.7090822755059E-8	2.0640898667326E-9	2.5038248505357E-6	-0.010040167946768	9.4946007169743E-14	0.10553823830957	
4.0	5.7137385065943E-9	2.0630409544407E-8	2.6646693898636E-8	1.9426786409556E-9	2.3526285620087E-6	-0.0091945884956179	9.4158200657438E-14	0.10638365625899	
4.2	5.2167122699049E-9	1.8522853837741E-8	2.7930682264052E-8	1.7694857196258E-9	2.1198965522078E-6	-0.0080122135003885	9.3083290369667E-14	0.10756579732206	
4.48	4.6222314843878E-9	1.610399022921E-8	2.6789593651405E-8	1.561504107109E-9	1.8066251166594E-6	-0.0066047253087431	9.1842544093997E-14	0.10897296818813	
4.872	3.9351775915319E-9	1.3438146191248E-8	2.5369368644211E-8	1.3201291763076E-9	1.3909400333952E-6	-0.0050342708887051	9.050537935446E-14	0.11054300241225	
5.0	3.739819886445E-9	1.2696219730338E-8	2.495805183229E-8	1.2514349943831E-9	1.2610537158138E-6	-0.0046014358812701	9.0145238202411E-14	0.11097570311697	
5.2	3.4608472127848E-9	1.1657280702443E-8	2.5928125829915E-8	1.1529095894185E-9	1.0663672315575E-6	-0.0039966154313324	8.9647873940227E-14	0.11158032857469	
5.48	3.118031537012E-9	1.0408472917808E-8	2.4548087615368E-8	1.0314003259375E-9	8.1510090504898E-7	-0.003277882380148	8.9065565601599E-14	0.11229880741269	
5.872	2.7164877806662E-9	8.9816346924474E-9	2.238237697382E-8	8.8841289921743E-10	5.2102918026624E-7	-0.002479665009588	8.8429680426909E-14	0.11309672670698	
6.0	2.6013237528925E-9	8.5771188164338E-9	2.1648905060775E-8	8.4733591403376E-10	4.3987886740828E-7	-0.0022606773127907	8.8257177237275E-14	0.1133156309185	
6.2	2.4361332817994E-9	8.0033208519286E-9	2.1410494993306E-8	7.8813798526121E-10	3.338614584133E-7	-0.001956213294233	8.8018705649097E-14	0.11361998791627	
6.48	2.2340105941918E-9	7.3102748719243E-9	1.9106554413878E-8	7.1527897499557E-10	2.284540342733E-7	-0.0015973417387374	8.7739633815446E-14	0.11397875079443	
