# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	6.9775961424737	0	0.011731108994237	0.15603352166137	0.36517647077524	0.11383271697232	0.0043636533291166	0.21174679618358	0.1291228688986	0.2230469411278	0.7992856439295	0.11651780036769	2.12581353658	11.234267201293
0.48	6.9776682000966	0	0.028075698548757	0.15612440786838	0.36829762778268	0.10127231456225	0.0049850553623314	0.21254436645362	0.12937234256785	0.22349157509459	0.80183331089378	0.1173434600238	1.7085445954742	10.829552954729
0.872	6.977866387939	0	0.050803377916337	0.15632546261754	0.37274503970273	0.086072670271699	0.0042909344508529	0.21367024439123	0.12982317372102	0.22419715776808	0.80491371501121	0.1184524512935	1.3023019609875	10.441462576071
1	6.9779497077371	0	0.058187528521728	0.15640517845817	0.37413782063112	0.081625409278772	0.0040245896838898	0.21403981045616	0.12997620192136	0.22441393801514	0.80581154573139	0.11878172762982	1.1934934786392	10.338846936704
1.2	6.9780860508806	0	0.057955248682591	0.15654106688572	0.37622918547707	0.075147014415023	0.0036338660209661	0.21461867331127	0.13021452982577	0.2247275105039	0.80711339444369	0.11926033825877	1.042273899464	10.185800778169
1.48	6.9782750773042	0	0.057631617169432	0.1567528306905	0.37897011719889	0.066950349105404	0.003164184728999	0.21543131207166	0.13053678168594	0.22511716534	0.80874969984595	0.11986294566028	0.86290964502584	10.004351725827
1.872	6.9785364372914	0	0.057181577410291	0.15708734784412	0.38243545710265	0.056991267391183	0.0026196196395014	0.21657203723991	0.1309490132976	0.2255802652138	0.81071647740069	0.12058943416733	0.663096350596	9.8023552845945
2	6.9786231481464	0	0.057035385513423	0.15720497080041	0.38347939326218	0.054067966967646	0.0024622172542749	0.21694502945362	0.13107238361776	0.22571401105909	0.8112889114812	0.12080159009323	0.60805011390339	9.7467451215526
2.2	6.9787578957849	0	0.056807710146409	0.15739676530641	0.3850208167638	0.049805665462903	0.0022387660539242	0.21752788813266	0.13125181611503	0.22590638154472	0.81211748607609	0.12110919529042	0.53111022842308	9.6690506151004
2.48	6.9789452034366	0	0.056490494355274	0.15768050457064	0.38700449780555	0.044412630605145	0.0019696299383729	0.21834337768217	0.13147547777266	0.22614494886102	0.81315502583765	0.12149576407027	0.43957287148275	9.5766904264181
2.872	6.9792049551449	0	0.056049375327555	0.15810414578879	0.38947287381733	0.037859571301867	0.0016524963108723	0.21948205666073	0.13173809632836	0.22642625971076	0.81439485074272	0.12196099161462	0.33748589492862	9.4738315676772
3	6.9792901028028	0	0.055906078519224	0.15824803106532	0.39021279774901	0.035936022504773	0.0015602454125519	0.21985278847568	0.13181323814452	0.22650680822187	0.81475373083373	0.12209656233309	0.30935210655013	9.4455285126127
3.2	6.979422569862	0	0.055682911849445	0.15847796638848	0.3913057554577	0.033131294328036	0.0014279800033289	0.22043023180579	0.13192024988316	0.22662198823954	0.81527135055276	0.1222929689231	0.27002174867582	9.4060070159692
3.48	6.979606921918	0	0.055371977479886	0.15880913837943	0.39271929336184	0.029582297910436	0.0012658985236483	0.22123373242697	0.13205133094891	0.22676336297151	0.81591549596194	0.12253928252705	0.22321394578864	9.3590726781982
