Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	0.00010610331167805	0.0002985305442101	0.011976239929422	2.7468391016969e-05	0.020896668364825	-0.12274509245683	2.3311840998868e-07	0.014393535249927
0.48	9.4716095494337e-05	0.00034023318387309	0.0036771493022834	2.7424038032948e-05	0.013043243312685	-0.10022745797446	1.1879784097324e-08	0.0080544990662675
0.872	2.6043956419604e-05	0.00011886164176918	0.00011514786237431	8.0888619892558e-06	0.0042772736800207	-0.076469803040963	1.9144991068919e-10	0.038446697523451
1	1.5807231900468e-06	7.5308916700166e-06	3.8068244489321e-06	5.1087249210732e-07	0.00030144159580756	-0.070081783833271	6.8146208903925e-12	0.04525383609247
1.2	4.4633485582519e-08	2.2880090260533e-07	1.0148342910099e-07	1.4815201717741e-08	9.5885269357009e-06	-0.061202224593502	2.1098315860304e-13	0.057329028454607
1.48	3.2457108644174e-08	1.7326039705233e-07	7.2045610385135e-08	1.0916641520744e-08	7.9303673860232e-06	-0.050669972698342	1.7661375316123e-13	0.06491404135048
1.872	2.0991574976154e-08	1.0982642969252e-07	4.7206396936278e-08	7.1182794238747e-09	5.9783525036732e-06	-0.03893695507298	1.3804154172961e-13	0.076645524828663
2	1.8718209127459e-08	9.6002327593438e-08	4.2873769147645e-08	6.362227708574e-09	5.5771401268311e-06	-0.035704645273313	1.3077666341428e-13	0.07987696857751
2.2	1.5898560308009e-08	7.8386600437237e-08	4.0960813171058e-08	5.4158643275828e-09	5.0532138475889e-06	-0.031186742483055	1.2208437569105e-13	0.084394327881703
2.48	1.3030592746545e-08	6.0305900587793e-08	3.5426719596443e-08	4.447726428135e-09	4.4773980963805e-06	-0.02581167753981	1.1344035488021e-13	0.089768787402316
2.872	1.0206347851381e-08	4.3398428701623e-08	3.0843860536734e-08	3.4880206022898e-09	3.8275216416622e-06	-0.019817139919941	1.0542059632151e-13	0.09576264748276
3	9.4774286318057e-09	3.9225788817556e-08	2.9828978625656e-08	3.2401259850467e-09	3.6388443306464e-06	-0.018165126522385	1.0345037930438e-13	0.097414437169227
3.2	8.4766327458898e-09	3.3803268334944e-08	3.0726978518171e-08	2.8971820992149e-09	3.3556623097833e-06	-0.015855651620106	1.0084419455267e-13	0.099723623730418
3.48	7.3308262254663e-09	2.801477769337e-08	2.8906545601686e-08	2.5026225347966e-09	2.9884368789636e-06	-0.013107101851086	9.7946414390039e-14	0.10247179754977
3.872	6.0641093124374e-09	2.2173565706471e-08	2.7092232538503e-08	2.0640801864946e-09	2.5069464612322e-06	-0.010040085492672	9.4945925619429e-14	0.10553832389814
4	5.7137150519547e-09	2.0630330283205e-08	2.6648306661699e-08	1.9426704921734e-09	2.3556701871606e-06	-0.0091945037300109	9.4158118795211e-14	0.1063837440726
4.2	5.2167081898395e-09	1.8522795293209e-08	2.7933594776572e-08	1.7694844780379e-09	2.1228229897036e-06	-0.0080121245913765	9.3083207270776e-14	0.107565889165
4.48	4.6222187867807e-09	1.6103888048076e-08	2.6793017203765e-08	1.5615000207491e-09	1.8093744608086e-06	-0.0066046289933054	9.1842457515407e-14	0.10897306726087
4.872	3.9351639758038e-09	1.3438037988742e-08	2.5373762757792e-08	1.3201245693766e-09	1.3934075413853e-06	-0.005034159852481	9.0505283845444e-14	0.11054311592529
5	3.7398069297884e-09	1.2696115478079e-08	2.4962866310218e-08	1.2514305924598e-09	1.2634181864173e-06	-0.0046013189288667	9.014513883532e-14	0.11097582244047
5.2	3.4608355450516e-09	1.1657184967337e-08	2.593598707353e-08	1.1529056177271e-09	1.0685503956554e-06	-0.003996487333929	8.9647766978984e-14	0.11158045886508
5.48	3.1180219672802e-09	1.0408390783012e-08	2.4557304849514e-08	1.0313970577997e-09	8.1697728697422e-07	-0.0032777340341674	8.9065444327213e-14	0.11229895764663
5.872	2.7164821856107e-09	8.9815737951616e-09	2.2394067502212e-08	8.8841092775213e-10	5.2236467447335e-07	-0.0024794799864042	8.8429532763623e-14	0.11309691308066
6	2.6013197843387e-09	8.5770655540425e-09	2.1661482145669e-08	8.4733446510298e-10	4.4102244048345e-07	-0.0022604798652373	8.8257020691166e-14	0.11331582952282
6.2	2.4365814233894e-09	8.0049096376831e-09	2.1428583649001e-08	7.8829040284509e-10	3.3476853511701e-07	-0.0019559964442337	8.8018535187991e-14	0.1136202056943
6.48	2.2341372792815e-09	7.3108847589898e-09	1.9125461968854e-08	7.1532716050725e-10	2.2898841395315e-07	-0.0015971022056017	8.7739447472146e-14	0.11397899088291
6.872	1.99832077577e-09	6.5147829461183e-09	1.6043583955192e-08	6.2956503740337e-10	1.4936633688963e-07	-0.001202178261329	8.74348212353e-14	0.11437383096228
7	1.9310215488308e-09	6.2893105074665e-09	1.5146761925317e-08	6.04956047155e-10	1.3386986779144e-07	-0.0010942073169815	8.7351985944797e-14	0.11448178505511
7.2	1.8357906883276e-09	5.9722012854741e-09	1.4132855461654e-08	5.6978018579632e-10	1.1765141481138e-07	-0.00094406447625171	8.7237112844852e-14	0.11463191021605
7.48	1.722188292053e-09	5.5968713151514e-09	1.2343865498009e-08	5.2709227264859e-10	1.0480533557172e-07	-0.00076653714076961	8.7101763140799e-14	0.11480942238208
7.872	1.5973253854292e-09	5.1888815156827e-09	1.0518832173109e-08	4.7857900251133e-10	9.6025574997104e-08	-0.00057023601965619	8.695269677318e-14	0.11500571231276
8	1.5633964711456e-09	5.0788359111744e-09	1.0036181260345e-08	4.6503405452906e-10	9.4234320918553e-08	-0.00051650536099859	8.6912004041956e-14	0.11505944053079
8.2	1.5186315953837e-09	4.9339212328914e-09	9.4249668703516e-09	4.4636593007735e-10	9.2169756341394e-08	-0.00044191344492117	8.6855589355918e-14	0.11513402956231
8.48	1.4730313537555e-09	4.7871402277069e-09	8.4963102751711e-09	4.2538073687014e-10	9.0359373423118e-08	-0.00035430027440352	8.678944127742e-14	0.11522163977976
8.872	1.4399347240121e-09	4.6832711264357e-09	7.5613621183888e-09	4.0504779405e-10	8.9315952608677e-08	-0.0002591237266734	8.6717722553114e-14	0.11531681419083
9	1.4347350161876e-09	4.6680841729091e-09	7.3118150995382e-09	4.0010544716404e-10	8.9219749110732e-08	-0.00023351525393791	8.6698450531404e-14	0.11534242229095
9.2	1.4346357776041e-09	4.6696769473512e-09	6.9915835989126e-09	3.944755403936e-10	8.9373830342667e-08	-0.000198566010568	8.6672165751654e-14	0.11537737136366
9.48	1.4507722851198e-09	4.7242139835105e-09	6.4955384322742e-09	3.9079897307915e-10	9.0191674027347e-08	-0.00015874697905992	8.6642242024314e-14	0.11541719078346
9.872	1.499719666882e-09	4.8887517228797e-09	5.9998145751482e-09	3.92314451368e-10	9.240502228018e-08	-0.00011777946892212	8.6611480753675e-14	0.11545816022551
10	1.519084647294e-09	4.9547814407707e-09	5.8687480136846e-09	3.9371592759614e-10	9.3287313131813e-08	-0.00010724218960238	8.6603572756949e-14	0.11546869834265
10.2	1.5540282347327e-09	5.0737173413867e-09	5.7083817472129e-09	3.9693824628387e-10	9.4887627274568e-08	-9.3394930344262e-05	8.6593183041819e-14	0.11548254719866
10.48	1.6103832079409e-09	5.2671661270299e-09	5.4392268394474e-09	4.030274381431e-10	9.7503482942274e-08	-7.8508945482896e-05	8.6582016754552e-14	0.11549743578573
10.872	1.6917669902601e-09	5.5574670147898e-09	5.1835516558689e-09	4.1197636039699e-10	1.0159034698243e-07	-6.4390310277092e-05	8.6571428080726e-14	0.11551155863228
11	1.7160683482188e-09	5.6478947758194e-09	5.1184940193358e-09	4.1439797788502e-10	1.0291974858273e-07	-6.0958937935294e-05	8.6568854845509e-14	0.11551499138607
11.2	1.7508601245223e-09	5.7819438852966e-09	5.0501166553144e-09	4.1743058139087e-10	1.0497674550654e-07	-5.660694550835e-05	8.6565591192672e-14	0.11551934553877
11.48	1.7925101956812e-09	5.9530229138875e-09	4.9076839287572e-09	4.2001214592363e-10	1.0778711260533e-07	-5.2116569534542e-05	8.6562223596268e-14	0.11552383879772
11.872	1.830858183408e-09	6.1384931523046e-09	4.7881493852948e-09	4.1914513731787e-10	1.1130436883534e-07	-4.7995184952088e-05	8.6559132288782e-14	0.11552796380264
12	1.8383333659561e-09	6.1840017910196e-09	4.7600739584922e-09	4.1777599291957e-10	1.1231072532834e-07	-4.7004399400112e-05	8.6558389057333e-14	0.11552895561799
12.2	1.8446626881758e-09	6.2385169618843e-09	4.7459708078769e-09	4.144821219028e-10	1.1371717535754e-07	-4.5743928275992e-05	8.6557443442039e-14	0.11553021753886
12.48	1.8450166382459e-09	6.2874460093522e-09	4.6713899278252e-09	4.0807554215123e-10	1.1541484764054e-07	-4.4424607324653e-05	8.6556453595093e-14	0.11553153852558
12.872	1.8303074084867e-09	6.302972632453e-09	4.6207145751899e-09	3.9603423312481e-10	1.1718416826514e-07	-4.3173454270007e-05	8.6555514825372e-14	0.11553279138582
13	1.8227221750514e-09	6.2973167158672e-09	4.6105230906242e-09	3.9159562457548e-10	1.1762219447317e-07	-4.2865703965323e-05	8.6555283924859e-14	0.1155330995462
13.2	1.808050094186e-09	6.2772444788806e-09	4.6232051051546e-09	3.8415298154643e-10	1.1814845071938e-07	-4.2468491597958e-05	8.655498592955e-14	0.11553349725522
13.48	1.7845981332701e-09	6.2354206859926e-09	4.5787459956029e-09	3.7334915071712e-10	1.1867880684416e-07	-4.2048673834736e-05	8.655467106547e-14	0.11553391748267
13.872	1.7469643858068e-09	6.1522602660529e-09	4.5562406013831e-09	3.5776480773832e-10	1.1899286366146e-07	-4.1657861655526e-05	8.6554378129464e-14	0.11553430844987
14	1.7340303552471e-09	6.120843339635e-09	4.5529854901878e-09	3.5269589993993e-10	1.1900650140299e-07	-4.1566900290541e-05	8.6554310005846e-14	0.11553439937215
14.2	1.7129155298972e-09	6.0665472907491e-09	4.5755728433355e-09	3.4474416808629e-10	1.1891789540071e-07	-4.1457542157841e-05	8.6554228181863e-14	0.11553450858084
14.48	1.6837244109948e-09	5.9879449987821e-09	4.5418288647323e-09	3.3401841859428e-10	1.1869072079077e-07	-4.1361646846016e-05	8.6554156618613e-14	0.11553460409665
14.872	1.6429321883991e-09	5.8712719062362e-09	4.5286438667927e-09	3.1969356586419e-10	1.181288868875e-07	-4.1316498506385e-05	8.6554123354672e-14	0.11553464849809
15	1.6298011776932e-09	5.8323286282229e-09	4.5275618142143e-09	3.1521966775374e-10	1.1789666290714e-07	-4.1319565166398e-05	8.6554125870991e-14	0.11553464514157
15.2	1.6095383437076e-09	5.7709797347348e-09	4.5526180294843e-09	3.0844196437227e-10	1.1748962099889e-07	-4.1340779514132e-05	8.6554142120703e-14	0.11553462345681
15.48	1.5818172172777e-09	5.6847695903913e-09	4.5219873980222e-09	2.9940655270601e-10	1.1684062770317e-07	-4.1401646572263e-05	8.6554188330538e-14	0.11553456178714
15.872	1.544492823458e-09	5.5649219769958e-09	4.511379036805e-09	2.8766014969024e-10	1.1580355513844e-07	-4.1538793444584e-05	8.6554292005527e-14	0.11553442342364
16	1.5326978009625e-09	5.5262617538018e-09	4.5108726917405e-09	2.8404300941325e-10	1.1543962059248e-07	-4.1594208541117e-05	8.6554333841075e-14	0.11553436759003
16.2	1.5142308132384e-09	5.4647997897056e-09	4.535898350433e-09	2.7852139838838e-10	1.1481792014993e-07	-4.1692131248826e-05	8.6554407724559e-14	0.1155342689852
16.48	1.4899220386737e-09	5.382790867957e-09	4.5059986370773e-09	2.713494577882e-10	1.1395217369348e-07	-4.1850235981847e-05	8.6554526946699e-14	0.11553410987133
16.872	1.4574243763548e-09	5.271073424903e-09	4.4961488845037e-09	2.6209311354881e-10	1.1267170109025e-07	-4.2106122807476e-05	8.6554719761604e-14	0.11553385254072
17	1.4471678447413e-09	5.2353776382839e-09	4.4958505003197e-09	2.5924765100014e-10	1.1224012986295e-07	-4.2196829173595e-05	8.6554788087132e-14	0.1155337613537
17.2	1.4314570197487e-09	5.1802886394529e-09	4.5204925621576e-09	2.5496479361631e-10	1.1155077893611e-07	-4.2346280934682e-05	8.655490062436e-14	0.11553361116216
17.48	1.4102209269428e-09	5.1051004503961e-09	4.4910980608611e-09	2.4930985415737e-10	1.1056719165798e-07	-4.2571310864764e-05	8.6555070073408e-14	0.11553338501719
17.872	1.3817616556469e-09	5.0031503894552e-09	4.4820039916326e-09	2.4198674835273e-10	1.0915255084408e-07	-4.2914289726859e-05	8.6555328236618e-14	0.1155330404769
18	1.3727527016676e-09	4.9706330686327e-09	4.4819568666082e-09	2.3972690911396e-10	1.0868325571352e-07	-4.3031970749455e-05	8.6555416799574e-14	0.11553292228278
18.2	1.3585818105812e-09	4.9191935872395e-09	4.5063483157641e-09	2.3625450064767e-10	1.0791539508773e-07	-4.3223330322129e-05	8.6555560794765e-14	0.11553273011068
18.48	1.3398925189343e-09	4.8509684474801e-09	4.477552358931e-09	2.3173927483969e-10	1.0686920522478e-07	-4.3505490100113e-05	8.655577309305e-14	0.11553244678452
18.872	1.3146444580769e-09	4.7582578949453e-09	4.4694487032612e-09	2.2584049260538e-10	1.05380615286e-07	-4.3924891676442e-05	8.6556088570053e-14	0.11553202576245
