# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
0.2	9.4612589073696	0	13.301903781685	24.692429086298	1.1591340142557	39.623368320842	0.34437634872553	5.1583558383216	3.6438536056519	10.970177560872	37.032307372453	10.037726008208	0.92658202599038
0.48	10.198880460239	0	11.834159983928	24.848203553044	1.9105788826229	36.037256244542	0.82418521206218	7.9788778769112	5.2987148563968	9.7575865280571	32.975442323392	11.312269496187	1.417537191314
0.872	9.858888396565	0	10.058008001911	25.059574138749	1.9052847926608	30.660804715375	1.4913749244292	9.0317306807749	5.1408895588461	8.2873390832046	28.105481552617	10.054863960139	1.8371951230351
1	9.6379501564816	0	9.5383240358823	25.118848586145	1.8318591611635	29.07543061541	1.7081427359953	9.106873609938	4.9413655993523	7.8564468173108	26.69038165381	9.5409857020549	1.9484746893654
1.2	9.1571916252229	0	8.7812922489813	25.177005055019	1.6871495366737	26.797606673631	1.7013239703591	8.9647524920846	4.487411956574	7.2284921745469	24.632656048484	8.7633897106011	2.1183785564933
1.48	8.4793247538888	0	7.8234722462685	25.23913418659	1.5018638659824	23.956533838767	1.6918235012313	8.5336741089426	3.9762477426627	6.4340144627546	22.028746939919	7.7917026955527	2.3315392544661
1.872	7.5311812792844	0	6.6597053588568	25.279977704757	1.2733548686415	20.494716595245	1.678612214122	7.6199162341022	3.3759390329007	5.4687682383492	18.864169636046	6.6105633091407	2.5939939069067
2	7.2081712512711	0	6.3181035593644	25.28134083385	1.2065498733031	19.460210900488	1.6743206308044	7.2703635951821	3.2001480327109	5.1854525972279	17.935072948962	6.2574368529755	2.6756889441729
2.2	6.7407294771678	0	5.8200330044956	25.267886392429	1.1071615149849	17.967462449204	1.6676370332327	6.7001641592503	2.9416428379042	4.7723804407347	16.580208120939	5.7469052977801	2.7915855457481
2.48	6.1382915153601	0	5.1898307860367	25.22252466136	0.98504490297548	16.104218225712	1.6583249028993	5.9245690817358	2.6245742876145	4.24975488902	14.86551243721	5.1172377391971	2.9383437890829
2.872	5.3952281580665	0	4.4240740980972	25.092886254713	0.83720099899731	13.831826547036	1.6453754911946	4.9508734580703	2.240709295993	3.6147702274668	12.781221768186	4.3530022731592	3.1128987353752
3	5.1710410986993	0	4.1992981136625	25.031362460687	0.79395607129228	13.156640431443	1.6411688955811	4.6592279577253	2.1277270323289	3.4283942266611	12.16921968966	4.1259313032735	3.1637168048245
3.2	4.8511944369795	0	3.8715520549454	24.911066485254	0.73007129412909	12.17867606764	1.6346176545234	4.2433894385579	1.9618100987867	3.1566535180218	11.276662307943	3.7965096756627	3.2343154254694
3.48	4.457439903364	0	3.4568346509857	24.692076532452	0.65081186207165	10.952080744741	1.6254899204843	3.7452607918127	1.7561127607819	2.8128318534114	10.146859552421	3.3864234399952	3.3189654813145
3.872	3.9870092924431	0	2.9528668520766	24.256824270324	0.55460971177105	9.4570877464516	1.6127968809088	3.1710466532246	1.5063380740288	2.395071929186	8.7731607297874	2.8879584469469	3.4124827154355
4	3.8466647885236	0	2.8049277669602	24.073862662799	0.52640017730178	9.0141683357119	1.6086735669917	3.0045339782147	1.4327974378807	2.272452657339	8.3697261908956	2.7403602368807	3.4380162539397
4.2	3.6453064491809	0	2.5892060210844	23.736908402325	0.48487782819479	8.3711658810644	1.6022520192321	2.7658854407845	1.3249300029477	2.0936657514466	7.7812536278044	2.5257578066379	3.4715689976246
4.48	3.3935560845871	0	2.31621696333	23.143945428995	0.43307004698233	7.5624526850808	1.593304965705	2.4742056164533	1.1904059094237	1.8674446748586	7.0361737311949	2.2572440407967	3.5081951754845
4.872	3.0865968189044	0	1.9844350794415	21.994596605732	0.37009882487062	6.5767624130323	1.5808631304863	2.1271432193096	1.0267795449051	1.5925567417832	6.1298900325538	1.9306192392621	3.5399292558954
5	2.9942124609501	0	1.8870320242301	21.510265961271	0.35159727508978	6.2847837326689	1.5768214413047	2.0251246100792	0.9785583452195	1.5118696840333	5.863644095259	1.834040917416	3.5457884750244
5.2	2.8605999219386	0	1.7449898251441	20.620403878505	0.32458542122238	5.8619089928895	1.5705270042638	1.8778781314792	0.90830088659465	1.3942180218459	5.4751909412768	1.6940260084945	3.5498100908106
5.48	2.6893742114889	0	1.5652178965596	19.049801141106	0.29046020780146	5.3265590206566	1.5617570319926	1.6934042206424	0.81954145442828	1.2453428454438	4.9831771957754	1.5171993333128	3.545711056429
5.872	2.4764507588801	0	1.3466871928166	16.129189891646	0.24903206559894	4.6750774252615	1.5495614011409	1.4710164283585	0.71169756326811	1.0644227848857	4.3843627782392	1.302477301622	3.5206902676856
6	2.4114503050317	0	1.2825223626178	14.962363325557	0.23684102564522	4.4814222031137	1.5455997131498	1.4053455685736	0.67986380634218	1.0113142058768	4.2083600152243	1.2389590678695	3.5075788817888
6.2	2.3159813634512	0	1.1889405664751	13.039407601157	0.21906006188171	4.2016585581236	1.5394298589947	1.3100938556168	0.63349075063328	0.93387092276136	3.9514826266957	1.1468890015737	3.4818914279969
6.48	2.1912087995041	0	1.0704799467005	10.442395195342	0.1965997636787	3.8474441769673	1.530833451473	1.1901690131769	0.57489126886661	0.83586618358966	3.6259438936974	1.0306022136784	3.4355860430514
6.872	2.0311886992006	0	0.92643864959903	7.7420989135859	0.16931733076848	3.4162250586579	1.5188791570951	1.0447791825318	0.50360386618428	0.71674948023528	3.229400551619	0.88936148076635	3.349925828921
7	1.9809572171253	0	0.88413562695714	7.1012176216969	0.16125404923696	3.2867250250827	1.5149958866166	1.001578815851	0.48243802555892	0.68177923534309	3.1127656591218	0.84740630290268	3.3162251836985
7.2	1.9055619010496	0	0.82242803678074	6.3609532270411	0.14948006260519	3.1010728894702	1.5089481565688	0.9386053002034	0.45155681501512	0.63078111977425	2.9424494543805	0.78667828034761	3.2576713807011
7.48	1.804191168848	0	0.74429466883752	5.6816010712038	0.13462883841846	2.8663509262055	1.5005219007302	0.85916332955037	0.41258349014427	0.56623427633652	2.7264353124665	0.71010065815258	3.1635925507521
