# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	0.0537107339086	116.29326904123	0.010422406575553	0	2.5557147945102	0.49909615757323	1.3687151022928	3.2033023752214	0.91800578203485	0.035190752654166	1.8574280366981	0.024695064980466	0.69952591442635	1.1326567447246	1.9565521151561	0.0031169110675316	0.057686462362415	7.011277578329	0.065781686330542	4.6503584662485e-07	0.75708609805881	1.0220859681376	1.389262365229	2.12581353658	2.0903489245397
0.48	0.04817906393699	116.29447000161	0.015826104401835	0	2.2757379105171	1.1944713218292	1.3695123497226	3.2306809454621	0.81671221421173	0.040202059373641	1.864424267137	0.04808629748358	0.58708207955621	1.1348451102443	1.9604524131104	0.0052397073513921	0.12337425954389	7.033625534156	0.073907544004775	5.1639700112536e-07	0.67340141670511	1.0293285967	1.4354265211678	1.7085445954742	1.7068736093051
0.872	0.04020431680492	116.29777313232	0.015239560318884	0	1.939646760015	2.1614129339554	1.3712759878731	3.2696933307257	0.69413443767499	0.034604310087523	1.8743003893968	0.059940629268805	0.45684475130718	1.1387997694827	1.9666417348077	0.0052092679936323	0.19968414308061	7.0606466229054	0.078224206662837	4.8049051647692e-07	0.57193506440336	1.0390565902939	1.4981273473272	1.3023019609875	1.3022807457876
1	0.037912740516181	116.29916179562	0.014554171920229	0	1.8419863115121	2.4755691826019	1.3719752496331	3.2819107072905	0.65826942966751	0.032456368418466	1.8775421969839	0.060786584067272	0.42259590927709	1.1401421221172	1.9685433159223	0.0049936818136749	0.22128573243571	7.0685223309771	0.078788009588675	4.6134055533152e-07	0.54219784798556	1.041944979209	1.5130268679045	1.1934934786392	1.1934927786806
1.2	0.034665837812293	116.30143418134	0.013037418969235	0	1.6999762628353	2.4656869135639	1.3731672533835	3.3002560129568	0.60602430979857	0.029305371136823	1.8826199413269	0.058806675326976	0.40805333807929	1.1422327177699	1.9712939517886	0.0045747771401886	0.2514396025972	7.0799420565236	0.080206396953044	4.2347079269743e-07	0.49886074358501	1.0461433180594	1.5129363713755	1.042273899464	1.0422738848273
1.48	0.030690894008831	116.30458462174	0.01137818838117	0	1.5202723906086	2.4519181177266	1.3750248306185	3.3242992736745	0.53992217020487	0.02551761878225	1.8897483515058	0.05347060105495	0.35707335529737	1.1450594884731	1.9747119766667	0.0040455689708489	0.28897717354885	7.0942956126837	0.07975511282374	3.7458473605064e-07	0.44403136388921	1.0514293478972	1.5022745540143	0.86290964502584	0.86290963505277
1.872	0.025958249028295	116.30894062152	0.0094948814992772	0	1.3018750611488	2.4327713248144	1.3779591916151	3.3546969921285	0.45960699509019	0.021125964834689	1.8997547126308	0.043725455705873	0.31152603601774	1.1486755552421	1.9787742562614	0.0034035997288877	0.33158681796543	7.1115480473745	0.078594058868723	3.1356767058706e-07	0.37741671762245	1.0578020540994	1.4613266633856	0.663096350596	0.66309634489285
2	0.024567334779618	116.31038580244	0.0089564360511226	0	1.2377552069677	2.4265516388469	1.3789909719335	3.3638543268613	0.43603199167456	0.019856590760282	1.9030265741546	0.040431821367599	0.30125866456822	1.149757751033	1.9799474654307	0.0032180964907142	0.34335555728118	7.1165693989579	0.078190004923984	2.9450704293964e-07	0.35786422341118	1.0596630709932	1.4421116621605	0.60805011390339	0.60805010900452
2.2	0.022578672537709	116.31263159642	0.0081751159167836	0	1.1442517681807	2.4168652655546	1.3806733798808	3.3773755856474	0.40165859244276	0.018054564951001	1.9081393695848	0.035480536923852	0.30962251536722	1.1513317203073	1.9816349258309	0.0029439542852332	0.35914831388245	7.1238375971587	0.078296497813327	2.6815222422431e-07	0.32935682820805	1.0623613621967	1.4043658270296	0.53111022842308	0.53111022448642
2.48	0.020126782970118	116.31575339061	0.0072335159312883	0	1.0259152820711	2.4033694244918	1.3831623207951	3.3947762965399	0.35816637584794	0.015884112406233	1.9152927866857	0.029471391229082	0.29336340159629	1.1532936646725	1.9837276215879	0.00261004804022	0.3783543653975	7.1329388231373	0.076965249642225	2.3622994066862e-07	0.2932888122167	1.0657523164059	1.3435687875748	0.43957287148275	0.43957286850296
2.872	0.017182459276368	116.32008258575	0.0061178743115765	0	0.88207189566499	2.3846021611516	1.3868784718315	3.4164287176959	0.30531912340216	0.013326583152196	1.9252811987783	0.022901243605811	0.27860790751829	1.1555973362137	1.9861952606207	0.002210207068355	0.3986934290971	7.1438144801993	0.075192878427629	1.9971643972482e-07	0.24946654433863	1.0698332597773	1.2403029155456	0.33748589492862	0.3374858928366
3	0.016317411909265	116.32150171338	0.0057945492439388	0	0.83983572737475	2.3785056457697	1.38814062338	3.4229192785001	0.289806633103	0.012582624294773	1.9285332322428	0.021113360747324	0.27546781588552	1.1562564749519	1.9869018265077	0.002094185114204	0.40392550069538	7.1469625511731	0.074668860607969	1.8927826869872e-07	0.23660415642934	1.0710224766061	1.2027684438618	0.30935210655013	0.30935210467621
3.2	0.015072546037129	116.3237094977	0.0053238590220388	0	0.77823756438531	2.3690110935121	1.3901575998989	3.4325066268219	0.26718785748416	0.011515967768781	1.9335985246122	0.018690977590956	0.29149985466035	1.1571951744137	1.9879121775399	0.0019235628125293	0.41034792247013	7.1515030750242	0.07458844839765	1.7480729025739e-07	0.21785048433553	1.0727453414307	1.1394977416443	0.27002174867582	0.2700217470904
3.48	0.013525126022778	116.32678203197	0.0047472788695023	0	0.70026635972538	2.3557824934555	1.3930626173634	3.4449060821214	0.23856691863255	0.01020885906168	1.9406467756752	0.015971957502981	0.28440255239725	1.1583450083237	1.9891523067677	0.0017132250519281	0.41752452276844	7.1571534733504	0.073154721127746	1.5765718198904e-07	0.1941222811188	1.0749059870794	1.0464453855579	0.22321394578864	0.223213944524
3.872	0.011660943606418	116.33104883545	0.0040576548106651	0	0.60546312834972	2.3373867839258	1.3972624718078	3.4605262808241	0.20378653223441	0.008651319888788	1.9503934927858	0.013062313236377	0.27659763428561	1.1596842981269	1.9905880059931	0.0014600300849995	0.4233595940813	7.1638365268839	0.071246569595528	1.3811311004231e-07	0.16529136847384	1.0774960591176	0.90714408422892	0.17098265687269	0.17098265594021
4	0.011113529166034	116.33244029165	0.003856893148376	0	0.57762085513427	2.3314109666546	1.3986608292295	3.4652567067413	0.1935767955114	0.008196773361307	1.9535409764806	0.012260313732918	0.27474157017188	1.1600660982056	1.9909920126179	0.0013862628828297	0.42435993289675	7.1657530290068	0.070663253595358	1.3248242931216e-07	0.15682903087226	1.0782479219088	0.85994420890297	0.15658239936735	0.15658239852209
4.2	0.010323258770632	116.33460614538	0.003564356596874	0	0.53700853193958	2.3221043756987	1.4008689062302	3.4722993715467	0.17868916639644	0.0075414487172049	1.9584085571837	0.011142185248907	0.29150222165039	1.1606103002807	1.9915623624493	0.0012780866071528	0.42476579035996	7.1684989648283	0.070451688755186	1.2456464545496e-07	0.14449039002392	1.0793345668206	0.78445393356108	0.13644648251741	0.13644648179114
4.48	0.0093375121465405	116.33762193186	0.0032030904791137	0	0.4855882492198	2.3091376314566	1.4039999557883	3.481508295967	0.15984934184472	0.0067311477269491	1.9650944849983	0.0098249307117247	0.28432908286836	1.1612765017564	1.9922471219099	0.0011439045815926	0.42423807515676	7.1718781245418	0.068690712828488	1.1494148383485e-07	0.12887816941743	1.0806914706698	0.67819931922527	0.1124768323449	0.11247683175599
4.872	0.0081501258693642	116.34181242725	0.0027694703412646	0	0.42304279037639	2.291105986212	1.4084412089703	3.493274380322	0.13695204136933	0.0057607775730385	1.9741055203717	0.0083262179336569	0.27400584250218	1.1620472768048	1.9930091642001	0.00098215056597526	0.42085581658029	7.1758002153561	0.065945143671032	1.036527486221e-07	0.10990729756958	1.0823062096044	0.5304829435033	0.085731742728618	0.085731742287752
5	0.007801895694469	116.34317583051	0.0026430741637358	0	0.40466832955549	2.285248465659	1.4099018802836	3.4968724723759	0.13022995336301	0.0054773219717145	1.9769495391786	0.0078996676365122	0.27083500296222	1.1622646617502	1.993215492311	0.00093496725950466	0.41918639920837	7.1769055983929	0.065010584589126	1.0035843458892e-07	0.10433883257649	1.0827718382716	0.48304063164495	0.078360461759593	0.078360461358601
5.2	0.0073013064420008	116.34529842721	0.00246023119546	0	0.37785996834209	2.276126093136	1.4121904086406	3.5022635698108	0.12042717909897	0.0050696223495607	1.9812495807289	0.0072956849518674	0.28305511650624	1.1625720618713	1.9934981315456	0.00086640006277773	0.41606738088692	7.1784692080156	0.06408378286264	9.5693060297531e-08	0.096219325179154	1.0834417913315	0.41095541242148	0.068060179642736	0.068060179296811
