# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
0.2	5.9064700696289e-05	1.3104332630416	1.1461327564698e-05	0	0.028798688909984	0.0056239902103908	0.015423160843163	0.036095930339322	0.010344410491803	3.8698619653462e-05	0.020930148474999	2.7156705785543e-05	0.69952591442635	0.58237272274971	0.012763172550596	0.022047113870772	3.4276093711826e-06	6.3436733149785e-05	0.079005527774273	0.065781686330542	0.94553660471515	4.6503584662485e-07	2.6118648431225e-05	0.0085311111642435	0.011517221930144	0.0015277461200653	0.90925685620919
0.48	5.2997626944434e-05	1.3059961986914	1.7408930563478e-05	0	0.025556718732163	0.013414008478808	0.015379732601049	0.036280786549723	0.0091717434803293	4.4222813246644e-05	0.020937627899567	5.2895582743511e-05	0.58708207955621	1.025174711697	0.012744399870113	0.022016034720278	5.7637495088992e-06	0.00013571336758881	0.078988160020756	0.073907544004775	0.60627525174444	5.1639700112536e-07	2.9410803321253e-05	0.007562351763369	0.01155943753915	0.001578988742687	0.90898547950344
0.872	4.4248315565982e-05	1.2986315850243	1.6772449878741e-05	0	0.021658940476792	0.024135278165818	0.01531226186084	0.036510750083641	0.0077510074403578	3.8085025879471e-05	0.020929234720047	6.5969831561287e-05	0.45684475130718	0.93776158878476	0.012716327716742	0.021960367270472	5.7332485095291e-06	0.00021976962432278	0.078842197864674	0.078224206662837	0.50067956902839	4.8049051647692e-07	2.7310288957789e-05	0.0063864760181674	0.011602540569992	0.0016488184077917	0.90851641960784
1	4.1734155042849e-05	1.2960069119715	1.6021160051744e-05	0	0.020526605300539	0.027587084227229	0.015288922798357	0.036572647716261	0.007335579357889	3.5727808317525e-05	0.02092280472586	6.6913572032536e-05	0.42259590927709	0.8523175765239	0.012705431576307	0.021936908414505	5.4970201128057e-06	0.00024359025081347	0.078769657945867	0.078788009588675	0.48702524457856	4.6134055533152e-07	2.6189742953735e-05	0.0060421085384248	0.011611134264989	0.0016655326240371	0.90834533985681
1.2	3.8151009362255e-05	1.2989291286446	1.4348151855707e-05	0	0.018986426959628	0.027538375404035	0.015336407182653	0.036859247034202	0.0067684687988642	3.2251621983237e-05	0.021026271547178	6.471888020029e-05	0.40805333807929	0.97446740559424	0.012757175487578	0.022016656268234	5.0347079769371e-06	0.00027671842047262	0.07907323770969	0.080206396953044	0.66115257160774	4.2347079269743e-07	2.3618221001485e-05	0.0055715972500511	0.011683967571482	0.001665041570004	0.90856187540444
1.48	3.3766441678579e-05	1.302635540938	1.2518402078192e-05	0	0.017027367014683	0.027461992960047	0.015400552689812	0.037232646749257	0.0060472406184207	2.8074750779645e-05	0.021165518276225	5.8828920651595e-05	0.35707335529737	0.71561890355527	0.012824883842235	0.022117153840849	4.4509773914277e-06	0.00031793577141931	0.079457437859031	0.07975511282374	0.52874831645854	3.7458473605064e-07	2.1020892858344e-05	0.0049732436409356	0.011776179241816	0.0016528186809158	0.90883512691866
1.872	2.8549341743533e-05	1.3071565276816	1.0442639463866e-05	0	0.014631329940203	0.027341087463135	0.015486393438004	0.037701997797249	0.0051653663157892	2.3234710638741e-05	0.02135060725142	4.8090040236663e-05	0.31152603601774	0.61580967694749	0.012909540425076	0.022238722596582	3.7433395194807e-06	0.00036468519891375	0.079924046157725	0.078594058868723	0.53113145432341	3.1356767058706e-07	1.769074747588e-05	0.0042416578099669	0.011888205446065	0.0016071938893968	0.90916625227695
2	2.7016775688775e-05	1.3084879581562	9.8494217691295e-06	0	0.013924704772928	0.027298624951692	0.015513578931924	0.037842915962013	0.0049053453555871	2.1836356178481e-05	0.021408885588241	4.4463011943373e-05	0.30125866456822	0.59406171562883	0.012934699680558	0.022274291018201	3.5389511809134e-06	0.0003775893697797	0.080060927238163	0.078190004923984	0.53567720215047	2.9450704293964e-07	1.6634944542764e-05	0.0040259605711865	0.011921095206501	0.0015858958600873	0.90926327193008
2.2	2.4826083237228e-05	1.310434090691	8.9888419634586e-06	0	0.012891691175508	0.027229567364489	0.015555301544019	0.038050750256904	0.0045252790303622	1.9851660401645e-05	0.021497897504569	3.9012167045248e-05	0.30962251536722	0.72536023853253	0.012971414081618	0.022325992666945	3.2369865225471e-06	0.00039489702843154	0.080260305516301	0.078296497813327	0.6692473513095	2.6815222422431e-07	1.499516907012e-05	0.0037106925539666	0.011968983215642	0.0015441532859887	0.90940467450725
2.48	2.2125925118534e-05	1.3129054741216	7.952003335619e-06	0	0.011579942972457	0.027127854849329	0.015612303994731	0.038317818768439	0.0040427765135374	1.7461841381152e-05	0.021618577929034	3.2398716919443e-05	0.29336340159629	0.58033243982956	0.013017664511981	0.02239110711502	2.8692977505933e-06	0.00041593564217981	0.080512190925291	0.076965249642225	0.55524851786902	2.3622994066862e-07	1.3276470180518e-05	0.0033104758059021	0.01202949217015	0.0014770236674732	0.90958351725855
