# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	-1.3088195395052	0.062767642088587	0.012097748675919	0.041041724049441	0.028663613526722	0.0036056453074693	0.066252242349226	1.6197083543623
0.48	-1.286730294471	0.056564154450985	0.01846842169513	0.047073564495108	0.055915645859923	0.0061102897055597	0.14268180574785	1.6628889539695
0.872	-1.2626417102734	0.04727357477471	0.017822893224051	0.040600301050476	0.069623699566351	0.0060895711009713	0.23064581970265	1.7215583772745
1	-1.2540173980273	0.044600347537792	0.0170315060024	0.03810319705936	0.070578237025587	0.0058410110415554	0.25535417786582	1.7342808537943
1.2	-0.8841797848763	0.0408203183097	0.015294811972758	0.034466985367505	0.068404783836935	0.0053648209864779	0.29042231318128	1.7305398453644
1.48	-1.2691186770833	0.036115456059687	0.013323989388888	0.029973430732717	0.062012705362107	0.0047350637623945	0.33172958665792	1.7037367086626
1.872	-1.1965678883057	0.030578632993796	0.011120685609952	0.024835058453044	0.050616909601726	0.0039836167828245	0.37764478191254	1.6370734318109
2	-1.1700607969824	0.028951416143539	0.010494212244623	0.023353262299092	0.046810188994253	0.0037678148895472	0.39004911360587	1.6089178007785
2.2	-0.84929955317383	0.026617062801236	0.0096006741592299	0.021259205018998	0.041224955158603	0.0034552696527456	0.40777375821261	1.5622176767707
2.48	-1.0620754588704	0.023763391546953	0.0084964902940078	0.018721255811396	0.03430940382593	0.0030633282498457	0.42701687138446	1.4807038597967
2.872	-0.96113809719564	0.020334950308051	0.0072009747459289	0.015743950923603	0.026769423073072	0.0025990144554141	0.44628891263618	1.3477375454424
3	-0.92650735436198	0.019327757254634	0.0068264889135618	0.014878539786092	0.024721656328175	0.0024646887317566	0.45093405433328	1.3005578136417
3.2	-0.68068564081055	0.017878117257133	0.0062891282435973	0.013643895083912	0.02198399337202	0.0022703517200074	0.45747231897461	1.2262385673641
3.48	-0.79315539205566	0.016086654816491	0.0056174048811828	0.012122896217905	0.018846304361933	0.0020251566816832	0.46267706525339	1.1131623606055
3.872	-0.67936684379557	0.013935665031116	0.0048224270732296	0.010321746437723	0.015495587164854	0.0017331432258684	0.46522181342152	0.9476878121961
4	-0.64196423672038	0.013304456959098	0.0045917634312565	0.0097967731151692	0.014574204113981	0.0016483666558225	0.46504692988171	0.89258937943557
4.2	-0.44259075644531	0.012396727917081	0.0042604431176265	0.0090448921925331	0.013308516110211	0.0015259422816003	0.46462097381263	0.80794188083407
4.48	-0.50452781791667	0.011272441986851	0.0038450292081412	0.008112512612883	0.011791798296639	0.0013713823137	0.46129515167293	0.68790781963872
4.872	-0.39695133505208	0.0099316443035791	0.0033535849668331	0.0070071893771143	0.010083213430398	0.0011875317146139	0.45390585219919	0.5259286814395
