# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	9.7459684563127	-9.3613307493638	0.0097153489752415	0.39435305592412
0.48	9.7096085732673	5.4055941021543	0.0047822926967537	15.119984968118
0.872	4.3716409545496	5.6794724407031	0.0028172949720597	10.053930690225
1	2.5880697992372	5.38217823675	0.0021826944295146	7.9724307304168
1.2	8.0233427610951	17.135564644472	0.0031779568209149	25.162085362388
1.48	1.4412256979335	3.9349914485165	0.0016067655337471	5.3778239119838
1.872	1.841248549786	5.4452258417795	0.0011072243107764	7.2875816158763
2	1.8741039122149	5.5465028130614	0.0010097382707425	7.4216164635471
2.2	5.6842189276321	14.689241035425	0.0017268159084386	20.375186778966
2.48	1.3576859935262	3.9904512200229	0.00089533607977303	5.3490325496289
2.872	1.7364705930919	5.1644520088732	0.00066777633979575	6.9015903783049
3	1.7647509996196	5.2407031080055	0.00063616842988062	7.006090276055
3.2	5.3151207936911	13.864305224632	0.0011159476514719	19.180541965974
3.48	1.3601595228945	3.7416709003785	0.00059633991061594	5.1024267631837
3.872	1.7232421020603	4.851203893782	0.00046715476394474	6.5749131506062
4	1.7367697543488	4.9254001584568	0.00044910685841141	6.6626190196641
4.2	5.2614726165747	13.592072185435	0.00081014282401073	18.854354944834
4.48	1.3130591128789	3.3826012529136	0.00043324838619848	4.6960936141787
4.872	1.6185623457056	4.4212758638004	0.00034086481018133	6.0401790743162
5	1.6033463832114	4.4688152059507	0.00032686450535565	6.0724884536674
5.2	4.8761029228275	13.053200118202	0.0006182487978013	17.929921289828
5.48	1.082886275608	2.7492527207604	0.00031195878328335	3.8324509551517
5.872	1.1992188098827	3.4976252170602	0.00022941970251891	4.6970734466455
6	1.1156100916269	3.4474397548799	0.00021395586429323	4.5632638023711
6.2	3.3842472940749	11.206918135424	0.00043675464846196	14.591602184148
6.48	0.4644392079188	1.4293269050156	0.00018351456047588	1.8939496274948
6.872	0.39445239387758	1.9010237567196	0.00010682651293313	2.2955829771101
7	0.32346792577384	1.8719633247485	9.37668592592e-05	2.1955250173817
