# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.4274967478525	1.5377304599493	1.8418325242726
0.48	1.5045786304046	1.8416782616588	2.0939614644963
0.872	1.5785168049086	2.1215845222239	1.4151409590859
1	1.5933613057057	2.1902800047435	1.3443446004769
1.2	1.5893552428119	2.2683958935766	1.2416254180784
1.48	1.5711689124213	2.3460402561427	1.1876613521757
1.872	1.5179506003196	2.4062080328848	1.1155131976127
2	1.4947180160699	2.4160574735017	1.0975784254618
2.2	1.4509654341555	2.4226094418558	1.0736867411997
2.48	1.3828837427753	2.4147792448404	1.0468746412312
2.872	1.2715322405314	2.3775821153655	1.0188038558007
3	1.2317705389673	2.3599002047181	1.0113766743504
3.2	1.1654361410698	2.3279535258498	1.0012019486046
3.48	1.0688778469823	2.2714038324333	0.98939564537737
3.872	0.92572408236096	2.1767656258056	0.97658980733124
4	0.87744767866709	2.1426856130348	0.97312472917377
4.2	0.80043856201401	2.0881253395939	0.9683254284472
4.48	0.69237124499771	2.0031164373012	0.96268082486025
4.872	0.5425607823442	1.8771824103299	0.95646829794054
5	0.49451834070471	1.8350292015251	0.95477162773956
5.2	0.42157772863158	1.771420407473	0.95241185692313
5.48	0.3259745928279	1.6767472590093	0.94962427481972
5.872	0.21221407430643	1.5484401015225	0.94654924874678
6	0.18047820758822	1.5085996619109	0.94570941763692
6.2	0.13880050882123	1.4518255880778	0.94454442882554
6.48	0.096994360338165	1.3746487287975	0.94317519238695
6.872	0.065147193410499	1.2845560707548	0.94167333191326
7	0.058870348795057	1.2593303938511	0.94126360746685
7.2	0.052227086198649	1.2260399579367	0.94069447048667
7.48	0.046857128062433	1.1819451330509	0.9400224680302
7.872	0.043058591710381	1.1291902172699	0.93928058778293
8	0.042260776799309	1.1134964670574	0.93907774203468
8.2	0.041326762917135	1.091952168795	0.93879629525064
8.48	0.040493770824586	1.0610172710233	0.93846594839232
8.872	0.040005219163273	1.0214230361569	0.93810736418927
9	0.039958548651427	1.0093429706625	0.93801093226839
9.2	0.040029068012985	0.99270284763318	0.93787935977259
9.48	0.040413900804353	0.96900137374146	0.93772950048386
9.872	0.041455770799906	0.9396252307906	0.93757536707186
10	0.041869920830904	0.93090907165746	0.93753572987979
10.2	0.042619174406512	0.9192732566836	0.93748364545185
10.48	0.043840737723037	0.90281642376348	0.93742765764603
10.872	0.045733105266795	0.88268648484706	0.93737455603978
11	0.046343715025779	0.87668402917846	0.93736164993847
11.2	0.047281757577936	0.8686437522708	0.93734528021163
11.48	0.048549470272436	0.8566556172613	0.93732838815249
11.872	0.050103599467676	0.84094638537871	0.93731288109431
12	0.050539847535642	0.83600569981131	0.93730915266293
12.2	0.051139483068582	0.82918929730039	0.9373044088974
12.48	0.051844989452003	0.81841300510364	0.93729944314925
12.872	0.052541917219397	0.80353065922716	0.93729473354922
13	0.052704246641922	0.79872085783924	0.93729357515797
13.2	0.052884928527305	0.79197224979927	0.9372920801532
13.48	0.053044050268188	0.78119493118844	0.9372905005063
13.872	0.053075780045183	0.76616682114438	0.93728903085466
14	0.053047393263449	0.76129504312597	0.93728868907713
14.2	0.052955061588036	0.75443643175364	0.93728827856121
14.48	0.052783500250699	0.7435242756805	0.93728791951725
14.872	0.052442215484753	0.72833990501459	0.93728775261227
15	0.052311042443557	0.72342673189068	0.93728776522945
15.2	0.052088459468661	0.71662394571686	0.93728784674239
15.48	0.051745851270005	0.70565774457685	0.93728807855869
15.872	0.051217220983558	0.69043778682692	0.93728859866747
16	0.051035267536663	0.68552178414212	0.93728880854633
16.2	0.050729165172104	0.67861255715292	0.93728917920274
16.48	0.050306658842928	0.66767053685774	0.93728977731379
16.872	0.049691564885469	0.65251139456845	0.93729074462455
17	0.049486249705604	0.64762061924271	0.93729108739883
17.2	0.049160248851028	0.6408524745209	0.93729165197319
17.48	0.048698538984473	0.62998213315967	0.93729250206008
17.872	0.04804066624718	0.61493977452155	0.93729379720236
18	0.047823718763454	0.61009093501712	0.93729424150021
18.2	0.047470491997928	0.60330582160523	0.93729496388609
18.48	0.04699105452173	0.59254202664617	0.93729602892746
18.872	0.046313109737522	0.57766235324342	0.93729761158153
19	0.046090431044277	0.57286950254726	0.93729814692439
19.2	0.04573008318676	0.56618339242	0.93729901006371
19.48	0.045240044819745	0.5555529561063	0.93730027023124
19.872	0.044548861752433	0.54087166880072	0.9373021252657
20	0.044322137950839	0.53614646314238	0.93730274911236
