# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
0.2	1.8530203198467	4012.1177819224	0.35957302685656	0	88.172160410602	17.218817436276	47.2206710291	110.51393194514	31.671199480202	1.2140809665687	64.081267266084	0.85197974182609	24.133644047709	2.0091858934865	26.142829941195	39.076657692999	67.501047972886	0.10753343182984	1.9901829515033	241.88907645235	2.2694681784037	3.2621012862673	5.531569464671	1.6043736708557e-05	9.0109337087727e-05	0.00010615307379628	26.119470383029	35.261965900747	47.9295516004
0.48	1.6621777058262	4012.1592150555	0.54600060186332	0	78.512957912838	41.209260603109	47.24817606543	111.45849261844	28.176571390305	1.3869710483906	64.322637216227	1.6589772631835	20.254331744689	3.5368527553547	23.791184500044	39.152156303428	67.635608252309	0.18076990362303	4.2564119542643	242.66008092838	2.5498102681647	2.0916496185183	4.641459886683	1.7815696538825e-05	0.00010146727145832	0.00011928296799715	23.232348876326	35.511836586149	49.52221498029
0.872	1.3870489297697	4012.2731730649	0.52576483100149	0	66.917813220516	74.568746221461	47.309021581623	112.80441991004	23.947638099787	1.1938486980196	64.663363434189	2.0679517097738	15.761143920098	3.2352774813074	18.996421401405	39.288592047152	67.849139850865	0.17971974578031	6.889102936281	243.59230849024	2.6987351298679	1.727344513148	4.4260796430158	1.6576922818454e-05	9.4220496904371e-05	0.00011079741972283	19.731759721916	35.847452365138	51.68539348279
1	1.3079895478083	4012.3210819488	0.50211893124789	0	63.548527747166	85.407136799767	47.333146112342	113.22591940152	22.710295323529	1.1197447104371	64.775205795944	2.0971371503209	14.579558870059	2.9404956390075	17.520054509067	39.334903213043	67.914744399319	0.17228202257179	7.6343577690319	243.86402041871	2.7181863308093	1.680237093796	4.3984234246053	1.5916249158937e-05	9.0354613190385e-05	0.00010627086234932	18.705825755502	35.94710178271	52.199426942704
1.2	1.1959714045241	4012.3994792564	0.44979095443862	0	58.649181067819	85.066198517956	47.374270241731	113.85883244701	20.907838688051	1.0110353042204	64.950387975779	2.0288302987807	14.077840163735	3.3619125493001	17.439752713036	39.407028763062	68.009641336706	0.15782981133651	8.6746662896034	244.25800095006	2.76712069488	2.2809763720467	5.0480970669267	1.4609742348061e-05	8.1482862455122e-05	9.6092604803183e-05	17.210695653683	36.09194447305	52.196304812454
1.48	1.0588358433047	4012.5081694499	0.39254749915037	0	52.449397475997	84.591175061567	47.438356656337	114.68832494177	18.627314872068	0.88035784798763	65.196318126948	1.8447357363958	12.319030757759	2.4688852172657	14.787915975025	39.504552352323	68.127563195001	0.13957212949429	9.9697124874352	244.75319863759	2.751551392419	1.824181691782	4.575733084201	1.2923173393747e-05	7.2522080361286e-05	8.5445253755033e-05	15.319082054178	36.274312502452	51.828472113495
1.872	0.89555959147616	4012.6584514425	0.32757341172506	0	44.914689609634	83.930610706098	47.539592110721	115.73704622843	15.856441330612	0.72884578679676	65.541537585763	1.5085282218526	10.747648242612	2.1245433854689	12.872191628081	39.629306655852	68.267711841018	0.11742419064663	11.439745219807	245.34840763442	2.7114950309709	1.8324035174158	4.5438985483867	1.0818084635254e-05	6.1033078791785e-05	7.1851163427038e-05	13.020876757974	36.49417086643	50.415769886803
2	0.84757304989683	4012.7083101842	0.30899704376373	0	42.702554640385	83.716031540218	47.575188531704	116.05297427671	15.043103712772	0.68505238122972	65.654416808333	1.3948978371822	10.393423927604	2.0495129189195	12.442936846523	39.666642410637	68.308187557358	0.11102432892964	11.845766726201	245.52164426405	2.6975551698775	1.8480863474191	4.5456415172966	1.0160492981418e-05	5.7390558672535e-05	6.7551051653953e-05	12.346315707686	36.558375949266	49.752852344537
2.2	0.77896420255097	4012.7857900763	0.28204149912904	0	39.476686002235	83.381851661634	47.633231605888	116.51945770483	13.857221439275	0.62288249080955	65.830808250674	1.2240785238729	10.681976780169	2.5024928229372	13.184469603106	39.720944350601	68.366404941166	0.10156642284055	12.390616828945	245.77239710197	2.7012291745598	2.3089033620178	5.0101325365776	9.2512517357387e-06	5.1733333291916e-05	6.0984585027654e-05	11.362810573178	36.651466995785	48.450621032521
2.48	0.69437401246908	4012.8934919761	0.24955629962945	0	35.394077231453	82.916245144966	47.719100067432	117.11978223063	12.356739966754	0.54800187801504	66.077601140658	1.0167629974033	10.121037355072	2.002146917412	12.123184272484	39.7886314312	68.438602944783	0.09004665738759	13.053225606214	246.08638939824	2.6553011126568	1.9156073866481	4.5709084993049	8.1499329530674e-06	4.5803822122788e-05	5.3953755075855e-05	10.118464021476	36.768454916002	46.353123171329
