# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.7723952757147	4.5012412859945	0.00012433835044653
0.48	3.9449270079083	2.3329793595646	0.00011317433920713
0.872	2.7111746763948	1.4475214928707	7.8957127666004e-05
1	2.1405683122994	1.2231487136917	6.5774710594684e-05
1.2	3.9558512166513	2.6839497734218	9.5878168879397e-05
1.48	1.7447531685547	1.289143493465	5.1251120153541e-05
1.872	1.3025883379318	1.1234734101496	3.7420262635406e-05
2	1.2365790114845	1.1150479941303	3.4626740713911e-05
2.2	2.5787619402906	2.3792724520694	5.3310007026523e-05
2.48	1.2907028382625	1.2349143705661	2.9527861636921e-05
2.872	1.0851693096378	1.0935133357345	2.2555208891715e-05
3	1.0597364306996	1.0830418572832	2.1165749510074e-05
3.2	2.3152303955162	2.2785556828549	3.3544545165647e-05
3.48	1.1938604874771	1.180287395535	1.8928454768231e-05
3.872	1.0353424984653	1.039334160998	1.497672458983e-05
4	1.0171725543394	1.0268514251223	1.4211277185189e-05
4.2	2.2816967027644	2.2214466353132	2.3555814202641e-05
4.48	1.1545790593956	1.114636844372	1.3233355703564e-05
4.872	0.97815079356533	0.9558379496767	1.0525110973526e-05
5	0.95165243633609	0.93647303739475	1.0002861080286e-05
5.2	2.1477401486813	2.1043122341378	1.7448784113733e-05
5.48	1.0206463922432	0.98850444729848	9.3686585172141e-06
5.872	0.7740213784662	0.77362924847389	7.0037250891309e-06
6	0.72087411607842	0.7330186751822	6.4985582077767e-06
6.2	1.5923675831223	1.7506945776894	1.2216141654369e-05
6.48	0.6264783081301	0.69037233733634	5.5617047091394e-06
6.872	0.36297849200989	0.43768410014893	3.4269835953957e-06
7	0.31329898390236	0.39307508208786	3.0233625785681e-06
7.2	0.76877282129619	1.1662821515232	7.2659277607259e-06
7.48	0.24684452065642	0.38528721454714	2.6693300081928e-06
7.872	0.13791589407501	0.24261615258376	1.6232985342788e-06
8	0.12288111510705	0.22588637591111	1.4861701245557e-06
8.2	0.36850193795414	0.81292983738091	4.5734290221366e-06
8.48	0.11639702626674	0.26504834813042	1.6083319353451e-06
8.872	0.071256318600973	0.17884397269521	1.0640663688013e-06
9	0.065448004501606	0.16986548725653	1.0016439855174e-06
9.2	0.21040856898926	0.62542090382663	3.3096076137609e-06
9.48	0.066680693258723	0.20206123982062	1.1467876501722e-06
9.872	0.041749166185979	0.13480787815122	7.6963839384855e-07
10	0.038562521963209	0.12721390081045	7.2638706309205e-07
10.2	0.13869343773835	0.50506891785198	2.673177003551e-06
10.48	0.041498872032859	0.15149448102415	8.6249875916585e-07
10.872	0.025729942207851	0.097133482353335	5.6408841917847e-07
11	0.023994093065627	0.091649613248325	5.3396338780475e-07
11.2	0.1046968622309	0.43086003478118	2.3504884075205e-06
11.48	0.029222158204416	0.11888897765546	6.9101843515237e-07
11.872	0.018582734289162	0.076531479021483	4.485244386178e-07
12	0.017744258289633	0.073457265533049	4.3017275346157e-07
12.2	0.090213326201404	0.39573535467209	2.1641226238246e-06
12.48	0.024461529787656	0.10513404809825	6.0430836972369e-07
12.872	0.016043333508168	0.068891247579231	3.9437623977658e-07
13	0.015547337223893	0.066849987478251	3.8118798748622e-07
13.2	0.084600611483631	0.38175075907566	2.0280205933157e-06
13.48	0.022663234536021	0.099727046155948	5.5341691795287e-07
13.872	0.014976081502501	0.065424219034572	3.5995564925688e-07
14	0.014572700562179	0.063634575046057	3.4838661534428e-07
14.2	0.082230151009779	0.37533825549538	1.9135998365103e-06
14.48	0.021731830353586	0.096539073361706	5.1323594182802e-07
14.872	0.014279835218056	0.062824019183275	3.308224386729e-07
15	0.013903025191777	0.061101236127057	3.2011301648524e-07
15.2	0.080902388818693	0.37126285644693	1.8139552736771e-06
15.48	0.021060680182685	0.093988453763271	4.7848859395261e-07
15.872	0.013710094771338	0.060547537384293	3.0522102430679e-07
16	0.01334585594801	0.0588648625318	2.9521383509777e-07
16.2	0.07989253608159	0.36795901942022	1.7187459549268e-06
16.48	0.02048949289581	0.091743037181346	4.465518871125e-07
16.872	0.01320941791759	0.058514123708548	2.8199780138265e-07
17	0.012855049513323	0.056868587327154	2.7264306965633e-07
17.2	0.079016813381401	0.36507092985892	1.6320926459696e-06
17.48	0.019993640007215	0.089784671695983	4.1796384358094e-07
17.872	0.01277122511944	0.056725995804828	2.612734127872e-07
18	0.012424165705901	0.055107177400294	2.5244139119175e-07
18.2	0.078238801900451	0.36248609805108	1.5462003345571e-06
18.48	0.019546103521738	0.088000721214198	3.9069527512292e-07
18.872	0.012371755420176	0.055078468652179	2.4173470050034e-07
19	0.012030243853622	0.053478306958466	2.3336672211821e-07
19.2	0.077562470537629	0.3601779206424	1.4629476378982e-06
19.48	0.019140660509899	0.08634977366751	3.6469448568704e-07
19.872	0.012001089052681	0.053518427641876	2.2314346931512e-07
20	0.011662681404998	0.051926114679019	2.1516566901071e-07
