# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_ButyricValeric [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_hydroM [1]	Valeric [1]	MO_acetoM [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	MO_Propionic [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
0.2	6.0309282341317e-08	1.8149367238015e-07	1.1133985913821e-06	0.015450038145464	0.022074146811028	3.2889600209337e-06	0.71342505169411	0.57885913022956	0.036021812070745	3.1530915904579e-07	0.020968183151614	2.7206454395524e-06	0.078991939897375	0.060695693594881	0.93893379774736	0.011500494642108	0.012779825023421	1.2578033366667e-08	3.8762272728943e-06	0.0014540708881373	0.90939595953513
0.48	-1.2730732000574e-09	1.6242663621301e-08	1.6570583617859e-07	0.015446746977469	0.022069443866191	9.6087924665086e-07	0.63457321476464	1.0645711394554	0.036018475977709	4.6881167906766e-08	0.02104497048969	2.3177027361509e-06	0.078969856293944	0.061507677972558	0.58123592562388	0.011497411560251	0.012777952957476	3.8724804084202e-09	1.0700520917607e-06	0.0012525322826408	0.90939211856095
0.872	4.207066526688e-11	4.8870298969543e-10	1.1113050266831e-08	0.015442098805284	0.022061311073801	1.5280767583831e-07	0.53913842451783	1.094485118173	0.036007579914931	3.0372460274351e-09	0.021150552502104	1.8531194754074e-06	0.078939904195272	0.060092679348421	0.44295027218312	0.011493063988892	0.012773672990448	1.1036835703572e-09	1.8016957475503e-07	0.00097548787468965	0.90938778641485
1	3.6209066830241e-12	1.5509491088111e-10	4.314335150898e-09	0.015440550135921	0.022058618647013	7.7423816969654e-08	0.51125420552415	1.0187924517757	0.036003612917779	1.1526374381704e-09	0.021184408522435	1.721473904813e-06	0.078930233327854	0.059460776594548	0.41677915433539	0.01149165626038	0.012772159889652	8.5420011592771e-10	1.1456914981417e-07	0.00088645536830861	0.90938648078064
1.2	4.0446372609767e-14	2.7112185467174e-11	2.0594109135533e-07	0.015438059920051	0.022054718000861	1.279820896396e-06	0.5103708992007	1.2115802781605	0.035998736582078	7.0792114855399e-08	0.021236385739521	1.5109628574664e-06	0.07891503194039	0.059675128575201	0.61788586104949	0.011489443157763	0.012770209399962	4.1062116854049e-09	2.5665905769159e-06	0.000795495408243	0.90938434608885
1.48	-7.6135071555639e-16	2.4412089232092e-12	2.9581464919191e-08	0.015434535238909	0.022049129181542	3.6743245346367e-07	0.45783495303454	0.91097566920394	0.035991617976716	9.2586979992941e-09	0.021306527686018	1.2846623863339e-06	0.078894029111047	0.057424124774887	0.44601868580432	0.0114863853209	0.012767454528748	1.5119135821341e-09	6.9989455166837e-07	0.00060965647173566	0.90938163616904
1.872	2.5132616359069e-17	7.4096777429921e-14	1.912544056894e-09	0.015429658994445	0.022041242024219	5.7032885740342e-08	0.40249695179587	0.81966616813714	0.035979866208475	5.2410398188765e-10	0.021395477606416	1.025733655569e-06	0.078865655125096	0.052589013216295	0.42843071463389	0.011482254278945	0.01276307625652	5.267094413896e-10	1.1429506588042e-07	0.00037495427614603	0.909378880169
2	2.1696665798912e-18	2.3580906088636e-14	7.383232650681e-10	0.015428087114089	0.022038726044093	2.8725639392822e-08	0.38694909932433	0.79707801626894	0.035975974234989	1.9486274047997e-10	0.021421627886671	9.5259545776557e-07	0.078856646485879	0.050596830655094	0.42893142794382	0.011480942687337	0.012761637596276	4.3007744431044e-10	6.8761202632372e-08	0.00030567873010549	0.90937823872066
2.2	2.6878129622251e-20	4.149890140907e-15	9.2043170316728e-08	0.015425665431246	0.022035039470095	4.7394874420744e-07	0.38498897336167	0.93508363235153	0.03597063645599	3.2230409165712e-08	0.021457584256874	8.3800897304422e-07	0.078842894145165	0.047473868424534	0.60907444651244	0.011478940447783	0.012759628332289	1.805270999741e-09	1.1330751708478e-06	0.0002421049495067	0.90937756359373
2.48	-5.1773069963967e-22	3.776724844087e-16	1.3086309885317e-08	0.015422440664213	0.022030095055209	1.2713359292233e-07	0.33757895933031	0.73638627103363	0.035963404948106	4.2047342758996e-09	0.02149464951485	7.1231215110147e-07	0.078824751015784	0.038573737655626	0.453217927474	0.011476298942007	0.012756938747866	6.4459083357483e-10	2.6895429667006e-07	0.00014181176402365	0.90937774405771
2.872	1.7174170109827e-23	1.1630336900852e-17	8.4723187715474e-10	0.015418273476703	0.022023626639978	1.9070059050061e-08	0.27477605505956	0.65607503676946	0.035953354013989	2.3900507151305e-10	0.021520872890871	5.686608418793e-07	0.078801539109713	0.024559065750297	0.41936493766194	0.011472919460309	0.012753256633853	2.6235683948161e-10	4.3857537176007e-08	6.7298646370944e-05	0.90938021733979
3	1.4954056810363e-24	3.7185252742465e-18	3.2774576025147e-10	0.015416956498306	0.022021595336151	9.6107398733963e-09	0.25748013811433	0.63225597156358	0.035950145734746	8.9055149040825e-11	0.021525724447843	5.2814153175829e-07	0.078794268404262	0.020853716550585	0.41473144991935	0.011471860899506	0.012752086302684	2.2095817992022e-10	2.5619197513905e-08	5.2416877896159e-05	0.90938133766154
3.2	1.8116618080631e-26	6.6103735149439e-19	3.3057784267008e-08	0.015414912555426	0.022018519163283	1.4124163475171e-07	0.23990930002348	0.63851949594675	0.03594539000918	1.158864324965e-08	0.02153115049246	4.6628817308661e-07	0.078783059395696	0.017246709670667	0.56942067241477	0.011470228951037	0.012750341114304	6.5414382908804e-10	3.8061097024209e-07	4.8036946358571e-05	0.9093832409377
3.48	-3.3837768493263e-28	6.1152306885706e-20	4.688618226825e-09	0.015412066017778	0.02201424051954	3.6968016324762e-08	0.20692827540439	0.52702960587028	0.035938724877963	1.5150626772056e-09	0.021536211581535	3.9660707938476e-07	0.078767588506598	0.012835710518615	0.44553303459962	0.011467976504434	0.012747911991701	2.6189298102457e-10	8.7954850838765e-08	2.9717696349937e-05	0.90938612849531
3.872	1.1269022250492e-29	1.930294905492e-21	3.0562103189517e-10	0.015408105584099	0.022008293568329	5.525193784927e-09	0.17642926964789	0.47119686147569	0.035929248622807	8.6871908042708e-11	0.021539404907549	3.1691884967183e-07	0.078746286204141	0.0094957129832813	0.42884746677988	0.011464875047341	0.012744486014379	1.322420966352e-10	1.5217666517067e-08	1.3866046192933e-05	0.90939052936989
4	9.8969406621713e-31	6.2242127191544e-22	1.1865457078393e-10	0.015406813836392	0.022006365112723	2.7939191629564e-09	0.1686867389034	0.45445473721465	0.035926155625962	3.2490847581337e-11	0.02153981781223	2.9445813597202e-07	0.078739385252987	0.0088739846811629	0.42973906277429	0.011463870320076	0.012743370956628	1.1591324502181e-10	9.2437342131852e-09	1.0286645337516e-05	0.90939202102338
4.2	1.2656942259871e-32	1.1248890317315e-22	8.5565444232973e-09	0.015404792217961	0.022003373742684	3.3560624782488e-08	0.15665125013683	0.41771573566855	0.035921376435676	2.9671609827726e-09	0.021540072995153	2.6112079314553e-07	0.07872862997059	0.009002837782927	0.55571131135944	0.011462304430783	0.012741647056253	2.1415081966604e-10	9.8053660878536e-08	8.6938972977459e-06	0.90939437843295
4.48	-2.3463718509418e-34	1.0692183503208e-23	1.2201725778488e-09	0.015401963881463	0.021999202115725	8.7557429377927e-09	0.13883981725021	0.36040433516398	0.035914691302121	3.9096856709588e-10	0.021539405921753	2.2245971775394e-07	0.078713662145729	0.0084148140027261	0.47072324634196	0.011460125226536	0.012739242459505	1.0961931790971e-10	2.3874959169367e-08	4.8824585350472e-06	0.90939776754247
