# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	MO_hydroM [g/L]	MO_acetoM [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	2.0467676828445e-05	0.1560210480676	0.22291411135629	0.36376356034871	0.2117456219468	0.79769416330628	0.11613688008481	0.12905610187131	2.1245696747484	4.121921629407
0.48	1.8317145346392e-06	0.1559952833411	0.22287729345569	0.36374729380342	0.21253123827503	0.79750934753981	0.11611130656016	0.12904337768812	1.7046057039672	3.702422676345
0.872	5.5110858612678e-08	0.15595676551592	0.22280719568214	0.36365689915151	0.21360905537734	0.79724992487787	0.11607367018654	0.12900712311117	1.2959231664613	3.2942838554746
1	1.7489890039177e-08	0.15594366326632	0.22278363013328	0.363622754067	0.21395447252117	0.7971652304111	0.11606134211246	0.12899394145952	1.1866500908027	3.1851751422635
1.2	3.0573898134085e-09	0.15592266262395	0.22275016365618	0.36358318374847	0.2144851440987	0.79703291322574	0.1160420787946	0.12897767553419	1.0349636384996	3.0337574632389
1.48	2.7528694570371e-10	0.155892330205	0.22270124127822	0.36352357180762	0.21520086238875	0.79684770594193	0.11601511419071	0.12895420936759	0.85539345026721	2.8545284857223
1.872	8.3555179869921e-12	0.15584843321537	0.22262922792334	0.36341736463654	0.21610673740339	0.79658848799278	0.11597737398968	0.12891441756861	0.65594282636469	2.6554248691028
2	2.6590878460888e-12	0.15583380229802	0.22260559501515	0.36338095978957	0.21637261322692	0.79650386368902	0.11596505331616	0.12890091715098	0.60111926100477	2.6006820654933
2.2	4.6795802190903e-13	0.15581065271344	0.22257023152363	0.36333010529204	0.21673764222214	0.7963716562668	0.11594580489265	0.12888170772031	0.52461279856292	2.5242605991944
2.48	4.2587640050076e-14	0.15577772909213	0.22251978870749	0.36325624874024	0.21711157464598	0.79618660229971	0.11591886240479	0.12885425227639	0.43385071933681	2.4334757775036
