Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	1.0659217909139e-05	3.8192370933357e-05	0.012343322449832	2.6203625294602e-06	0.019984082086916	-0.12271328927798	2.2965290190986e-07	0.014393488289533
0.48	1.1487446851242e-06	9.0411392778849e-06	0.0044434749463992	2.8276129024444e-07	0.010994438121368	-0.099987747783619	1.3111930393532e-08	0.0082321722597495
0.872	3.5036381632662e-08	7.3597926316958e-07	0.00021943745123183	8.2593145538903e-09	0.0035237043066294	-0.076094474644639	3.1277305633848e-10	0.039059001487951
1	9.5525411611039e-10	2.9030716497142e-08	5.204729481193e-06	2.2421831617524e-10	0.00021548879204298	-0.069679935621849	7.7254695198635e-12	0.045394194084485
1.2	8.165190641984e-10	5.7550740530694e-09	1.2070173447787e-07	2.6554593068609e-10	4.564619010295e-06	-0.060772966804056	2.0265773653883e-13	0.058418430089939
1.48	1.1150954721174e-10	1.5766362633232e-09	9.1103204232516e-08	3.2996830778378e-11	3.087507504606e-06	-0.050228622460738	1.7470502868744e-13	0.065350271295187
1.872	4.868507179556e-12	1.6513567215219e-10	6.0615988598605e-08	1.2616059506764e-12	1.4662019917383e-06	-0.038516900808622	1.37059998233e-13	0.077060814108471
2	1.7254988254842e-12	7.6341820340446e-11	5.4821440837187e-08	4.3066736777696e-13	1.1318080604734e-06	-0.035297666247714	1.2994471908386e-13	0.080279372537561
2.2	1.9394575049312e-10	1.1339693832061e-09	5.0762602074213e-08	6.4243601627971e-11	8.505335280145e-07	-0.030805214016423	1.2142578723395e-13	0.08477153715753
2.48	2.4505393294002e-11	2.7059326513927e-10	4.0769019727829e-08	7.447070083373e-12	4.6377125225672e-07	-0.025475673306581	1.1295609136855e-13	0.090100686450583
2.872	1.415418892905e-12	3.620516927459e-11	3.0532977178823e-08	3.7766596138904e-13	2.0327383667061e-07	-0.019558243304432	1.0510912205389e-13	0.096017840481808
3	5.3179608396932e-13	1.7720498140581e-11	2.8002889026104e-08	1.3667542701276e-13	1.5476142339366e-07	-0.017932301061681	1.0318307449912e-13	0.097643717371934
3.2	5.1642618146989e-11	2.5059886799707e-10	2.535984716934e-08	1.712522479738e-11	1.3736096324605e-07	-0.015663121219327	1.0063674576607e-13	0.099912876850648
3.48	6.9977303044775e-12	6.2681694731423e-11	2.1113934015831e-08	2.1389070025524e-12	8.1346651310522e-08	-0.012969187663387	9.7808480676273e-14	0.10260675076012
3.872	4.3491806072834e-13	8.9321319801655e-12	1.7354616219983e-08	1.1693806493094e-13	3.6088522481402e-08	-0.0099743606645209	9.4885758851916e-14	0.10560152856069
4	1.667217593299e-13	4.4596293154284e-12	1.6430510464911e-08	4.3183970457608e-14	2.6375023328017e-08	-0.0091510040708165	9.4119561549585e-14	0.10642487336371
4.2	1.182079987419e-11	5.2661128833429e-11	1.5049342114633e-08	3.8775460076123e-12	2.1898297299616e-08	-0.0080017284143885	9.3075247139809e-14	0.10757414319006
4.48	1.6513083998868e-12	1.3459989983982e-11	1.3123003096775e-08	5.0050770867185e-13	1.1977195567807e-08	-0.006637362758027	9.1871992702191e-14	0.10893849700347
4.872	1.068167208872e-13	1.983925068514e-12	1.130715322957e-08	2.8524277037394e-14	8.0426445658889e-09	-0.0051204362648174	9.0578365808403e-14	0.11045541766929
5	4.1485659164687e-14	1.0023422638861e-12	1.0832830089747e-08	1.0674739191762e-14	7.6334590133582e-09	-0.0047032882890462	9.0230446232213e-14	0.11087256470178
5.2	2.1777035058039e-12	9.3802826324373e-12	9.995649060784e-09	6.9929924087333e-13	7.8567428506943e-09	-0.0041209013013294	8.9750179975141e-14	0.11145495108508
5.48	3.1207989757399e-13	2.4424982230369e-12	8.9655184547748e-09	9.2720974752706e-14	7.357741950686e-09	-0.0034292106732309	8.9187892235855e-14	0.11214664017684
5.872	2.0982022907769e-14	3.707383851553e-13	8.0101894622771e-09	5.5024634978347e-15	7.226387799198e-09	-0.0026597094889506	8.8572451476762e-14	0.11291614026885
6	8.2676403974892e-15	1.8949913219242e-13	7.7599564143078e-09	2.0900446358419e-15	7.2217111994694e-09	-0.0024480485049036	8.8404995159064e-14	0.11312780099339
