# Time [h]	Acidogenesis_MS [g/h]	Valeric_Degradation [g/h]	Propionic_Degradation [g/h]	hydro_Methanogenesis [g/h]	Acidogenesis_LCFA [g/h]	Butyric_Degradation [g/h]	Acidogenesis_AA [g/h]	aceto_Methanogenesis [g/h]
0.2	0.045132445102125	0.10953145610566	0.78107393554641	0.38368117816676	0.095981191995985	0.38278270720927	0.054893191866728	24.555348495423
0.48	-0.00095217010032587	0.016351271764316	0.24472331313188	0.12028552684421	0.083057335153885	0.057666702086788	0.0049130305146271	24.237338969
0.872	3.1436848761267e-05	0.0010590952349975	0.039929497702149	0.034457793646746	0.066857282089818	0.0038715470326663	0.00014770233566085	23.562894628486
1	2.7048178740189e-06	0.00040182369319393	0.020279603993314	0.026670493902814	0.062170516345094	0.0015027308582687	4.6860658424529e-05	23.255556502758
1.2	3.0227827338132e-08	0.024587862522494	0.3003374623402	0.12544421049185	0.0543745195443	0.070945035196321	8.1879146107021e-06	22.77671508264
1.48	-5.6912336929731e-10	0.0032276758866384	0.093620281383033	0.047012310853863	0.046433981572312	0.010293883343298	7.3664527535316e-07	21.616265329745
1.872	1.877375039066e-11	0.0001826544294877	0.014905841730523	0.016423462352295	0.037149007891633	0.00066591197682194	2.2330573915773e-08	18.840578251449
2	1.6202992662905e-12	6.7893672289156e-05	0.007523814584119	0.013403772050629	0.034506838914324	0.00025701370462291	7.1031922277819e-09	17.434852849634
2.2	2.0038767632952e-14	0.011202101488996	0.11892326437108	0.055825274882097	0.03030028937932	0.031856574327047	1.2491057161916e-09	14.98086643783
2.48	-3.8553616186682e-16	0.0014631519674359	0.032980262333671	0.020063400912204	0.025785638758825	0.0045478375929757	1.1352268257371e-10	10.403009430383
2.872	1.2768115016188e-17	8.3091089466709e-05	0.0049887992165328	0.008149311205923	0.020574460588882	0.00029427776461068	3.4882227487242e-12	5.3809434015043
3	1.1110396357873e-18	3.0947411916542e-05	0.0025152203227578	0.0068556271574401	0.019100028438711	0.00011379359703063	1.1143344431607e-12	4.2806730365115
3.2	1.3467454635732e-20	0.0040215548877966	0.036459071017482	0.020298701507727	0.016837524374275	0.011447750961563	1.9781942421051e-13	3.7272083362722
3.48	-2.513631961312e-22	0.00052551256374802	0.0096334193018542	0.008117109465855	0.014304456477097	0.0016246032613798	1.8254903570425e-14	2.7974167335215
3.872	8.3539695446904e-24	3.0077392848253e-05	0.0014412529579685	0.004075600358553	0.01139670778409	0.00010572049624621	5.7382543522513e-16	1.7975242132657
4	7.3310973179631e-25	1.1241130121604e-05	0.00072845166648561	0.0035657165610991	0.010576037294437	4.1015827122451e-05	1.847279862052e-16	1.4782758367201
4.2	9.3603640578137e-27	0.0010252098755017	0.0087128307385984	0.006606812418715	0.0093563976540913	0.0029528740498082	3.329411855902e-17	1.3168836095496
4.48	-1.7325055797088e-28	0.00013484026059148	0.0022744639546281	0.0033600506628422	0.0079431996071338	0.00042043468750249	3.1495279848229e-18	0.82613989838505
4.872	5.8105756410936e-30	7.8310297762314e-06	0.0003418719594498	0.0021002925288671	0.0063222219548305	2.7715595512475e-05	1.0327641406836e-19	0.58013767775767
5	5.1872265078524e-31	2.9445603665204e-06	0.00017355637284147	0.0018963719113617	0.0058652279306699	1.0815414832371e-05	3.3743840557479e-20	0.55246873683576
5.2	7.0224358516532e-33	0.00019406339753981	0.0016332494259062	0.0023224172346976	0.0052012679306974	0.00057113015030754	6.2438884305917e-21	0.56903172029761
5.48	-1.3431283530187e-34	2.5895655899856e-05	0.0004281824078643	0.0015466059060407	0.004413802587769	8.2374894456698e-05	6.1690044045838e-22	0.53346128485539
5.872	4.6335124260783e-36	1.5442483859358e-06	6.5317690250328e-05	0.0011216202488462	0.0035102615969631	5.5653411931527e-06	2.2027871427604e-23	0.52158912181757
6	6.3352151540057e-37	5.8696449437501e-07	3.340957587943e-05	0.0010303663507685	0.0032557365389932	2.1944345676183e-06	7.4202499822376e-24	0.51994656909428
6.2	-2.3554512781391e-39	2.8726752978367e-05	0.00024741234041755	0.0010098021419526	0.0028908123791338	8.7557309917289e-05	1.4460369552191e-24	0.52028353349557
6.48	1.563283195146e-36	3.9366230372366e-06	6.580007818936e-05	0.00079276165886282	0.0024525081511685	1.2951383123814e-05	1.5579293276268e-25	0.5171867393268
6.872	-3.5728097329153e-38	2.4608425933337e-07	1.0318155857818e-05	0.00061369845113923	0.0019498761513385	9.1450193021173e-07	6.6791942185463e-27	0.51474368009556
7	-2.6935726310112e-38	9.531952639213e-08	5.3466520789889e-06	0.00056764915281266	0.0018084766019316	3.6720107704026e-07	2.4034430204544e-27	0.51379733241749
7.2	3.2650294800772e-38	1.0227631603961e-05	8.928556163567e-05	0.00054084988850786	0.001606584601986	3.2779006959058e-05	5.2262101706006e-28	0.51286098382893
7.48	8.4470735718188e-37	1.4674982406373e-06	2.4442079724055e-05	0.00043614472720649	0.0013636892160742	5.0664896190541e-06	6.7494442861816e-29	0.51115819851975
7.872	2.4374676241184e-38	9.9396593238556e-08	4.0245129504657e-06	0.00034113171537678	0.0010858101333262	3.8567848434265e-07	4.1801198717042e-30	0.50909796372069
8	1.8552447942251e-37	3.9713196807755e-08	2.1310548570276e-06	0.00031604213165508	0.0010078327948224	1.5954962310781e-07	1.7090256833412e-30	0.50808069308707
8.2	1.4964646266846e-38	9.9971734130317e-09	8.103921510155e-07	0.00028106184333056	0.00089753304215554	4.2289041615955e-08	4.5647322066951e-31	0.50681678706572
8.48	2.9866012682212e-37	1.5438251660318e-09	2.1801028209189e-07	0.00023910185362939	0.00076408271158534	7.0123931579344e-09	8.0449642078627e-32	0.50532937893481
8.872	-4.5098309286573e-37	1.1839994941901e-10	3.7027853715883e-08	0.00019143651173555	0.00061191476424086	5.9976232008002e-10	8.3079440390344e-33	0.50353993159033
9	-2.0004699557154e-36	4.9505529475733e-11	2.0078575358514e-08	0.0001781197811825	0.00056936310873508	2.5920460214502e-10	3.9954599549198e-33	0.50258061645183
9.2	-2.8533426549352e-37	1.4774833440167e-05	0.00014093957445049	0.00021966050150758	0.00050855814001449	5.4000942679152e-05	1.3499132295377e-33	0.50190860931436
9.48	-1.7587734648988e-36	2.5249870644879e-06	4.3038897317931e-05	0.00015341698240953	0.00043612486384943	9.8671592367567e-06	3.2699267588894e-34	0.50048996108501
9.872	1.2775721398546e-38	2.2786302293513e-07	8.4374022229868e-06	0.00011378014674452	0.00035381103695769	9.8335490635505e-07	5.2483790283074e-35	0.4992597359192
10	-5.9359449189815e-38	1.0072864261511e-07	4.7972597064607e-06	0.00010523165166052	0.00033084140198934	4.4839217971557e-07	2.8905066276416e-35	0.49860781824101
