# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_ButyricValeric [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_hydroM [g/L]	Valeric [g/L]	MO_acetoM [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	MO_Propionic [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	5.4849069695431e-05	0.00016506190990681	0.0010126001276193	1.3686056848035	1.9553869417218	0.0029912108341075	0.71342505169411	3.1909084241115	0.00028676367344633	1.8574177363754	0.0024743283336901	6.9973172219849	0.060695693594881	1.0187445621475	1.1320710690466	1.2578033366667e-08	1.3224256039586	2.1245696747484	2.089807316404
0.48	-1.15779695529e-06	1.4771891408381e-05	0.00015070167632519	1.3683796784307	1.9550639776815	0.00087387676378931	0.63457321476464	3.1907657351177	4.2636219838738e-05	1.8643091076757	0.0021078354415417	6.9956960310509	0.061507677972558	1.0185202329839	1.1319594534046	3.8724804084202e-09	1.1391165133218	1.7046057039672	1.702791344755
0.872	3.8260452008098e-08	4.4444240816676e-07	1.0106595946016e-05	1.3680418027712	1.954449084931	0.00013896895534775	0.53913842451783	3.1899727995746	2.762176817282e-06	1.8737636436608	0.0016852875240993	6.9934203936655	0.060092679348421	1.0181900893556	1.1316414307998	1.1036835703572e-09	0.88714110728921	1.2959231664613	1.2958889031982
1	3.2929521466773e-09	1.4104750031594e-07	3.9235823532065e-06	1.3679268707572	1.9542423695902	7.0411631420536e-05	0.51125420552415	3.1896732812895	1.0482418341837e-06	1.8767936186068	0.0015655551545302	6.9926774597465	0.059460776594548	1.0180819483549	1.1315258022765	8.5420011592771e-10	0.80616705264941	1.1866500908027	1.1866493036401
1.2	3.6782870137666e-11	2.4656369462972e-08	0.00018729043191196	1.3677426545961	1.9539488040016	0.0011639160553247	0.5103708992007	3.1893261732322	6.4380964884566e-05	1.8814486324447	0.0013741003388147	6.9915167826819	0.059675128575201	1.0179129718825	1.131383118721	4.1062116854049e-09	0.72344137259741	1.0349636384996	1.0349636246731
1.48	-6.9238208473251e-13	2.2200560137396e-09	2.6901996222724e-05	1.3674765807456	1.9535196603353	0.00033415087283146	0.45783495303454	3.1888032614703	8.4200505189835e-06	1.8877268630592	0.0011682832535739	6.9898921573853	0.057424124774887	1.0176764402694	1.1311772751543	1.5119135821341e-09	0.55442817113955	0.85539345026721	0.85539344050637
1.872	2.2855514198978e-14	6.7383209572517e-11	1.7392737170453e-06	1.3670915194331	1.9528879642399	5.1865917434547e-05	0.40249695179587	3.1878716196188	4.7662179774328e-07	1.8956731351175	0.00093279688115001	6.9876183157262	0.052589013216295	1.0173453858744	1.130828224286	5.267094413896e-10	0.3409822166215	0.65594282636469	0.65594282077084
2	1.9730769225371e-15	2.1444256823297e-11	6.7142963552185e-07	1.3669631780528	1.9526806580277	2.6123048844689e-05	0.38694909932433	3.1875522788559	1.7720775307314e-07	1.8980053791835	0.00086628162282715	6.9868759972721	0.050596830655094	1.0172373097908	1.13070979957	4.3007744431044e-10	0.27798202798435	0.60111926100477	0.60111925619858
2.2	2.4442700662564e-17	3.7738550153954e-12	8.3703919806297e-05	1.3667601115214	1.9523704519617	0.00043100820986439	0.38498897336167	3.1871061867723	2.9310285692412e-05	1.9012073879135	0.00076207439227212	6.9857162830421	0.047473868424534	1.0170684639706	1.1305412957922	1.805270999741e-09	0.22016810089026	0.52461279856292	0.52461279469968
2.48	-4.7081654887311e-19	3.4344871008126e-13	1.1900509511831e-05	1.3664713078257	1.9519279711183	0.00011561356002034	0.33757895933031	3.1864583222828	3.8237271097549e-06	1.9044874968946	0.00064776417621513	6.984093002629	0.038573737655626	1.0168321263578	1.1303004585648	6.4459083357483e-10	0.12896141920898	0.43385071933681	0.43385071641107
