# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	1.620667758776	8.2235287692431e-05	0.00020053562051511	0.00084050541594703	0.0018078524879113	0.00022482636247212	0.0029453691091011	1.4989110330651
0.48	-0.79734561373861	1.8175777349912e-06	1.8263867419771e-05	0.00012702452295873	0.00050062160329608	3.5837037914302e-05	0.0024922576911388	1.27479799753
0.872	-0.61077043648275	6.0468805352685e-08	5.4555607838955e-07	8.5838200848647e-06	7.726900440844e-05	2.4472336597355e-06	0.0019717931327326	0.96914626808531
1	-0.55141346761882	5.2145542175845e-09	1.7310310490779e-07	3.3404554684517e-06	3.9247726277269e-05	9.3581205587415e-07	0.001825530813045	0.87202424459848
1.2	1.841285912181	4.1164448710611e-13	2.8851013425348e-08	7.678635798121e-07	1.3576032738291e-05	2.081496861992e-07	0.001615574890821	0.72334292644807
1.48	-0.34022391613281	7.0602875840673e-13	2.6857989252228e-09	1.0935443830938e-07	3.2753251090668e-06	2.8139356991537e-08	0.0013657220903309	0.52761122739193
1.872	-0.19156594819173	2.3699094886407e-14	8.1702970840786e-11	7.1260132631694e-09	4.6486794837704e-07	1.6624601524919e-09	0.0010802750599524	0.28763786860489
2	-0.14912126629232	2.0529709303801e-15	2.607847995097e-11	2.7654782810197e-09	2.3322212765567e-07	6.2463562670226e-10	0.0010002934047828	0.21965527525245
2.2	1.8313343162419	1.2259009444598e-17	4.4558264446837e-12	6.4224983898297e-10	8.0359166338615e-08	1.3777760674907e-10	0.00088893864606457	0.13230564990246
2.48	-0.041904067086589	4.5660135426923e-19	4.2233525457767e-13	9.2848736207067e-11	1.9346463518244e-08	1.8636266174666e-11	0.00075241247120978	0.054757738570675
2.872	-0.012366344750977	1.5537285750647e-20	1.3250570364995e-14	6.1435727962581e-12	2.7610396114525e-09	1.096169679668e-12	0.00059645074027856	0.014167480251552
3	-0.0087872122167969	1.3779247769075e-21	4.2734237102722e-15	2.4037696062975e-12	1.3921173774359e-09	4.1400300585764e-13	0.00055277430377426	0.0090160709840261
3.2	1.4072144559115	9.1613867446052e-25	7.5231657871495e-16	5.849485262611e-13	4.8746078621497e-10	9.6676301352684e-14	0.00049262994058172	0.0053849505870211
