# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	1.9781422656095	8.8037261148478	0.00028859834225434	10.7821569788
0.48	4.8120256003111	10.046260810942	0.00022455193248739	14.858510963185
0.872	7.0389090115362	11.794070095406	0.00019828620213395	18.833177393145
1	7.4611056555306	12.291075938877	0.00019713532450675	19.752378729732
1.2	9.6268973443797	15.817124085927	0.00037532233506151	25.444396752642
1.48	10.143025816137	16.391451268486	0.0003213467486078	26.534798431371
1.872	11.011345651493	17.782029478833	0.00030205583756972	28.793677186164
2	11.283415939868	18.244752886854	0.00030089878500694	29.528469725507
2.2	12.728559599718	21.262553472908	0.00037339072487912	33.991486463351
2.48	13.018004478156	21.589523987061	0.00034539409281514	34.60787385931
2.872	13.337511894198	22.234159472877	0.00033744842717785	35.572008815502
3	13.415830681876	22.428099612258	0.00033685636546312	35.844267150499
3.2	13.998842287263	24.573419424938	0.00035787377359713	38.572619585975
3.48	13.995676765852	24.423202104871	0.00034737186689803	38.41922624259
3.872	13.965421071669	24.512174685701	0.00034463528351454	38.477940392654
4	13.949178878424	24.550650950167	0.00034441244415971	38.500174241035
4.2	14.121320613006	26.021890256549	0.00034902251091988	40.143559892066
4.48	14.061728311926	25.759481922691	0.00034624233437037	39.821556476951
4.872	13.983313882036	25.689889893991	0.00034551402373474	39.673549290051
5	13.958370320299	25.681247092991	0.00034545116943075	39.639962864459
5.2	14.00802173509	26.691435174185	0.00034626050466539	40.69980316978
5.48	13.968945213568	26.468518357509	0.000345710337105	40.437809281414
5.872	13.92306599887	26.403458840327	0.0003455572860333	40.326870396484
6	13.908680801226	26.391740830647	0.00034554255274075	40.300767174426
6.2	13.93517549185	27.143834140056	0.00034566101486108	41.07935529292
6.48	13.912892199549	26.9629335412	0.00034557232505557	40.876171313074
6.872	13.886872171689	26.90349176566	0.00034554338595161	40.790709480734
7	13.878666803922	26.891141578651	0.00034553972288934	40.770153922297
7.2	13.899015212401	27.495759173564	0.00034558512404485	41.39511997109
7.48	13.885947718685	27.34090070788	0.00034555126521859	41.22719397783
7.872	13.870963553251	27.284562381605	0.00034553899047515	41.155871473846
8	13.866166171067	27.271875808931	0.00034553722995588	41.138387517228
8.2	13.884806864355	27.791866119733	0.00034553687492308	41.677018520963
8.48	13.876794008683	27.652239887988	0.00034553512999479	41.529379431801
8.872	13.867982411507	27.597498029084	0.00034553304889529	41.465825973639
9	13.865080693167	27.584578356254	0.00034553246251117	41.450004581884
9.2	13.883310378137	28.056017718539	0.00034561345082043	41.939673710126
9.48	13.878107371916	27.925189482001	0.00034555996854257	41.803642413885
9.872	13.872766954267	27.871250576445	0.00034554187528804	41.744363072588
10	13.870928900124	27.858170131242	0.00034553985524491	41.729444571222
10.2	13.889091451506	28.301676037633	0.00034568624640589	42.191113175385
10.48	13.885472828716	28.175929839961	0.00034559204537412	42.061748260723
10.872	13.882114394479	28.122462036116	0.00034555842083986	42.004921989015
11	13.880884356594	28.1092976013	0.00034555465248746	41.990527512547
11.2	13.899083912997	28.536780241318	0.00034575948167418	42.436209913796
11.48	13.896380953988	28.414032039074	0.00034563096005701	42.310758624022
11.872	13.894182380878	28.360949319102	0.00034558158645421	42.255477281566
12	13.89330838422	28.347775651373	0.00034557574849442	42.241429611342
12.2	13.911583612404	28.766209201391	0.00034581929465888	42.67813863309
12.48	13.909418996491	28.645266618722	0.00034566904852293	42.555031284262
12.872	13.907906220152	28.592533718178	0.00034560777752479	42.500785546108
13	13.907241771562	28.579396413743	0.00034560018058914	42.486983785486
13.2	13.925590650753	28.992833654926	0.00034585013093389	42.918770155809
13.48	13.923737721456	28.872969417045	0.00034569700991302	42.79705283551
13.872	13.922620866715	28.820514244113	0.00034563203157418	42.743480742859
14	13.922076288296	28.80742243013	0.00034562371506846	42.729844342141
14.2	13.940474881976	29.21814009959	0.00034586245257262	43.158960844018
14.48	13.938794969912	29.098900973603	0.00034571663457814	43.03804166015
14.872	13.937895559772	29.046629800591	0.00034565327980763	42.984871013643
15	13.937416159698	29.033572012621	0.00034564501917884	42.971333817338
15.2	13.955842741114	29.442805234069	0.00034588566247899	43.398993860845
15.48	13.954255385847	29.323924918733	0.00034573957157339	43.278526044152
15.872	13.953468167541	29.271757833997	0.00034567529962644	43.225571676838
16	13.953022014173	29.258719019777	0.0003456668347632	43.212086700786
16.2	13.971369925791	29.666853775349	0.00034566027871692	43.638569361419
16.48	13.969811347683	29.548094628878	0.00034565592047194	43.518251632481
16.872	13.969084388336	29.495956128229	0.00034565391872707	43.465386170484
17	13.968657524063	29.48291700158	0.00034565363962837	43.451920179283
17.2	13.987059980787	29.890570874835	0.00034585131397256	43.877976706935
17.48	13.985543293649	29.772011329942	0.00034573814113407	43.757900361732
17.872	13.984842634632	29.719902404797	0.00034568778251316	43.705090727211
18	13.98442231113	29.706866771377	0.00034568109602941	43.691634763603
18.2	14.002790368201	30.114085811472	0.00034583837954491	44.117222018053
18.48	14.001278926327	29.995585792243	0.00034574223057998	43.997210460801
18.872	14.000586079609	29.943467041512	0.0003456993117392	43.944398820433
19	14.000168368984	29.930424033005	0.00034569359925305	43.930938095588
19.2	14.018503270986	30.337254023994	0.00034583366877339	44.356103128649
19.48	14.016994616937	30.218803233484	0.00034574833843157	44.236143598759
19.872	14.016304451599	30.166666749982	0.0003457101787998	44.18331691176
20	14.015887729828	30.153614277605	0.00034570509369425	44.169847712527
