# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.3267161785938	1.1432278986144	1.8418339412055
0.48	1.1401837279818	1.0170519367363	2.084485550457
0.872	0.88729294501732	0.83987715053287	1.4082788632964
1	0.80624243610501	0.78263095353776	1.342999689837
1.2	0.72485696004953	0.72962091182713	1.2334501182361
1.48	0.55479764405912	0.60512211679953	1.1847526051491
1.872	0.34103629843445	0.44160170858826	1.1131664071975
2	0.27800899967058	0.39118853085667	1.0953960306108
2.2	0.22071212330563	0.34048108799349	1.0717499417338
2.48	0.12909275700562	0.242781658567	1.0452719002466
2.872	0.061218136593009	0.1407678437736	1.017648065888
3	0.047675655055515	0.11675817113677	1.0103556950129
3.2	0.043852527375975	0.099754637863447	1.0003785359503
3.48	0.027063590525573	0.070556419435064	0.98882406494133
3.872	0.012614719560266	0.04727515179803	0.97632979543225
4	0.0093570448025439	0.042544013846354	0.97295685792297
4.2	0.007946994498132	0.042062758506888	0.96829210431406
4.48	0.0044494570400611	0.0372355267779	0.96281862087122
4.872	0.0030563084216292	0.03439552798926	0.95681297779008
5	0.0029153553992648	0.034021479993406	0.95517590626458
5.2	0.0030233459528107	0.035985612397394	0.9529006343962
5.48	0.0028479892795794	0.0354072822947	0.95021373299957
5.872	0.0028169457911276	0.034946793408323	0.94724397544708
6	0.0028206719303104	0.034915898556577	0.9464306547179
6.2	0.0028450191258496	0.036463785755135	0.94529768213335
6.48	0.0028620928984557	0.036187000858703	0.94395580404124
6.872	0.0029063624425694	0.035897917427148	0.94246769553238
7	0.0029227141118583	0.035876681384779	0.94205925229455
7.2	0.0029545265244803	0.037086158711218	0.94148964570216
7.48	0.0030024569259218	0.036819341115024	0.94081404712927
7.872	0.0030847096091976	0.036548761607302	0.94006359958434
8	0.0031130784781247	0.036522107739623	0.93985739679871
8.2	0.0031630059323006	0.037535813387094	0.93956967052063
8.48	0.0032420259404958	0.037275695353576	0.93922815776564
8.872	0.0033684620990032	0.037024103177893	0.93884849000913
9	0.0034107377131887	0.036998032904589	0.93874410708497
9.2	0.0034854875393456	0.037910446161158	0.93859840815062
9.48	0.0035923244119356	0.037661790551597	0.93842540592168
9.872	0.0037554480301651	0.037432018691781	0.93823298954011
10	0.0038084301862202	0.037409434138065	0.93818006974797
10.2	0.0039011091848465	0.038269604561859	0.93810618395897
10.48	0.0040216674955919	0.038031023619358	0.93801842845284
10.872	0.004195478925362	0.037813845703816	0.93792079446323
11	0.0042501196072828	0.037792173005768	0.9378939343494
11.2	0.0043449396996461	0.038620572140245	0.93785641821195
11.48	0.0044563170751639	0.038380871237005	0.93781184474948
11.872	0.004608447139771	0.038157073798271	0.93776223641329
12	0.0046548477200473	0.038130671857565	0.93774858341626
12.2	0.0047364702860832	0.038932614633413	0.93772950083728
12.48	0.0048212906495191	0.038678853718038	0.93770681627026
12.872	0.0049330403318169	0.038431949593406	0.9376815571784
13	0.0049663748381683	0.038396681177882	0.93767460154303
13.2	0.0050275616930695	0.039173798798133	0.93766486847719
13.48	0.0050823588362577	0.038900057485134	0.93765328791394
13.872	0.0051538606385426	0.038625095699514	0.93764038350029
14	0.0051749547268787	0.038580482838008	0.93763682674218
14.2	0.005217234360604	0.039336931137727	0.93763183994602
14.48	0.005247857629426	0.039044822666612	0.93762589766917
14.872	0.0052890850072759	0.038746152713733	0.93761926780098
15	0.0053012961096369	0.038694172369816	0.93761743752403
15.2	0.0053311228546241	0.039436769762323	0.93761486142073
15.48	0.0053449193844655	0.039130759997667	0.93761178344388
15.872	0.0053664179131512	0.038815518445223	0.93760834269686
16	0.0053730179059325	0.038758636299935	0.9376073901757
16.2	0.0053826459145145	0.039482617452581	0.93760605305313
16.48	0.0053945382545681	0.039175732518283	0.93760444943472
16.872	0.0054081825584707	0.038853528202138	0.93760263461692
17	0.0054119900787875	0.038794026099863	0.9376021276917
17.2	0.005426580844643	0.039519803697441	0.9376014014098
17.48	0.0054266985829308	0.039201746823279	0.93760052103129
17.872	0.0054312353375876	0.038871524129472	0.93759952350558
18	0.0054329507346684	0.038810198818431	0.93759924305465
18.2	0.005442376449733	0.039530893336161	0.93759883605267
18.48	0.0054409155836581	0.039211624038227	0.93759833638523
18.872	0.0054428707625409	0.038879348209269	0.93759776113684
19	0.005443779579755	0.038817345426577	0.9375975967078
19.2	0.0054507397302541	0.039535314209466	0.93759735267464
19.48	0.0054485599848515	0.039215575878936	0.93759704671718
19.872	0.0054491883502401	0.038882334679316	0.93759668587303
20	0.0054496742596318	0.038819993088495	0.93759658030726
