Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	2.122066233561E-4	5.970610884202E-4	0.023952479858844	5.4936782033938E-5	0.04179333672965	-0.24549018491366	4.6623681997736E-7	0.028787070499854	
0.48	1.89432190988674E-4	6.8046636774618E-4	0.0073542986045668	5.4848076065896E-5	0.02608648662537	-0.20045491594892	2.3759568194648E-8	0.016108998132535	
0.872	5.2087912839208E-5	2.3772328353836E-4	2.3029572474862E-4	1.61777239785116E-5	0.0085545473600414	-0.152939606081926	3.8289982137838E-10	0.076893395046902	
1.0	3.1614463800936E-6	1.50617833400332E-5	7.6136488978642E-6	1.02174498421464E-6	6.0288319161512E-4	-0.140163567666542	1.3629241780785E-11	0.09050767218494	
1.2	8.9266971165038E-8	4.5760180521066E-7	2.0296685820198E-7	2.9630403435482E-8	1.91770538714018E-5	-0.122404449187004	4.2196631720608E-13	0.114658056909214	
1.48	6.4914217288348E-8	3.4652079410466E-7	1.4409122077027E-7	2.1833283041488E-8	1.58607347720464E-5	-0.101339945396684	3.5322750632246E-13	0.12982808270096	
1.872	4.1983149952308E-8	2.1965285938504E-7	9.4412793872556E-8	1.42365588477494E-8	1.19567050073464E-5	-0.07787391014596	2.7608308345922E-13	0.153291049657326	
2.0	3.7436418254918E-8	1.92004655186876E-7	8.574753829529E-8	1.2724455417148E-8	1.11542802536622E-5	-0.071409290546626	2.6155332682856E-13	0.15975393715502	
2.2	3.1797120616018E-8	1.56773200874474E-7	8.1921626342116E-8	1.08317286551656E-8	1.01064276951778E-5	-0.06237348496611	2.441687513821E-13	0.168788655763406	
2.48	2.606118549309E-8	1.20611801175586E-7	7.0853439192886E-8	8.89545285627E-9	8.954796192761E-6	-0.05162335507962	2.2688070976042E-13	0.179537574804632	
