# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	MO_Acetic [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
0.2	4.807459291519e-05	1.315108119217	1.3717102373404e-05	0	0.028899128030475	0.0019400636273018	0.015466320997166	0.03630708537525	0.011669026538554	0.010381045714778	2.9963952798622e-05	0.02105054356082	3.2075167185337e-05	0.76882404561705	0.87682152528578	0.012805324796374	0.022120795523644	4.4990594991366e-06	6.5719017925739e-05	0.079283088125038	0.08678269463856	1.050325623217	6.1657691139162e-06	0.00029778713538212	0.0085614374407964	0.011563369509821	0.0013613104501899	0.90957368190728
0.48	4.2202131464556e-05	1.3172323240158	2.0801878914175e-05	0	0.025763853950301	0.0046376217707385	0.015487454825648	0.036778666313266	0.011730669938553	0.0092491510705238	3.0099750192236e-05	0.021224731037282	6.326043748024e-05	0.69192835742103	1.4249454180201	0.012847683394612	0.022193082884378	7.3627045894329e-06	0.00013819594737252	0.079643562832783	0.1086754649257	0.59674584089266	6.2029992174817e-06	0.00029168051561639	0.0076267988784362	0.011665022926931	0.0011834250379265	0.9097482135846
0.872	3.5555421288429e-05	1.31900136576	2.0195395588622e-05	0	0.021958630899743	0.0083702912925939	0.015504829004327	0.037406309807512	0.011805169184086	0.0078678507676088	2.5083661730366e-05	0.021443458027061	8.0215443302488e-05	0.56805273372492	1.3063877023924	0.012909174792853	0.022281835753313	7.2169452784129e-06	0.00022060450632809	0.080025465620105	0.11891446392029	0.49590448960689	5.6160964828032e-06	0.00025702262980604	0.0064846994956364	0.011784882464088	0.00095477531340944	0.90990529086011
1	3.3618399631262e-05	1.319335874896	1.9347395091986e-05	0	0.02084447237528	0.0095771091023472	0.015508081587123	0.037597614276146	0.01182700139879	0.0074615421305549	2.352599460867e-05	0.02150925875793	8.1919944311741e-05	0.5307664576455	1.167898154859	0.012927909483975	0.022305401398149	6.914269233595e-06	0.00024339430964792	0.080124703520786	0.11976632914625	0.48250713193215	5.3378412733197e-06	0.00024216817835502	0.0061483774176474	0.011818262462091	0.00088119923561344	0.90993881638151
1.2	3.0838063209498e-05	1.3222235396974	1.7703268355866e-05	0	0.019256803483739	0.0095214695475236	0.015541425037878	0.037955300476703	0.011881838123524	0.0068816183910605	2.1341181750071e-05	0.021648070541869	8.1400946729992e-05	0.54952683959221	1.7544406293221	0.012980610489558	0.022380115816157	6.3671760068189e-06	0.00027518669952804	0.080413611385399	0.11999093135832	0.65784227827042	4.8766751433709e-06	0.00022493520708337	0.005668158618523	0.011888179415253	0.0007550881489789	0.91014777849748
1.48	2.7381088752192e-05	1.3258801917295	1.5613301586599e-05	0	0.017237396371859	0.0094412980248638	0.01558464073741	0.038424129665079	0.011953817314559	0.0061441565604396	1.8683501037627e-05	0.021829157968932	7.7029210305681e-05	0.47988846724228	1.0803877602261	0.013049924231788	0.02247388636353	5.6436047720994e-06	0.0003124459325236	0.080776685352323	0.11571478682521	0.49624549156705	4.2445116693696e-06	0.00019354880421685	0.0050575191078302	0.011976331906037	0.00058899773941826	0.91041119206084
1.872	2.3236597675763e-05	1.3303471913148	1.3120691784869e-05	0	0.014767791762066	0.0093255116695637	0.015639819901864	0.039016369902115	0.012044559335423	0.0052425936857608	1.5582262615236e-05	0.022052400250383	6.7410267149365e-05	0.39809993209235	0.8805810586005	0.013137100013599	0.022586464837252	4.7637068752417e-06	0.00035190453435172	0.081213917521103	0.10492463480047	0.4885717638916	3.4443384166118e-06	0.00016602438630239	0.0043110600519983	0.012082950738603	0.00039306825546932	0.91073092847534
2	2.2017171122949e-05	1.3316667548726	1.2398630220896e-05	0	0.014039531390871	0.009287013713123	0.015656784203156	0.039194495749295	0.012071791934861	0.0049768072316653	1.4678707757283e-05	0.022117928002485	6.3953043998178e-05	0.37580225683317	0.84021188501337	0.013163099865238	0.022619207328587	4.5079692208749e-06	0.00036202284225131	0.081341386228216	0.10075251897898	0.48828830842268	3.1904603774408e-06	0.00015796162225468	0.0040910141171279	0.01211414923678	0.00033897442247426	0.91082488172702
2.2	2.0267818865509e-05	1.3336063801204	1.1355274379713e-05	0	0.012974984341211	0.009226317430064	0.015682602687096	0.03945622539112	0.012111347459213	0.0045883654345959	1.3401578103498e-05	0.022210780883216	5.8510147369555e-05	0.3873184091168	1.2609155579691	0.013201269276992	0.022666723734087	4.1350435506678e-06	0.00037553043759639	0.08152668836877	0.09369914023013	0.62733293569752	2.8254222384434e-06	0.00014206615627275	0.0037694363754503	0.012159552334294	0.00025481575011143	0.91096248667343
2.48	1.8070996734557e-05	1.3360986447247	1.0060536870112e-05	0	0.011623383987398	0.0091404536222236	0.015717848327633	0.03978818349975	0.012160289885541	0.0040953324440454	1.1823511715311e-05	0.022321020759068	5.121063056676e-05	0.33332637800226	0.8333795159251	0.013249843237239	0.022726507326628	3.6688945151196e-06	0.00038939541607297	0.081760411536649	0.081143283234675	0.46705160771831	2.3700431948995e-06	0.00011789570669879	0.0033613013384632	0.012216904071427	0.0001727532769247	0.91113830338978
