Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	0.00012706393910388	0.00035282936655812	0.013232066960246	3.6063022127038e-05	0.01865002666381	-0.12248452927475	2.6043977509855e-07	0.01439348535077
0.48	0.00011576119652037	0.00041324889199613	0.0050430812551754	3.5743743029559e-05	0.010144163288354	-0.10005944122077	2.3011535433336e-08	0.0082063180641302
0.872	4.254076328418e-05	0.00018673806702981	0.00031109971735381	1.354797306985e-05	0.0035509980835619	-0.076305413032177	4.9851417012045e-10	0.038628977760844
1	2.585661253753e-06	1.1184119546573e-05	6.4312205384598e-06	8.638901196848e-07	0.00026277254409708	-0.069895857811565	1.0709561726289e-11	0.045282063263829
1.2	5.3625511424811e-08	2.7646514954739e-07	1.3243133432723e-07	1.8242234296228e-08	4.3264794920763e-06	-0.060986249706174	2.0758197007517e-13	0.057775424142228
1.48	3.9715926756677e-08	2.1839689415686e-07	9.4075586539828e-08	1.3579462087811e-08	2.86724699268e-06	-0.050426413935135	1.7557615897497e-13	0.065152649748425
1.872	2.6073372295216e-08	1.500898408268e-07	5.9179562999385e-08	8.9544542165347e-09	1.4921496303563e-06	-0.038682136921414	1.3745129785541e-13	0.076895737504656
2	2.3330386197918e-08	1.3501336495325e-07	5.2623882526207e-08	8.0237666496513e-09	1.2197822031641e-06	-0.035451604664439	1.3026286850153e-13	0.08012568435478
2.2	1.9930723698479e-08	1.1543923037113e-07	5.0927676972146e-08	6.8652214571656e-09	8.4891025609482e-07	-0.03094352193886	1.2166701965128e-13	0.084633375312503
2.48	1.6392570843938e-08	9.4008471573546e-08	4.0027851378568e-08	5.6546779899569e-09	5.2982631399098e-07	-0.025595737593024	1.1313090685803e-13	0.089980800894817
2.872	1.2887795204682e-08	7.2050455574971e-08	2.9265821456702e-08	4.4498899704595e-09	3.1861919468446e-07	-0.019656309631668	1.0522846332485e-13	0.095919974204556
3	1.1979176958284e-08	6.6295387447559e-08	2.6701139309723e-08	4.1372421588061e-09	2.7911367911853e-07	-0.018023677140962	1.032892460117e-13	0.097552546783906
3.2	1.0736860808388e-08	5.8473716640087e-08	2.5564778535003e-08	3.7078641640442e-09	2.2216748235508e-07	-0.015745947334122	1.0072731126771e-13	0.099830209310323
3.48	9.2875202870318e-09	4.9484215227853e-08	2.13185471721e-08	3.205260740172e-09	1.7847872714131e-07	-0.013042504407536	9.788322205076e-14	0.10253359313368
3.872	7.6784715908296e-09	3.9799242577882e-08	1.7203643121315e-08	2.6451201274417e-09	1.4580612328739e-07	-0.010033848008811	9.4941964370701e-14	0.10554220059582
