# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
0.2	39.337825307269	0	38.619338672238	128.65333970015	3.3495236665384	25.922164456048	116.67802412004	0.68736973015345	10.901528078833	9.8485185091754	31.850071864784	107.50990250938	32.689600828343	0.74544567110962
0.48	39.893002696194	0	34.353210624208	125.87505744933	5.4169089839081	25.597039500575	103.2931064403	1.6404820617685	19.091185062231	14.542453133777	28.32746770613	95.692144554414	33.055663885325	1.1736905720197
0.872	38.497142614523	0	29.184101561238	120.7946294946	5.3258653459238	24.987706263865	87.865164860189	2.9569330225443	22.860986298731	14.185109053656	24.053599167571	81.450822245904	28.343737035304	1.5989160402769
1	37.650749095075	0	27.670194859457	118.61636820606	5.1131560755287	24.719661778355	83.306869227307	3.3824295383954	23.230114734373	13.644079949252	22.800487920402	77.2991162258	26.81627215445	1.7396825039965
1.2	36.088926411292	0	25.464226531552	114.06077078127	4.7257535938348	24.147980458345	76.728724163977	3.3554794814667	23.153288469543	12.579391169155	20.974030653267	71.256436833155	24.631883027794	1.9717304138017
1.48	33.624134422893	0	22.673092667697	105.79842756861	4.2080989135577	23.061181263464	68.464972843055	3.3181109064836	22.280442672155	11.200787602052	18.663196204645	63.609232847084	21.897256753196	2.3217460369639
1.872	29.899421791673	0	19.281681997144	90.34957628746	3.5707863002264	20.833765603043	58.42912100368	3.2664956783846	20.217380752003	9.51834284514	15.855603919394	54.314311129999	18.591704428803	2.8728425624064
2	28.544322845546	0	18.2861644061	84.242300201557	3.3839263644473	19.872996929679	55.448644509107	3.2498146323557	19.434711220669	9.0229231416128	15.031515839309	51.585116173559	17.603817734944	3.0853624704846
2.2	26.433116325393	0	16.834620609164	73.148209435264	3.1100907882344	18.038517282215	51.151006928045	3.2239212790991	18.156957988871	8.3004742894441	13.829986341333	47.604956913183	16.188635703907	3.4400268046259
2.48	23.494774090398	0	14.997933594436	58.443290808072	2.7655357855277	15.345595804506	45.716163050185	3.1880176455801	16.352197725583	7.3929795052977	12.309763603382	42.567177046277	14.40778033883	3.9847253708763
2.872	20.030931127762	0	12.766056391465	43.831284224471	2.3488567314774	12.30688879955	39.112191747747	3.1384252962603	13.959286723443	6.2963530292522	10.462656861561	36.442499158924	12.249675338032	4.7320756292793
3	19.096414298815	0	12.110895054701	40.376821409911	2.2268633127891	11.52495887271	37.157728303895	3.1223981905372	13.223181719573	5.9742199698446	9.9204966124104	34.64389120692	11.608622282026	4.9571220179916
3.2	17.639179016134	0	11.155572908169	34.886964553929	2.0487381594178	10.250889082265	34.328843504669	3.0975198574625	12.140463926714	5.5054013730961	9.1300009604708	32.020509649628	10.684685929484	5.3321676475126
3.48	15.979294922225	0	9.9466845025123	30.051742370288	1.8239866470634	9.0489178040142	30.74923920173	3.0630235256888	10.766929807371	4.9142377762307	8.1297964065822	28.699328276893	9.519055416857	5.7941260338897
3.872	14.17985563165	0	8.4775220544378	26.063327763573	1.5515286165085	8.007640384728	26.396995209139	3.0153747492647	9.1115201085004	4.1976732128394	6.9144531984829	24.660267487282	8.1045567563864	6.325204275297
4	13.651316595446	0	8.0462251308864	25.050792109127	1.471622017363	7.7363556935948	25.111039222321	2.9999759547466	8.6261788599523	3.9870238638863	6.557719790228	23.473837601292	7.6858821207088	6.4846506803773
4.2	12.910525457355	0	7.4172894888386	23.525030371928	1.3549977952934	7.3211786456412	23.245629386847	2.9760728835338	7.9257071952205	3.6801631818061	6.0375678762562	21.743019552014	7.0801148607095	6.7399406294086
4.48	11.993193983938	0	6.6213376195972	21.821523521662	1.2076625213032	6.8501965837101	20.883933768275	2.9429287532095	7.0516382278039	3.2925587181402	5.3793916165112	19.551147002983	6.3148830730594	7.0496531297047
4.872	10.892730127584	0	5.6538642425233	19.867957105109	1.0288141901461	6.2992179230202	18.010635035706	2.897147518353	6.0067297419775	2.8219084024667	4.5795808410323	16.884228610829	5.3854999839646	7.396409909192
5	10.559934557223	0	5.3698139153095	19.295266564399	0.97629138815673	6.1353622390708	17.161608741446	2.8823524149213	5.7012202896693	2.6834273282985	4.3448049128674	16.100552300341	5.1108816935476	7.4935576878327
5.2	10.096659666534	0	4.9555611160806	18.486407630055	0.89965607642077	5.9021022741297	15.929122170816	2.8593863992158	5.2590077528756	2.4815771997314	4.0024627293574	14.956969692058	4.712729063789	7.6487938794078
5.48	9.500236123748	0	4.4312255245104	17.463549002314	0.80277261937599	5.6037722653961	14.367969590106	2.8275415276457	4.704313432623	2.2263357569099	3.5692468789413	13.508122339512	4.2094092005852	7.8216199441343
5.872	8.761503540463	0	3.7937550573472	16.201614168376	0.68507092012559	5.2303375318823	12.46739661761	2.7835547858733	4.0359846149224	1.9160084019975	3.0427462419334	11.744056498995	3.5978343706752	7.9776779418617
6	8.5358474767217	0	3.6065602400589	15.820811102825	0.65045576837281	5.1164421199689	11.904572411925	2.7693397211133	3.839706370752	1.8245611243971	2.8881846374855	11.225392826558	3.4171289121886	8.0099983655856
6.2	8.2128008066611	0	3.3335228972037	15.272311221111	0.59996519260606	4.9513141278373	11.08857412135	2.7472740571604	3.554462363544	1.6912275774675	2.6627930762044	10.46822597755	3.1550383999269	8.0546907384194
6.48	7.7887810927389	0	2.9878563731653	14.560236672057	0.53612426693565	4.7350096805613	10.054606547843	2.7166775745496	3.1948793695833	1.5225290258507	2.3775419382206	9.5083347580698	2.8236638869164	8.0770797035123
6.872	7.2488522551474	0	2.5674681679312	13.65306282969	0.45854337450827	4.456171858239	8.7951809120003	2.6744151115111	2.7591282760882	1.3172323365028	2.0308104299129	8.338451316643	2.4209922957285	8.0307657950446
7	7.0811341848228	0	2.443987130063	13.372158279442	0.43568890016708	4.3690727014686	8.4202655936172	2.6607573557902	2.6306281826233	1.2565870322827	1.9290093364048	7.9942058555178	2.3018142372896	7.9977787739062
7.2	6.8336095727228	0	2.2638461712811	12.957984994441	0.40237149460881	4.2398963593614	7.8789903378331	2.6395567694361	2.4434503215267	1.1681727809213	1.7805421162345	7.4913713305881	2.1292081512818	7.9341596630358
7.48	6.5016695482394	0	2.0357174065174	12.407266937502	0.36027122655522	4.0668470502258	7.1930599390581	2.6101597799598	2.2068847118096	1.0563255996284	1.5926162350129	6.8533275915535	1.9110667016053	7.8135658725369
7.872	6.0675781644128	0	1.7581429207021	11.684915669039	0.30914422341446	3.8376480077202	6.3571729047445	2.5695540917168	1.9194139614502	0.92018221651991	1.3641321755444	6.0746019286002	1.6460752598332	7.5861138414352
8	5.9302850672285	0	1.6765786825741	11.455491947235	0.29406082519419	3.7643605667593	6.1059942756697	2.5564318018348	1.8343544469108	0.87984012104356	1.2970357467201	5.8451882387104	1.5673963753909	7.4985074199038
8.2	5.7235795359407	0	1.5575549842615	11.113074573638	0.27209891999364	3.6544249897296	5.7461681295193	2.5360623932449	1.7103935843818	0.82107540611098	1.1991682405586	5.5098103798786	1.4537764021165	7.3494356403702
8.48	5.4433389464723	0	1.4067580828425	10.651718154485	0.2444075073905	3.5054736716306	5.290170095487	2.5078179038405	1.5537987243662	0.74686577934533	1.0752627161545	5.0836998854297	1.3103188114838	7.1236454979131
