# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	6.4966356310764	0.05137759090875	0.014685854813403	0.032089258517627	0.034303509711309	0.0048147766453845	0.070225782081292	1.4488101639802
0.48	6.9964133177083	0.04526796733423	0.022572078792855	0.032433776762544	0.069016730623845	0.0079972661393181	0.15074750944236	1.2498418239635
0.872	7.5957380277778	0.038162722939557	0.022064780261881	0.027059807326958	0.089175833100558	0.0078923589764236	0.24675160658557	0.99078078990091
1	7.7834222777778	0.0360908228615	0.02116008176988	0.025381923278221	0.091548160530725	0.0075684636727556	0.27450771403277	0.90633689348959
1.2	7.9948333177083	0.033137724071677	0.019417239983741	0.023037260003883	0.091746006963854	0.0069848090433395	0.31455340663642	0.77050851741794
1.48	8.3840518837891	0.029442963398308	0.017151726569745	0.020177904385119	0.087713770341733	0.0061987494909977	0.36433312271236	0.58936584121175
1.872	8.8526786101345	0.025016314938067	0.014425611774124	0.01684375459774	0.077590560833412	0.0052367853856401	0.42296973692414	0.37329490094323
2	8.9840882934028	0.023714041569697	0.01363472660205	0.015872766149149	0.073811320410457	0.0049569611965785	0.43967153501793	0.31327396882916
2.2	9.1603966817491	0.021847836346086	0.01249532447082	0.014502022884556	0.0677649866758	0.0045499126492088	0.46341027210639	0.23660295153173
2.48	9.3414150980903	0.019506173990319	0.011080638455222	0.01280971626596	0.05949398230455	0.0040409709169587	0.49207153007859	0.16337875920855
2.872	9.4951208076172	0.016689766881304	0.0093988621564671	0.010807582975858	0.049065690667705	0.0034312786126124	0.52392997390243	0.1098456727345
3	9.5299998957248	0.015861876997795	0.0089106868892463	0.010222757659619	0.04598754225617	0.0032540151348401	0.53247044133068	0.098975846633047
3.2	9.5760637562934	0.01467059097664	0.0082054696341345	0.0093886848325075	0.041572328600825	0.0029963655089426	0.54401652795157	0.08689701039603
3.48	9.6247092675781	0.0131736289501	0.0073253646761964	0.0083508923263502	0.036169813911287	0.0026733713381483	0.55669158171753	0.07565404775447
3.872	9.6761419287109	0.011371393874296	0.0062729523934472	0.0071137605938131	0.029965566938272	0.0022852251778781	0.56800867916595	0.065215692553173
