# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	9.7676826386105	32.103410406145	0.072274714973317	41.943367759728
0.48	22.894378808749	37.641281988166	0.11768986124039	60.653350658155
0.872	33.824630244198	48.245290082325	0.16328461676771	82.233204943291
1	36.215714325886	51.56801182122	0.17562472162012	87.959350868727
1.2	49.430778190134	64.540531517785	0.20228262816016	114.17359233608
1.48	52.091882774859	69.962396526413	0.22258501806241	122.27686431933
1.872	57.080063916959	78.997810554345	0.24420100810428	136.32207547941
2	58.684596582126	81.880150558683	0.25072070493165	140.81546784574
2.2	67.197436926537	92.519075881335	0.26459454584765	159.98110735372
2.48	68.726612832811	95.978859213723	0.27333665241375	164.97880869895
2.872	71.188969765434	101.18628567586	0.28102025689601	172.65627569819
3	71.948063373611	102.81807672975	0.28340062361635	175.04954072697
3.2	75.840442229128	110.26190761492	0.2876093531851	186.38995919723
3.48	76.327028090914	111.6549070602	0.28973705491755	188.27167220603
3.872	77.265984658854	114.43497372347	0.29190895749186	191.99286733982
4	77.567175369846	115.35489907268	0.29257999982308	193.21465444235
4.2	79.403738948898	120.83506173299	0.29508774190643	200.5338884238
4.48	79.649600987341	121.66451611927	0.29645683724953	201.61057394386
4.872	80.175220279448	123.64678733491	0.29770239916503	204.11971001353
5	80.345270882073	124.31426551023	0.29807551518915	204.9576119075
5.2	81.484873861958	128.74883396056	0.29988270610837	210.53359052862
5.48	81.647846064182	129.34066003279	0.30084398549365	211.28935008247
5.872	82.005700612205	130.90160798212	0.30173610127812	213.2090446956
6	82.121710366416	131.4331261496	0.30200721770263	213.85684373372
6.2	82.935964769144	135.21833854727	0.30337618252804	218.45767949894
6.48	83.056130724556	135.66322791953	0.30409558370355	219.02345422779
6.872	83.325455268381	136.95063394119	0.30479111058693	220.58088032016
7	83.413056395285	137.39288130471	0.30500595889688	221.11094365889
7.2	84.049103000858	140.74463345154	0.30611826109538	225.09985471349
7.48	84.145418458041	141.08520596106	0.30669486323697	225.53731928234
7.872	84.364569707261	142.17443790423	0.30726890894506	226.84627652043
8	84.436137353321	142.55116559611	0.30744826597282	227.29475121541
8.2	84.970068022098	145.60650944661	0.3084034925081	230.88498096122
8.48	85.052691829376	145.85848631843	0.30888767778308	231.22006582559
8.872	85.242464175341	146.78494453187	0.30937643307808	232.33678514028
9	85.304621882274	147.1076021407	0.30953012281559	232.72175414579
9.2	85.781109676667	149.96389764151	0.31038689638155	236.05539421456
9.48	85.855459985047	150.12935517287	0.31080390644793	236.29561906436
9.872	86.027499005038	150.91294363389	0.31122336950044	237.25166600843
10	86.083852266302	151.18889758534	0.31135554043832	237.58410539208
10.2	86.530524492554	153.92293095921	0.31214862045958	240.76560407223
10.48	86.599358908097	154.00727452644	0.31251137057009	240.91914480511
10.872	86.760386310567	154.67621960702	0.31286956315192	241.74947548074
11	86.812967358305	154.91600934208	0.31298260835721	242.04195930874
11.2	87.246277424966	157.58967580412	0.31372648318841	245.14967971227
11.48	87.311022473348	157.61109375835	0.31404292359917	245.2361591553
11.872	87.464985873235	158.2032870614	0.31434893102172	245.98262186566
12	87.515061498781	158.41964470686	0.31444620492366	246.24915241056
12.2	87.943456480834	161.07330075625	0.3151404301325	249.33189766722
12.48	88.004872235222	161.05239808186	0.315416349129	249.37268666621
12.872	88.153773266351	161.59666094566	0.31567971985103	250.06611393186
13	88.202075318938	161.79848641305	0.31576449127961	250.31632622327
13.2	88.62880945649	164.44934709955	0.31640446476976	253.39456102081
13.48	88.687363899543	164.39879097702	0.3166438006002	253.40279867716
13.872	88.832144521712	164.90884093136	0.31687063009562	254.05785608316
14	88.879052579112	165.100099292	0.31694469020189	254.29609656132
14.2	89.305175651443	167.75227206349	0.31753075826951	257.3749784732
14.48	89.361314432597	167.6774378157	0.31773920257006	257.35649145086
14.872	89.502641760314	168.15784199074	0.31793526899413	257.97841902005
15	89.548400078041	168.339735149	0.31800000452328	258.20613523157
15.2	89.974713680778	170.99392723095	0.31854047216649	261.28718138389
15.48	90.028864414449	170.89631741198	0.31872748046406	261.24390930689
15.872	90.167339084369	171.3479557515	0.31890114869868	261.83419598457
16	90.212136177792	171.52065748359	0.31895856520195	262.05175222659
16.2	90.639700269427	174.17829265002	0.31946533500331	265.13745825445
16.48	90.692151249003	174.05772425959	0.31964010829714	265.0695156169
16.872	90.828197643994	174.48038055173	0.31979933474614	265.62837753047
17	90.872150040323	174.64381992755	0.31985148198523	265.83582144986
17.2	91.302055943059	177.30741639955	0.32033310990644	268.92980545252
17.48	91.352901822196	177.16316253773	0.32049946744601	268.83656382738
17.872	91.486687850195	177.5564644254	0.32064754045979	269.36379981606
18	91.529827492435	177.71057390555	0.3206954590226	269.56109685701
18.2	91.962920490505	180.38287513491	0.32115342885186	272.66694905426
18.48	92.012103392771	180.2141960769	0.3213089670578	272.54760843673
18.872	92.143579476062	180.57780722898	0.3214440131905	273.04283071824
19	92.185873185352	180.72253581506	0.32148749995421	273.22989650037
19.2	92.622668454983	183.40575060709	0.32191697154797	276.35033603362
19.48	92.670050384163	183.21199927363	0.32205577823526	276.20410543603
19.872	92.799036451665	183.54546666141	0.32217311751649	276.66667623059
20	92.840415490308	183.68070154078	0.32221120595373	276.84332823704
20.2	93.28117564434	186.37624526496	0.32260377027209	279.98002467957
20.48	93.32659294116	186.15671067376	0.32271947094831	279.80602308587
20.872	93.452848074758	186.45919245632	0.32281415255022	280.23485468363
21	93.493228187721	186.58466495639	0.3228457126903	280.4007388568
21.2	93.938108187601	189.29333224277	0.32319243301251	283.55463286338
21.48	93.981393347446	189.04702263027	0.3232804808143	283.35169645853
21.872	94.104645553876	189.31712530899	0.32334929915036	283.74512016202
22	94.143931693945	189.43237337772	0.323373561707	283.89967863337
22.2	94.59309474166	192.15473547617	0.3236682287283	287.07149844655
22.48	94.634068203538	191.88036072376	0.32372786864675	286.83815679595
22.872	94.754008383905	192.11639661195	0.3237711488697	287.19417614472
23	94.792088076223	192.2208808055	0.32378818076035	287.33675706248
23.2	95.245699027178	194.95765119442	0.32403048307755	290.52738070468
23.48	95.284150692696	194.65407181209	0.32406611977721	290.26228862456
23.872	95.400426938232	194.85496513781	0.32408873623921	290.57948081228
24	95.435558262426	194.94569234332	0.32411652658353	290.70536713233
24.2	95.913724937677	197.72836458164	0.32446774373551	293.96655726306
24.48	95.976488287315	197.46470256691	0.3245732924069	293.76576414663
24.872	96.149739392942	197.78173542292	0.32466945469943	294.25614427056
25	96.206139575034	197.91624657039	0.32470545668807	294.44709160212
25.2	96.758389510521	200.85843809958	0.32482488306395	297.94165249316
25.48	96.802099593843	200.53819202944	0.32484021878317	297.66513184207
25.872	96.923968338659	200.73179505047	0.32488648226097	297.98064987139
26	96.961635352195	200.82501071022	0.32490602586823	298.11155208828
26.2	97.461496092089	203.72021388518	0.32511632625263	301.50682630352
26.48	97.49483025789	203.36319457733	0.32517308951095	301.18319792473
26.872	97.610820601711	203.53589859312	0.32522184287964	301.47194103771
27	97.647419916201	203.6235451931	0.32523863641817	301.59620374572
27.2	98.146350081318	206.51395755341	0.32544522741721	304.98575286215
27.48	98.180973045029	206.15480664762	0.32550323402488	304.66128292667
27.872	98.299164651199	206.32690855074	0.32554938196186	304.95162258391
28	98.336388822416	206.41434478025	0.32556456534926	305.07629816802
28.2	98.839687579176	209.31253430519	0.3257695419545	308.47799142632
28.48	98.874923079572	208.95163857261	0.3258292323378	308.15239088452
28.872	98.994015043645	209.12264404308	0.32587385263207	308.44253293936
29	99.031437908317	209.20975451483	0.32588795272047	308.56708037587
29.2	99.53790363263	212.11654702163	0.32609145702038	311.98054211128
29.48	99.572960465968	211.7528659084	0.32615193605836	311.65197831043
29.872	99.691820546965	211.92135838465	0.32619505500076	311.93937398662
30	99.729106547223	212.0077064503	0.32620828834037	312.06302128586
30.2	100.23711022505	214.92053737493	0.32640947678259	315.48405707676
30.48	100.27160163467	214.55363125684	0.32646968189162	315.1517025734
30.872	100.38960444226	214.71861379863	0.32651112924139	315.43472937014
31	100.42657155741	214.80386434338	0.32652360885265	315.55695950964
31.2	100.93476509729	217.7195483502	0.32672160703534	318.98103505452
31.48	100.96853218901	217.34930230878	0.32678079525519	318.64461529305
31.872	101.08535167586	217.51009782686	0.32682047511567	318.92226997783
32	101.12190614515	217.5940093784	0.32683227826838	319.04274780182
32.2	101.62928987758	220.50973080565	0.32702645710258	322.46604714034
32.48	101.66228036611	220.13614765672	0.32708421902881	322.12551224185
32.872	101.77775161205	220.29229901748	0.32712213806672	322.3971727676
33	101.81384666923	220.37470306353	0.32713332862763	322.51568306139
33.2	102.31972432862	223.28829218611	0.32732331018165	325.93533982491
33.48	102.35193195963	222.91141307529	0.32737946531607	325.59072450024
33.872	102.46597684821	223.06262862407	0.32741569849744	325.85602117077
34	102.50159096459	223.14341537509	0.32742633319631	325.97243267288
34.2	103.00550122557	226.05332916883	0.32761193579687	329.3864423302
34.48	103.03693836934	225.67321136944	0.32766643548303	329.03781617426
34.872	103.14952703155	225.81932931411	0.32770108812524	329.29655743379
35	103.1846527784	225.89843602893	0.32771121729139	329.41080002463
35.2	103.686304845	228.80363900376	0.32789239277301	332.81783624154
35.48	103.71699093167	228.42035179044	0.3279452539665	332.46528797608
35.872	103.8281214596	228.56131074769	0.32797843599448	332.71741064328
36	103.86275967821	228.63871099402	0.32798810326336	332.82945877549
36.2	104.36198143015	231.53854303163	0.32816488718748	336.22868934897
36.48	104.39193835147	231.15216670584	0.3282161558243	335.87232121313
36.872	104.50162562832	231.28797978376	0.32824796978013	336.11785338187
37	104.53578219745	231.36367382454	0.32825721244022	336.22771323443
37.2	105.03248169188	234.25773779398	0.32842969077785	339.61864917664
37.48	105.0617320438	233.86836202629	0.32847942464374	339.25857349474
37.872	105.17000120813	233.99909500407	0.32850996262596	339.49760617482
38	105.20368511863	234.07310180446	0.32851881259248	339.60530573569
38.2	105.69782337738	236.96117848826	0.32868710115432	342.98768896679
38.48	105.72638977982	236.5688999192	0.32873536275765	342.62402506178
38.872	105.83327217894	236.69465407079	0.3287647073028	342.85669095704
39	105.86649431588	236.76700511464	0.32877319226699	342.96227262279
39.2	106.35806668356	239.64899278923	0.32893742425071	346.33599689704
39.48	106.38597148797	239.25391254497	0.32898427787778	345.96886831082
39.872	106.49150207505	239.3748119071	0.32901250380267	346.19532648596
40	106.52427441979	239.4455466812	0.32902064823743	346.29884174922
40.2	107.01329804873	242.32141978086	0.3291809664769	349.66389879607
40.48	107.04056318792	241.92364134632	0.32922647668731	349.29343101093
40.872	107.14477881796	242.03982369946	0.32925365266161	349.51385617008
41	107.17711391935	242.10898652963	0.32926147857103	349.61536192755
41.2	107.66361947754	244.97876797554	0.3294180304459	352.97180548353
41.48	107.69026637663	244.57839555733	0.32946226101224	352.59812419498
41.872	107.7932046878	244.69000622449	0.32948845059818	352.81269936289
42	107.82511531266	244.75764411599	0.32949597802682	352.91225540668
42.2	108.30914154037	247.62138702223	0.32964891195389	356.26017747455
42.48	108.33519106125	247.21852435752	0.32969192501152	355.88340734378
42.872	108.43688974423	247.32571200671	0.32971718728528	356.09231893822
43	108.46838864825	247.39187318945	0.32972443465042	356.18998627235
43.2	108.94997881228	250.24964886142	0.32987389761862	359.52950157132
