# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.2840740872512	1.5160876078711	1.8418340298767
0.48	1.1598809392906	1.7403649049644	2.085851654464
0.872	0.96674121330113	1.8679239718997	1.4130867844438
1	0.90032191176114	1.8829202685644	1.3440737928692
1.2	0.78326865186645	1.8808474010702	1.2382568575848
1.48	0.62572885781004	1.8431875550089	1.1860679169012
1.872	0.43566597843198	1.7576481411588	1.1140977334042
2	0.38239907923622	1.7258881005149	1.096228248141
2.2	0.29954008270196	1.668723533827	1.0724583384306
2.48	0.21657057254144	1.5877977549152	1.0458501456153
2.872	0.15175768489675	1.4922519728678	1.0180909467026
3	0.13793656346035	1.4650332507693	1.0107613880864
3.2	0.11733300605199	1.4279580192372	1.0007380183167
3.48	0.099308078040486	1.3780085151848	0.98913382317044
3.872	0.08346524511293	1.3127638846149	0.97657385485609
4	0.079355370063078	1.2915554265594	0.97317927152734
4.2	0.073396718031548	1.2653712368945	0.96848109050402
4.48	0.066586349747821	1.223852923485	0.96296008154211
4.872	0.05887788685455	1.1626107693404	0.95688761547453
5	0.056676220703278	1.1420040868185	0.95522957216113
5.2	0.053579846668019	1.1167401633234	0.95292262360256
5.48	0.049768316977363	1.0772543648606	0.9501935439341
5.872	0.045274212186354	1.020491085461	0.94716966940507
6	0.043974165444784	1.0018709740427	0.94634002366217
6.2	0.042135995092721	0.97846127818386	0.94518293287105
6.48	0.039859826117076	0.94325364175687	0.94381018342743
6.872	0.037174915173756	0.89495282175033	0.94228478307452
7	0.036400323633224	0.87963885591595	0.94186554622959
7.2	0.035309235577604	0.85959189744007	0.94128063893279
7.48	0.033972836478001	0.83041890909386	0.94058685725854
7.872	0.032435226841721	0.79241630194829	0.93981730408835
8	0.031999826856394	0.78082749342824	0.93960620567628
8.2	0.031403901049947	0.76484265260882	0.93931244895489
8.48	0.030702426027336	0.74215078303776	0.93896577394412
8.872	0.029954753759935	0.71415475570575	0.93858496537645
9	0.029753274746733	0.70597438798001	0.93848135974063
9.2	0.029503664761548	0.6938754608239	0.93833828986878
9.48	0.029235116976545	0.67684617805904	0.93817165931415
9.872	0.02899209720596	0.65671796262302	0.93799254293767
10	0.028930877253026	0.65102605848521	0.9379446300118
10.2	0.028879134771062	0.64180907243093	0.93787934549485
10.48	0.028818698093541	0.62851538303557	0.93780488704676
10.872	0.028744115143857	0.61273481101971	0.93772718124149
11	0.028715069363832	0.60822387950576	0.93770683675608
11.2	0.028688945535547	0.6002816892134	0.93767950807602
11.48	0.028611969834924	0.58821390144377	0.93764901023732
11.872	0.028444170519274	0.57304059711173	0.93761808234686
12	0.028377175019932	0.56848063086883	0.9376101620832
12.2	0.028273053923665	0.56028536139062	0.93759969268528
12.48	0.028085527543633	0.54740001794869	0.93758838912511
12.872	0.027769780341521	0.5303142564715	0.93757758450154
13	0.027658962611818	0.52497948749279	0.93757498267554
13.2	0.0274713811133	0.51572914448254	0.93757176212007
13.48	0.027189616832246	0.50112971446916	0.93756883148659
13.872	0.026769381688576	0.48131654309567	0.9375671055651
14	0.026629548445136	0.4750397804903	0.93756698037668
14.2	0.026385652713625	0.46473178001518	0.93756723895632
14.48	0.026042070788543	0.44859465405381	0.93756853353319
14.872	0.025551600236931	0.42661503528218	0.93757176524883
15	0.02539128508898	0.4196457657125	0.93757307476063
15.2	0.025112456902005	0.4088063801453	0.93757543162639
15.48	0.024726096872221	0.39197576759498	0.93757941838902
15.872	0.024181196578703	0.36919223042212	0.93758605192185
16	0.024004120598793	0.36201109797792	0.937588393621
16.2	0.023702590726874	0.35135991995015	0.93759229672945
16.48	0.023285195592954	0.3348918270354	0.93759831740883
16.872	0.022699288458564	0.3128553818725	0.93760758983611
17	0.022509781028674	0.30597924336527	0.93761074216552
17.2	0.022193832988878	0.2961659970741	0.93761586283973
17.48	0.021757023022774	0.28097281932483	0.93762347959222
17.872	0.021148478350625	0.26094705128151	0.93763478982746
18	0.020953068403002	0.25477883210763	0.93763855740359
18.2	0.02063092127878	0.24623687732744	0.93764459219319
18.48	0.020188372637082	0.23289401595604	0.937653386836
18.872	0.019579517651688	0.21560820450282	0.93766614018926
19	0.019385937088398	0.21036307826164	0.93767032723988
19.2	0.019066611504773	0.20326582168854	0.93767697376034
19.48	0.01863283571144	0.19196438776882	0.93768654126756
19.872	0.018045647779419	0.17757786884725	0.93770019378887
20	0.017861061999648	0.17328020072647	0.93770462954225
20.2	0.017553142840136	0.16757560885403	0.93771163293939
20.48	0.01714060446661	0.15818789174794	0.93772165301026
20.872	0.016591626860066	0.1464183988401	0.93773582349668
21	0.016420920744222	0.14295284853641	0.93774039986827
21.2	0.016130644674109	0.13845388127801	0.93774761057033
21.48	0.015746904805129	0.13067713646909	0.93775791884713
21.872	0.015243809791412	0.12103442493963	0.9377724610445
22	0.015088743834228	0.11822877369483	0.93777714792556
22.2	0.01481932705858	0.11472657907411	0.93778453427062
22.48	0.014466868946141	0.10825004799657	0.93779511103889
22.872	0.01401019658472	0.10027938809881	0.93781003477344
23	0.013870421980076	0.09798402849771	0.93781484035443
23.2	0.013623987247587	0.095332629738635	0.93782240996991
23.48	0.013304089802338	0.089949904982767	0.93783323695917
23.872	0.012894253303493	0.083369459494371	0.93784845348179
24	0.013218976475785	0.081593127990232	0.93785428134245
24.2	0.016441211828746	0.083911602102946	0.93785706089656
24.48	0.01834088974103	0.084092370413466	0.93785631376689
24.872	0.019372234737105	0.08303847251299	0.93785401821019
25	0.019598028889367	0.082667775436357	0.93785326560861
25.2	0.016170281127201	0.079043090740077	0.93785639833984
25.48	0.014257238530944	0.073083888356326	0.93786650383855
25.872	0.013569564662966	0.067703062404787	0.93788159184618
26	0.013520455044888	0.066520464844434	0.937886050596
26.2	0.013509181185664	0.066295586077105	0.93789247528893
26.48	0.013578788771626	0.064237061926454	0.93790043824425
26.872	0.013729497253792	0.062110436568921	0.93790959816741
27	0.013780562213534	0.061607176683972	0.93791215075954
27.2	0.013845727280469	0.062257030908826	0.9379157805009
27.48	0.013932352873654	0.061002724240047	0.93792028711781
27.872	0.014036775068017	0.059517353263339	0.93792553774064
28	0.01406618015932	0.059153471568087	0.93792702215929
