# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	5.205885608651	6.2360147745245	0.0017680297523496
0.48	7.2480582859205	3.0353780152912	0.001483648015049
0.872	5.777653912145	2.1931965546387	0.0011367129630164
1	4.7500535394183	1.9624445955536	0.0009849420786828
1.2	10.041948839375	3.7653131342955	0.001287468521816
1.48	4.2735423438414	1.9629309455053	0.00076559474378564
1.872	3.0084040020996	1.6691496059702	0.00056720325890262
2	2.7768587152695	1.6137689732538	0.00052205535011775
2.2	6.254460117396	3.1117298726772	0.00070468381119649
2.48	2.5993128702207	1.4567353444884	0.00036771702689334
2.872	1.6152047408759	1.0299508903326	0.00022953979517472
3	1.4269659318319	0.94715934075237	0.000203252944896
3.2	3.0067580346426	2.0497725383125	0.0002774854572958
3.48	1.1308314547571	0.81391788923892	0.00011725296131583
3.872	0.6847493620854	0.55128460349569	7.1403302220022e-05
4	0.61432448523437	0.51432424272717	6.3930484352672e-05
4.2	1.4878764110233	1.4038557557921	0.00012867989304359
4.48	0.56343832957756	0.54459299426087	5.6398229823529e-05
4.872	0.37192846563234	0.38820892295416	3.7839115511982e-05
5	0.34386868908842	0.36918165972652	3.4957078699561e-05
5.2	0.92960879601919	1.1150645746594	8.4698483477909e-05
5.48	0.35258938411227	0.42598153437298	3.6543542046937e-05
5.872	0.24262541983817	0.30825090048516	2.5573689532442e-05
6	0.22794820287746	0.29539791761618	2.4053663877653e-05
6.2	0.66268150608234	0.94515421569249	6.3779035852364e-05
6.48	0.24912099826176	0.35411983675222	2.6740555875793e-05
6.872	0.17507256574094	0.25704583660152	1.9077864820482e-05
7	0.16616965299142	0.24738676320608	1.8140738643325e-05
7.2	0.51440734654903	0.83268135769491	5.1683296186049e-05
7.48	0.19068922607482	0.30507754241412	2.1057781823163e-05
7.872	0.13544291222651	0.22053661263433	1.5135010718774e-05
8	0.12944404385556	0.21264357970774	1.4485874056558e-05
8.2	0.42715822541415	0.75532629033038	4.4195520628482e-05
8.48	0.15498508537779	0.2685618732615	1.7419363298354e-05
8.872	0.11010800167161	0.19144496486899	1.2456486207491e-05
9	0.10566964482682	0.18447754543504	1.1956129038317e-05
9.2	0.37610889714551	0.70155941211912	3.9420264826093e-05
9.48	0.1320621419803	0.2391551027364	1.4881214509503e-05
9.872	0.092882808218678	0.16651205822152	1.0457674251732e-05
10	0.089370319704445	0.16018413484173	1.0043009556272e-05
10.2	0.34869223485851	0.66552632276658	3.6329010902039e-05
10.48	0.11743962887476	0.21569594176527	1.3031757824851e-05
10.872	0.081391128288882	0.14644935489379	8.9481037849417e-06
11	0.078545560384994	0.14088705540803	8.5989800750869e-06
11.2	0.33693191826877	0.64429099504723	3.4194361204051e-05
11.48	0.10903297759163	0.19936705907198	1.1691386055666e-05
11.872	0.074523855288304	0.1327297719269	7.8583687781383e-06
12	0.072137736974236	0.12790009145287	7.5609803462361e-06
12.2	0.33406507359897	0.63391159748691	3.2401154656692e-05
12.48	0.10476072657757	0.18941836180284	1.0667132846069e-05
12.872	0.070613794069466	0.12407014266976	7.0337337992745e-06
13	0.068447661347004	0.11966624109916	6.769307617542e-06
13.2	0.3346963906948	0.62907649583971	3.0539885962904e-05
13.48	0.10242970390905	0.18308330420118	9.7608191278738e-06
