# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
0.2	7.3741952655805e-07	1.0515073991225e-06	1.6350271899635e-06	0.015449530167455	0.01162846608004	0.036061385047511	5.5420935827681e-06	0.71272483612367	0.56795906847043	0.01277969332069	0.020966827065669	0.022073655410782	1.562388897545e-05	0.078989327882708	0.062047992450143	0.94107551709658	0.011500779667025	5.2169154506544e-07	8.9938274345296e-08	1.3002417974654e-05	0.0013746198979056	0.90939133966721
0.48	6.7173665485584e-07	1.0612228750704e-06	1.3119464791367e-06	0.01544901757548	0.01164223369719	0.036124355344447	6.7077324586345e-06	0.62981166875616	0.9773223829721	0.012779822696424	0.021040875019649	0.022070021352504	3.1806569201274e-05	0.078962779486371	0.063949387411468	0.59019681927801	0.011498750081973	4.7984416889933e-07	8.7976318352062e-08	1.5446768830021e-05	0.001148687094398	0.90937932100581
0.872	6.7302572481933e-07	1.0636772895359e-06	1.2746326741813e-06	0.015453127924576	0.011660773982593	0.036216019354194	7.3771473132743e-06	0.53050216458306	1.0601313600506	0.012780617683826	0.021141723399327	0.022064323233376	5.2648225422637e-05	0.078925118237989	0.063321788883239	0.46839346729144	0.011495862128636	4.7766878060633e-07	9.1308773293857e-08	1.5713640491635e-05	0.00088117451223374	0.90936205427569
1	6.7296994930364e-07	1.0633344098592e-06	1.2735401169425e-06	0.015455710930902	0.011666642003679	0.036246729403568	7.4686560492432e-06	0.49989875319708	0.98870124644727	0.012780949201694	0.021173934037338	0.022062422211143	5.8907096007628e-05	0.078912720513233	0.062816391109697	0.43978192641812	0.011494904887609	4.7771973796682e-07	9.2287887667226e-08	1.5679578359194e-05	0.00080579365676247	0.9093563089086
1.2	4.4133433854043e-07	7.4835492418379e-07	1.0422875303333e-06	0.015461042115902	0.011675533230763	0.036294559465333	7.8231600789651e-06	0.49226656809195	1.1526456721672	0.012781594177392	0.021223022905996	0.022059156061344	8.1530401707838e-05	0.078892815953903	0.063017715572561	0.62896494750347	0.011493091684362	3.9735172054958e-07	9.1060038103452e-08	1.4390599516685e-05	0.00065724863693228	0.90934747179678
1.48	4.3791940285265e-07	6.8272579633956e-07	9.4767620012595e-07	0.015471552146315	0.011687154933653	0.036361425079023	7.9630809535989e-06	0.43385630013293	0.85369399495409	0.012782666243213	0.021288048234917	0.022054137751582	0.00011172050660651	0.078864893231996	0.060631626086743	0.46481077907609	0.011490266621069	3.595969758165e-07	9.0531689835935e-08	1.413343393649e-05	0.00047826571012155	0.90933531891654
1.872	4.3814451526871e-07	6.7570918267308e-07	9.288471896446e-07	0.015492099215046	0.011701138049068	0.036453458229949	7.9952398747463e-06	0.36941414241727	0.74378852102881	0.012784365821721	0.021368600660652	0.022047107057233	0.0001506663545626	0.078826560772844	0.055507638357905	0.45401026551826	0.011486348985922	3.5146201839338e-07	8.7319911601046e-08	1.4000547574802e-05	0.00029011822441487	0.90931906268615
2	4.3819567051503e-07	6.7544884457951e-07	9.2780365147673e-07	0.015500319844563	0.011705094911188	0.036483050849412	7.9950240816465e-06	0.35112530144593	0.7158417554807	0.012784958526375	0.021392094899629	0.02204485900464	0.00016235077205445	0.078814251160795	0.053498789974742	0.45664167333438	0.011485097753434	3.5101538451003e-07	8.6366237158119e-08	1.3967655521486e-05	0.00024338974138874	0.90931396077237
2.2	2.9324560746491e-07	4.7360854117366e-07	6.9396356972827e-07	0.015514673696699	0.011710288918465	0.036526258490648	6.4282608040692e-06	0.34145733151958	0.81225889712306	0.012785697226865	0.021424025197905	0.022041190320627	0.00018744368367599	0.078795336574385	0.050420656225015	0.61899093122717	0.011483028713446	2.6609814977309e-07	7.7015633852535e-08	1.0906382596816e-05	0.00016454556438721	0.90930674465488
2.48	2.9136205294611e-07	4.3286644524116e-07	6.107441420209e-07	0.0155378871124	0.011715197728276	0.036579676497976	5.3337246040056e-06	0.29403569043977	0.63270216878672	0.012786177856252	0.021457295656127	0.022036039053728	0.00022011689822872	0.078770359924597	0.042724730022441	0.47976151513658	0.011480171613574	2.336008932868e-07	6.7085316134987e-08	9.9255404801804e-06	9.3171136865994e-05	0.90929834935236
