# Time [h]	AA [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	0.00011858069056546	0.15628445067055	0.117631308061	0.36478998206087	0.12927689956788	0.21209635877246	0.22329281764328	0.79904072151956	0.11633965701254	2.1241798129247	4.2430505889234
0.48	0.00011967169611316	0.15630264055688	0.11778819224929	0.36548167503671	0.12929754842626	0.21287725510034	0.22328944963613	0.79889161628722	0.11633652560438	1.703686213057	3.8240707876504
0.872	0.00011994284276358	0.15637783574619	0.1180011169328	0.36648796975875	0.12933339809665	0.21394355115329	0.22327977823746	0.79868211641295	0.11633230779617	1.2942555923048	3.4168136092819
1	0.00011990245461537	0.15641516451348	0.11806893699795	0.36682504675035	0.12934601065753	0.21428483413877	0.22327650777168	0.79861372388669	0.11633094140199	1.1847495951279	3.3080306637009
1.2	8.4382510816837e-05	0.15648634132918	0.11817190839875	0.3673496396163	0.12936678342896	0.21480525919065	0.2232680105726	0.79850003374817	0.1163253870705	1.0327201840446	3.1570779299105
1.48	7.6979472306485e-05	0.15661643445834	0.11830741842901	0.36808232304071	0.12939723717584	0.21549601256266	0.22325098488409	0.79833804299878	0.1163143870681	0.8526893370896	2.9785691571795
1.872	7.6185064177674e-05	0.15685622483757	0.11847292058008	0.369089081536	0.12944069108423	0.21635524521967	0.22322497786344	0.79811127394311	0.11629826061916	0.65267068378941	2.7805955445368
2	7.6154736038609e-05	0.15694944768035	0.11852050501703	0.36941233732084	0.12945493733386	0.21660689713047	0.22321639264052	0.79803724190686	0.11629297795933	0.59768319844543	2.7262500901707
2.2	5.3396748351146e-05	0.1571089406843	0.11858374267255	0.36988333520018	0.12947408421815	0.21694973380738	0.2231992920477	0.79791726822365	0.11628247169224	0.52096731824106	2.6504195835356
2.48	4.8802011802944e-05	0.15736052189976	0.11864584549929	0.37046337239539	0.12949253563994	0.21730941901729	0.22317044817499	0.79774754843234	0.11626568839803	0.4299962902961	2.5605004717649
2.872	4.8355126012581e-05	0.15775944643185	0.11869150974626	0.37117581562292	0.12951076216335	0.21762462375327	0.22312821651249	0.79750997891158	0.11624174077427	0.32900343752452	2.4606938865665
3	4.8350598517614e-05	0.15789968361963	0.11870098909252	0.37139967073252	0.12951603930225	0.21770276466842	0.22311435358864	0.79743242161049	0.11623391171986	0.30124856574621	2.4332967506791
3.2	3.4558545104303e-05	0.15812741965684	0.11871139986676	0.37173152579808	0.12952094083978	0.21780473478196	0.22309034208325	0.79730848106118	0.11622029310786	0.26252383617768	2.3950735319185
3.48	3.1832192107689e-05	0.1584615465009	0.11872010359335	0.37217038947292	0.12952091269933	0.21792062908768	0.2230536779176	0.79713385164739	0.11619996784147	0.21657048869613	2.3497833996489
3.872	3.1601256329903e-05	0.1589510142107	0.1187278960892	0.37277642954423	0.12951582456353	0.21806282131964	0.22300123295448	0.79688942254742	0.1161712467803	0.16547093705692	2.2995984263228
4	3.1610659203235e-05	0.15911505535623	0.11873014219881	0.3729760290809	0.12951377895358	0.21810790492901	0.22298406627966	0.79680962623646	0.1161618639411	0.15141503932476	2.2858451169597
4.2	2.3069659729284e-05	0.15937509799269	0.11873317701874	0.37328136367431	0.12950836682947	0.21817618431196	0.22295574938623	0.7966831844745	0.11614633945533	0.13179464798523	2.2666771807882
