Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	1.6044997093099e-05	6.5856916423092e-05	0.012449783983617	4.4582195224941e-06	0.018802440131224	-0.12174919622399	3.3825314491575e-07	0.014393482300007
0.48	1.2861773684364e-05	7.8624215888932e-05	0.0054041591935762	4.0978979088084e-06	0.0097113529407255	-0.09969359036793	4.2111466432558e-08	0.0082470618930121
0.872	9.9630937495882e-06	6.4706999012768e-05	0.00045961826413758	3.252079425924e-06	0.0035725180527469	-0.075993761496742	7.3640874513926e-10	0.039168155138349
1	1.0227752695835e-06	6.1904810209333e-06	8.4639149962459e-06	3.5314642225524e-07	0.00029735066768977	-0.069568306621048	1.3017025669073e-11	0.045461764816924
1.2	4.3998392719342e-09	3.7184937541297e-08	1.1796954202631e-07	1.5836860516778e-09	3.7181072660063e-06	-0.06064123135741	2.0507517347018e-13	0.058175326831847
1.48	3.471034555852e-09	3.2631753419462e-08	8.5760935855144e-08	1.2426739736006e-09	2.2919899788709e-06	-0.050069837193486	1.7401699942952e-13	0.06550841001197
1.872	2.3251600502992e-09	2.2502805581966e-08	5.5353695275078e-08	8.31144255714e-10	1.103116416314e-06	-0.038324760906958	1.3660950238918e-13	0.077252482633177
2	2.1365293816257e-09	2.0726448911254e-08	4.9516987366183e-08	7.6376095782575e-10	8.836737341346e-07	-0.035095900979749	1.2953053903148e-13	0.080480901484223
2.2	1.4341898414416e-09	1.4967337119202e-08	4.4815935026449e-08	5.1970676649377e-10	5.5504595193816e-07	-0.030591151756831	1.2105556345736e-13	0.084985316254482
2.48	1.1294150463943e-09	1.1126563495875e-08	3.5369732143647e-08	4.0834086777921e-10	2.9113330203673e-07	-0.025249341597565	1.1262959207946e-13	0.090326845543558
2.872	9.8618522539964e-10	9.1392173828824e-09	2.6004011779101e-08	3.5595313846033e-10	1.4861204517961e-07	-0.019319050822036	1.048207468474e-13	0.096256976262076
3	9.5740517391999e-10	8.7959165764166e-09	2.3687934367114e-08	3.45552369423e-10	1.2856066906795e-07	-0.017689287371298	1.0290321937461e-13	0.097886710083749
3.2	6.9795695945285e-10	6.4335756577981e-09	2.1080184759939e-08	2.540515456836e-10	9.8908877690017e-08	-0.015415374905767	1.0036868768938e-13	0.10016058777425
3.48	5.9456618564738e-10	5.0132371710728e-09	1.7189286345055e-08	2.1533282762265e-10	7.9895827238712e-08	-0.012716998677345	9.7554235810499e-14	0.10285893933491
3.872	5.5572679546188e-10	4.4055384137339e-09	1.3552945275322e-08	2.0079349195523e-10	7.1524042053649e-08	-0.0097164378248992	9.464443737758e-14	0.10585948726505
4	5.4853924657528e-10	4.3157002688243e-09	1.2643321745115e-08	1.9817697488289e-10	7.04533306579e-08	-0.0088910768356052	9.3881153656603e-14	0.10668484593258
4.2	4.1602951785176e-10	3.2737980445952e-09	1.1410140228245e-08	1.5086145547188e-10	6.625282257833e-08	-0.0077389693062819	9.2840766442517e-14	0.10783694682609
4.48	3.6688032953791e-10	2.7019597670796e-09	9.7582987372223e-09	1.3209328230608e-10	6.2976936433928e-08	-0.0063712769116601	9.1642004136223e-14	0.10920463363341
4.872	3.5285210567587e-10	2.4884071015212e-09	8.1252402458714e-09	1.2669136287591e-10	6.1334573776418e-08	-0.0048501628365901	9.0352728369938e-14	0.11072574417068
5	3.5082529899545e-10	2.4613394395258e-09	7.6944590505084e-09	1.2594700878476e-10	6.1110937535288e-08	-0.004431770932652	9.000589439611e-14	0.11114413535684
5.2	2.7530239725294e-10	1.9488096702293e-09	7.0737972049051e-09	9.8695869812313e-11	5.9321727963717e-08	-0.0038478466823982	8.952728961487e-14	0.11172805658493
5.48	2.4862591078371e-10	1.6842739716652e-09	6.2544978438577e-09	8.8342456410408e-11	5.7855085589801e-08	-0.0031549285297975	8.896741547434e-14	0.11242097214392
5.872	2.4313350747178e-10	1.5979360179236e-09	5.4104111446314e-09	8.6126407378699e-11	5.7121988531015e-08	-0.0023848422788669	8.8355205593771e-14	0.11319105671506
6	2.4277993019743e-10	1.5897409870297e-09	5.1828065437598e-09	8.5987601568211e-11	5.7026920469114e-08	-0.0021731607084296	8.8188732310612e-14	0.11340273794573
6.2	1.9857866838441e-10	1.3152842017034e-09	4.8570024585774e-09	6.9812000960423e-11	5.6075058336623e-08	-0.0018779488940844	8.7957854390609e-14	0.11369794814772
