# Time [h]	hydro_Methanogenesis [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acidogenesis_MS [g/h]	Acetic_Degradation [g/h]	Propionic_Degradation [g/h]	Acidogenesis_LCFA [g/h]	Acidogenesis_AA [g/h]	Butyric_Degradation [g/h]
0.2	2.3408028598644	22.790833726004	0.16794625537187	0.51109067341617	3.1599929867661	1.1303036584917	0.34011498218326	0.29184601050884	0.51732778049569
0.48	2.272870151727	22.405256392878	0.153654596352	0.46524746461594	3.0992165510722	1.2481879814326	0.58390456937986	0.29331110088214	0.40967037377783
0.872	2.3518801865874	21.686884747889	0.1529238883236	0.46606940718921	2.9901951112625	1.3443310447269	0.89968001727514	0.29418337081493	0.39725428942426
1	2.3773009406502	21.390518208075	0.15296675195106	0.46599797877212	2.9462811651492	1.3602457621725	0.99394411135396	0.29417247210509	0.39696682884487
1.2	2.3593977934058	20.667707612809	0.12772117271087	0.3064302186998	2.8422233817813	1.4074017473399	1.2108893612681	0.20862685227297	0.32800477339786
1.48	2.3527131894357	19.295916821448	0.11571350634867	0.3039563616944	2.6479481099669	1.4301676909216	1.4955770817375	0.190515499078	0.29889671332801
1.872	2.2803641693993	16.516904099298	0.11311403319579	0.30395312021744	2.2603862455246	1.4378880373979	1.8688366631024	0.18858899214747	0.29301320597427
2	2.2584697884414	15.329202613716	0.11297065994612	0.3039284748854	2.0960599250755	1.4386077756325	1.9773172652062	0.18852079512077	0.29268463568576
2.2	2.0487198732493	12.859423951984	0.085961103909812	0.2036845920266	1.7562233635368	1.2395283083793	2.1809820343189	0.13279499926541	0.22101775427626
2.48	1.8091325683353	9.3137091121341	0.075509017997538	0.20225226834142	1.2701989211358	1.0624878748249	2.4361604962767	0.12140461453997	0.19483090458735
2.872	1.6446771848412	6.0933889720453	0.073481202190334	0.20225640442992	0.82982085294433	0.97814727298906	2.7214919173246	0.12022830110543	0.18997046172288
3	1.6451352552639	5.5071728163895	0.073376778606868	0.20223902340292	0.74969215278897	0.96805409721137	2.7924364741024	0.12018833453213	0.18971676779471
3.2	1.5406434288897	4.6848115933572	0.05621326385875	0.1379220374393	0.63746982031663	0.77966244335445	2.9173926714001	0.086099269472008	0.14463811789289
3.48	1.4908794099085	4.105605963115	0.049739814612974	0.13704113779867	0.55839543170243	0.64790183987906	3.0515548076824	0.079269196810934	0.12871412556096
3.872	1.4943272725221	3.8750205318063	0.048500918843937	0.13704570804703	0.52670884255868	0.596752694709	3.1843315472607	0.078570744115817	0.12581559328914
4	1.5021080450332	3.8575432974827	0.048435399962227	0.13702901878724	0.52422669721391	0.59140647262806	3.2171021759425	0.078544293913664	0.12566014988296
4.2	1.4552925287012	3.7281088904947	0.037527495703542	0.095861120231279	0.5065191188915	0.47204166723844	3.2728740130187	0.05734873903415	0.097220403773863
4.48	1.436139332662	3.6237607766798	0.033462439345083	0.095300557441732	0.49216769352553	0.40114215856588	3.3267745448426	0.053133698734737	0.087344319719772
4.872	1.4359328250452	3.5793926433818	0.032683348628351	0.095302832407557	0.48587367568949	0.37663289175016	3.3708382049973	0.05269907559304	0.085549952874935
5	1.4371935509574	3.57462654265	0.032638487390501	0.095282593197538	0.48513576252445	0.37419913460543	3.3790508205558	0.052677422448894	0.085444322886204
5.2	1.4028968752383	3.498927616926	0.025746446390112	0.069298394860739	0.47475324957512	0.30395430571191	3.3905701898177	0.039488956604262	0.067592556443604
5.48	1.3828194397195	3.4273717865989	0.023180890610192	0.06893037597866	0.46487852839097	0.26576300463548	3.3901470220393	0.036853415060534	0.061415782954361
5.872	1.3674935713486	3.3731800492453	0.022678556604138	0.068928813761506	0.4572778633317	0.25315538388445	3.3667734962561	0.036571226340434	0.060269735108514
6	1.3623930148714	3.3585279579127	0.022643592960904	0.068900095225942	0.45520742890346	0.25186084120814	3.3541135003775	0.036548712454971	0.060186420750521
6.2	1.3309291156073	3.2934752351799	0.018372675125553	0.053121269712421	0.4462815519101	0.21052623818509	3.3270987509871	0.028487631643299	0.049242962732866
6.48	1.3022736727341	3.2172210183027	0.016762674870338	0.052871144455953	0.4357882952004	0.1889113707384	3.2753428795835	0.026839161903491	0.045407178722405
6.872	1.2662528983301	3.1279026437588	0.016427222029049	0.052862575862714	0.42345668016417	0.18169626526154	3.1811187118599	0.026643520521566	0.044645643561884
7	1.2534355273654	3.0977970879367	0.016393511089181	0.052815930160325	0.41930366219724	0.1808294200453	3.1448375724721	0.026613583687267	0.044562457510184
7.2	1.2170582060631	3.0250939256822	0.013851953312683	0.044146350254771	0.40935695503563	0.15709705863214	3.0751785360516	0.021912471238311	0.038228408843627
7.48	1.1724702698982	2.9227137661206	0.012856618047749	0.043967887447558	0.39535447920514	0.14462268982081	2.9639137786696	0.020891632036623	0.035908502193278
7.872	1.1079723677937	2.7764735096938	0.012612141909768	0.043942002898124	0.3753692994734	0.14000330959368	2.7852734519744	0.020733423459633	0.03535180112868
8	1.0851078852372	2.7245361728938	0.01256846033519	0.043855345244048	0.36828172426385	0.13920337951831	2.7207176495897	0.02068375191628	0.035238223105888
8.2	1.0375411816436	2.6295055253165	0.011123364471596	0.040084271642089	0.35534329436402	0.12629189881432	2.6034144096935	0.018107440231415	0.031891487659019
8.48	0.9720929856513	2.4862357576476	0.010497492844308	0.039941051269967	0.33586159134342	0.11894580374142	2.4282260307799	0.017457891231223	0.030505364833579
8.872	0.87816817469701	2.2764499924565	0.010275871684326	0.039870571164368	0.30737127895479	0.11531481686563	2.170105544021	0.017284671790356	0.029987957938203
9	0.84650807930313	2.2040871121238	0.010207660803298	0.039704221571559	0.29755427774464	0.11429886830272	2.0829366736738	0.017196747023053	0.029801085155733
9.2	0.7905421753822	2.0897760915634	0.0093433580253984	0.038513751821045	0.28205691923527	0.10719060699527	1.9359600070887	0.01568100609036	0.028031526928094
9.48	0.71668378619998	1.9284746259056	0.0088877434792754	0.038380314617524	0.26020960438036	0.10234649148936	1.7374370306737	0.015179770564949	0.027092796516813
9.872	0.62540701362898	1.7234879007656	0.0086746378359401	0.038298624801539	0.23246562923558	0.09923824552423	1.4901511985932	0.014997441269202	0.026598818080876
10	0.59876751422202	1.6620261499928	0.0086102373294104	0.03810772163641	0.22415111644931	0.098311035104703	1.417975843664	0.0149123684182	0.026418534128141
10.2	0.5572167993234	1.5780533376427	0.0080135976003096	0.037102592302281	0.21279148839226	0.094085077329944	1.3085414854597	0.013715528952122	0.025256852579578
10.48	0.51025119299023	1.4790224579799	0.0076720150562801	0.037039991642497	0.19939856629358	0.091263898104823	1.1823015886398	0.013272330194297	0.024633959327247
10.872	0.46388267403007	1.3810694636608	0.0075799464358055	0.037179921800574	0.18614726767585	0.090336013466027	1.0550626659853	0.013227145795918	0.02454351709157
11	0.45254780519406	1.3570917799775	0.0075803492440157	0.037174532857743	0.18290162413218	0.090326366381288	1.0231994890006	0.013237069280241	0.024568754806519
11.2	0.43463427180148	1.3278522759767	0.0071300643978547	0.035292705341534	0.17894009601599	0.087875642873344	0.97637511156464	0.012135058307989	0.023662375389435
11.48	0.41633703659366	1.2974464230399	0.0068389225561952	0.035072152507258	0.17481591104581	0.086364448433514	0.92634771135362	0.011649821451598	0.023154019698286
11.872	0.39976715986	1.2710826771321	0.0067375514509322	0.035203410151658	0.17122731325177	0.086117417905126	0.87893015717263	0.01155455608431	0.023082746409567
12	0.3959469975229	1.2651649080724	0.0067340676602564	0.035242139898838	0.17041817962816	0.086222298421857	0.86728778257934	0.011561596215376	0.023112811902362
12.2	0.38797743642485	1.2566573552264	0.0062874622844715	0.032674459137055	0.16925427821049	0.083602288631203	0.8484557966736	0.010476369981145	0.022077346395325
12.48	0.37981705399012	1.2468028254594	0.0059410936865647	0.03215492996385	0.16790201442801	0.081412863763935	0.82767051135039	0.0098955388268046	0.021319100096368
12.872	0.37215023346938	1.2369268283393	0.0057481575375313	0.032136326947942	0.16653607821879	0.080052529784567	0.80687531152548	0.0096786936726968	0.020942360400352
13	0.37033826509492	1.2344262571148	0.0057187058550166	0.032144489544814	0.16618741710892	0.079821155585553	0.80151635247712	0.0096550616701096	0.020891039979376
13.2	0.36528552510937	1.2286681988717	0.0052912170230341	0.029527263720283	0.16539486127407	0.076699425605832	0.79201676028871	0.0086973347302748	0.019782785579336
13.48	0.36016476870277	1.2214223963437	0.0049476722039788	0.028946295576837	0.1643946505055	0.073902996799071	0.78118386594901	0.0081595365838583	0.018926308048514
13.872	0.35537637531885	1.213693464938	0.0047423030075346	0.028878931622367	0.16331846096082	0.071922396850094	0.76996599273778	0.0079374442119514	0.018444779344768
14	0.35424284891344	1.2116736545667	0.0047081302980651	0.028875617381489	0.1630347445053	0.071536756847761	0.76701431222857	0.0079089145924204	0.018367160760973
14.2	0.35043904189688	1.2059145104507	0.0043516723332138	0.026543060241784	0.16224311220431	0.068449559192655	0.76123927356993	0.0071493038955561	0.017364618949324
14.48	0.34670125219613	1.1990532672716	0.0040675924795961	0.026029273136883	0.16129586729025	0.065703783818166	0.75460557965935	0.0067242741600199	0.016594933617825
14.872	0.34332068382317	1.1921255679463	0.0038986803734897	0.025963460746105	0.16032908310384	0.063762577378806	0.74769022170009	0.0065482025743413	0.016161873470744
15	0.3425283519007	1.1903780198374	0.0038706010414836	0.025958630856987	0.16008252491473	0.063384732233733	0.74586737148843	0.0065253029556453	0.016091603563602
15.2	0.33926756398576	1.1844421836235	0.0035949346166233	0.023948153946823	0.15926866897128	0.060659860523024	0.74119265136745	0.0059474194326837	0.015253710240047
15.48	0.33605623601735	1.1776602132124	0.0033783667395371	0.023518437618573	0.15833391608327	0.058282422033598	0.73570064782943	0.0056292896259932	0.014621275021746
15.872	0.33310304665394	1.1709880025728	0.0032518806362876	0.02346469813866	0.15740368930358	0.05663806583059	0.72976194920886	0.0054999386797587	0.014272960943229
16	0.3323918208075	1.1693181385124	0.0032311444611875	0.023460655371034	0.15716823177547	0.056323094432016	0.72815370332139	0.0054833409558603	0.014217334479172
16.2	0.32899964409637	1.1626431161395	0.0030223590824057	0.021712327496494	0.1562568963569	0.054019542199394	0.7225275176549	0.0050437120671338	0.013527400119455
16.48	0.3254744987773	1.1550623681467	0.0028605685942185	0.021351624227759	0.15521692785492	0.052050651266612	0.71565030447453	0.0048063516438918	0.013016324064742
16.872	0.32197353511235	1.1474189014097	0.0027679040175773	0.021309238516137	0.15415851917668	0.050723777247788	0.70780643438736	0.0047121973777926	0.012742382802012
17	0.32108297667828	1.1454475164409	0.0027529311778882	0.021306033367292	0.15388319125555	0.050474003550037	0.70560512319783	0.0047003151743636	0.012699464376821
17.2	0.31695208876252	1.1371863331998	0.0025931920780316	0.01975887819353	0.15276085000959	0.048530764841972	0.69740080418023	0.00435914546598	0.012122459861334
17.48	0.31237357997964	1.1276536618286	0.002471078143576	0.019451775516893	0.15146098097166	0.046903998043477	0.68711536868903	0.0041788531938079	0.011703467751405
17.872	0.30748120442971	1.1175992138727	0.0024025434367152	0.019418203318426	0.15008112445628	0.045836860907006	0.67504200460189	0.0041092582563999	0.011485323136904
18	0.30618855232743	1.1149032902271	0.0023915971401308	0.019415342088924	0.14970912219275	0.045638906367848	0.67159078203883	0.0041005623894818	0.011451662996788
18.2	0.30086664049979	1.1042489121784	0.0022663758654874	0.018031554254358	0.14826770903528	0.043972975919529	0.6596819297922	0.0038288221645837	0.010957714772673
18.48	0.29468263226602	1.0916834172547	0.0021720790881007	0.017768818461366	0.14656314536011	0.042607459103633	0.64456332060934	0.0036886827764521	0.010606720969439
18.872	0.2877596247547	1.077876287045	0.0021202916381379	0.017741978167964	0.14468207568328	0.041735133556299	0.62658154397229	0.0036361251764046	0.010429265353789
19	0.28589515324278	1.0740598657213	0.0021120725825346	0.017738937118096	0.14416035065949	0.041574770876809	0.62139502712202	0.0036295297174477	0.010402055999006
19.2	0.27914200743646	1.0604294067783	0.0020111692505044	0.016500429255479	0.14232197568881	0.040119037801492	0.6052418233981	0.0034078321040761	0.009971041955413
19.48	0.27106213303902	1.0440447157101	0.0019364925569055	0.016277478302215	0.1401076250402	0.03895054647646	0.58461609356987	0.0032966709852481	0.0096719049130337
19.872	0.26178035340673	1.0255167620197	0.0018964099803119	0.016255916516158	0.13759601218704	0.038221903341603	0.55994534425381	0.0032561902094434	0.0095248790738869
20	0.25925729581503	1.020298786841	0.0018900466447349	0.016252373023156	0.1368870449459	0.038088199036358	0.55280551301219	0.0032509959015762	0.0095022379179845
20.2	0.25114793550257	1.0035848467499	0.0018067022586895	0.015150064367371	0.13463754527999	0.036797388078049	0.53271830805517	0.0030666626699325	0.0091217253892469
20.48	0.24130544852384	0.98328013835565	0.0017462010561745	0.014963801102709	0.13190025418264	0.035781617032796	0.50708871410736	0.0029771120062324	0.0088641596827613
20.872	0.22989535474304	0.96002799258431	0.0017144734583585	0.014946394852891	0.12875825261969	0.035160941542045	0.47650145654856	0.0029454233653354	0.0087408557903253
21	0.22678476746941	0.95344095115095	0.0017094131525191	0.014942385233457	0.12786662438321	0.035046730242404	0.46768053515425	0.0029412169293253	0.0087216728112581
