# Time [h]	MS [g/L]	AA [g/L]	Butyric [g/L]	MO_AcidoLCFA [g/L]	MO_Acetic [g/L]	MO_hydroM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_acetoM [g/L]	MO_ButyricValeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	MO_AcidoAA [g/L]	Valeric [g/L]	Hydrogen [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	0.00067064736904097	0.00095629589165697	0.0014869814228116	1.3709162339522	1.0318535794825	3.199912123341	0.0050402741258029	0.71272483612367	1.1340078909463	1.860494375197	1.9587089266955	0.014209194806699	7.0091291361365	0.062047992450143	1.0205233071276	0.00047445414725959	8.9938274345296e-08	1.2501557905577	2.1241798129247	2.0733888116945
0.48	0.0006108874774864	0.00096509432349324	0.0011931094171208	1.3710757943586	1.0332297565727	3.2059796055852	0.006100144996193	0.62981166875616	1.1341890212829	1.8673443429855	1.958679382773	0.028925612175317	7.0078211955019	0.063949387411468	1.0204958386349	0.00043637951611373	8.7976318352062e-08	1.0446534431327	1.703686213057	1.6977818439659
0.872	0.00061203027839228	0.00096728099002888	0.0011591213083613	1.3717354012824	1.0350975169544	3.2148067522697	0.0067086245470362	0.53050216458306	1.1345034920759	1.8766978171341	1.9585945459427	0.047877679217919	7.0059834773066	0.063321788883239	1.0204588403173	0.00043438110110465	9.1308773293857e-08	0.80134116547247	1.2942555923048	1.2941737582895
1	0.00061197048027786	0.0009669552791562	0.0011581114073665	1.3720628466095	1.0356924298066	3.2177635679855	0.0067917484878122	0.49989875319708	1.1346141285748	1.8796915275331	1.9585658576463	0.053568834006414	7.0053835428657	0.062816391109697	1.0204468544034	0.00043442134788097	9.2287887667226e-08	0.73278151691093	1.1847495951279	1.1847482617564
1.2	0.00040131726853953	0.00068050411949062	0.00094779040269519	1.3726872046419	1.0365956877083	3.2223652597921	0.0071139115926215	0.49226656809195	1.1347963458681	1.8842566595671	1.9584913208123	0.074140066169387	7.0043862609488	0.063017715572561	1.0203981321974	0.00036132684987379	9.1060038103452e-08	0.59768559953688	1.0327201840446	1.0327201700167
1.48	0.00039819692816239	0.00062080219602004	0.00086172562400901	1.3738283724416	1.0377843721843	3.2287923073747	0.007240900231262	0.43385630013293	1.1350634839986	1.8903158996725	1.9583419726675	0.10159082697875	7.002965289463	0.060631626086743	1.0203016409482	0.00032698324081361	9.0531689835935e-08	0.4349127176724	0.8526893370896	0.85268932740506
1.872	0.00039838423442559	0.00061439567885221	0.00084456862032162	1.3759317968208	1.0392361454393	3.2376235222456	0.0072698488927932	0.36941414241727	1.1354446586336	1.8978530282427	1.9581138409073	0.13700155607756	7.0009760872202	0.055507638357905	1.0201601808698	0.00031957259460916	8.7319911601046e-08	0.26381097458753	0.65267068378941	0.6526706782455
2	0.00039842548569366	0.00061415109708556	0.00084360915462296	1.3767495410557	1.039653552781	3.2404590993056	0.0072695645662706	0.35112530144593	1.1355696257356	1.9000605011444	1.9580385319344	0.1476250762765	7.0003266833935	0.053498789974742	1.0201138417485	0.00031916248427254	8.6366237158119e-08	0.22131692348573	0.59768319844543	0.59768319368512
2.2	0.00026662447701964	0.00043061893831569	0.00063097676676072	1.3781486024939	1.0402082690575	3.2445906596507	0.0058448639520992	0.34145733151958	1.1357375808609	1.9030678404156	1.9578885267342	0.17043939137732	6.9992742826636	0.050420656225015	1.0200216815109	0.00024194637346143	7.7015633852535e-08	0.14962106206699	0.52096731824106	0.52096731441884
2.48	0.00026490504601807	0.00039356461131406	0.00055529628653745	1.380355455261	1.0407530306955	3.2496787052227	0.0048495454823101	0.29403569043977	1.1358994354381	1.9062229738359	1.957635510307	0.20014576315598	6.9977855125644	0.042724730022441	1.0198744596318	0.00021239318177862	6.7085316134987e-08	0.084718805120785	0.4299962902961	0.42999628740653
2.872	0.00026517060714715	0.00038996069364984	0.00054171119283624	1.3838547932619	1.0411535942655	3.2559282072186	0.0044379465943183	0.23497799554752	1.1360593172224	1.9089879276603	1.9572650571271	0.23698391012234	6.9957015693998	0.031909265299766	1.0196643927567	0.00020679286219524	6.0454287879508e-08	0.046665629788765	0.32900343752452	0.32900343549928
3	0.00026524723365773	0.00038992418159366	0.0005411242657248	1.3850849440318	1.0412367464256	3.2578918485308	0.0043920758894078	0.21869112912169	1.1361056079144	1.9096733742843	1.9571434525319	0.24774377614044	6.9950212421973	0.029124131295358	1.0195957168409	0.00020655011941248	6.0419957006808e-08	0.041207594746845	0.30124856574621	0.30124856393321
3.2	0.00018080354581786	0.00027869794438954	0.00041032288228967	1.3870826285688	1.0413280690067	3.2608028578779	0.0033414390625502	0.20025314643663	1.1361486038578	1.9105678489645	1.9569328252917	0.26676060352746	6.9939340443963	0.026353789415166	1.0194762553321	0.00015795024491798	5.596038988469e-08	0.032821115661748	0.26252383617768	0.26252383464521
3.48	0.00017984358787566	0.00025671122667491	0.00036502725894422	1.3900135657974	1.0414044174855	3.2646525392362	0.0027175551025889	0.16910187961997	1.1361483570117	1.9115844656814	1.9566112098035	0.29069609951969	6.9924022074332	0.022710967377279	1.0192979635217	0.00013979779356029	5.3908068275723e-08	0.027554673082801	0.21657048869613	0.21657048747518
3.872	0.00018018432171992	0.00025484884137019	0.00035735552046072	1.3943071421991	1.0414727727123	3.2699686802126	0.0024983914750103	0.13827230349074	1.1361037242415	1.9128317659618	1.9561511662673	0.31899020802819	6.9902580925212	0.019976852484433	1.0190460243886	0.00013652418055962	5.4046663829371e-08	0.02564010277976	0.16547093705692	0.16547093615803
