# Time [h]	All Liquid [L/h]	MS [g/L]	AA [g/L]	Butyric [g/L]	Propionic [g/L]	LCFA [g/L]	Valeric [g/L]	Acetic [g/L]
0.2	9.1349540121812	8.2315225001904e-05	0.00020079242368322	0.0008417379730088	0.0018110816038701	0.0029824322299425	0.00022515770844632	1.4886729832725
0.48	9.2697329008778	1.6955819445802e-06	1.8152897164508e-05	0.0001263183716364	0.00050184364258771	0.0025317307028044	3.5701829148571e-05	1.2516204559767
0.872	9.4532382553316	5.9649688898758e-08	7.7043509846473e-07	9.4029591787402e-06	9.2035255992891e-05	0.0032127278487069	2.8339367279034e-06	0.92904025367183
1	9.5114318159638	6.5089879166865e-09	4.3279648985639e-07	4.3984695509998e-06	5.8554421589957e-05	0.0041105209300342	1.4153508065768e-06	0.82684742926968
1.2	9.6003304757837	1.904539714645e-09	3.1148478385029e-07	2.0563916226079e-06	3.9273484986282e-05	0.0064066228499642	7.7616081717404e-07	0.67195487863751
1.48	9.7156819491975	1.4495819847032e-09	2.613943499364e-07	1.3961936653079e-06	3.4332660918643e-05	0.011770365753251	5.9324718979001e-07	0.47086146796465
1.872	9.8487853604102	1.3260696265732e-09	2.0898656650481e-07	1.1263564347148e-06	3.4983089415643e-05	0.024769062493418	4.8597330791712e-07	0.24085069114623
2	9.8839542174026	1.3286094654614e-09	1.9929983989116e-07	1.0743071087762e-06	3.5307676948902e-05	0.030487622852899	4.625095504141e-07	0.18051949617813
2.2	9.9276441927848	1.2427451717186e-09	1.9087272116359e-07	1.0235797043025e-06	3.5760776051293e-05	0.041148722455939	4.3965654141107e-07	0.10812475887314
2.48	9.96403178229	9.8094169055494e-10	1.6837100646139e-07	9.3011684104427e-07	3.5011243126056e-05	0.059702515631116	3.9892415645291e-07	0.050235712081606
2.872	9.9829379145786	9.0676955312215e-10	1.3526351806959e-07	7.5777270593397e-07	2.9894428434467e-05	0.092361213046332	3.2458273661139e-07	0.022511739158479
3	9.9850860609347	9.1021734445362e-10	1.2917615232846e-07	7.1587592106854e-07	2.795759200974e-05	0.10418951991438	3.0673520495857e-07	0.01934717764902
3.2	9.9871594442965	8.5685842312042e-10	1.2409000185789e-07	6.7515240404705e-07	2.5311924743929e-05	0.12382081581401	2.8974050212696e-07	0.017272584136036
3.48	9.9879854858657	6.8759983142327e-10	1.106253166283e-07	6.134703161138e-07	2.2157095654433e-05	0.15299241572488	2.6351039553415e-07	0.016888722562692
3.872	9.9877685835416	6.4426488160788e-10	9.0805646928278e-08	5.0821146373869e-07	1.750868890819e-05	0.19506290905956	2.178824969374e-07	0.017757902902897
4	9.9875850396289	6.4893736617129e-10	8.7261513749983e-08	4.8324517092674e-07	1.6153583509227e-05	0.20854829058087	2.0713149511945e-07	0.018138083568693
4.2	9.9874321160162	6.1783740892723e-10	8.4532396025095e-08	4.5999607753834e-07	1.4469283243795e-05	0.22923029787842	1.9731561685865e-07	0.018697509916711
4.48	9.9871544961924	5.0947053001282e-10	7.6649961018745e-08	4.2443403406654e-07	1.269744057679e-05	0.25689081214396	1.8202969679044e-07	0.019403285650107
4.872	9.9867489569351	4.896825358098e-10	6.4852155455078e-08	3.6200478031467e-07	1.0364316889608e-05	0.29188353605078	1.5465407540285e-07	0.020226629716916
5	9.9866226140513	4.9673860552546e-10	6.2886013917381e-08	3.4757460712797e-07	9.7132777998286e-06	0.30216431142833	1.4835771460934e-07	0.020463141138158
5.2	9.9865208917957	4.8288956687864e-10	6.175052551885e-08	3.3558638595386e-07	8.9378753351873e-06	0.31704521710143	1.4322830844654e-07	0.020794259961659
5.48	9.9863591162581	4.1731928458456e-10	5.7601138657131e-08	3.1751737580489e-07	8.1558476338623e-06	0.3353676436953	1.3534716704841e-07	0.02119815804919
5.872	9.9861319918556	4.2084001869579e-10	5.1235230017983e-08	2.8401709496391e-07	7.0948914371476e-06	0.35585268409015	1.2036261697372e-07	0.021670485859802
6	9.9860632191576	4.3297374685977e-10	5.0447300254299e-08	2.7704910355233e-07	6.8019876611448e-06	0.36123832360841	1.1723073111206e-07	0.021804139763187
6.2	9.9860065446095	4.3728578269596e-10	5.0755582841221e-08	2.7405599901808e-07	6.484481337316e-06	0.36838129329008	1.1585595513489e-07	0.022000680309561
6.48	9.9859109412906	4.1011342663028e-10	4.9782904893498e-08	2.709443636534e-07	6.2236523209022e-06	0.37587946737526	1.142696486097e-07	0.022255476626978
6.872	9.9857672729499	4.5324791491382e-10	4.8359443501852e-08	2.6319581021707e-07	5.8899966177029e-06	0.38163134678245	1.101317310772e-07	0.022583758210695
7	9.9857223861212	4.7953221362692e-10	4.8930215799931e-08	2.6383906748543e-07	5.8156523097815e-06	0.38237828093973	1.1016067168008e-07	0.022680859984393
7.2	9.9856732022667	5.1873017169591e-10	5.1468011164292e-08	2.7243450862593e-07	5.8091280356221e-06	0.38247690683843	1.1353577833134e-07	0.022838222595203
7.48	9.9855887545138	5.5933880285953e-10	5.5107905719688e-08	2.9067386624196e-07	5.9850647166468e-06	0.3806025938486	1.2069943984069e-07	0.023069542369795
7.872	9.9854454077564	7.3252071941517e-10	6.225443414033e-08	3.2434594644807e-07	6.4066921948265e-06	0.37438906075564	1.3333160863496e-07	0.023424906487863
8	9.9853960395325	8.1635019901069e-10	6.5955463275029e-08	3.3996526908908e-07	6.5972019796049e-06	0.3715466075214	1.3935118385469e-07	0.023540718885734
8.2	9.9853165177524	9.8820308706564e-10	7.4765049231245e-08	3.7665262799968e-07	7.0465227313868e-06	0.36637101808672	1.5391605027602e-07	0.023746709128
8.48	9.9851822968949	1.3161424864207e-09	9.1565132651108e-08	4.5153650090964e-07	8.0301604670685e-06	0.35782248172866	1.8355511427006e-07	0.024081739303952
8.872	9.9849448992505	2.2453469696642e-09	1.2829747335739e-07	6.1175707838079e-07	1.0129887684164e-05	0.34374514836266	2.4546463708152e-07	0.024643531118139
9	9.9848596626128	2.6938443691857e-09	1.444415002172e-07	6.7914629694221e-07	1.0982716909117e-05	0.3387176016011	2.7146482989625e-07	0.024833512241623
9.2	9.9847114266171	3.7278410653604e-09	1.7949887426919e-07	8.1968264495644e-07	1.268259452854e-05	0.33049121990619	3.2602765827792e-07	0.025165821463906
9.48	9.9844766086102	6.127970663715e-09	2.5209878147716e-07	1.1076726977935e-06	1.6036875953982e-05	0.31838797365426	4.3720515527302e-07	0.025687636382732
9.872	9.9841036788205	1.2888282371313e-08	4.1780903649527e-07	1.7484619191742e-06	2.3099373832579e-05	0.30067211192963	6.7821042296817e-07	0.026486924462606
10	9.9839775431692	1.6024877954001e-08	4.8760255703904e-07	2.0119098790959e-06	2.5911933841983e-05	0.29477894002698	7.7633761338378e-07	0.026741881673497
10.2	9.9837769545011	2.2862463766139e-08	6.2731002574521e-07	2.5214039285682e-06	3.1143459359207e-05	0.28548040909518	9.6567323199228e-07	0.027146069871033
10.48	9.9834986276609	3.7006793626998e-08	8.9087605576111e-07	3.4651146044936e-06	4.043337749697e-05	0.27238869749217	1.3138827225336e-06	0.027699502989106
