# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.2571575002536	1.1404447510351	1.8418341219274
0.48	1.0523830770621	1.0539706179976	2.0837007461071
0.872	0.80964329242897	0.94425935293229	1.4070668837011
1	0.74116579815399	0.91293038158643	1.342353709056
1.2	0.60610862838207	0.88217510956222	1.2352611681466
1.48	0.44334232676848	0.8430566869384	1.183702941423
1.872	0.27224496469526	0.81060215150253	1.1120875549249
2	0.2297492596909	0.80490063427639	1.0943071676332
2.2	0.15633884915931	0.80760004250934	1.0706561051155
2.48	0.090336040071411	0.81772460311899	1.0441831562344
2.872	0.051852080438115	0.85513522452138	1.016567785016
3	0.04634734502139	0.87147062737488	1.0092762676359
3.2	0.036730827851505	0.90773698949718	0.99930313554775
3.48	0.030777053237894	0.95795620947273	0.98775795836777
3.872	0.02863237395579	1.0274360866557	0.97527021386356
4	0.028482730154253	1.0485822833541	0.97189726562951
4.2	0.026644208216084	1.0809395554116	0.96723241675973
4.48	0.025480568674642	1.1186624900032	0.96175893380412
4.872	0.025156647153739	1.1618990808711	0.95575139220703
5	0.025168842358232	1.1737997376391	0.95411344838883
5.2	0.024261188237112	1.1847576076266	0.95183775535358
5.48	0.023686050843377	1.1942640254133	0.9491526635288
5.872	0.023531300428391	1.2013867080325	0.94618788562773
6	0.023539739135382	1.2025825236245	0.94537645990193
6.2	0.023021883875495	1.1926879581721	0.94424737274556
6.48	0.022680903502605	1.1760880818819	0.94291332443571
6.872	0.022578616473033	1.1517955043953	0.94143966907687
7	0.022582458353535	1.1439934922464	0.94103646234262
7.2	0.022296698216881	1.118451989452	0.94047624473993
7.48	0.022098399259709	1.0828158745868	0.9398167871913
7.872	0.022060641152551	1.0367653163703	0.9390943455607
8	0.022078953880735	1.0229845687677	0.93889818667978
8.2	0.021981595920667	0.98913459512283	0.93862787933338
8.48	0.021946449525323	0.94419871486466	0.93831474118983
8.872	0.022095307646284	0.8890808976063	0.93798210853514
9	0.022177384854476	0.87316459362461	0.93789419271841
9.2	0.022299267793484	0.83885377426129	0.93777607953523
9.48	0.022532494835512	0.79464157696823	0.93764527862041
9.872	0.023026432437128	0.7423769840321	0.93751654912099
10	0.023210333195495	0.72763200994277	0.93748457051942
10.2	0.023518059794128	0.69836910776568	0.93744365745606
10.48	0.023936657212486	0.66100379205921	0.93740167623526
10.872	0.024487823210927	0.61717754161684	0.937364550461
11	0.02464791119852	0.60480029061672	0.93735603463408
11.2	0.024843288560656	0.58186140433857	0.93734572429036
11.48	0.025018999171458	0.55224233303404	0.93733609195133
11.872	0.025113677383674	0.51728357427933	0.93732887204518
12	0.025116956331869	0.50736202670409	0.93732747640914
12.2	0.025027455412866	0.49028365715885	0.93732610058764
12.48	0.024841869405574	0.4680068014614	0.93732549329455
12.872	0.024526394202143	0.44194248733441	0.93732626346837
13	0.024419986139107	0.43460722844967	0.93732672301266
13.2	0.024164466661369	0.42279673535097	0.93732765110736
13.48	0.02381463019981	0.40721400564533	0.93732931264022
13.872	0.023372419737607	0.38931520224846	0.93733195863877
14	0.023242380448235	0.38434998248667	0.93733281990619
14.2	0.022959969203803	0.37657454045518	0.93733421086919
14.48	0.022606871541274	0.36599462703836	0.93733625073622
