# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	2.6792109667705	4.4392966227752	6.1335767135258e-05
0.48	3.5560562113079	2.1474723333184	5.6204151878227e-05
0.872	3.1677530353903	1.3995953721261	4.695355357408e-05
1	2.5040357914556	1.1138145659623	3.9710919971846e-05
1.2	4.8843983131775	2.6652732437987	6.0980936075961e-05
1.48	1.9734094995507	1.0744623375855	3.2671022553435e-05
1.872	1.339821102038	0.8178301319421	2.521984637213e-05
2	1.231045522875	0.78529480723314	2.402042453451e-05
2.2	2.7857750753178	2.1229311227635	3.7405218693017e-05
2.48	1.0377833030528	0.7869239758402	1.628026757631e-05
2.872	0.55387799866447	0.46793552173924	9.9118574940103e-06
3	0.46524303670819	0.41238244601144	8.7179617713034e-06
3.2	1.1692414466168	1.3495183294315	1.7307648514011e-05
3.48	0.3282772430655	0.38822699767802	5.586342355931e-06
3.872	0.15422401266242	0.21232047159733	3.0442914177245e-06
4	0.13384965092346	0.19530471182654	2.7761939986258e-06
4.2	0.45808514034517	0.86308944325737	8.4804568866844e-06
4.48	0.12612685035884	0.25001670155607	2.624282924096e-06
4.872	0.071304788950935	0.16402534367968	1.7068119375343e-06
5	0.065730190263853	0.1593262437657	1.647690491536e-06
5.2	0.21307873602035	0.62582789696972	4.9970528725007e-06
5.48	0.06645415926365	0.20664793351403	1.7204032864471e-06
5.872	0.04320513402429	0.15270838100017	1.2655662443718e-06
6	0.040700517497143	0.1501886424357	1.2406626088402e-06
6.2	0.1148520989903	0.48695092621705	3.347016569436e-06
6.48	0.041027504759511	0.18297445325117	1.2951032424117e-06
6.872	0.029224286017108	0.14386795749156	1.0177954289914e-06
7	0.027855840923244	0.1415766236075	1.0005352960526e-06
7.2	0.072051238812842	0.40205641228162	2.4836388438593e-06
7.48	0.028390801957651	0.16391745084236	1.0365412036959e-06
7.872	0.021342068114993	0.13100873726321	8.3167827362562e-07
8	0.020482387625998	0.12809342839902	8.1400108089151e-07
8.2	0.052987631184187	0.34899813868205	2.0019759735866e-06
8.48	0.021422786630417	0.14252300647824	8.3663779795598e-07
8.872	0.01622738637091	0.10998983751602	6.5266586012039e-07
9	0.015549596214199	0.10586816653205	6.3053922164331e-07
9.2	0.045212947897228	0.31342633944277	1.7183838483523e-06
9.48	0.016768426331723	0.11445536942419	6.456118172149e-07
9.872	0.011991285002223	0.080439196490384	4.6229471979299e-07
10	0.0113640131299	0.075767762446892	4.3798677493923e-07
10.2	0.043279694531119	0.28938341952136	1.5484382046469e-06
10.48	0.013230152836685	0.085675116389447	4.7308783145645e-07
10.872	0.0087140547802978	0.054604218664848	3.0618097486392e-07
11	0.0082801410487591	0.051392527679552	2.893121807408e-07
11.2	0.045095590228127	0.28156363553492	1.4550494252558e-06
11.48	0.011581903435347	0.069690642805742	3.7023093334374e-07
11.872	0.0072781125385048	0.042362713611528	2.2648901378217e-07
12	0.0070308529369913	0.040560467109348	2.1713260506701e-07
12.2	0.049020519894541	0.28694841574328	1.4004134735145e-06
12.48	0.011477942074959	0.064782410929324	3.2484872242659e-07
12.872	0.0069229270923251	0.037971995845602	1.9095020747829e-07
13	0.0067204559257419	0.036598524755421	1.8408796826213e-07
13.2	0.052926686787943	0.29501611897192	1.3524184683094e-06
13.48	0.011766277371021	0.063366900816602	2.9935763946731e-07
13.872	0.006793111702998	0.035741078241721	1.6928799463624e-07
14	0.0065771097335784	0.034419014960228	1.6302765559309e-07
14.2	0.05576714645465	0.30087443578815	1.3005759790241e-06
14.48	0.011951628566285	0.062424702362046	2.7882999063316e-07
14.872	0.0066366093523627	0.034009941432157	1.5235809657987e-07
