Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	1.2706393910388E-4	3.5282936655812E-4	0.013232066960246	3.6063022127038E-5	0.01865002666381	-0.12248452927475	2.6043977509855E-7	0.01439348535077	
0.48	1.1576119652037E-4	4.1324889199613E-4	0.0050430812551754	3.5743743029559E-5	0.010144163288354	-0.10005944122077	2.3011535433336E-8	0.0082063180641302	
0.872	4.254076328418E-5	1.8673806702981E-4	3.1109971735381E-4	1.354797306985E-5	0.0035509980835619	-0.076305413032177	4.9851417012045E-10	0.038628977760844	
1.0	2.585661253753E-6	1.1184119546573E-5	6.4312205384598E-6	8.638901196848E-7	2.6277254409708E-4	-0.069895857811565	1.0709561726289E-11	0.045282063263829	
1.2	5.3625511424811E-8	2.7646514954739E-7	1.3243133432723E-7	1.8242234296228E-8	4.3264794920763E-6	-0.060986249706174	2.0758197007517E-13	0.057775424142228	
1.48	3.9715926756677E-8	2.1839689415686E-7	9.4075586539828E-8	1.3579462087811E-8	2.86724699268E-6	-0.050426413935135	1.7557615897497E-13	0.065152649748425	
1.872	2.6073372295216E-8	1.500898408268E-7	5.9179562999385E-8	8.9544542165347E-9	1.4921496303563E-6	-0.038682136921414	1.3745129785541E-13	0.076895737504656	
2.0	2.3330386197918E-8	1.3501336495325E-7	5.2623882526207E-8	8.0237666496513E-9	1.2197822031641E-6	-0.035451604664439	1.3026286850153E-13	0.08012568435478	
2.2	1.9930723698479E-8	1.1543923037113E-7	5.0927676972146E-8	6.8652214571656E-9	8.4891025609482E-7	-0.03094352193886	1.2166701965128E-13	0.084633375312503	
2.48	1.6392570843938E-8	9.4008471573546E-8	4.0027851378568E-8	5.6546779899569E-9	5.2982631399098E-7	-0.025595737593024	1.1313090685803E-13	0.089980800894817	
2.872	1.2887795204682E-8	7.2050455574971E-8	2.9265821456702E-8	4.4498899704595E-9	3.1861919468446E-7	-0.019656309631668	1.0522846332485E-13	0.095919974204556	
3.0	1.1979176958284E-8	6.6295387447559E-8	2.6701139309723E-8	4.1372421588061E-9	2.7911367911853E-7	-0.018023677140962	1.032892460117E-13	0.097552546783906	
3.2	1.0736860808388E-8	5.8473716640087E-8	2.5564778535003E-8	3.7078641640442E-9	2.2216748235508E-7	-0.015745947334122	1.0072731126771E-13	0.099830209310323	
3.48	9.2875202870318E-9	4.9484215227853E-8	2.13185471721E-8	3.205260740172E-9	1.7847872714131E-7	-0.013042504407536	9.788322205076E-14	0.10253359313368	
3.872	7.6784715908296E-9	3.9799242577882E-8	1.7203643121315E-8	2.6451201274417E-9	1.4580612328739E-7	-0.010033848008811	9.4941964370701E-14	0.10554220059582	
4.0	7.2319799945244E-9	3.7167102825952E-8	1.6205307361883E-8	2.4895627522416E-9	1.3806713189805E-7	-0.0092056515383749	9.4170150686004E-14	0.10637038434624	
4.2	6.6009764861602E-9	3.3515514999406E-8	1.5724073498885E-8	2.2689841767081E-9	1.2699354510997E-7	-0.0080486780790476	9.3117518431045E-14	0.10752734175561	
4.48	5.834367238525E-9	2.9187722607717E-8	1.395388729166E-8	2.0003318515319E-9	1.1517950698249E-7	-0.0066729821200868	9.190303308772E-14	0.10890301876465	
4.872	4.9452192338475E-9	2.4323088685931E-8	1.2171673007564E-8	1.6878434272061E-9	1.0252644856402E-7	-0.0051395438947417	9.0594445648725E-14	0.11043643647432	
5.0	4.6916815998761E-9	2.2960713012677E-8	1.1716174342887E-8	1.5986850381056E-9	9.9013306993702E-8	-0.0047171095649909	9.0241974273855E-14	0.11085886499288	
5.2	4.3284302321372E-9	2.1034698751942E-8	1.1556287072953E-8	1.4706275662997E-9	9.4199891705486E-8	-0.0041266591266409	8.9754936373456E-14	0.11144930803877	
5.48	3.8795566987823E-9	1.8694115807265E-8	1.0636873065785E-8	1.3120728368072E-9	8.8394191925413E-8	-0.0034241038282422	8.9183794540996E-14	0.1121518536635	
5.872	3.3493765968319E-9	1.5983800585882E-8	9.6835068163906E-9	1.1243415116604E-9	8.1699376063004E-8	-0.0026404849915161	8.855721211146E-14	0.11293546141989	
6.0	3.1964583386763E-9	1.521062349094E-8	9.4335818669073E-9	1.0701586319196E-9	7.9788778958958E-8	-0.0024245316210403	8.8386435294255E-14	0.11315141161327	
6.2	2.9763180415408E-9	1.4105912103308E-8	9.3966900415857E-9	9.9197828902609E-10	7.7144591251826E-8	-0.0021226562695743	8.8149064536476E-14	0.11345328287924	
6.48	2.7028695309997E-9	1.274636412478E-8	8.8408594672917E-9	8.9463979337795E-10	7.3910928490344E-8	-0.0017634720377674	8.786866670762E-14	0.11381246159038	
6.872	2.3785720373901E-9	1.1151720075588E-8	8.2658827807874E-9	7.7880144766671E-10	7.0158441169799E-8	-0.0013630120099316	8.7558622802686E-14	0.11421291525398	
7.0	2.2847871661115E-9	1.0693483488717E-8	8.1152098106967E-9	7.4524849725799E-10	6.9087666605287E-8	-0.0012527039766449	8.7473692631032E-14	0.11432322146954	
7.2	2.149971283595E-9	1.003688553142E-8	8.1387326805809E-9	6.9684814532467E-10	6.761290150114E-8	-0.0010986275746116	8.7355402031573E-14	0.11447729557971	
7.48	1.9831443116639E-9	9.2274749371113E-9	7.7758086140334E-9	6.3666822758083E-10	6.5835167157313E-8	-9.1560175889271E-4	8.7215396664679E-14	0.11466031821775	
7.872	1.7867142476381E-9	8.2791163888495E-9	7.4131275573932E-9	5.6524735900108E-10	6.3849740575629E-8	-7.1224439155964E-4	8.7060485000132E-14	0.11486367201968	
8.0	1.7301130412583E-9	8.0068433916404E-9	7.3207333075696E-9	5.4457147552517E-10	6.3300245756815E-8	-6.5639780416104E-4	8.7018061303021E-14	0.11491951761238	
8.2	1.6492690577919E-9	7.617870147385E-9	7.3847594655819E-9	5.1482039747402E-10	6.2584745875772E-8	-5.7863881372948E-4	8.6959076392353E-14	0.11499727545131	
8.48	1.5502791183701E-9	7.1413324972524E-9	7.1412753930088E-9	4.779626146632E-10	6.178607575472E-8	-4.8680408386354E-4	8.6889541158101E-14	0.11508910852626	
8.872	1.4350446519855E-9	6.5875932049585E-9	6.9161243172311E-9	4.3425556821563E-10	6.1037184665431E-8	-3.8584293076456E-4	8.6813253538796E-14	0.11519006799202	
9.0	1.4018983879108E-9	6.4289794833344E-9	6.8628284560711E-9	4.2154778194459E-10	6.0856774437849E-8	-3.5835937965798E-4	8.6792515224894E-14	0.11521755110401	
9.2	1.3546321962406E-9	6.2027454157427E-9	6.9589488242544E-9	4.031754890621E-10	6.0696031120861E-8	-3.2039658854198E-4	8.6763889467965E-14	0.11525551353837	
9.48	1.2966101014862E-9	5.9253599353171E-9	6.795331721966E-9	3.8013980612012E-10	6.05962577557E-8	-2.7616612766986E-4	8.6730567171419E-14	0.11529974337718	
9.872	1.2273253604432E-9	5.598047900812E-9	6.6649226887756E-9	3.5192742326556E-10	6.0671055477669E-8	-2.2860268568812E-4	8.6694769056356E-14	0.1153473063384	
10.0	1.2067354380129E-9	5.5021727153896E-9	6.6388923660665E-9	3.4346633664859E-10	6.0719778341868E-8	-2.1587635241791E-4	8.6685196911888E-14	0.11536003256919	
10.2	1.1763916613836E-9	5.3624157751576E-9	6.7594415317355E-9	3.3088275850691E-10	6.0886823769732E-8	-1.9853386961213E-4	8.667215674591E-14	0.11537737515677	
10.48	1.1367658910096E-9	5.1830273549878E-9	6.6470658823488E-9	3.1429864990532E-10	6.1119938291648E-8	-1.7875096407248E-4	8.6657287704586E-14	0.11539715794733	
10.872	1.0843326152742E-9	4.9528954636587E-9	6.5775083973153E-9	2.9243540730087E-10	6.1433581115146E-8	-1.5810170880764E-4	8.664177422153E-14	0.11541780714209	
11.0	1.0676534820417E-9	4.8810918303401E-9	6.5685396063165E-9	2.8556949955207E-10	6.1518316625967E-8	-1.5269482586477E-4	8.6637713254212E-14	0.11542321400539	
11.2	1.0418863265694E-9	4.7720238032633E-9	6.7032635795302E-9	2.750611213399E-10	6.1693740722841E-8	-1.454315703577E-4	8.6632258616059E-14	0.11543047742564	
11.48	1.006017687436E-9	4.6223059296951E-9	6.6171231019382E-9	2.6067212777824E-10	6.1833496237678E-8	-1.3732516462575E-4	8.6626172046755E-14	0.11543858368496	
11.872	9.5600255657217E-10	4.4158597194745E-9	6.5782632601913E-9	2.4116393407207E-10	6.1873936252186E-8	-1.2910374266495E-4	8.6620000307679E-14	0.11544680483248	
12.0	9.398690453228E-10	4.3493041823397E-9	6.5774771422552E-9	2.3500486364554E-10	6.1854762038509E-8	-1.2699820189746E-4	8.66184199054E-14	0.11544891026441	
12.2	9.149495358033E-10	4.2472468941684E-9	6.7164651432929E-9	2.2561992531794E-10	6.1822398622887E-8	-1.2421504871286E-4	8.6616330920134E-14	0.11545169338784	
12.48	8.8049388317378E-10	4.1054239916047E-9	6.6383366728413E-9	2.1290359915324E-10	6.1669648027559E-8	-1.2120968126177E-4	8.6614075587715E-14	0.11545469833541	
12.872	8.3370941465106E-10	3.9105728355018E-9	6.6099330222101E-9	1.960994843394E-10	6.1312638347808E-8	-1.1833665443427E-4	8.6611919895785E-14	0.11545757071838	
13.0	8.1895697097129E-10	3.8484458577024E-9	6.6119537739916E-9	1.9090049688318E-10	6.1172917814237E-8	-1.1764473484727E-4	8.6611400803993E-14	0.11545826241818	
13.2	7.965318312412E-10	3.7539302081849E-9	6.7497870584558E-9	1.830893072995E-10	6.0912654317231E-8	-1.1678829185176E-4	8.6610758281064E-14	0.115459118614	
13.48	7.6628932950923E-10	3.6249697752078E-9	6.6715345453147E-9	1.7274295423724E-10	6.0491803440576E-8	-1.1600849863763E-4	8.6610173620447E-14	0.11545989773857	
13.872	7.2645374958183E-10	3.4523413957387E-9	6.6458237916281E-9	1.5944601620079E-10	5.9818610416023E-8	-1.1554872607807E-4	8.660982932127E-14	0.11546035658647	
14.0	7.1410436278795E-10	3.3982123320722E-9	6.6489092487704E-9	1.5539719712721E-10	5.9586884788053E-8	-1.1551514466205E-4	8.6609804354897E-14	0.11546038986873	
14.2	6.9546823675027E-10	3.3160324542802E-9	6.7846992117989E-9	1.4935396318064E-10	5.9155521195389E-8	-1.1558348751969E-4	8.6609855961751E-14	0.11546032112345	
14.48	6.7069872451441E-10	3.2057660158887E-9	6.705309437704E-9	1.414645419078E-10	5.8535088971778E-8	-1.1592681687195E-4	8.6610114271729E-14	0.11545997695136	
14.872	6.3849484977749E-10	3.0607733571805E-9	6.682098425991E-9	1.3146641441064E-10	5.7621130275188E-8	-1.1678486169069E-4	8.6610759065089E-14	0.1154591177822	
15.0	6.2855898755184E-10	3.0157109277838E-9	6.6864324416606E-9	1.2844047802814E-10	5.7317079281327E-8	-1.1713264297515E-4	8.6611020335595E-14	0.1154587696432	
15.2	6.1356531801216E-10	2.947141687907E-9	6.8214916287055E-9	1.2392686001113E-10	5.6766606384645E-8	-1.1775871914224E-4	8.6611490574864E-14	0.11545814306355	
15.48	5.9370339609284E-10	2.8558338185378E-9	6.7424924716524E-9	1.1806327821037E-10	5.5995466819207E-8	-1.1881763673587E-4	8.6612286017086E-14	0.1154570831788	
15.872	5.6788336690725E-10	2.7364863204545E-9	6.7238440280739E-9	1.106518944624E-10	5.4886968958602E-8	-1.2057986667364E-4	8.661360954827E-14	0.11545531966917	
16.0	5.5989558675632E-10	2.6994413546305E-9	6.7300786148649E-9	1.0840697809916E-10	5.4522871113681E-8	-1.212019905283E-4	8.6614076769632E-14	0.1154546971402	
16.2	5.4780907378041E-10	2.6429242112526E-9	6.8659679309694E-9	1.0505229799517E-10	5.3888444491364E-8	-1.2223903438435E-4	8.6614855535304E-14	0.11545365952587	
16.48	5.3175413511593E-10	2.5676918038784E-9	6.7887059117945E-9	1.0068840028948E-10	5.3003635741687E-8	-1.2383851428989E-4	8.6616056827555E-14	0.11545205898827	
16.872	5.1076897712618E-10	2.469181766312E-9	6.7761281635326E-9	9.5150956303435E-11	5.1746141237232E-8	-1.2630205819698E-4	8.6617906960208E-14	0.1154495940493	
17.0	5.0424336919674E-10	2.4385180127926E-9	6.7846698244615E-9	9.3466364468877E-11	5.1336786311921E-8	-1.271396071568E-4	8.6618535954719E-14	0.11544875606069	
17.2	4.943389751848E-10	2.3916324383769E-9	6.9222199468725E-9	9.0941775901201E-11	5.0645011430112E-8	-1.2850021743622E-4	8.661955771198E-14	0.11544739483689	
17.48	4.8112603742896E-10	2.3290407136077E-9	6.846929975686E-9	8.7643562460339E-11	4.9683776353074E-8	-1.3052382597924E-4	8.6621077555785E-14	0.11544537011275	
17.872	4.6375159073064E-10	2.2467118283318E-9	6.8405431192359E-9	8.3430368798755E-11	4.8334103309817E-8	-1.3352884517453E-4	8.6623334443825E-14	0.11544236363363	
18.0	4.5832376151707E-10	2.2209902128974E-9	6.8513716165624E-9	8.2141553336183E-11	4.7899149541603E-8	-1.34529865822E-4	8.6624086254714E-14	0.11544136215647	
18.2	4.5006544301028E-10	2.1815905997347E-9	6.9905103778884E-9	8.0203740454006E-11	4.7175516962545E-8	-1.3613334952078E-4	8.6625290499731E-14	0.11543975803871	
18.48	4.3900940950184E-10	2.1288274917041E-9	6.9164202057248E-9	7.7659161592733E-11	4.6178496410282E-8	-1.3846989124478E-4	8.6627045515096E-14	0.11543742035955	
18.872	4.2440443140099E-10	2.0591377191601E-9	6.9152294515048E-9	7.4384907120946E-11	4.4800559824153E-8	-1.4185827330923E-4	8.6629590578544E-14	0.11543403051085	
19.0	4.1982704434046E-10	2.0373008933361E-9	6.9280163218514E-9	7.337779373975E-11	4.4361750702035E-8	-1.4297071869646E-4	8.6630426166932E-14	0.11543291761207	
19.2	4.1285081942653E-10	2.0038028220934E-9	7.0680763134337E-9	7.1858480667112E-11	4.3632388980819E-8	-1.4473667994364E-4	8.6631752601494E-14	0.11543115101956	
19.48	4.0348833278533E-10	1.9588404620236E-9	6.9939370620977E-9	6.9853463154261E-11	4.264045166234E-8	-1.4727847777105E-4	8.6633662024008E-14	0.11542860809937	
19.872	3.9107877093508E-10	1.8992708032842E-9	6.9965428042758E-9	6.7254975434755E-11	4.1294912285786E-8	-1.5090562764478E-4	8.6636386792781E-14	0.11542497953206	
20.0	3.8718023176103E-10	1.8805645288461E-9	7.0108827150392E-9	6.6451508150337E-11	4.0871875199882E-8	-1.5208410564025E-4	8.6637272103141E-14	0.11542380062201	
20.2	3.8123035008473E-10	1.8518279937227E-9	7.151060181121E-9	6.523536669063E-11	4.0160805218879E-8	-1.5394479860095E-4	8.6638669905541E-14	0.11542193932229	
20.48	3.7322852788607E-10	1.8131885591393E-9	7.0757214948505E-9	6.3622587209825E-11	3.9208439362668E-8	-1.5660671455036E-4	8.6640669867469E-14	0.11541927633043	
20.872	3.6258671853944E-10	1.7618517580167E-9	7.0810448872066E-9	6.1517172533606E-11	3.7940908262163E-8	-1.6037131369632E-4	8.6643498335439E-14	0.11541551040506	
21.0	3.5923503837099E-10	1.7456952042064E-9	7.0966743475642E-9	6.0862642562233E-11	3.7547162764163E-8	-1.6158709826831E-4	8.6644411818029E-14	0.11541429422226	
21.2	3.5411144582153E-10	1.720834125966E-9	7.236412157081E-9	5.9868480157216E-11	3.6871953017494E-8	-1.635027689122E-4	8.6645851170879E-14	0.1154123779852	
21.48	3.4720241479543E-10	1.6873342426021E-9	7.1592114880743E-9	5.8543147586971E-11	3.5980695974987E-8	-1.6624111804662E-4	8.6647908917621E-14	0.11540963862592	
21.872	3.3797329211495E-10	1.6426633247364E-9	7.166918942353E-9	5.6799179480645E-11	3.4813824884511E-8	-1.7010428960206E-4	8.6650811958621E-14	0.11540577423963	
22.0	3.3505680631741E-10	1.6285633318323E-9	7.1838200711722E-9	5.6253811021621E-11	3.4454859695167E-8	-1.713493757793E-4	8.6651747623383E-14	0.11540452879387	
22.2	3.3058933387274E-10	1.606825832524E-9	7.3229361581948E-9	5.5422429725772E-11	3.3825210482471E-8	-1.7331160577255E-4	8.6653222237241E-14	0.11540256604634	
22.48	3.2454378107125E-10	1.5774467359454E-9	7.2437081975857E-9	5.4307686335034E-11	3.3003502091044E-8	-1.7612113769642E-4	8.6655333875259E-14	0.11539975557698	
22.872	3.1642564222585E-10	1.5380881067285E-9	7.254050395777E-9	5.2828534650188E-11	3.1941580989996E-8	-1.8008547035663E-4	8.6658313504004E-14	0.11539579014384	
23.0	3.1385078111191E-10	1.5256220152156E-9	7.2723563009531E-9	5.2363233941587E-11	3.1617437303918E-8	-1.8136202631277E-4	8.6659273001613E-14	0.11539451326658	
23.2	3.0989871830366E-10	1.506373287995E-9	7.4108089753433E-9	5.165155133157E-11	3.1040050186583E-8	-1.8337283583833E-4	8.6660784421336E-14	0.11539250199424	
23.48	3.0453192059801E-10	1.4802704250928E-9	7.3294584201255E-9	5.0692025945257E-11	3.0292924929145E-8	-1.8624868157292E-4	8.6662946329669E-14	0.11538962528762	
23.872	2.9729395987993E-10	1.4451478062105E-9	7.3425234116075E-9	4.9409744869493E-11	2.9339310613042E-8	-1.9029057191919E-4	8.6665984855663E-14	0.11538558241313	
24.0	3.1726291038474E-10	1.4604742816083E-9	7.3504776590148E-9	5.0650224853222E-11	3.0089993615663E-8	-1.9183973264787E-4	8.666714860863E-14	0.11538403404765	
24.2	4.8829822780981E-10	1.8650902891536E-9	7.567289629391E-9	6.2752638966925E-11	3.7173294798775E-8	-1.9258609346057E-4	8.6667703896887E-14	0.11538329557375	
24.48	5.9608421447066E-10	2.2457715800582E-9	7.6265780907685E-9	7.0489233553246E-11	4.1103310018757E-8	-1.9239208129619E-4	8.6667555053003E-14	0.11538349407122	
24.872	6.7523487944434E-10	2.6294891177228E-9	7.8080927019063E-9	7.8491658765929E-11	4.2902913828335E-8	-1.9178464734307E-4	8.6667096946988E-14	0.11538410395706	
25.0	6.9893041352106E-10	2.7476265280257E-9	7.8737346595828E-9	8.158742761392E-11	4.3226978257127E-8	-1.9158522968952E-4	8.6666946724537E-14	0.11538430390971	
25.2	5.5050871502299E-10	2.5023556364991E-9	8.0613221470949E-9	7.3413025709594E-11	3.5319883578409E-8	-1.9240941640915E-4	8.666757224992E-14	0.11538347160186	
25.48	4.924643844599E-10	2.3720850225131E-9	7.9085238622982E-9	7.3804538949897E-11	3.0841806509548E-8	-1.95089398146E-4	8.6669590154238E-14	0.11538078680155	
25.872	5.0860068160434E-10	2.4126111537852E-9	7.8344957093784E-9	8.1128675315377E-11	2.9008770314331E-8	-1.9909597816538E-4	8.667260326877E-14	0.11537677837864	
26.0	5.2094701727283E-10	2.4522198514377E-9	7.8337246732045E-9	8.3827059264575E-11	2.8793535339757E-8	-2.0028034389515E-4	8.6673493746566E-14	0.11537559385162	
26.2	5.4244023020902E-10	2.5296183296973E-9	7.9481768195154E-9	8.7973941484626E-11	2.8592113269488E-8	-2.0198714492042E-4	8.6674776905644E-14	0.11537388706668	
26.48	5.7248503088654E-10	2.6525385384776E-9	7.8177998443852E-9	9.3329207277153E-11	2.8501430108331E-8	-2.0410248710531E-4	8.6676367371933E-14	0.11537177166176	
26.872	6.0989469346194E-10	2.8257131057503E-9	7.7985855414344E-9	9.9717693391888E-11	2.8516851361333E-8	-2.0653603862987E-4	8.6678196986331E-14	0.11536933832341	
27.0	6.207053165784E-10	2.8790660248886E-9	7.8120430684568E-9	1.0153835099394E-10	2.8534810332138E-8	-2.0721422430646E-4	8.6678706855507E-14	0.11536866023512	
27.2	6.3616484689755E-10	2.9581102059694E-9	7.9424117114405E-9	1.0412965587084E-10	2.8536305045152E-8	-2.0817867607283E-4	8.6679431895705E-14	0.11536769601231	
