# Time [h]	Carbondioxide [NL]	Methane [NL]	Hydrogen [NL]	Sum [NL]
0.2	9.7731772316489	32.090988784127	0.063720351394247	41.92788636717
0.48	22.978725032102	37.607725835884	0.096939133080879	60.683390001067
0.872	34.119329269226	48.204901078688	0.13254247124832	82.456772819162
1	36.547164718866	51.52638000819	0.14244871631387	88.21599344337
1.2	50.150366871931	64.61832615958	0.16727165239839	114.93596468391
1.48	52.973478580718	70.187837768582	0.18696616431157	123.34828251361
1.872	58.442645848457	79.763562072021	0.20885957086877	138.41506749135
2	60.231834069077	82.863814451047	0.21557259968771	143.31122111981
2.2	70.080814868728	94.248237570765	0.2314487246254	164.56050116412
2.48	72.238387941665	98.677175667445	0.24430079173964	171.15986440085
2.872	76.109982433283	105.85309000659	0.25844572690931	182.22151816679
3	77.347769147558	108.1460746442	0.26278586490498	185.75662965666
3.2	83.957874388993	117.46405818201	0.27260762750369	201.6945401985
3.48	85.161472271351	120.05372857405	0.27943161546905	205.49463246087
3.872	87.248877363155	124.42908534764	0.28651552969565	211.96447824049
4	87.90943519417	125.84364989299	0.28869684789719	214.04178193505
4.2	91.454503375027	132.91135717629	0.29326850995698	224.65912906128
4.48	91.937856054057	134.11527304596	0.2959788337969	226.34910793381
4.872	92.89285871156	136.72497897766	0.2989449202401	229.91678260946
5	93.202216627644	137.6037405078	0.29987568619806	231.10583282164
5.2	95.083112026427	143.07281922674	0.30246788091321	238.45839913408
5.48	95.33433275413	143.80335448476	0.3040338298838	239.44172106878
5.872	95.894123251101	145.73050238595	0.30573258680011	241.93035822385
6	96.077579657978	146.39006090256	0.30626714945684	242.77390770999
6.2	97.30258334561	150.93165788286	0.30820934563616	248.5424505741
6.48	97.480759794984	151.49010562635	0.30933620396347	249.2802016253
6.872	97.885936222004	153.07701229265	0.31055484409327	251.27350335875
7	98.01908140537	153.62309284177	0.31094063968708	251.95311488683
7.2	98.939983692439	157.58580873249	0.31249176312316	256.83828418805
7.48	99.082482241251	158.03156765478	0.3133753616465	257.42742525767
7.872	99.406917216571	159.37947391978	0.31434078371268	259.10073192007
8	99.513728980274	159.84498615956	0.31464798359519	259.67336312343
8.2	100.2695764128	163.42324038881	0.31596622732122	264.00878302894
8.48	100.39045695226	163.7648665783	0.31670376177944	264.47202729234
8.872	100.66588899878	164.90798890083	0.31751250107599	265.89139040068
9	100.75664781521	165.30461690075	0.31776990555034	266.37903462152
9.2	101.4167320878	168.62133883668	0.31894419958964	270.35701512407
9.48	101.52209206702	168.8522814079	0.31958010420202	270.69395357912
9.872	101.76389016134	169.80671630555	0.32027125397659	271.89087772086
10	101.84346995984	170.14139323376	0.32048999804448	272.30535319164
10.2	102.4457012353	173.28475412947	0.32156309563467	276.0520184604
10.48	102.53847824033	173.40979208782	0.32211109014754	276.2703814183
