# Time [h]	FOS [g/L]	COD [g/L]	pH [1]
0.2	1.2826712734154	1.5049750137311	1.8418340278961
0.48	1.1595500468021	1.7089811736533	2.0860179148536
0.872	0.98228865154138	1.7980831199554	1.4129982801619
1	0.92476251386634	1.7993171460715	1.3440946642354
1.2	0.82149527276383	1.7982561549629	1.2383664777876
1.48	0.68686101385666	1.759859413306	1.186043052197
1.872	0.52601559597785	1.6696105760043	1.1140599401317
2	0.48091177838788	1.6352453078439	1.0961795237654
2.2	0.40516813652764	1.5874603470781	1.0723817060782
2.48	0.32285589339096	1.5136036314755	1.045714297963
2.872	0.24747754544396	1.4160629876463	1.0178587408455
3	0.22953588036794	1.3864576556834	1.0105001605673
3.2	0.18823860639329	1.3492542184854	1.0004350726944
3.48	0.14764062788943	1.2993670728409	0.98878978279389
3.872	0.11620990618997	1.2436715560734	0.97620890426956
4	0.10952680475262	1.2283703268611	0.97281243803369
4.2	0.09220591384995	1.2107365004754	0.96811867828272
4.48	0.078040792942074	1.188216505806	0.96261806978079
4.872	0.06769278333607	1.1651267482518	0.95658001392269
5	0.065284852761601	1.1588710010865	0.95493194831763
5.2	0.05963693570346	1.1508179847886	0.95264105059698
5.48	0.054677978585884	1.1379703710433	0.94993474236895
5.872	0.050062503909608	1.1218465961421	0.94693704526729
6	0.048819724753345	1.1168207290086	0.94611428209457
6.2	0.046274247990705	1.1066961460221	0.94496730879246
6.48	0.043785655651367	1.0898091235049	0.94360760802857
6.872	0.041223755171177	1.0662870296322	0.94209681076924
7	0.040513190774842	1.0586679425034	0.9416814961323
7.2	0.039077975215894	1.0437176988526	0.94110253803629
7.48	0.037684230265335	1.0204283628391	0.94041688608732
7.872	0.036293433667087	0.98862092074283	0.93965759889391
8	0.035918743740803	0.97856668686897	0.9394495834204
8.2	0.035109680253325	0.96096466547896	0.9391608616472
8.48	0.034412981012168	0.93491796516088	0.9388217187326
8.872	0.033845226493881	0.90089108073473	0.93845172535677
9	0.033712767664258	0.89050799945071	0.93835163036559
9.2	0.033304253301848	0.87365056903247	0.9382143988213
9.48	0.033075162605275	0.84950227202522	0.93805649933376
9.872	0.033034307297395	0.81930593934077	0.93788969465671
10	0.033044591849853	0.8103790545758	0.93784567093135
10.2	0.032816999649243	0.79634166456741	0.9377865842223
