# Time [h]	MS [g]	Lignin [g]	Butyric [g]	Initial_Substrate [g]	Carbohydrates [g]	Substrate [g]	MO_AcidoLCFA [g]	MO_hydroM [g]	MO_Acetic [g]	Proteins [g]	AA [g]	MO_acetoM [g]	Propionic [g]	Carbondioxide [g]	Carbondioxide_gas [g]	Carbondioxide_sum [g]	MO_Propionic [g]	MO_ButyricValeric [g]	Valeric [g]	LCFA [g]	MO_AcidoMS [g]	Methane [g]	Methane_gas [g]	Methane_sum [g]	Hydrogen [g]	Hydrogen_gas [g]	Hydrogen_sum [g]	Lipids [g]	MO_AcidoAA [g]	Acetic [g]
0.2	4.3229156256821	11648.658000325	1.2086317770306	0	255.9760002848	17.18420956442	136.99340109232	321.57785201077	103.35917601543	91.950821448237	2.6759767671211	186.45655353679	2.8005823957191	76.90873166927	8.7739832478371	85.682714917107	113.42160690713	195.93291017094	0.39483239153769	5.7316640592163	702.24501503028	8.6760814415205	10.500192299763	19.176273741284	0.00061022252545001	0.0026256637101084	0.0032358862355584	75.833516886352	102.41853229404	123.86308077725
0.48	3.8041161770917	11648.72911082	1.8083487665424	0	227.83844710792	41.012042703846	136.96009618704	325.18108891501	103.73833092791	81.793361433192	2.6809717224103	187.69770966394	5.3912439438463	69.315532550817	14.310479519454	83.626012070271	113.60327754601	196.24133765621	0.63799676306194	11.708417537135	704.28232133415	10.85821158706	5.9577807573138	16.815992344374	0.00060342091815695	0.0023172407240452	0.0029206616422022	67.446354002134	103.13860950675	108.11741520676
0.872	3.20645134724	11648.933475476	1.7374460261192	0	193.93052088947	73.923326072394	136.93075209435	330.1828188715	104.25997713328	69.485953205225	2.2348973910218	189.38622846049	6.5784079429985	57.122243515148	13.206786698838	70.329030213986	113.96370692251	196.73284523881	0.61922986190147	17.624656904887	706.69757584416	11.879411989551	4.9422975079983	16.821709497549	0.00053968105800022	0.0020168293935938	0.002556510451594	57.270471838183	104.04134289428	89.293781323119
1	3.032228527333	11649.028295455	1.662109308185	0	184.04550724674	84.560739064669	136.92470558244	331.74878414685	104.42796340438	65.881413683628	2.0970502494914	189.92501283955	6.6407065078913	53.46198040575	11.805941439949	65.267921845699	114.08727214398	196.88177497341	0.59252778384894	19.036086701535	707.39311007623	11.969085586847	4.8075757233053	16.776661310152	0.00051085744303423	0.0019111469214093	0.0024220043644435	54.28687383159	104.30493581538	83.580907786709
1.2	2.792419700138	11649.183693964	1.5415317778158	0	169.6581862769	83.886987996228	136.91939065472	334.12021488212	104.68645704479	60.629112118433	1.9191980511284	190.74641559398	6.6435877660722	55.633150726096	17.892296414051	73.525447140147	114.28187634812	197.09866949801	0.5541343853669	21.579162243357	708.39594229831	12.010329763759	6.5855788354894	18.595908599248	0.00047032607958822	0.0019270225115804	0.0023973485911686	49.938169344242	104.68868610883	73.410273347128
1.48	2.4808916311128	11649.397827947	1.372115263637	0	151.45057024881	82.952774109945	136.92117226483	337.25945231421	105.03751336902	53.983559854752	1.68426051868	191.84250560941	6.3152186335541	48.840466536866	11.033660688811	59.874127225677	114.54901337229	197.36870665875	0.49609744234653	24.310066786521	709.63790185783	11.639368644237	4.9770911934493	16.616459837686	0.00041305817701251	0.0017429320901106	0.0021559902671231	44.436186330802	105.1709669255	60.502670046129
1.872	2.1061946010061	11649.691266022	1.1579683617191	0	129.31982640458	81.662394480148	136.94226906853	341.26746688808	105.49894983685	45.908780612452	1.4058900704628	193.23800654984	5.5410671323457	41.181657305347	9.1140349917219	50.295692297069	114.89343082077	197.68223622574	0.42042980537214	26.789387037309	711.09297985428	10.740295012888	4.9520001358166	15.692295148704	0.00034073680128172	0.0015555458586496	0.0018962826599313	37.751449471502	105.74801454728	45.482094298348
2	1.9959012372632	11649.789064345	1.0950333731483	0	122.82174322268	81.24536850672	136.95354292813	342.48230634428	105.64177676678	43.538500643311	1.3246652413662	193.65897292115	5.2613002351837	39.186927382903	8.7505197097002	47.937447092603	114.99661151295	197.77035948352	0.39809521392785	27.316896501475	711.50690745753	10.400395472204	4.9692049614786	15.369600433682	0.00031771930872217	0.0014972415966846	0.0018149609054068	35.789335001434	105.91529213686	41.336749016528
2.2	1.8376239881207	11649.940368563	1.0035423083613	0	113.34517663654	80.598035096083	136.97712955531	344.27908250459	105.85308209946	40.082445096999	1.209758402805	194.26882617731	4.8265842169785	41.476020506113	13.773653617455	55.249674123568	115.14751265908	197.8944886842	0.36536571971156	28.470867265651	712.0963613913	9.8545948486308	6.4315806935257	16.286175542157	0.00028627310225723	0.0014357651649727	0.0017220382672299	32.928551401653	106.15671478711	34.321321407712
2.48	1.6387981010997	11650.149342249	0.88979589630644	0	101.35046618724	79.700444866347	137.02373788052	346.58350650615	106.12200620366	35.709382044461	1.0677069168104	195.02085999408	4.2426387893567	36.791855261291	9.1212516161244	45.913106877416	115.33713175821	198.04282667685	0.32438068080594	29.595841544041	712.81414079043	8.8503262678259	4.8625011047095	13.712827372535	0.00024697282983167	0.0013137665521569	0.0015607393819886	29.308974500895	106.45751701355	26.828773972627
