# Time [h]	Carbondioxide [g/L/h]	Methane [g/L/h]	Hydrogen [g/L/h]
0.2	5.2083962489702	6.2331018809432	0.0015586423763972
0.48	7.2836215172512	3.0323381854856	0.001179408863845
0.872	5.8621355385869	2.1937526016275	0.00089521607051923
1	4.8188936877688	1.9623342618171	0.00078008313062474
1.2	10.312561171744	3.7957219741368	0.0011106753286031
1.48	4.4293376856788	1.9979971143265	0.00069968043698713
1.872	3.2293303169818	1.7546176953018	0.00055116878865176
2	3.0287464583283	1.7199509026238	0.00051822810619605
2.2	7.158245501713	3.3425284669265	0.00074617500577294
2.48	3.1746603210354	1.6923983481774	0.0004572577776622
2.872	2.282578472054	1.3646204141677	0.00035331618112284
3	2.1170440360173	1.3046383243398	0.00033079366438249
3.2	4.8471302399456	2.6721698962059	0.00048682952834122
3.48	2.0129374794883	1.1939947692104	0.00026000243679385
3.872	1.3202092347077	0.86270877079519	0.00018292499866994
4	1.1985810790553	0.80877601496909	0.00016868921379984
4.2	2.7157676978535	1.9070297169323	0.00026504100418373
4.48	1.0311622828101	0.74728358131998	0.00011866129591984
4.872	0.65449227887827	0.51775906539319	7.9717278537506e-05
5	0.59884671742318	0.48931211543591	7.397880967047e-05
5.2	1.5111721670709	1.3916770819703	0.00014770420328482
5.48	0.56449495991685	0.52619686457492	6.3770271146751e-05
5.872	0.38007469453958	0.37826337255355	4.4892626740713e-05
6	0.35584890149932	0.36314618564352	4.2477205723587e-05
6.2	0.99273412760075	1.1356979434087	0.00010122559832712
6.48	0.37354439178458	0.42729241443375	4.3210502383994e-05
6.872	0.26256429051188	0.31334783379145	3.1398599360688e-05
7	0.24935772962803	0.30277490812373	3.0050124076739e-05
7.2	0.73971495196492	0.98794091355006	7.8191460900935e-05
7.48	0.27814391046601	0.36774900339602	3.2816425333814e-05
7.872	0.19947406121673	0.26993737935915	2.4135233250714e-05
8	0.19092952152899	0.26117491213164	2.3232546648937e-05
8.2	0.59968220554252	0.88944148982875	6.4919731038009e-05
8.48	0.22227708796134	0.3231116099414	2.655250943108e-05
8.872	0.15989588779427	0.23386468792471	1.9472724475711e-05
9	0.15364143330342	0.22586247597429	1.8784896343138e-05
9.2	0.51800219078185	0.81910612720387	5.6856910997518e-05
9.48	0.18595936930512	0.28515072499297	2.2314530442757e-05
9.872	0.13224457171485	0.20099983244725	1.6079763732812e-05
10	0.12732061424729	0.1936018983396	1.551165294565e-05
10.2	0.47011816729205	0.76800929688485	5.1699011337986e-05
10.48	0.16136225776645	0.25322649211379	1.9209510833438e-05
10.872	0.11280384083371	0.17367772273295	1.3496756798652e-05
11	0.10889805663767	0.1672804654825	1.3023886148197e-05
11.2	0.44285866809412	0.73358091759152	4.8080631860964e-05
11.48	0.14585265936767	0.2306816770087	1.6994906443829e-05
11.872	0.10053977331841	0.15527421894266	1.1689125367345e-05
12	0.09735052824783	0.14985740860551	1.1293366558627e-05
12.2	0.42750619524304	0.71283942402954	4.5379066745776e-05
12.48	0.13701244785674	0.21745125978349	1.5537394643453e-05
12.872	0.093595764801378	0.1447614315075	1.0547962780166e-05
13	0.090802394249406	0.13993264951953	1.0201922779782e-05
13.2	0.41872652980938	0.70099990386451	4.3245527102032e-05
13.48	0.13199739524291	0.20996655772749	1.4524711479432e-05
13.872	0.089579145559844	0.13868272910737	9.7749023263061e-06
14	0.086980534234807	0.13413268923735	9.458443429866e-06
14.2	0.41344847971107	0.69380073120228	4.1358644591462e-05
14.48	0.12875158551323	0.20505199422182	1.3694642730347e-05
14.872	0.086772635249313	0.13436762565574	9.1416331266903e-06
15	0.084260221549271	0.12993270619057	8.8442186754913e-06
15.2	0.4097945538255	0.68856008012777	3.9564245249342e-05
15.48	0.12624366674434	0.20112861809802	1.2940292670637e-05
15.872	0.084445306704476	0.1306960761553	8.5660849073034e-06
16	0.081971226227016	0.12630692657247	8.2830541843785e-06
16.2	0.40703038401589	0.68423605861826	3.7815947788975e-05
16.48	0.12410181518603	0.19762355741721	1.2222274818133e-05
16.872	0.082353971684904	0.12728226013715	8.0184782145569e-06
17	0.079895144287689	0.12290437986947	7.7473790080865e-06
17.2	0.40500667495663	0.6805201143678	3.6063879559155e-05
17.48	0.12218753503456	0.19428339855457	1.1509840217387e-05
17.872	0.080372916056111	0.12390148679326	7.4741940760301e-06
18	0.077910951982714	0.11950697745044	7.2134427570984e-06
18.2	0.40372396135579	0.67726403919613	3.4246826315528e-05
18.48	0.12040882625493	0.19091262876749	1.0776041237901e-05
18.872	0.078391635406622	0.12035115925872	6.9128500614131e-06
19	0.075907581478113	0.11591281571465	6.6615862979858e-06
19.2	0.4032058401055	0.67434454381607	3.2318466672988e-05
19.48	0.11868418179148	0.18733641919391	1.0004081982589e-05
19.872	0.076307590677557	0.11645089573836	6.3231224009479e-06
20	0.073781478684247	0.11194289083589	6.0811997745248e-06
20.2	0.40347768030388	0.67165568097568	3.0255979337829e-05
20.48	0.11694067736328	0.18340791845767	9.1876351204782e-06
20.872	0.074028204768578	0.11205346342698	5.7023303729528e-06
21	0.07143910943132	0.10745263749948	5.4702353451118e-06
21.2	0.40454935389201	0.66910393355926	2.8052527950705e-05
21.48	0.11511124672976	0.17901328317786	8.327730775751e-06
21.872	0.071470122700378	0.1070506893343	5.0541262813026e-06
22	0.068796379042417	0.10233786101752	4.8329136055304e-06
22.2	0.40639411664533	0.66659959242771	2.5711774831343e-05
22.48	0.11313429613555	0.17407959515888	7.432025111401e-06
22.872	0.068564652221671	0.10138692325802	4.3883441920479e-06
23	0.06578511038734	0.096549318212869	4.1796211666313e-06
23.2	0.40893332829305	0.66406061308884	2.3254781640258e-05
23.48	0.1109636344766	0.16859720127828	6.51787462813e-06
23.872	0.065277217596188	0.095089921515448	3.7230491571772e-06
24	0.061715793275752	0.08922714420902	3.5251376614531e-06
24.2	0.41918626764639	0.66900088574197	2.22823239541e-05
24.48	0.11980427589653	0.17734425081704	6.6531412575998e-06
24.872	0.080761309037777	0.11291806400238	4.3687301010701e-06
25	0.079790735257951	0.11012989056034	4.2904941480258e-06
25.2	0.46871707750287	0.71008263265875	2.1355286524883e-05
25.48	0.1265429520475	0.17842461118878	5.962159780411e-06
25.872	0.069720091759809	0.094114831873334	3.2412515258354e-06
26	0.065374510268191	0.08757018675939	3.0317989478063e-06
26.2	0.45394560141271	0.6852675005885	1.950679049662e-05
26.48	0.11712080033345	0.16437732740571	5.3057169679353e-06
26.872	0.065156807092715	0.087415562957984	2.9041388052765e-06
27	0.06197459735803	0.082446752070476	2.7495538605606e-06
27.2	0.45433180281828	0.68243897280364	1.8019513133187e-05
27.48	0.11534956460443	0.16082852727035	4.7662867899004e-06
27.872	0.063007992712075	0.083870218662868	2.5497838102542e-06
28	0.05979569836755	0.078902030653662	2.4058620918925e-06
28.2	0.45634873037626	0.68136489994706	1.667816019988e-05
28.48	0.1144537772897	0.15840870428487	4.3782200879253e-06
28.872	0.061501093780153	0.081186929601327	2.3018908342682e-06
29	0.058217622909143	0.076170482189015	2.1650557253473e-06
29.2	0.45917377474433	0.68127010831919	1.5775010159123e-05
29.48	0.11402673848526	0.15665896772065	4.1232949252478e-06
29.872	0.060447950779393	0.079161716773097	2.1389402868027e-06
30	0.057104695663612	0.074112914955008	2.0070206405603e-06
