# Time [h]	MS [1]	Lignin [1]	Butyric [1]	Initial_Substrate [1]	Carbohydrates [1]	Substrate [1]	MO_AcidoLCFA [1]	MO_hydroM [1]	MO_Acetic [1]	Proteins [1]	AA [1]	MO_acetoM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_ButyricValeric [1]	Valeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	Hydrogen [1]	Hydrogen_gas [1]	Lipids [1]	MO_AcidoAA [1]	Acetic [1]	Phi [1]
0.2	4.7522450971098e-05	1.3151134954747	1.3286668822632e-05	0	0.028899251095032	0.0019400677676582	0.015466319988144	0.036305582942985	0.011669072915512	0.01038108992433	2.9417409252495e-05	0.021050622810919	3.0787219430342e-05	0.7690873166927	0.87739832478371	0.0128051046048	0.022120488974479	4.3404512350096e-06	6.3009036723694e-05	0.079282253686965	0.086760814415205	1.0500192299763	6.1022252545001e-06	0.00026256637101084	0.0085614739017705	0.01156287564819	0.00136164510388	0.90957401041534
0.48	4.1811790212059e-05	1.3172547411167	1.987592520766e-05	0	0.025764293406923	0.004637699718556	0.015487641296187	0.036771901811766	0.011730872720821	0.0092493088390193	2.9467092722307e-05	0.0212251088278	5.9256255852481e-05	0.69315532550817	1.4310479519454	0.012846417217652	0.022191244345718	7.0123510634468e-06	0.00012868959827429	0.079641216838522	0.1085821158706	0.59577807573138	6.0342091815695e-06	0.00023172407240452	0.0076269289744394	0.011663052660256	0.0011883395572551	0.90974957736808
0.872	3.5237214771005e-05	1.3190563058185	1.9093638966233e-05	0	0.021959544799277	0.0083706400701331	0.015505227854797	0.03738782538313	0.011805768752661	0.0078681782287133	2.4560356414518e-05	0.021444932063786	7.2293359922191e-05	0.57122243515148	1.3206786698838	0.012904567260619	0.02227684996905	6.8050185543111e-06	0.00019368606180651	0.080022178253703	0.11879411989551	0.49422975079983	5.3968105800022e-06	0.00020168293935938	0.0064849693913753	0.011781002172576	0.0009812907301132	0.90990862453444
1	3.332152374447e-05	1.3194022797417	1.8265142795716e-05	0	0.020845520822501	0.0095775912784432	0.015508483266146	0.037574654454203	0.011827791423617	0.0074619174427016	2.3044747098411e-05	0.021511393221008	7.2975665892435e-05	0.5346198040575	1.1805941439949	0.012921839002099	0.02229937524555	6.5113682230004e-06	0.00020919031086198	0.080121272634681	0.11969085586847	0.48075757233053	5.1085744303423e-06	0.00019111469214093	0.006148686679679	0.011813844449712	0.00091847928542583	0.90994284359547
1.2	3.082431552735e-05	1.3223018786411	1.7237875711704e-05	0	0.01925794569952	0.0095220339056254	0.015541761950009	0.037926991526482	0.011882921240246	0.0068820265946853	2.1268443653727e-05	0.021651385087969	7.4749933185131e-05	0.55577542058169	1.7854288426843	0.012972457110939	0.022373037446023	6.1991622447888e-06	0.00024288227290766	0.080410594201196	0.12005483201428	0.65839484683604	4.7498627586343e-06	0.00021077632220715	0.0056684948464473	0.011883472323793	0.00079185900962292	0.91015250938967
1.48	2.7384073638086e-05	1.325965225909	1.5493978126275e-05	0	0.017238504357907	0.0094419038327389	0.015584794168796	0.038391903482599	0.011955338942536	0.006144551525474	1.8688503973283e-05	0.021834518269564	7.2771566232396e-05	0.48635527286227	1.0977726969501	0.013039752687716	0.022466320881169	5.6051046251456e-06	0.00028171670636472	0.08077405253527	0.11605785658477	0.49701472064409	4.1926081563551e-06	0.0001943534728491	0.0050578442267741	0.011971611372063	0.00063016124420842	0.91041629989311
1.872	2.3238820397147e-05	1.3304307981513	1.3109418952636e-05	0	0.014768723254044	0.0093260981073262	0.015639596234043	0.03898251816572	0.012046972293307	0.0052429244083404	1.5590547964376e-05	0.022062049712417	6.5212691787809e-05	0.40535987129337	0.89810549876615	0.013125190505832	0.022578694312894	4.7616887752149e-06	0.00032342983036381	0.081211188849726	0.10589282570306	0.49204017827223	3.4466568517868e-06	0.00017287939491111	0.0043113320183615	0.01207820669902	0.00043789177431144	0.91073591819114
2	2.201929112363e-05	1.331748036012	1.2397140481557e-05	0	0.014040391630107	0.0092875809373791	0.015656411210839	0.039160746374583	0.01207457620826	0.0049771122151107	1.4686552894876e-05	0.022129329543644	6.2224530140537e-05	0.38350313997515	0.85858843023556	0.013150783337087	0.022611380803822	4.5087605983128e-06	0.00033430415177123	0.081338512830604	0.10195036348687	0.49263531543631	3.2061352208347e-06	0.00016570399663649	0.0040912648268085	0.012109382338345	0.0003841759479008	0.91082972343235
2.2	2.0269784516595e-05	1.3336809904487	1.1360604285236e-05	0	0.01297571360243	0.0092268339979734	0.015681965603462	0.039423537808927	0.01211491496096	0.0045886233681163	1.3408766492835e-05	0.022225732167343	5.7379916663952e-05	0.39936077027618	1.3190681149898	0.013188441633442	0.022658773351085	4.1376756733903e-06	0.00035194128292904	0.081523403113223	0.095335085522999	0.63552803902394	2.866178831239e-06	0.00015734102390117	0.0037696482821097	0.01215472231986	0.00030548928683654	0.91096691881852
2.48	1.8072793110544e-05	1.3361564451405	1.006839217832e-05	0	0.011623890171531	0.0091408494523543	0.015716759778741	0.039759143351269	0.012165550322955	0.0040955108373003	1.1829892689019e-05	0.022343058869264	5.064008186699e-05	0.34721785907922	0.87277218366522	0.013236466344983	0.022718268748716	3.6720931169061e-06	0.0003716336755501	0.081756091820986	0.083474547224768	0.47761841728845	2.4406051459901e-06	0.00014156557960348	0.0033614477668284	0.012211917621467	0.00022520236938032	0.91114172523345
