# Time [h]	Lignin [g/L]	Initial_Substrate [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	MO_AcidoMS [g/L]	MO_AcidoAA [g/L]	Nitrogen [g/L]	SUM [g/L]
0.2	6.9891948001947	0	0.0040390981241012	0.15617247724524	0.36659875129228	0.11782946065759	0.11401901859581	0.0033182111912301	0.21256047103193	0.12930063187413	0.22336351759487	0.80055931713451	0.1167571268152	2.1253725782149	11.359085459967
0.48	6.9892374664917	0	0.0096397605097677	0.15613450965322	0.37070644136311	0.11826169725781	0.10142376817716	0.0033244049357888	0.21397538901689	0.12950773640245	0.22371512492808	0.80288184632093	0.11757801483769	1.7071398854999	10.943526045395
0.872	6.9893600852856	0	0.017375461265589	0.15610105738756	0.37640841351351	0.11885637393194	0.086162581974479	0.002771272764867	0.21590030044496	0.12991862589166	0.22427544357225	0.80563523646234	0.11860713089948	1.299402679464	10.540774662858
1	6.989416977273	0	0.019875754031533	0.15609416436398	0.37819361392741	0.11904787828099	0.081692952967699	0.0026003423093693	0.21651451463708	0.13005949024413	0.22444522346968	0.80642814548691	0.11890762682953	1.1902039472361	10.433480631057
1.2	6.9895101999265	0	0.019717390840204	0.15608818213632	0.380908591498	0.11934216529142	0.075180101759536	0.002400437375638	0.21744881307841	0.13028444629867	0.22469591721803	0.80757657677322	0.11934787017353	1.0385208695686	10.281021561938
1.48	6.989638677002	0	0.01949780657066	0.15609081428278	0.38452067350001	0.11974007132483	0.066939615902132	0.0021098409882409	0.21868660834716	0.13060099083537	0.22501366233806	0.80900104260012	0.11990328020315	0.85873561769655	10.100478701591
1.872	6.9898147564141	0	0.019194506465943	0.1561178943862	0.38913704883809	0.12025608175514	0.056926883224391	0.0017606886829678	0.22022995178425	0.13101892596031	0.22538597784911	0.81067039978098	0.12056817918164	0.65871837371591	9.8997996680391
2	6.9898734292496	0	0.019096485698295	0.15613248590713	0.39053337159096	0.12041349463309	0.053987735718458	0.0016587615588334	0.22068511887928	0.13114571010643	0.22549096318824	0.81114537704198	0.12076092776399	0.60368468550386	9.8446085468401
2.2	6.9899642027768	0	0.018944331800282	0.15616271863306	0.39259025173247	0.12064234873744	0.049702225670923	0.0015146617287505	0.221328446523	0.13133242615231	0.2256391101986	0.81182187711228	0.12103911853494	0.52686332474766	9.7675450443485
2.48	6.9900895682853	0	0.018733355719584	0.15622208432514	0.39520709088165	0.12092446719842	0.044279625877739	0.0013365586080229	0.22208901882658	0.13156893531635	0.22581661924952	0.81264587740833	0.12138575420444	0.43567477082691	9.675973726728
2.872	6.9902618210173	0	0.018441942301548	0.15633951487712	0.39840239063319	0.12124984427485	0.037690273324692	0.0011254722893913	0.22292433857811	0.13185059559987	0.22601337547119	0.81358568854872	0.12179685467046	0.33431405061285	9.5739961621992
3	6.9903182054782	0	0.018347764171146	0.15638532958834	0.39935025916102	0.12134357794937	0.035755986867833	0.0010637661224389	0.22315789952252	0.13193125882063	0.2260664971505	0.81384634088601	0.12191509732852	0.30644164948803	9.5459236325346
3.2	6.9904055631183	0	0.018201574628917	0.15646541284788	0.40073933956393	0.12147695373142	0.032935510759078	0.00097559222260177	0.22348372722664	0.13204605840814	0.22613907390839	0.8142104594201	0.12208486014348	0.26754355940165	9.5067076853805
3.48	6.9905264261794	0	0.017998867975008	0.15659497480025	0.40250945501869	0.12163981170711	0.029366409883221	0.00086570445572588	0.22386968027913	0.13218534191528	0.22622114202396	0.81463921607707	0.12229448838207	0.22137515875678	9.4600866774537
3.872	6.990692908979	0	0.017718875207191	0.15680751789932	0.40470531202527	0.12183208377799	0.025028881295273	0.00073436347738201	0.22431164913494	0.13234295375961	0.22630222024447	0.8150987346508	0.12253933834368	0.17002902468372	9.4081438634787
4	6.9907470245622	0	0.017628389119425	0.15688346307793	0.40536548032678	0.12188864961055	0.0237555280322	0.00069591609606339	0.22443965950874	0.13238645725264	0.22632140336777	0.81521830083141	0.12260877889063	0.15590123599285	9.3938402866692
4.2	6.9908309442695	0	0.017487930358063	0.15700919496731	0.40634113878498	0.12196973082665	0.021898669449908	0.00064063632526528	0.22462024076954	0.1324468464402	0.22634455923441	0.81537671344395	0.12270745942672	0.13618021734509	9.3738542816416
4.48	6.9909471680672	0	0.017293169495607	0.15719940946926	0.40759985482913	0.12206949250013	0.019548715387623	0.00057143886590944	0.22483782842597	0.13251726591899	0.22636418559587	0.81554511676035	0.12282720888171	0.11276429062461	9.3500851448223
4.872	6.9911074554008	0	0.017024150799938	0.15748891829263	0.40919347670318	0.12219061141739	0.016692365082405	0.0004883835023263	0.22509821920538	0.13259175177749	0.22636949461878	0.81568811704257	0.12296291889059	0.086689123083173	9.3235849858167
5	6.9911593882885	0	0.016937212127885	0.15758819991983	0.40967925817412	0.12222685656125	0.015853740082843	0.00046406105219691	0.22517562938002	0.13261096167392	0.22636643838581	0.81571469715236	0.12300031922742	0.079507224025636	9.3162839860518
5.2	6.991239954616	0	0.016802259709761	0.1577480220627	0.4104043674201	0.12227959671654	0.014630707570519	0.00042899713382297	0.22528753174624	0.13263616285228	0.22635718773726	0.81573749122348	0.12305230799627	0.069474565490978	9.3060791522759
5.48	6.9913515850043	0	0.016615133568071	0.15798047370548	0.41135500154889	0.1223464754892	0.013082668757211	0.00038504451163093	0.22542839331607	0.13266246548894	0.22633583393631	0.81573418588156	0.1231129937893	0.05754716424668	9.2939374192436
