Hions_Offset = 0.1155758345125# Time [h]	Butyric -	Propionic -	Carbondioxide -	Valeric -	Acetic -	Nitrogen -	Water -	Hions -
0.2	0.00012263461181028	0.00033707918202605	0.013241268620717	3.4655050121138e-05	0.018652493322173	-0.12244810597389	2.6445306394196e-07	0.014393485416413
0.48	0.00010639079925322	0.00036539632896662	0.0050566698250497	3.2679285215436e-05	0.010216667809177	-0.10005638541377	2.2597261975061e-08	0.0082031770513695
0.872	3.4883908485052e-05	0.00013279396927873	0.00029246692326211	1.1014893683983e-05	0.003786969564189	-0.076297805815144	4.590008601038e-10	0.038636850709878
1	1.9363463932086e-06	6.8860872297169e-06	6.236194721371e-06	6.3552801752496e-07	0.00028720855971627	-0.069888602127634	1.0252418966898e-11	0.045279887146344
1.2	5.1711769402743e-08	2.4627912620296e-07	1.3417207737323e-07	1.7586122244673e-08	4.6179470053643e-06	-0.060981847049602	2.07685373764e-13	0.057766801639291
1.48	3.930472549244e-08	2.0277681634903e-07	9.5423794226738e-08	1.3452836874124e-08	3.1450750511803e-06	-0.050424874212576	1.7556756279794e-13	0.065154435052379
1.872	2.6046781789131e-08	1.4446570179216e-07	6.0298738700283e-08	8.9499275767444e-09	1.6994018217622e-06	-0.038679880685817	1.3744430798594e-13	0.076898215613144
2	2.3326937163725e-08	1.3092598110821e-07	5.3736185233768e-08	8.0253280143355e-09	1.4121808282925e-06	-0.035448307731257	1.3025457091336e-13	0.080129172891119
2.2	1.9940351993797e-08	1.1302786905696e-07	5.2567083190877e-08	6.8698415771819e-09	1.0436245427485e-06	-0.030937364701059	1.2165478199956e-13	0.084639727401087
2.48	1.6404382258397e-08	9.2917120594612e-08	4.1725189187822e-08	5.6593295435088e-09	7.1027997725442e-07	-0.025582781437701	1.131105261266e-13	0.089993939548918
2.872	1.2897189841604e-08	7.181534159705e-08	3.1087968427372e-08	4.4534766570745e-09	4.6404447310371e-07	-0.019630889521198	1.0519627156299e-13	0.095945543617958
3	1.1987798239471e-08	6.6216964104888e-08	2.8549921809188e-08	4.1405394515971e-09	4.1363632293744e-07	-0.017994224758437	1.032538906e-13	0.097582136032113
3.2	1.0742997336226e-08	5.8529427604656e-08	2.8234060516902e-08	3.71020184707e-09	3.268373708934e-07	-0.015710132579794	1.006872502288e-13	0.099866132273047
3.48	9.2921253210765e-09	4.9642771452417e-08	2.3794669310195e-08	3.2070379152484e-09	2.5032995893121e-07	-0.01299912845005	9.7838411731716e-14	0.10257704443646
3.872	7.6823832482941e-09	4.0015138486244e-08	1.9261431098982e-08	2.646654476656e-09	1.9459327236935e-07	-0.0099840883004773	9.4894642786186e-14	0.10559201198889
4	7.2358131691538e-09	3.7391157229772e-08	1.8146501899632e-08	2.4910699533038e-09	1.8281447664438e-07	-0.0091545058808996	9.4122553764562e-14	0.10642157700745
4.2	6.6039484984184e-09	3.3705200273965e-08	1.7933085773344e-08	2.2701481384853e-09	1.5620918757305e-07	-0.0079964895255678	9.3070390204163e-14	0.10757956208915
4.48	5.8371804387637e-09	2.9348806893123e-08	1.5820707115477e-08	2.0014261083081e-09	1.3456129381964e-07	-0.0066215085163896	9.18581359505e-14	0.10895451389802
