# Time [h]	hydro_Methanogenesis [g/h]	Disintegration_Initial [g/h]	Hydrolysis_Proteins [g/h]	aceto_Methanogenesis [g/h]	Valeric_Degradation [g/h]	Acetic_Degradation [g/h]	Acidogenesis_MS [g/h]	Disintegration_Substrate [g/h]	Propionic_Degradation [g/h]	Butyric_Degradation [g/h]	Hydrolysis_Lipids [g/h]	Hydrolysis_Carbohydrates [g/h]	Acidogenesis_AA [g/h]	Acidogenesis_LCFA [g/h]
0.2	39.123509683827	0	38.619345008259	128.66295518735	3.2332684725381	25.923335834585	115.39382149304	0.68736838257679	10.508067296087	9.5529508496894	31.850077092268	107.50992011962	32.154023126838	0.72874981666114
0.48	39.306944284854	0	34.35321180194	125.97872229055	5.1650911793705	25.608889688013	102.36979642653	1.6404817081538	18.086895509812	13.934333428205	28.327468680896	95.692147785327	32.42752444346	1.1503284629669
0.872	37.638760268744	0	29.184100346195	121.4760704295	5.0279468416549	25.066246037701	87.097290150804	2.9569330428958	21.035423358171	13.454222168076	24.053598172037	81.450818773577	27.79497432703	1.5418284140758
1	36.706219295239	0	27.670193747124	119.66377182618	4.8206568650893	24.841471958644	82.586302127288	3.3824295625867	21.181608197827	12.920963374029	22.800487009268	77.299113043629	26.302997362084	1.6677530012393
1.2	35.528982466663	0	25.464228015327	115.32436024458	4.6025217573928	24.29829121491	76.688374977585	3.3554795239052	21.663507635269	12.264448732031	20.974031891191	71.25644076811	24.543913563414	1.9070549886493
1.48	33.355117496644	0	22.673095708786	107.66808225598	4.1784865028313	23.292694504336	68.465892291067	3.3181109630141	21.317822294567	11.115955513194	18.663198731002	63.609241061155	21.892605154137	2.2561135222217
1.872	29.88758898889	0	19.281686253423	93.354231960174	3.5679231132253	21.236139126532	58.429188086831	3.2664957518929	19.691762381736	9.5069165212272	15.855607450419	54.314322692872	18.592442209934	2.7993287133458
2	28.610751903762	0	18.2861685498	87.672894019022	3.3831966727619	20.34763918193	55.44874059405	3.2498147071529	19.010823463807	9.0184076657869	15.031519276622	51.585127434957	17.604604222047	3.0062149812263
2.2	26.666109753818	0	16.834624824022	78.077426841234	3.1108284474157	18.764111630825	51.15111833042	3.2239213578045	17.867816089993	8.3009894890891	13.82998983686	47.604968379146	16.189443806315	3.3603731314588
2.48	23.967710638689	0	14.997937797299	65.438590004322	2.766831655762	16.480268043279	45.716278701331	3.1880177271185	16.194976478983	7.3956538261895	12.30976708812	42.567188491155	14.408582859095	3.8938770290773
2.872	20.718658229908	0	12.766060319654	52.227927988316	2.3502721707982	13.826812063197	39.112243070875	3.1384253766328	13.912551885911	6.2995999336956	10.462660117891	36.442509864994	12.250439986096	4.6351059999876
3	19.805017841127	0	12.110898777814	48.881325668329	2.2282807776755	13.105919796348	37.157812146563	3.1223982668228	13.201089126683	5.9775001895349	9.920499698737	34.643901354131	11.609383761933	4.8671477193288
3.2	18.445235954313	0	11.155576224849	43.44058629618	2.0498560092521	11.980374197534	34.328880267737	3.097519923662	12.141898101641	5.5080232504674	9.1300037100803	32.020518686337	10.685211245755	5.2454070613307
3.48	16.754009904379	0	9.9466872185102	37.458421101092	1.8249642010152	10.678742858104	30.749190105592	3.063023573102	10.789612435125	4.9165346363562	8.1297986587691	28.699335669305	9.519512488053	5.7503774036998
3.872	14.86635182735	0	8.4775243096892	32.014345816929	1.5524423041854	9.3977683499117	26.396819834016	3.0153747737825	9.1495366462813	4.1998091530318	6.9144550692116	24.660273617292	8.1049491786247	6.3721952257122
4	14.32804954803	0	8.0462272367128	30.705695688564	1.4725222197215	9.0729885164558	25.110836486614	2.9999759709105	8.6671483813677	3.9891248686116	6.5577215372976	23.473843321179	7.6862577195247	6.5605466680407
4.2	13.476482968209	0	7.4172912652914	27.700707520554	1.355682734023	8.3627376993949	23.245350758186	2.9760728844665	7.9610315475707	3.6817594958699	6.0375693507638	21.743024367651	7.080329383439	6.8692697890467
4.48	12.45867773749	0	6.6213390829046	24.859551187505	1.2082463872529	7.6380669322091	20.883563837222	2.9429287381986	7.0823260318627	3.2939080630572	5.3793928318578	19.551150959307	6.3150437022942	7.252971570343
4.872	11.333148136476	0	5.6538655924276	22.4373829311	1.0293523615753	6.981958381292	18.01014309573	2.897147491979	6.0341465402704	2.823138495643	4.5795819624503	16.884232256998	5.3856085136143	7.6803643156866
5	11.00371684727	0	5.3698151893501	21.819342337724	0.97681764497438	6.809743022056	17.16102561564	2.8823523836264	5.7279507049062	2.6846253257173	4.3448059715011	16.100555738316	5.1109609793959	7.8027526180098
5.2	10.491865547155	0	4.9555622416274	20.493096126905	0.90004789712868	6.4486599336297	15.92845629303	2.8593863594001	5.2805794609239	2.4824610591619	4.0024636651165	14.956972722276	4.7126988869263	7.9902274766211
5.48	9.8729659840868	0	4.4312265145393	19.213890055823	0.80309498959488	6.0867295013208	14.367192194752	2.8275414798257	4.7217366206875	2.227048518672	3.5692477025117	13.508124998309	4.2093265225599	8.1992610925726
5.872	9.1413186347305	0	3.7937559725794	17.888393362381	0.68534663909808	5.7010736074567	12.466445447561	2.7835547323723	4.0505562038549	1.9165957831722	3.0427470034873	11.74405895411	3.5976802520431	8.4001075222777
6	8.9199533282309	0	3.6065611057302	17.506818853449	0.6507134744702	5.5884485717736	11.903427935282	2.7693396647266	3.8536692061466	1.8250979745358	2.8881853580109	11.225395145833	3.4169187179383	8.4483065017682
6.2	8.5804433403058	0	3.333523680355	16.78296738479	0.60012727585114	5.3775725771889	11.087302754831	2.7472739959359	3.5657524688847	1.6915339343971	2.6627937284332	10.468228070414	3.1547307321191	8.5073576675637
6.48	8.149868479451	0	2.9878570671815	15.994286260946	0.53621941512506	5.1422158893866	10.053161325228	2.7166775081469	3.2039164537374	1.5226604511433	2.3775425166556	9.5083366066787	2.8232788028533	8.5447609646058
6.872	7.6125282763585	0	2.5674687813819	15.068030167652	0.45856654981087	4.8604986062606	8.7934717930284	2.6744150398772	2.7663530172504	1.3171596166321	2.0308109416251	8.3384529448077	2.4204909608989	8.5150476246813
7	7.4450631459502	0	2.4439877096522	14.784789029761	0.43567889146609	4.7734157310818	8.4181564802793	2.6607572822352	2.6373536370167	1.256416475396	1.9290098200851	7.9942073908702	2.301204178218	8.4875555348918
7.2	7.1845848813659	0	2.2638466972621	14.267134178358	0.40227731771734	4.6160853527077	7.8766896924806	2.6395566925957	2.4486201474068	1.1677802195558	1.7805425555508	7.4913727187971	2.1284880606576	8.4260212635351
7.48	6.8420181611617	0	2.0357178685229	13.663517087898	0.36009234283901	4.4288227190078	7.1905224268552	2.6101596990077	2.210501148782	1.0556906555653	1.5926166213874	6.8533288041413	1.9102331441698	8.3000985989537
7.872	6.3955160541935	0	1.7581433110703	12.907329717528	0.30885283898956	4.1904881965566	6.3543076464351	2.5695540050541	1.9213566680439	0.91920507242056	1.3641325026677	6.0746029441078	1.6450787904165	8.0531653405039
8	6.2524666567959	0	1.6765790504141	12.666276834866	0.29371656222585	4.1138902192181	6.1023981431354	2.5564317138083	1.8357077515908	0.87869600670305	1.2970360551971	5.845189192422	1.5662205005299	7.956899662847
8.2	6.0277742548197	0	1.5575553163385	12.236104611874	0.27167767631412	3.9787835021589	5.7423285350243	2.5360623026626	1.7106587093316	0.81969530718985	1.1991685194534	5.5098112352392	1.4524831458404	7.7914688923672
8.48	5.7261470935567	0	1.4067583690669	11.714080337155	0.24389457097238	3.811884472776	5.2860975171664	2.5078178094232	1.5527691671638	0.74518800105589	1.0752629571421	5.0837006144052	1.3089086456181	7.5322987135525
8.872	5.3277861004074	0	1.2231509115736	11.045581925753	0.21027067852835	3.5955304086618	4.729602391283	2.4688040067403	1.3614108932556	0.65470061695474	0.924564049554	4.562592576119	1.1346241533816	7.1289750355676
