# Time [h]	MS [g/L]	Lignin [g/L]	Butyric [g/L]	Initial_Substrate [g/L]	Carbohydrates [g/L]	Substrate [g/L]	MO_AcidoLCFA [g/L]	MO_hydroM [g/L]	MO_Acetic [g/L]	Proteins [g/L]	AA [g/L]	MO_acetoM [g/L]	Propionic [g/L]	Carbondioxide [g/L]	MO_Propionic [g/L]	MO_ButyricValeric [g/L]	Valeric [g/L]	LCFA [g/L]	MO_AcidoMS [g/L]	Methane [g/L]	Hydrogen [g/L]	Lipids [g/L]	MO_AcidoAA [g/L]	Acetic [g/L]	Nitrogen [g/L]	NH4N [g/L]
0.2	0.043229156256821	116.48658000325	0.012086317770306	0	2.559760002848	0.1718420956442	1.3699340109232	3.2157785201077	1.0335917601543	0.91950821448237	0.026759767671211	1.8645655353679	0.028005823957191	0.7690873166927	1.1342160690713	1.9593291017094	0.0039483239153769	0.057316640592163	7.0224501503028	0.086760814415205	6.1022252545001e-06	0.75833516886352	1.0241853229404	1.2386308077725	2.1253725782149	2.0852912447354
0.48	0.038041161770917	116.4872911082	0.018083487665424	0	2.2783844710792	0.41012042703846	1.3696009618704	3.2518108891501	1.0373833092791	0.81793361433192	0.026809717224103	1.8769770966394	0.053912439438463	0.69315532550817	1.1360327754601	1.9624133765621	0.0063799676306194	0.11708417537135	7.0428232133415	0.1085821158706	6.0342091815695e-06	0.67446354002134	1.0313860950675	1.0811741520676	1.7071398854999	1.7039602435965
0.872	0.0320645134724	116.48933475476	0.017374460261192	0	1.9393052088947	0.73923326072394	1.3693075209435	3.301828188715	1.0425997713328	0.69485953205225	0.022348973910218	1.8938622846049	0.065784079429985	0.57122243515148	1.1396370692251	1.9673284523881	0.0061922986190147	0.17624656904887	7.0669757584416	0.11879411989551	5.3968105800022e-06	0.57270471838183	1.0404134289428	0.89293781323119	1.299402679464	1.2993516330319
1	0.03032228527333	116.49028295455	0.01662109308185	0	1.8404550724674	0.84560739064669	1.3692470558244	3.3174878414685	1.0442796340438	0.65881413683628	0.020970502494914	1.8992501283955	0.066407065078913	0.5346198040575	1.1408727214398	1.9688177497341	0.0059252778384894	0.19036086701535	7.0739311007623	0.11969085586847	5.1085744303423e-06	0.5428687383159	1.0430493581538	0.83580907786709	1.1902039472361	1.1902028942336
1.2	0.028056050126992	116.49183666544	0.015689761809871	0	1.6965819230502	0.8388698809763	1.3691945801432	3.3413034341929	1.0468610990475	0.60629114322207	0.019358365932565	1.907445728758	0.068036672710224	0.55577542058169	1.1428460201638	1.971016817702	0.0056424223037321	0.22106906519268	7.0840050594142	0.12005483201428	4.7498627586343e-06	0.49938171169503	1.046911141873	0.72074494412521	1.0385208695686	1.0385208552547
1.48	0.024931685513441	116.49397795003	0.01410639723591	0	1.5145057395513	0.82952774075352	1.3692176691472	3.3729883640351	1.0503515028494	0.53983561211396	0.017014846679362	1.9183035819926	0.066254371973857	0.48635527286227	1.145622726626	1.973804055597	0.0051031329940205	0.25648700763238	7.0965003736852	0.11605785658477	4.1926081563551e-06	0.44436187454768	1.0517831596768	0.57372828852494	0.85873561769655	0.85873560784016
1.872	0.02116477566889	116.4969126069	0.011939403322518	0	1.2931981593541	0.81662393797323	1.369455213914	3.4134828845447	1.0548779101328	0.45908776793864	0.014199102281999	1.931841682318	0.059392416022829	0.40535987129337	1.1492888242133	1.9770699811326	0.0043367079661671	0.29456356236954	7.1111438577279	0.10589282570306	3.4466568517868e-06	0.37751446310522	1.0576156068565	0.39881194277526	0.65871837371591	0.65871836807947
2	0.02005606910957	116.49789048749	0.011291810974748	0	1.2282173198799	0.81245367678823	1.3695832097117	3.4257313297453	1.0562587248517	0.43538496547144	0.013377109345431	1.935834376134	0.056676549853247	0.38350313997515	1.1504009658459	1.97799090516	0.0041067592392087	0.30449747729783	7.1153103249296	0.10195036348687	3.2061352208347e-06	0.35789331611004	1.0593063838947	0.34992484345556	0.60368468550386	0.60368468066331
2.2	0.018465213939313	116.49940337961	0.010349187895556	0	1.1334516280749	0.80598033945113	1.3698484090619	3.4437741380041	1.0582662169951	0.40082440057196	0.012215013941536	1.9414776010789	0.052271449324358	0.39936077027618	1.1520388258975	1.9792904403386	0.0037693049519459	0.32060869544991	7.1212445360727	0.095335085522999	2.866178831239e-06	0.3292854723062	1.0617466538153	0.27829362164201	0.52686332474766	0.52686332085903
2.48	0.016466862337011	116.50149280476	0.0091737180270213	0	1.0135044878846	0.79700443177963	1.3703691607468	3.4667288673829	1.060740940337	0.35709375707854	0.010778698451798	1.9481492879525	0.046140210787764	0.34721785907922	1.1541134676873	1.9808475372765	0.0033457919994633	0.33861100515207	7.128472608845	0.083474547224768	2.4406051459901e-06	0.29308969257429	1.0647873175828	0.20519199261795	0.43567477082691	0.43567476788404
2.872	0.014059161148826	116.50436368362	0.00777150541722	0	0.86767880630939	0.78460634415821	1.371399253308	3.4947578125718	1.063595125218	0.30395381713461	0.0090763894305747	1.9554766541939	0.038306710337972	0.28150708914611	1.1565841719287	1.9825734690455	0.0028370050506801	0.35584809392634	7.1367165662168	0.067760166901279	1.9850263638849e-06	0.24911095518789	1.0683934620216	0.14575025886816	0.33431405061285	0.334314048546
3	0.013351040999969	116.50530342464	0.0073637952660761	0	0.82485479414597	0.7805995667057	1.3718011367398	3.5030724487809	1.0644173504331	0.28835473280511	0.0085787590519269	1.9575254344081	0.035979495692235	0.26410141082774	1.1572917440406	1.9830394486886	0.0026888714752614	0.35978392098538	7.1390029902282	0.063393022785879	1.8665796020663e-06	0.23620237377945	1.0694306783203	0.13281626795924	0.30644164948803	0.30644164763618
3.2	0.01232983683685	116.5067593853	0.0067731070993984	0	0.76239330205565	0.7743799809155	1.3725036214726	3.5152573645959	1.0655873134335	0.2656089577345	0.0078676792145304	1.9603835721635	0.032610377519276	0.26769248817519	1.1582987579661	1.9836760869157	0.0024729254721261	0.36740445343146	7.142197012457	0.05787708271412	1.6972831258732e-06	0.2173810407162	1.07091982582	0.10864172464284	0.26754355940165	0.26754355783389
3.48	0.011044153647509	116.50877376966	0.0060350286741595	0	0.68331751593584	0.76575589327551	1.3736401298267	3.5307846931464	1.0670158921677	0.236825886155	0.0069814875461765	1.9637691252556	0.028464693107811	0.23402191173028	1.1595205431165	1.9843959826664	0.0022020036406164	0.37504445007399	7.1459580357638	0.050413451091687	1.4979312392113e-06	0.1935666347326	1.0727586700182	0.086477882956747	0.22137515875678	0.22137515750435
3.872	0.0094914908937504	116.51154848298	0.0051500911774488	0	0.58714937184029	0.75384369344563	1.3755045429765	3.5500465967129	1.0687024892807	0.20184581689736	0.0059222861079194	1.9676460450433	0.023659794604458	0.19650432085774	1.1609031031545	1.9851071951269	0.0018756993889117	0.38058610512822	7.1499889004456	0.042620209186145	1.2896575025873e-06	0.16462988260028	1.0749064766989	0.069836333442615	0.17002902468372	0.17002902375713
4	0.009035130137755	116.51245040937	0.0048920192694563	0	0.55890103145664	0.74999399272762	1.3761707287538	3.5558375467262	1.0691986807943	0.19157683896935	0.0056122265811564	1.9687689430591	0.022291221158751	0.18691975164742	1.1612847127425	1.9852754681383	0.0017804629227076	0.38132892514292	7.1510377265913	0.040628646244558	1.2329641000019e-06	0.15613622707851	1.0755156043037	0.066250061870657	0.15590123599285	0.15590123515172
4.2	0.0083753806682003	116.51384907116	0.0045172713737637	0	0.51769105637264	0.74401822111663	1.3772736400641	3.5643959542542	1.069909919532	0.17660217298313	0.0051664219779458	1.9703529892065	0.020324367723264	0.18694300295127	1.1618144424579	1.9854785897756	0.0016416174031664	0.38295163390145	7.1524273109118	0.038476145836621	1.1453576798557e-06	0.14375165120866	1.0763812230414	0.057486857102861	0.13618021734509	0.13618021662042
4.48	0.0075441725200619	116.51578613445	0.00404755827735	0	0.46550359426922	0.73573218454965	1.3789421883269	3.5754373230626	1.0707850219309	0.15765093054535	0.0046083779508826	1.9722616528593	0.017934752693399	0.16769264247111	1.1624321571841	1.985650750841	0.0014671453961341	0.38335437283173	7.1539045329855	0.035101521608768	1.044575354416e-06	0.1280807817109	1.0774316568571	0.050323798237752	0.11276429062461	0.11276429003412
4.872	0.0065401235965124	116.51845759001	0.0034826474106173	0	0.40200552992853	0.72428687299474	1.3814817394091	3.5894164623086	1.0718474685736	0.13461584743875	0.0039385766316637	1.9745457825033	0.015168562541834	0.14696589865563	1.1630855419078	1.9856973212174	0.001256699468983	0.3808728043475	7.1551589214261	0.03145245651177	9.3827495415684e-07	0.10903766577263	1.0786220955315	0.044823572386372	0.086689123083173	0.086689122637124
5	0.0062452217886606	116.51932313814	0.0033176809370957	0	0.383346565198	0.7205880959066	1.3823526308757	3.5936777032818	1.072165408432	0.12785274260357	0.0037424278402976	1.975224819123	0.014377952513189	0.14161485044319	1.1632540497712	1.9856705121562	0.0011952147327222	0.37945803337105	7.1553920802839	0.030488599684057	9.0823655642281e-07	0.10344776122622	1.0789501686616	0.043494923523712	0.079507224025636	0.079507223618489
5.2	0.0058190820415333	116.52066591027	0.0030780402181403	0	0.35611839814942	0.71484658985002	1.3837545794974	3.6000383107026	1.0726280413732	0.1179895771816	0.0034596543050239	1.9762064188266	0.013237312547377	0.14102594291832	1.1634751127393	1.9855893661163	0.0011056484233596	0.37681263175277	7.1555920282761	0.02962437273667	8.6243098496305e-07	0.095296753931345	1.0794062104936	0.040550662748645	0.069474565490978	0.069474565137556
5.48	0.0052829412749281	116.52252641674	0.0027774966476074	0	0.32162202376925	0.70688536995643	1.3857936289954	3.6083772065692	1.0732146972737	0.10550539320332	0.003105197674443	1.9774420466322	0.011837556446828	0.12960747464846	1.1637058376223	1.9854020520729	0.00099311472769856	0.37212943785397	7.1555630340488	0.027849306434271	8.0899288071954e-07	0.084982088155042	1.0799385420114	0.037917190853973	0.05754716424668	0.057547163956212
5.872	0.004637372926527	116.52509377419	0.0024162136779408	0	0.27962045128833	0.69588868309309	1.3887618368711	3.619116614035	1.0739463115004	0.090327523156651	0.0026795848623087	1.9789757148783	0.010195845167604	0.11757860903489	1.163893731037	1.985011933421	0.00085751918882281	0.36408962160725	7.154985257454	0.025796458041727	7.490669842865e-07	0.072446357225889	1.0804995230964	0.035394055134953	0.044247477225773	0.044247477004353
6	0.0044480303388803	116.5259243241	0.0023107871121322	0	0.26727131299602	0.69233491618165	1.3897533361702	3.6224228103661	1.0741671052202	0.085870502517385	0.0025550248192368	1.9794374507902	0.0097231021628866	0.114441277238	1.1639262025471	1.984856890424	0.00081792830835513	0.36119313308036	7.1546800238704	0.025231365446735	7.3168621138614e-07	0.068766318047879	1.0806427837088	0.0347075168045	0.04058195392262	0.040581953720022
6.2	0.0041758906130642	116.52721304089	0.0021579279810077	0	0.24924352548605	0.68681849898397	1.3913202296307	3.6273902200674	1.0744914026517	0.079369611437024	0.0023756630153983	1.9801140966303	0.009039501800824	0.11448512173108	1.1639497614278	1.9845887630649	0.00076037817063748	0.35583410054524	7.1540944240769	0.024833470192322	7.0565760194729e-07	0.06339985067698	1.0808293918488	0.033363242653203	0.035459806091782	0.035459805915337
6.48	0.0038354389296564	116.52899902331	0.001966821665101	0	0.22638896682568	0.67916937703672	1.3935407968839	3.6339582055449	1.0749072051487	0.071139453980512	0.0021513168940021	1.9809799041104	0.0081953369245376	0.10733740222804	1.163931833948	1.9841647855238	0.00068826770885239	0.34798092323077	7.1530703290922	0.023689956907369	6.7431163672225e-07	0.056608155158467	1.0810207643997	0.032034688558376	0.0293689616674	0.029368961521831
6.872	0.0034298137079541	116.53146414376	0.0017384660697131	0	0.19853459392399	0.66860375996929	1.3966694296138	3.6424789316477	1.0754263409603	0.061130209080522	0.0018831751700767	1.9820608680236	0.0072004698740782	0.099909919414033	1.1638187920639	1.9834868143817	0.00060179628185418	0.3365963247206	7.1512811447279	0.022292569960166	6.3830743642982e-07	0.048352641467264	1.0811672888332	0.030656147089641	0.022580585058756	0.022580584947317
7	0.0033112678684239	116.53226102945	0.0016720999210121	0	0.1903382712112	0.6651893205588	1.3976921545695	3.6451126796116	1.0755823650381	0.058190183563149	0.0018048736571801	1.9823859860498	0.0069135317025017	0.097980011957877	1.1637629964042	1.9832471890403	0.00057662368069564	0.33283778174653	7.1506197578498	0.021897390184779	6.2781762058456e-07	0.045928805240122	1.0811888372587	0.030273865254427	0.020711010676358	0.020711010574267
7.2	0.0031435970370417	116.53349759756	0.0015764480304981	0	0.17836601711422	0.65988917314892	1.3992837667396	3.6490753456386	1.0758104953903	0.053901111839573	0.0016928776908834	1.9828615552239	0.0064996519909603	0.098589477824939	1.1636579721352	1.9828556361363	0.00054019939872685	0.32621960810571	7.1495142106469	0.021682567945075	6.1206097001957e-07	0.042393870370256	1.0811979338742	0.029531893853771	0.018101398003836	0.018101397914756
7.48	0.0029370647043397	116.53521142525	0.0014580039930635	0	0.1631744953367	0.65253992475192	1.4014891476147	3.654318202097	1.0760999855978	0.048469473060069	0.001553820528213	1.9834662606529	0.005989867307875	0.093885235433448	1.1634774135385	1.9822752736992	0.00049486288551039	0.31703220469925	7.1478309708604	0.020814456321825	5.930301867609e-07	0.037919443366367	1.0811645773337	0.028816034047875	0.015005412460927	0.015005412387228
7.872	0.0026975513059396	116.53757712601	0.0013186380933275	0	0.14463340343114	0.64238850126352	1.4045005358508	3.6611020217879	1.0764526329825	0.041860555025482	0.0013895174901471	1.9842073848479	0.0053935898534331	0.089163716883569	1.1631664479954	1.9814068321951	0.00044103948506149	0.30452121597729	7.1452384410959	0.019704076615855	5.7137955415751e-07	0.032479345301612	1.0810377838201	0.028118121469516	0.011571374529404	0.011571374472694
8	0.0026280487768337	116.538341589	0.0012785102082157	0	0.13917117124814	0.63910792845207	1.4054634780081	3.6631928784472	1.0765562602238	0.039918548819383	0.0013416947038216	1.9844264588874	0.0052225935670805	0.087974270257487	1.1630524219709	1.9811112009984	0.00042545692834301	0.30054709553023	7.1443406961388	0.019383200537248	5.6512174086542e-07	0.030881810838025	1.0809790495877	0.027934290297908	0.010629719144091	0.010629719092027
8.2	0.002533512562204	116.53952787119	0.0012213890916616	0	0.13118598179141	0.63401557566564	1.406938562535	3.6663270602483	1.0767044824522	0.037084650389011	0.0012742063932946	1.9847413905533	0.0049783624815816	0.089029122050525	1.1628623777506	1.9806378800115	0.00040307651713611	0.29388660360283	7.1428898327183	0.019236711808887	5.5570865030551e-07	0.028551631415558	1.0808710266167	0.027550033697475	0.0093213029740021	0.0093213029283843
8.48	0.0024208472026301	116.54117205061	0.0011518833043458	0	0.12104049081917	0.62695445235579	1.4089354036994	3.6704457921208	1.0768853336925	0.033494246882546	0.0011912679226497	1.9851296050284	0.0046809008179822	0.085878774050319	1.162574009678	1.9799538742131	0.00037545907626903	0.28491400999307	7.1407684406951	0.018486387532881	5.4455672883366e-07	0.025601498979575	1.0806893732296	0.027248602579166	0.0077818069916023	0.0077818069535556
8.872	0.0022961566025406	116.54344174532	0.0010718552601423	0	0.10863315657426	0.61720100168507	1.4115748962859	3.6757126616276	1.0770903384253	0.029122640751753	0.001093984607643	1.9855793817519	0.0043386676524957	0.082956428404715	1.1621316306109	1.9789592742958	0.00034292095651766	0.27315188776863	7.1376413417261	0.01750061242804	5.3237161210429e-07	0.022013429751286	1.0803822578848	0.027059499413484	0.0060995350975073	0.0060995350677172
9	0.0022597750948884	116.54417507823	0.001048985715597	0	0.10497185029158	0.61404904872185	1.412400044121	3.6773218655501	1.0771468387814	0.02783732664835	0.0010654234628729	1.9857060521218	0.0042412673334101	0.082277443669886	1.1619789519884	1.9786265917268	0.00033349290224495	0.26950765884877	7.1365862260638	0.017213924235427	5.2889521078257e-07	0.020959459339443	1.0802705779885	0.027027562386984	0.0056440213180374	0.0056440212904799
9.2	0.0022131287839823	116.54531310799	0.0010168285904805	0	0.09961317908961	0.60915634769131	1.4136451848779	3.67971758078	1.0772227217258	0.025960957725046	0.0010252149881678	1.9858797701081	0.0041045097296794	0.083701644487745	1.1617325812326	1.9780992972731	0.00031998857775899	0.26359258899825	7.1349054166175	0.017100222297363	5.2358366306533e-07	0.019421814815382	1.0800853819739	0.026889158330789	0.0050184458583924	0.005018445833899
9.48	0.0021580168845965	116.546890542	0.00097764039816332	0	0.092792343510393	0.60237206144163	1.4152969187873	3.6828355466678	1.0773052720973	0.023582183102098	0.00097470791751768	1.9860771307283	0.0039380383064312	0.08159432232802	1.1613731556734	1.9773471935699	0.00030308495894669	0.25577903390489	7.1324923047646	0.016424651146077	5.1741003916582e-07	0.017474449260024	1.0798061642645	0.0268845582167	0.0042966343763265	0.0042966343553656
9.872	0.0020934108792406	116.54906843111	0.00093105353625816	0	0.084427340428888	0.59300099764984	1.4174298535621	3.6867799227004	1.0773798957385	0.020682965642873	0.00091163080171334	1.9862751870436	0.0037430345731324	0.079910978684232	1.1608452144291	1.9762704926548	0.00028235130713656	0.24575999386325	7.1290097045825	0.015557968227825	5.1072587061849e-07	0.015104799332968	1.0793807928939	0.027035467290486	0.0035319642356879	0.0035319642184657
10	0.002072412543804	116.54977211752	0.00091713534263617	0	0.081953139902972	0.58997262434283	1.4180877055296	3.6879783846082	1.0773958240709	0.019829851640762	0.00089206882203293	1.9863237988601	0.0036858852494647	0.079585314853197	1.1606676317001	1.975913878434	0.00027609578829166	0.24269561715309	7.1278499929578	0.015313513615748	5.0873051898759e-07	0.014408440909841	1.0792344630719	0.027095268351469	0.0033298653722598	0.0033298653560251
10.2	0.0020431562980362	116.55086424186	0.00089718044299827	0	0.078326030509546	0.585271752523	1.4190749452163	3.6897597219717	1.0774110644323	0.018583708600965	0.00086293160126338	1.9863810770126	0.0036068297268638	0.081265548692509	1.1603853963687	1.9753520319082	0.0002669799694714	0.23774977677867	7.1260166766678	0.015268667943257	5.0530724627766e-07	0.0133922195318	1.0789989207121	0.02706824905113	0.0030577375249443	0.003057737510039
10.48	0.002001768060651	116.55237825606	0.00087019354174347	0	0.073697520728357	0.57875345859405	1.420380701732	3.6920799374906	1.0774149422963	0.017002463395752	0.00082283487763435	1.9864276717467	0.0035028029312038	0.079795110923696	1.1599816050232	1.9745569120155	0.00025463437140083	0.23123768394115	7.123410478751	0.014720791339292	5.0092008917898e-07	0.012104617717635	1.0786562765612	0.02716234022133	0.0027529985917316	0.0027529985783143
10.872	0.0019391733181888	116.55446899449	0.00083287556154071	0	0.067999055321157	0.56974980570067	1.4220769231701	3.695041804352	1.0773929966051	0.015072529963881	0.00076703289014314	1.9864408440786	0.0033641163769664	0.078854642852249	1.1594017033072	1.9734291939308	0.00023783661624067	0.22286016099847	7.1196930453025	0.014060717986501	4.9529720364392e-07	0.010536666144551	1.078154273735	0.027341963372625	0.00244264579176	0.0024426457798576
11	0.0019172791906312	116.55514457902	0.00082066568621534	0	0.066308167399572	0.5668401694985	1.4226046784712	3.6959505321006	1.0773805021551	0.014503963363641	0.00074905429280318	1.9864350310688	0.0033195993807537	0.078730453676019	1.1592092498569	1.9730578302319	0.00023245783946183	0.22028442240077	7.1184641874479	0.013884944443033	4.9342695444567e-07	0.010075620694612	1.0779854999443	0.027391308539845	0.0023628762269076	0.0023628762153944
