# Time [h]	All Liquid [L/h]	MS [g/L]	Butyric [g/L]	AA [g/L]	Propionic [g/L]	Valeric [g/L]	LCFA [g/L]	Acetic [g/L]
0.2	26.491692416667	0.051373151456686	0.014673171585961	0.032080618415964	0.034252633612201	0.0048096587437559	0.07010951608939	1.4512262091888
0.48	26.98795813737	0.045267716888969	0.022597961524406	0.032440346705003	0.06917502369567	0.0080068550393753	0.15133662992088	1.2541130738423
0.872	27.583139407444	0.038160021110346	0.022085317746628	0.027060466323645	0.089380320689492	0.0078996229443219	0.24851041297543	0.99697763308875
1	27.769873783746	0.036087764659737	0.021176967507858	0.025381455831032	0.091707716956606	0.0075744326367128	0.27618639915862	0.91287221914249
1.2	7.9857920015191	0.033138079987136	0.019420673154305	0.023037532559731	0.091751992144461	0.0069859396568334	0.31573856386983	0.77482910786335
1.48	8.3781746467014	0.029442978977026	0.017151563259842	0.020177894976564	0.087613861283036	0.0061987255999936	0.36461197541186	0.59153926887165
1.872	8.8486833795573	0.025016332182702	0.014425239162198	0.016843739720957	0.077434825961845	0.0052366986539454	0.42158542569113	0.37375580166235
2	8.9803318038194	0.02371405977344	0.013634435140769	0.015872753320583	0.073651347605313	0.0049568940955551	0.43762546770232	0.31342663361139
2.2	9.1555105026042	0.021847862783872	0.012495140748433	0.014502016865112	0.067608878718991	0.0045498696599885	0.46020121056961	0.23650389259512
2.48	9.3346837851563	0.019506238023164	0.011080551838589	0.012809735595416	0.059357280494595	0.0040409495929987	0.48695680611157	0.16321233191745
2.872	9.4871230039062	0.01668997490329	0.009398878576283	0.010807693540454	0.048967344141556	0.0034312864166179	0.51560924382183	0.10973376773381
3	9.5220275134549	0.015862150726377	0.0089107388748815	0.010222909930549	0.045902015313441	0.0032540344470602	0.52300425352914	0.09887968421745
3.2	9.5678838716363	0.014671020521343	0.0082055913298284	0.0093889321466888	0.041505629912058	0.0029964085227092	0.53267245209998	0.08681502436502
3.48	9.6175906774089	0.013174366792623	0.007325622254501	0.008351327190985	0.036125526047124	0.0026734619916104	0.54259083170341	0.075576937273783
3.872	9.6704805047743	0.011372747143978	0.006273484923959	0.0071145653260537	0.029943865692281	0.0022854133319994	0.54998670578472	0.065133124291401
4	9.685057561849	0.010843683363758	0.0059672194987071	0.0067529206738652	0.028194091730139	0.0021723399373396	0.5509577493258	0.062387606986728
4.2	9.7070608967014	0.010082254392398	0.0055241390662668	0.0062346759635573	0.025721963654654	0.0020080901293322	0.55110194279238	0.058648986826298
4.48	9.7331669722222	0.00912670833021	0.0049701668713175	0.0055879573432085	0.022727583678335	0.0018020909482059	0.54868295359181	0.054256655601436
4.872	9.7630510755208	0.0079801198191518	0.0043072001964903	0.0048156369227137	0.019284747368527	0.0015546560539125	0.54068747306078	0.04932213843763
5	9.7716220633681	0.0076439802268581	0.004114227866409	0.0045898952866188	0.018305866224996	0.0014825664863892	0.53708841436111	0.047926128693102
