# Time [h]	MS [1]	AA [1]	Butyric [1]	MO_AcidoLCFA [1]	MO_Acetic [1]	MO_hydroM [1]	Propionic [1]	Carbondioxide [1]	Carbondioxide_gas [1]	MO_Propionic [1]	MO_acetoM [1]	MO_ButyricValeric [1]	LCFA [1]	MO_AcidoMS [1]	Methane [1]	Methane_gas [1]	MO_AcidoAA [1]	Valeric [1]	Hydrogen [1]	Hydrogen_gas [1]	Acetic [1]	Phi [1]
0.2	2.1458100318787e-06	2.8378404620653e-06	3.386752051753e-06	0.015451096064646	0.01162885342837	0.036074365651818	1.3278242766019e-05	0.63800665696222	0.5169199259953	0.012782289565108	0.00058243344852228	0.022076916204897	4.0557161777231e-05	0.078995625681658	0.040185245596899	0.90976981660006	0.011503009428669	1.1530309497315e-06	1.3327648045401e-07	9.3662350080985e-06	0.0014501953663922	0.90939383713365
0.48	2.0557429687018e-06	3.2079475871974e-06	3.7484146736328e-06	0.015458932484507	0.011642831898484	0.036175375844898	1.9797252821653e-05	0.4824796563479	0.78433462801942	0.01278997221762	0.00058451520038865	0.022080790886022	8.7701413709256e-05	0.078976448040137	0.026998501390097	0.54015820608355	0.011505476118448	1.3765410712256e-06	1.4581082358635e-07	1.946478363805e-05	0.0013354740564029	0.90938200811208
0.872	2.055514412014e-06	3.2413521678564e-06	3.8427797625501e-06	0.015477982740783	0.011661805560067	0.036336283339592	2.2703661134686e-05	0.33470939479692	0.79291897435978	0.012804346317876	0.00058739463658037	0.022086492163397	0.00013195051942548	0.078946762233589	0.018785949277407	0.41528007651794	0.011508943932173	1.4257229831525e-06	1.6156547192848e-07	2.2014497096743e-05	0.0012334094569377	0.90936266869904
1	2.0551047203732e-06	3.2396255410946e-06	3.8461145241288e-06	0.015485576786125	0.011667926730682	0.036390862369636	2.3012945221808e-05	0.29717295342564	0.72831080704757	0.012809354798293	0.00058833143822403	0.022088313495907	0.00014112090501526	0.078936752047005	0.01731399906854	0.38597143882868	0.011510038197751	1.4273601084542e-06	1.6375620301714e-07	2.1834954050699e-05	0.0012127212457882	0.90935602919035
1.2	1.3388420319489e-06	2.2695664371332e-06	3.1514637721318e-06	0.015498835743923	0.011677372010081	0.036475548422119	2.4227653466255e-05	0.24937872002637	0.63029773877721	0.012817527945045	0.00058977962246413	0.022090272880939	0.00019112943890226	0.078919318125756	0.016901111820783	0.55446965627048	0.011510773476109	1.1894250628048e-06	1.5928999545135e-07	1.8557592262953e-05	0.001056454327894	0.90934591362002
1.48	1.326429113978e-06	2.0637620888531e-06	2.8608077944383e-06	0.015520713376631	0.011690105389668	0.03659465285205	2.4759551159982e-05	0.18933908840137	0.47635991698674	0.012829380914989	0.00059175012954933	0.022091490143841	0.00025144443363269	0.078894010751668	0.015788167967811	0.44856190191715	0.011510818294601	1.0756492087261e-06	1.6024297793196e-07	1.8570668209497e-05	0.00085994732577361	0.90933171538725
1.872	1.3267468089306e-06	2.0421301305486e-06	2.8061514478056e-06	0.015555855531814	0.011707055528408	0.036762989943138	2.4888920166332e-05	0.13193343538704	0.35723745976521	0.012846182401078	0.0005944106032545	0.022092441614076	0.00030632483020472	0.078858190911205	0.015237277204072	0.46485077752043	0.011510599874588	1.0525220700534e-06	1.6042816903184e-07	1.8409499466318e-05	0.00067653000586935	0.90931143933127
2	1.3267673101821e-06	2.0411934244655e-06	2.8035878216959e-06	0.015567960307957	0.011712448259302	0.036818121314932	2.4887493092252e-05	0.11680755611955	0.32191715506521	0.012851677178234	0.00059526397113218	0.022092710862711	0.00031723048803545	0.078846443963605	0.015216651673021	0.47585415116864	0.01151051510089	1.0514688839982e-06	1.605104750605e-07	1.8354328851859e-05	0.0006397306134718	0.90930476223777
2.2	8.853375397592e-07	1.4262587344616e-06	2.0875862591817e-06	0.015587765908756	0.011720561630473	0.036900138841356	1.9920483868204e-05	0.091828463276867	0.23823675850032	0.012859575078277	0.0005965524477993	0.022092224261282	0.00034785802353464	0.078827435655299	0.015678619685126	0.57302865673513	0.011509807113081	7.941157892671e-07	1.4387063225278e-07	1.2965279322041e-05	0.00052709030231842	0.90929496326299
2.48	8.7883188836165e-07	1.3009099543228e-06	1.8307615632467e-06	0.015617345256835	0.011730981349204	0.037005580071277	1.6235698476329e-05	0.065103961102409	0.17881462116572	0.012868416423744	0.00059822732842653	0.022090394615553	0.00038108216406337	0.078801440755209	0.015387787318834	0.53558190953097	0.011508359915708	6.956773381465e-07	1.312899989552e-07	1.2832138626703e-05	0.00039851134105673	0.90928240996709
